uri,cid,text,created_at,reply_count,repost_count,like_count,author_handle,author_display_name,author_avatar,author_did
at://did:plc:6aw47fmave2rjyqmp36rcy2d/app.bsky.feed.post/3l3sxb45iax24,bafyreiabxd6wveb2vnhkzbftkpcpcixymnf6pej3q6noqj4gst3cjqn3wi,"Chega a ser engraçado pensar que o Bolsonaro faz mais oposição ao Marçal do que o PRÓPRIO Boulos.

Única que tem batido de frente desse maluco é a Tábata, e ela é extremamente criticada dentro dessa galera que é afogada na própria soberba.",2024-09-10T17:35:53.554Z,1,0,1,johndafx.bsky.social,John,https://cdn.bsky.app/img/avatar/plain/did:plc:6aw47fmave2rjyqmp36rcy2d/bafkreiel6ayazcfbr2qfl6yrhcgvle2bnyrejho674v5focmbexcufzv2i@jpeg,did:plc:6aw47fmave2rjyqmp36rcy2d
at://did:plc:samia4hqjtj5ur5pt6jdumch/app.bsky.feed.post/3l3swvjch3423,bafyreibajwmuvueljuxholcdsrr7ako4kkayyk5m3kolyo55bz5u5rw5uu,eu tenho pra mim que joao campos e tabata amaral fazem o sexo mais chato do planeta,2024-09-10T17:29:24.339Z,0,0,0,sscfia.bsky.social,xof,https://cdn.bsky.app/img/avatar/plain/did:plc:samia4hqjtj5ur5pt6jdumch/bafkreibyy3hdixg52jqpmoctkclytvjbckkhgiyjdvfsthy57achcvdyse@jpeg,did:plc:samia4hqjtj5ur5pt6jdumch
at://did:plc:gnxezgwk26wi74hhes6kopxo/app.bsky.feed.post/3l3swnxdnk625,bafyreiedf2twdr2xrnlnwtggpkhshphhvqufyzyypbvt6nqph3hb7m7jt4,"Ver o inter especulado amanhã com o Gustavo Prado me deixa com o coração quentinho pq os 3 meias (Alanpa, Tabata e G Carvalho) ia ser um peso absurdo pro guri correr.",2024-09-10T17:25:10.564Z,0,0,0,chiappettaraul.bsky.social,Raul Chiappetta Silveira ,https://cdn.bsky.app/img/avatar/plain/did:plc:gnxezgwk26wi74hhes6kopxo/bafkreife62kjicyo4te4hqi7zpiqhcp5pet5hlgq7qunkm6mtdnqyrtjrm@jpeg,did:plc:gnxezgwk26wi74hhes6kopxo
at://did:plc:d2pubr4bm2orgo4fpinbyxxz/app.bsky.feed.post/3l3sw6uubvl2q,bafyreiaumcazwawfsfzg5jpllit6b4o5i5qb3kuc5i7hn67sxcri7wxioe,A Tabata é tão incrível que realmente não entendo pq tem gente na dúvida kkk votar em um cara q com envolvimento em quadrilha ou em uma mulher que passou em 6 das 10 melhores facul do mundoo,2024-09-10T17:16:44.682Z,0,0,0,jessns.bsky.social,jessicat,https://cdn.bsky.app/img/avatar/plain/did:plc:d2pubr4bm2orgo4fpinbyxxz/bafkreias4qjk7krak7pnt2e4mmrp5stndtskia2itk76rrf7245ioxflna@jpeg,did:plc:d2pubr4bm2orgo4fpinbyxxz
at://did:plc:v7bdm7jjnidah3p6v5gx3lgq/app.bsky.feed.post/3l3svycliqg2e,bafyreigimrjoukybrkun5fofjdp646wcwvqqiwzmai5ymrrepryzvbchce,A Tábata Amaral dá uma esperança boa mesmo que seja como oposição,2024-09-10T17:13:03.649Z,0,0,0,tangerinamarina.bsky.social,TangerinaMarina,https://cdn.bsky.app/img/avatar/plain/did:plc:v7bdm7jjnidah3p6v5gx3lgq/bafkreigbgvnbbtf4cwdivlb6elgdqqfl5x6ix5t6k5d6cqu33rvt7iillq@jpeg,did:plc:v7bdm7jjnidah3p6v5gx3lgq
at://did:plc:2ztasfz2gfjownyhmye2ngr7/app.bsky.feed.post/3l3sw6rfrpm62,bafyreibcagqxuvqnq57jhgypmboc4pnsdqc22glhabk7534mnxu4qdukea,"Sabatina de O Antagonista com candidatos começa com Tabata Amaral nesta terça, 10
Ricardo Nunes e Pablo Marçal também serão sabatinados nesta semana, com transmissão ao vivo no YouTube, às 19h30 […] 

[Original post on mastodon.social]",2024-09-10T17:12:14.000Z,0,0,0,antemar007.mastodon.social.ap.brid.gy,Antemar Mendes,https://cdn.bsky.app/img/avatar/plain/did:plc:2ztasfz2gfjownyhmye2ngr7/bafkreifwg6ec27ybh6kcjqflfvjvfcxq2hewc7mzth4h75lxt6m46t6b6i@jpeg,did:plc:2ztasfz2gfjownyhmye2ngr7
at://did:plc:23jiwcpuurauwqalr75sbugq/app.bsky.feed.post/3l3svhao6di2g,bafyreifd7sp4hs3ve2q3szugulqpmlce2zvawe4jrkz4wb2xtq63ovaxje,O uber acabou de falar q eu pareço a Tabata Amaral (??),2024-09-10T17:03:32.489Z,0,0,0,hellhage.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:23jiwcpuurauwqalr75sbugq/bafkreigpzai4ycmzhu2fqu4tls2qr6vewfkfmnkw72tx7guhj32bkoryam@jpeg,did:plc:23jiwcpuurauwqalr75sbugq
at://did:plc:ex72z56m6jwkl45codirhq3f/app.bsky.feed.post/3l3suveg2px26,bafyreifect7nbhiamapbvqc4hrwatl5u5odwml6xr45echazk2jgtwylxi,"Essa matéria embasou a Ação de Investigação Judicial Eleitoral de Tabata contra Marçal que causou a derrubada das contas. Na época, eu havia mapeado 50 perfis com milhões de visualizações de conteúdo pró-Marçal, mas no total as contas se contam aos milhares
oglobo.globo.com/politica/not...",2024-09-10T16:53:52.773Z,1,1,2,guiicaetano.bsky.social,Guilherme Caetano,https://cdn.bsky.app/img/avatar/plain/did:plc:ex72z56m6jwkl45codirhq3f/bafkreihjwphqhc2gr6q2rifjfog3wlbgicinp7hxfnj6d62z4omr35lsve@jpeg,did:plc:ex72z56m6jwkl45codirhq3f
at://did:plc:odox53ayxl4rz7p2tal2by7f/app.bsky.feed.post/3l3surjf5d62r,bafyreifie33pkc2kse2cz7yvowrkoch2lkwfsbkpatlrmxbaofaen4ypw4,Tabata do cone sul 🙄😕🤮,2024-09-10T16:51:21.787Z,1,0,1,luislz13.bsky.social,Luís 13🚩🇧🇷🇨🇳🇷🇺🇮🇷,https://cdn.bsky.app/img/avatar/plain/did:plc:odox53ayxl4rz7p2tal2by7f/bafkreihh7fpi5dsogfnjcawv4aj7g2lkzrewlu7rwxqi76usk57u2rxdqm@jpeg,did:plc:odox53ayxl4rz7p2tal2by7f
at://did:plc:ex72z56m6jwkl45codirhq3f/app.bsky.feed.post/3l3suncj67o27,bafyreicwybowyxdlqta4h6vciwd6eylq3bdgmcyrme5ntzyrfzjldtd6ku,"Por que isso importa? Porque os adversários veem nisso indício de crime de abuso de poder econômico. A campanha de Tabata Amaral pediu à Justiça Eleitoral que fosse aberta uma investigação contra a chapa de Marçal. Ele acabou com as contas supensas por causa disso, e há potencial para estrago maior.",2024-09-10T16:49:22.361Z,1,1,2,guiicaetano.bsky.social,Guilherme Caetano,https://cdn.bsky.app/img/avatar/plain/did:plc:ex72z56m6jwkl45codirhq3f/bafkreihjwphqhc2gr6q2rifjfog3wlbgicinp7hxfnj6d62z4omr35lsve@jpeg,did:plc:ex72z56m6jwkl45codirhq3f
