uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5zaappqvu24,bafyreidba6x6etbfp7324txyuwqfybo2qpoaa73o2ugnerj2q2la7jpwjq,Deixa a gata decidir! Amei 💜,2024-10-08T16:23:05.471Z,1,0,0,2024-10-08T16:23:05.471Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5yybm2bsz2j,bafyreicnt7xxy7lslmzcpqprcvhul6bzmcbaluw3yrzy2pf3jq3ibr7luq,"🚩🏳️‍🌈 REAGRUPAR O BONDE!

O 1° turno foi com emoção. Nós avisamos que o bolsonarismo ia tentar de tudo contra o Boulos e jogaram baixo. Mas 70% da cidade não votou em Nunes.

Eu acredito na vitória do 50, mas nossa militância é muito necessária.

Bora reagrupar? Na casa de Portugal amanhã 19h📌",2024-10-08T14:00:25.278Z,0,7,34,2024-10-08T14:00:25.278Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5wyojzyrb2o,bafyreifargivqjeids3q6mei7ps4gqkdovis47iyumsyau6mrm7owpofya,Parabéns à @amandapaschoal.bsky.social @luanapsol.bsky.social @bfeministapsol.bsky.social @toninhovespoli.bsky.social @keitlimasp.bsky.social e Celso Gianazzi pela vitória! Sei que esse time vai fazer história e representar bem o PSOL nos próximos anos!,2024-10-07T19:02:19.921Z,0,0,12,2024-10-07T19:02:19.921Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5wykujjou2i,bafyreibj6prqi7tkmai3a2ahpfdftk76ctpt5y55ulkxi6aqaldzqcfch4,"Obrigada pelos mais de 20 mil votos que recebi! Fizemos uma campanha movimento, militante, que tomou as ruas e as redes de SP. Ainda não vai ser dessa vez que ocuparemos a Câmara, mas a bancada combativa travará muitas lutas por lá! Nossa missão de eleger Boulos e impedir o bolsonarismo segue viva!",2024-10-07T19:00:16.697Z,1,26,292,2024-10-07T19:00:16.697Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5sm3t5ss32p,bafyreicwmaofdhf7lmbwtsi42iodcjyd6tv5cvol7ecdupkjqi4x77isbm,"Boraaa! Vamos levar orgulho, axé e luta por justiça social e climática para a Câmara de vereadores 🫰",2024-10-06T01:06:28.089Z,1,0,1,2024-10-06T01:06:28.089Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5slzr2eke2t,bafyreihdmg5ezgzvbutiwcymtrgk4dofumdcenpld4fks7eozu55rk7h3e,Axé!!! 🌿,2024-10-06T01:05:18.675Z,1,0,2,2024-10-06T01:05:18.675Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5shofrwg42t,bafyreib5rhpkw7vjomo6k6qovctj2w5acthl4qm3b5hq4qgxltsdgcmfka,Muito especial contar com o seu apoio!  Conto com seu voto para que a gente possa continuar a luta pela manutenção de direitos e combate a extrema direita. ✊🏾,2024-10-05T23:47:22.870Z,1,0,1,2024-10-05T23:47:22.870Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5s7uw2xdx2q,bafyreiar5efvf7n5jifc7qzsufgmjtzi4jvxhs45rdcuk4a5egnvpvyida,São Paulo quer o melhor: @guilhermeboulos.bsky.social,2024-10-05T21:27:51.384Z,1,2,22,2024-10-05T21:27:51.384Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5s72eui6h2o,bafyreibz4kj34yvweebtz3gtv5lsohs52havcvwlmrknnjrlq6xka3bory,"Datafolha de agora
Boulos 29%
Nunes 26%
Marçal 26%

And Marçal intimado por nada menos que Xandão para prestar esclarecimentos em 24h

Axé 🌿🌿🌿",2024-10-05T21:13:00.459Z,1,2,19,2024-10-05T21:13:00.459Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:yfqn2wqgjtj6zofvfqnv2wpf/app.bsky.feed.post/3l5s2jvuvzk2o,bafyreibgxkuzz5lfvhid2tlnq3uyjgtaw2b3jc72yzsxgwdzx466hctc6y,"Candidata pelo PSOL à Câmara Municipal da maior cidade do Brasil, Carol Iara fez carreira política na Bancada Feminista, onde defendeu políticas pelos direitos de grupos minorizados e marginalizados.

almapreta.com.br/sessao/polit...",2024-10-05T19:52:13.357Z,0,9,37,2024-10-05T19:52:13.357Z,alma-preta.bsky.social,Alma Preta Jornalismo,did:plc:yfqn2wqgjtj6zofvfqnv2wpf
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rrthczte2c,bafyreibhfbfsmx2hz7h7mgctugai6rkhgaql5kpdo52shupwous72dzcby,"A esperança vai vencer o ódio!

Foto de hoje da Avenida Paulista.",2024-10-05T17:16:29.960Z,0,4,29,2024-10-05T17:16:29.960Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rq2kh4c32o,bafyreicv6ccex5lf5lwghdgk7oaxd2eb4b4g6pwhhbww6zzznmtw5e6qge,Assim de energia hoje,2024-10-05T16:44:39.967Z,0,0,20,2024-10-05T16:44:39.967Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rpgbv6nd2o,bafyreicowuqd5jxfuyxxz2pjq3dioo6jsjodifn4jfov3g6tvzesi6ln34,💜💜💜 E ainda vamos avançar muito mais na teoria e na ação transfeminista!,2024-10-05T16:33:20.401Z,1,0,1,2024-10-05T16:33:20.401Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rp7kpqg72t,bafyreie6bq2utags3xwbtra57kbkyum3ittjo6markaebsvl2qlzk37tv4,"Meu compromisso com a justiça social e climática marcaram minha experiência na bancada feminista.

Quem sabe vc dá uma olhada e gosta das minhas propostas: bit.ly/PropostasCarol

Agora todo voto conta 🫰 Podemos ser muitas e múltiplas vereadoras progressistas! 🙏5️⃣0️⃣0️⃣0️⃣0️⃣✅️",2024-10-05T16:29:34.279Z,0,0,3,2024-10-05T16:29:34.279Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rp6gr3r62m,bafyreibutpqb6q546oxvej24wwsskzo3va5u7g3scnisvm4yrfgyojfysa,"Oie! Peço licença para me auto recomendar haha 💕

Estou no time do Boulos, nº 50000, mulher preta, travesti, intersexo, do axé, periférica da ZL, positHIVa contra o estigma, trabalhadora do SUS, Mestra em Sociais e ativista do movimento social. ⤵️",2024-10-05T16:28:57.159Z,1,0,4,2024-10-05T16:28:57.159Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
