reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:apcbfxwmmfdiix6tvrpxkcih/app.bsky.feed.post/3l5zac3pxhs2w,bafyreiabjqfjd2ga7fczer44bx62nouwjyrst3qqef4kdugn4mxm55qlua,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5zaappqvu24,Deixa a gata decidir! Amei 💜,acarolinaiara.bsky.social,❤️❤️❤️,2024-10-08T16:23:51.679Z,0,0,0,2024-10-08T16:23:51.679Z,caverbuck.bsky.social,Clara Averbuck,did:plc:apcbfxwmmfdiix6tvrpxkcih
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5wyojzyrb2o,bafyreifargivqjeids3q6mei7ps4gqkdovis47iyumsyau6mrm7owpofya,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5wykujjou2i,"Obrigada pelos mais de 20 mil votos que recebi! Fizemos uma campanha movimento, militante, que tomou as ruas e as redes de SP. Ainda não vai ser dessa vez que ocuparemos a Câmara, mas a bancada combativa travará muitas lutas por lá! Nossa missão de eleger Boulos e impedir o bolsonarismo segue viva!",acarolinaiara.bsky.social,Parabéns à @amandapaschoal.bsky.social @luanapsol.bsky.social @bfeministapsol.bsky.social @toninhovespoli.bsky.social @keitlimasp.bsky.social e Celso Gianazzi pela vitória! Sei que esse time vai fazer história e representar bem o PSOL nos próximos anos!,2024-10-07T19:02:19.921Z,0,0,12,2024-10-07T19:02:19.921Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:xyvtj5ssuhqttvux2bg6wsrs/app.bsky.feed.post/3l5smbxjvej2o,bafyreifpsv5yyvxnwshq34b5nhmldm7bv2esakuqt5avg7gqdqtvsyoeby,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5sm3t5ss32p,"Boraaa! Vamos levar orgulho, axé e luta por justiça social e climática para a Câmara de vereadores 🫰",acarolinaiara.bsky.social,"Vamos juntas, Carol!! To no voto e na torcida!! 🫶🏻",2024-10-06T01:09:53.993Z,0,0,1,2024-10-06T01:09:53.993Z,ayrafk.bsky.social,Ayra,did:plc:xyvtj5ssuhqttvux2bg6wsrs
at://did:plc:vbolfbthjr7sqhp5kxpju6tt/app.bsky.feed.post/3l5spjg6ljn23,bafyreid53qdadsup6fxbuoxwx45x6nqyjxpfy7bpvpfaib4zlk7t3vvf6u,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5slzr2eke2t,Axé!!! 🌿,acarolinaiara.bsky.social,querida🌺,2024-10-06T02:07:45.140Z,0,0,0,2024-10-06T02:07:45.140Z,valeriajurado.bsky.social,Valéria Jurado ,did:plc:vbolfbthjr7sqhp5kxpju6tt
at://did:plc:ffpltug4j7tkdfcgrvta5tj3/app.bsky.feed.post/3l5shq2f4pe2v,bafyreicmx57776tsnbhby2niyo66ji7qqotlk3ilbqtas5n5koxbh2jtqe,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5shofrwg42t,Muito especial contar com o seu apoio!  Conto com seu voto para que a gente possa continuar a luta pela manutenção de direitos e combate a extrema direita. ✊🏾,acarolinaiara.bsky.social,Venceremos!,2024-10-05T23:48:17.979Z,0,0,0,2024-10-05T23:48:17.979Z,rafael.calsaverini.me,Rafael S. C.,did:plc:ffpltug4j7tkdfcgrvta5tj3
at://did:plc:vbolfbthjr7sqhp5kxpju6tt/app.bsky.feed.post/3l5sicqayqq2l,bafyreigijmnbal433hszqcgjnqzsqdkiqu566epkymr4ocreokuqsnwatu,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5s7uw2xdx2q,São Paulo quer o melhor: @guilhermeboulos.bsky.social,acarolinaiara.bsky.social,"Carol, amanhã a essa hora vc já estará eleita, saudade, amiga🌺",2024-10-05T23:58:44.395Z,1,0,1,2024-10-05T23:58:44.395Z,valeriajurado.bsky.social,Valéria Jurado ,did:plc:vbolfbthjr7sqhp5kxpju6tt
at://did:plc:y6rwghluc7hchknd7cobbs6c/app.bsky.feed.post/3l5saquu65427,bafyreia3kcxrcpzs3r5n273webu54ikscwfd5zljwpsjz7spqojco5aure,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5s72eui6h2o,"Datafolha de agora
Boulos 29%
Nunes 26%
Marçal 26%

And Marçal intimado por nada menos que Xandão para prestar esclarecimentos em 24h

Axé 🌿🌿🌿",acarolinaiara.bsky.social,Alguém acredita em datafolha?,2024-10-05T21:43:29.430Z,0,0,0,2024-10-05T21:43:29.430Z,votoauditavelja.bsky.social,,did:plc:y6rwghluc7hchknd7cobbs6c
at://did:plc:ny6h2w6rcrliej4lzytpw3jm/app.bsky.feed.post/3l5rpjhf4gc2z,bafyreihh572krc7z3n7unyrmex2ugvtin2sg4j5cwsjqylicey3dgdv5fa,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rpgbv6nd2o,💜💜💜 E ainda vamos avançar muito mais na teoria e na ação transfeminista!,acarolinaiara.bsky.social,"Assim seja, amiga!  💜",2024-10-05T16:35:06.973Z,0,0,1,2024-10-05T16:35:06.973Z,falsamarxista.bsky.social,"L'impératrice débinarisée par ses techniques, même",did:plc:ny6h2w6rcrliej4lzytpw3jm
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rp7kpqg72t,bafyreie6bq2utags3xwbtra57kbkyum3ittjo6markaebsvl2qlzk37tv4,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rp6gr3r62m,"Oie! Peço licença para me auto recomendar haha 💕

Estou no time do Boulos, nº 50000, mulher preta, travesti, intersexo, do axé, periférica da ZL, positHIVa contra o estigma, trabalhadora do SUS, Mestra em Sociais e ativista do movimento social. ⤵️",acarolinaiara.bsky.social,"Meu compromisso com a justiça social e climática marcaram minha experiência na bancada feminista.

Quem sabe vc dá uma olhada e gosta das minhas propostas: bit.ly/PropostasCarol

Agora todo voto conta 🫰 Podemos ser muitas e múltiplas vereadoras progressistas! 🙏5️⃣0️⃣0️⃣0️⃣0️⃣✅️",2024-10-05T16:29:34.279Z,0,0,3,2024-10-05T16:29:34.279Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r
at://did:plc:s5exw2wdc5bn5fznt4uqcaui/app.bsky.feed.post/3l5rqezrcij2p,bafyreig73qa7w5mdu634j4nxoeolxpgdeptaj5ld6lihombcmchln6i5yy,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rp4ylk5x2c,"Muuuito obrigada pela confiança e apoio 🏳️‍⚧️💕 Vamos eleger a primeira vereadora intersexo do Brasil e provar, mais uma vez, que uma LGBTI pode ser portavoz de muitas lutas por justiça social e climática 🫰",acarolinaiara.bsky.social,👏🏾,2024-10-05T16:50:32.850Z,0,0,0,2024-10-05T16:50:32.412Z,moon-lace.bsky.social,Moon Vestida de Carmesim 🜬 🏳️🏴🍉🪘,did:plc:s5exw2wdc5bn5fznt4uqcaui
