uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l5wxhwaffi2l,bafyreihzzl3gbwva4hbaplcwpl4aerklk3ogp2qichgxw7frrbuei36r7m,"Obrigada Goiânia 💟

Meu coração transborda de gratidão pelos 168.145 votos de confiança que recebi nas eleições municipais de Goiânia. Acreditei e sonhei junto com vocês por uma Goiânia mais humana, mais justa, e o que vivemos juntos é a prova de que esse sonho agora pertence a muitos corações.",2024-10-07T18:40:44.042Z,7,10,102,2024-10-07T18:40:44.042Z,adrianaaccorsi.bsky.social,Adriana Accorsi,did:plc:agqlly3ozuluq2dbmy47c2x3
at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3wjgssida2p,bafyreihzo7nkirvup4zlvqsacqfca7mbik3lujgvwtenpms6pfq2mne4iy,"
Olá, amigos!

Estive na Delegacia de Crimes Cibernéticos para registrar uma ocorrência contra as Fake News que estão sendo divulgadas sobre mim.

Reafirmo meu compromisso com uma política limpa e transparente, sempre trabalhando para cuidar da nossa gente! 

🔗 www.instagram.com/reel/C_zLbJO...",2024-09-12T03:39:10.670Z,6,40,139,2024-09-12T03:39:10.670Z,adrianaaccorsi.bsky.social,Adriana Accorsi,did:plc:agqlly3ozuluq2dbmy47c2x3
at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3wjc544kl26,bafyreifcoxoyh7lqdwrg5w44avkryvt4orfcoxkdwfksglcxzjktmbq7bq,"Que lindo meu amigo! E é isso mesmo, vamos cuidar de toda a nossa cidade e das pessoas que vivem  Goiânia 🫶🏼",2024-09-12T03:36:34.305Z,0,0,1,2024-09-12T03:36:34.305Z,adrianaaccorsi.bsky.social,Adriana Accorsi,did:plc:agqlly3ozuluq2dbmy47c2x3
at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3erczdzij2s,bafyreidwvxsrurzdoav7stnd6s5a6wiozg2fzpmtrbxlqhgyb6tofmuyxm,💚,2024-09-05T02:12:18.548Z,20,95,301,2024-09-05T02:12:18.548Z,adrianaaccorsi.bsky.social,Adriana Accorsi,did:plc:agqlly3ozuluq2dbmy47c2x3
at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3ejixxwtk27,bafyreibneyjzmqe6iceuuejlcifpg7avzdrf7ljrkkrmhlz253wrrfr44m,"Oi pessoal, quero compartilhar com vocês o resultado da pesquisa de intenção de votos realizada pelo Instituto Quaest. É importante lembrar que as pesquisas refletem o momento atual, por isso, o trabalho não para. 💪🏻 💟

#AdrianaPrefeita #Goiânia #Compromisso",2024-09-04T23:52:28.499Z,15,95,308,2024-09-04T23:52:28.499Z,adrianaaccorsi.bsky.social,Adriana Accorsi,did:plc:agqlly3ozuluq2dbmy47c2x3
at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3eitqbl3l2h,bafyreihmjmx54skrjk3djr6phi3lnkaz24wo4w2tkkl6kbmzr25iwbftaa,😍,2024-09-04T23:40:35.776Z,0,1,3,2024-09-04T23:40:35.776Z,adrianaaccorsi.bsky.social,Adriana Accorsi,did:plc:agqlly3ozuluq2dbmy47c2x3
at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3ei22v6wg2r,bafyreif4p35nat7rmmrcg2eb2ipwblpwgxicqt6d76skzwrvxaamzqclgi,Oi meus amigos e minhas amigas! Como andam por essa rede nova? Cheguei por aqui 💟 Quem aqui está no time que vai cuidar de Goiânia?,2024-09-04T23:26:14.003Z,31,35,175,2024-09-04T23:26:14.003Z,adrianaaccorsi.bsky.social,Adriana Accorsi,did:plc:agqlly3ozuluq2dbmy47c2x3
at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3dgzh6mmb27,bafyreig2g7ojibtlerfuydge2z3s36csukwjhninhmyw2somwbfrvgtp3i,"Vamos transformar a saúde de Goiânia com propostas que realmente fazem a diferença 🩺 

Quero cuidar de Goiânia, cuidar da nossa gente! 🫱🏼‍🫲🏾💜

#SaúdeDeVerdade #AdrianaPrefeita #CuidandoDeGoiânia",2024-09-04T13:35:20.364Z,5,27,80,2024-09-04T13:35:20.364Z,adrianaaccorsi.bsky.social,Adriana Accorsi,did:plc:agqlly3ozuluq2dbmy47c2x3
at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l2zwuuhlfh2u,bafyreigoabsdwq2m2yw6lrkdrrjyv4kxz2g5qgnssu2qpkcuyqh4jzvj3e,"Foi meu pai, Darci Accorsi, quem me inspirou a entrar na política, mostrando que podemos transformar vidas.

Agora, decidi dar um passo além. Quero cuidar de Goiânia, cuidar de nossa gente. Mas para isso, preciso de você ao meu lado. Por isso, peço a sua confiança e o seu voto. 💜🫱🏼‍🫲🏾",2024-08-31T18:52:28.374Z,20,55,203,2024-08-31T18:52:28.374Z,adrianaaccorsi.bsky.social,Adriana Accorsi,did:plc:agqlly3ozuluq2dbmy47c2x3
at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3kvbqqklxxk2t,bafyreiel7qh2bu5mwunocs76z3zhzatrmfgh5j3bk6lx76wjp3p6tibkwm,"Tive uma conversa maravilhosa com meus amigos do PCdoB de Goiás Fabio Tokarski, Professor Railton e Honório Rocha e com a Ministra de Estado da Ciência, Tecnologia e Inovações Luciana Santos, presidenta nacional do PCdoB. Foi um encontro super produtivo e agradável!",2024-06-19T12:52:50.168Z,5,12,60,2024-06-19T12:52:50.168Z,adrianaaccorsi.bsky.social,Adriana Accorsi,did:plc:agqlly3ozuluq2dbmy47c2x3
