reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:whlo2tap7udbs7pgzf6oauom/app.bsky.feed.post/3l47nocwxov2t,bafyreiakpg3ccgc4mkeczcdjxgoqtm7mv5kw57uonqp2vwxlezw2tkqnay,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3wjgssida2p,"
Olá, amigos!

Estive na Delegacia de Crimes Cibernéticos para registrar uma ocorrência contra as Fake News que estão sendo divulgadas sobre mim.

Reafirmo meu compromisso com uma política limpa e transparente, sempre trabalhando para cuidar da nossa gente! 

🔗 www.instagram.com/reel/C_zLbJO...",#LulaJuntosNoBluesky,2024-09-15T18:48:54.293Z,0,0,1,2024-09-15T18:48:54.293Z,marlenebr.bsky.social,"@marlenebr.bsky.social, esquerdista, votei  Lula, Haddad , Dilma",did:plc:whlo2tap7udbs7pgzf6oauom
at://did:plc:ogmcmsb2hdgnw7psrlezhlja/app.bsky.feed.post/3l3ye2dr3jp2a,bafyreifoavst44juncqpg7yizueevtixtf4r6hqjwr6lkhw4r7j7pbjoaa,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3wjgssida2p,"
Olá, amigos!

Estive na Delegacia de Crimes Cibernéticos para registrar uma ocorrência contra as Fake News que estão sendo divulgadas sobre mim.

Reafirmo meu compromisso com uma política limpa e transparente, sempre trabalhando para cuidar da nossa gente! 

🔗 www.instagram.com/reel/C_zLbJO...",Te achei🌹,2024-09-12T21:08:03.692Z,0,0,1,2024-09-12T21:08:03.692Z,berrondoe.bsky.social,@BerrondoE,did:plc:ogmcmsb2hdgnw7psrlezhlja
at://did:plc:kxmmdokv3ws4hqjavgcrr6om/app.bsky.feed.post/3l3yora2vxf22,bafyreihl7a7qjbqti3uxw2nrhl7ejrk3batb76sjlq5rygoozy72novsda,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3wjgssida2p,"
Olá, amigos!

Estive na Delegacia de Crimes Cibernéticos para registrar uma ocorrência contra as Fake News que estão sendo divulgadas sobre mim.

Reafirmo meu compromisso com uma política limpa e transparente, sempre trabalhando para cuidar da nossa gente! 

🔗 www.instagram.com/reel/C_zLbJO...","Força candidata💪🏻
Estamos contigo ❤️",2024-09-13T00:19:46.766Z,0,0,0,2024-09-13T00:19:46.766Z,evarubio.bsky.social,Eva 🚩 No X perfil Palestina livre,did:plc:kxmmdokv3ws4hqjavgcrr6om
at://did:plc:iexdj2jcjoxwxnw63j225qkg/app.bsky.feed.post/3l3xesoerxm2y,bafyreic4birlck42t5do2buvlwjf5druzbfrm4mythcwjyruqegczi7j7a,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3wjgssida2p,"
Olá, amigos!

Estive na Delegacia de Crimes Cibernéticos para registrar uma ocorrência contra as Fake News que estão sendo divulgadas sobre mim.

Reafirmo meu compromisso com uma política limpa e transparente, sempre trabalhando para cuidar da nossa gente! 

🔗 www.instagram.com/reel/C_zLbJO...",🦾🦾🦾,2024-09-12T11:49:00.343Z,0,0,1,2024-09-12T11:49:00.343Z,gatinhas57.bsky.social,Gerlane,did:plc:iexdj2jcjoxwxnw63j225qkg
at://did:plc:b7bn7xjlsdijnp2lhqbken3m/app.bsky.feed.post/3l46xhc7mrq2e,bafyreifgo65oesrxdjlaf6rhgfxwmpuxudpge2ny5ecjkol3e62keabqgq,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3wjgssida2p,"
Olá, amigos!

Estive na Delegacia de Crimes Cibernéticos para registrar uma ocorrência contra as Fake News que estão sendo divulgadas sobre mim.

Reafirmo meu compromisso com uma política limpa e transparente, sempre trabalhando para cuidar da nossa gente! 

🔗 www.instagram.com/reel/C_zLbJO...",Olá bom dia!,2024-09-15T12:11:16.672Z,0,0,0,2024-09-15T12:11:16.672Z,robsonbelli.bsky.social,Robson Belli,did:plc:b7bn7xjlsdijnp2lhqbken3m
at://did:plc:7abww7hj5wgwszjmlso5f3o3/app.bsky.feed.post/3l3xgakmn5f23,bafyreiann62zfmoyrmonauv5miyaybjin6qssqoxynm42xmpztb3hqjihe,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3wjgssida2p,"
Olá, amigos!

Estive na Delegacia de Crimes Cibernéticos para registrar uma ocorrência contra as Fake News que estão sendo divulgadas sobre mim.

Reafirmo meu compromisso com uma política limpa e transparente, sempre trabalhando para cuidar da nossa gente! 

🔗 www.instagram.com/reel/C_zLbJO...",bom dia! força!,2024-09-12T12:09:57.017Z,0,0,1,2024-09-12T12:09:57.017Z,silvarumin.bsky.social,Gisele Silva Rumin ,did:plc:7abww7hj5wgwszjmlso5f3o3
at://did:plc:zuarqbgavoxqthotwewxopf7/app.bsky.feed.post/3l3pvzzywpv2o,bafyreibx4k33xg3xpeo24anezb5qq2naqret2wg6locaczlwstdsz6365u,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3erczdzij2s,💚,"Deputada Adriana, desejo uma grande vitória!",2024-09-09T12:36:04.692Z,0,0,1,2024-09-09T12:36:03.428Z,mariluparreiras.bsky.social,LulaRousseff,did:plc:zuarqbgavoxqthotwewxopf7
at://did:plc:yx4vti65wdyxifbqplvcv3mx/app.bsky.feed.post/3l46zttgfzb24,bafyreibuokbp5tfrgc5e6ezwwwwxwbqx6kzd722wzrp4f64ia27fdshuk4,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3erczdzij2s,💚,ADRIANA PREFEITA DE GOIÂNIA,2024-09-15T12:54:05.851Z,0,0,0,2024-09-15T12:54:05.851Z,onderwyser.bsky.social,Eduardo 🚩,did:plc:yx4vti65wdyxifbqplvcv3mx
at://did:plc:whlo2tap7udbs7pgzf6oauom/app.bsky.feed.post/3l47npwgym227,bafyreiey2yvq3fnzufv5me7dvs5ouhdxikrndlwhwgz43bci62wwcya7ei,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3erczdzij2s,💚,#LulaJuntosNoBluesky,2024-09-15T18:49:48.284Z,0,0,0,2024-09-15T18:49:48.284Z,marlenebr.bsky.social,"@marlenebr.bsky.social, esquerdista, votei  Lula, Haddad , Dilma",did:plc:whlo2tap7udbs7pgzf6oauom
at://did:plc:whlo2tap7udbs7pgzf6oauom/app.bsky.feed.post/3l3vi5j65j42h,bafyreiaql2rsxvqdudajru6paszroqorpepftje7ck35f75oqwszm3w7le,at://did:plc:agqlly3ozuluq2dbmy47c2x3/app.bsky.feed.post/3l3erczdzij2s,💚,#LulaDemocraciaViva,2024-09-11T17:43:25.028Z,0,0,1,2024-09-11T17:43:25.028Z,marlenebr.bsky.social,"@marlenebr.bsky.social, esquerdista, votei  Lula, Haddad , Dilma",did:plc:whlo2tap7udbs7pgzf6oauom
