uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,bafyreie7awpz25mfsqvqddol6kgeyof5rfmujidtluyonnvnvbxh3tbibi,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",2024-10-07T19:21:15.863Z,15,81,1288,2024-10-07T19:21:15.863Z,amandapaschoal.bsky.social,𝗔𝗠𝗔𝗡𝗗𝗔 𝗣𝗔𝗦𝗖𝗛𝗢𝗔𝗟 🏳️‍⚧️ 𝟱𝟬𝟳𝟬𝟬,did:plc:oaqqiq6ij4ndzvmhv3ozlsen
at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5uv7jvsnh2f,bafyreig6vvugjo7qfjfffwj4wdlqzvjjtkxnbxjgsh6n2dgntypp7lyduy,"JÁ DÁ PRA DIZER: TRAVESTI VEREADORA ELEITA!

🏳️‍⚧️ A Câmara Municipal de São Paulo volta a ter nossa representação, nosso brilho e nossa luta por uma Cidade mais justa para TODAS as pessoas 💖

E passa a ter a continuidade do trabalho da @ErikaHilton.bsky.social, a quem agradeço imensamente por TUDO 💗",2024-10-06T22:54:55.756Z,221,1780,9535,2024-10-06T22:54:55.756Z,amandapaschoal.bsky.social,𝗔𝗠𝗔𝗡𝗗𝗔 𝗣𝗔𝗦𝗖𝗛𝗢𝗔𝗟 🏳️‍⚧️ 𝟱𝟬𝟳𝟬𝟬,did:plc:oaqqiq6ij4ndzvmhv3ozlsen
at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5ufxb6u742j,bafyreie2hafepjjxpjjwx5kp4hpkgpsfzkyv5yf52jznm7fzs76k6njhmy,"Acabei de votar, com a minha amiga @ErikaHilton.bsky.social, pela TRANSformação em São Paulo ☀️🏳️‍⚧️

E você, já votou?",2024-10-06T18:21:52.027Z,98,294,7115,2024-10-06T18:21:52.027Z,amandapaschoal.bsky.social,𝗔𝗠𝗔𝗡𝗗𝗔 𝗣𝗔𝗦𝗖𝗛𝗢𝗔𝗟 🏳️‍⚧️ 𝟱𝟬𝟳𝟬𝟬,did:plc:oaqqiq6ij4ndzvmhv3ozlsen
at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5shjj2pb22h,bafyreibggrqwvv4jnvf3txy4oklq2toxh2v2tasqtktni2r64ysz7vrguu,Obrigada pela confiança querida 💖💖💖 E que nome lindo!!!,2024-10-05T23:44:38.573Z,0,0,0,2024-10-05T23:44:38.573Z,amandapaschoal.bsky.social,𝗔𝗠𝗔𝗡𝗗𝗔 𝗣𝗔𝗦𝗖𝗛𝗢𝗔𝗟 🏳️‍⚧️ 𝟱𝟬𝟳𝟬𝟬,did:plc:oaqqiq6ij4ndzvmhv3ozlsen
at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5shikpb752a,bafyreidey4sh3bllctffaetelmqpohgtq5lx3pnsl5nt2mtnzcso4c6xoi,Os meus são iguais também!!! 💖,2024-10-05T23:44:06.726Z,1,0,1,2024-10-05T23:44:06.726Z,amandapaschoal.bsky.social,𝗔𝗠𝗔𝗡𝗗𝗔 𝗣𝗔𝗦𝗖𝗛𝗢𝗔𝗟 🏳️‍⚧️ 𝟱𝟬𝟳𝟬𝟬,did:plc:oaqqiq6ij4ndzvmhv3ozlsen
at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5shi3bnnx2p,bafyreiabo4ymo6gy6x5l7bacrkpqr4gtqg2ij43tqeshhr53btlzsfoxwq,"Obrigada, Tom 🥰🥰🥰",2024-10-05T23:43:50.564Z,0,0,1,2024-10-05T23:43:50.564Z,amandapaschoal.bsky.social,𝗔𝗠𝗔𝗡𝗗𝗔 𝗣𝗔𝗦𝗖𝗛𝗢𝗔𝗟 🏳️‍⚧️ 𝟱𝟬𝟳𝟬𝟬,did:plc:oaqqiq6ij4ndzvmhv3ozlsen
at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5shhkeejk2p,bafyreie7zs7yzjjnaqokx3fqt4lpgxvieta3sr2k2l7xfrz6ad4db3ysxe,"Pela comunidade LGBTQIA+ inteira, pelas mulheres, pelas populações marginalizadas, pelo direito à cidade e por igualdade nessa Cidade.

Tem propostas minhas no meu site amandapaschoal.com.br, aqui no meu perfil, e também no meu insta @paschoal.amanda.

E bora votar Boulos amanhã 🗳️💖",2024-10-05T23:43:32.831Z,0,0,10,2024-10-05T23:43:32.831Z,amandapaschoal.bsky.social,𝗔𝗠𝗔𝗡𝗗𝗔 𝗣𝗔𝗦𝗖𝗛𝗢𝗔𝗟 🏳️‍⚧️ 𝟱𝟬𝟳𝟬𝟬,did:plc:oaqqiq6ij4ndzvmhv3ozlsen
at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5shghnrma23,bafyreieknn4ofdj6b2rd74i3obzcyy6ayuzkwoe5ffg76lujd5ikfr6uku,"Muitíssimo obrigada pelo apoio, Paulo 💖

E pra quem ainda não me conhece, eu sou a Amanda, sou candidata à Vereadora em São Paulo com o número 5️⃣0️⃣7️⃣0️⃣0️⃣✨, e apoiada pela Erika Hilton, de quem eu fui assessora desde que ela foi Vereadora.

E quero lutar por justiça social e ambiental em São Paulo +👇🏽",2024-10-05T23:42:56.397Z,1,2,43,2024-10-05T23:42:56.397Z,amandapaschoal.bsky.social,𝗔𝗠𝗔𝗡𝗗𝗔 𝗣𝗔𝗦𝗖𝗛𝗢𝗔𝗟 🏳️‍⚧️ 𝟱𝟬𝟳𝟬𝟬,did:plc:oaqqiq6ij4ndzvmhv3ozlsen
at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5sadc33f22f,bafyreidajmrgndplslgg7v2wzxhjx7abo3gjsv4xelz7rfir5sl2tvg7my,"Pois ainda corremos o risco de termos as duas faces do bolsonarismo no 2° turno dessas eleições.

Então bora convencer sua mãe, sua vó e seu vizinho a IR VOTAR e VOTAR 5️⃣0️⃣✅

E, caso você ainda não tenha candidata à Vereadora, convido-a pra me conhecer, eu sou Amanda Paschoal e meu número é 5️⃣0️⃣7️⃣0️⃣0️⃣💖",2024-10-05T21:35:54.237Z,4,7,65,2024-10-05T21:35:53.915Z,amandapaschoal.bsky.social,𝗔𝗠𝗔𝗡𝗗𝗔 𝗣𝗔𝗦𝗖𝗛𝗢𝗔𝗟 🏳️‍⚧️ 𝟱𝟬𝟳𝟬𝟬,did:plc:oaqqiq6ij4ndzvmhv3ozlsen
at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5saa2nrcp2l,bafyreiaqv4h4uchhcox4nnphy3qojtl5bymsyw6cdeipvw7n3u53z2o3ga,"AS MENTIRAS NÃO VÃO NOS PARAR

Após um ataque brutal e criminoso contra Boulos, o Datafolha de hoje mostra que ele não apenas continua sendo a preferência do Paulistano, como o Boulos CRESCEU!

E nesse clima de superação e força que precisamos IR VOTAR amanhã, porque o cenário continua perigoso +👇🏽",2024-10-05T21:34:05.785Z,22,132,1820,2024-10-05T21:34:05.785Z,amandapaschoal.bsky.social,𝗔𝗠𝗔𝗡𝗗𝗔 𝗣𝗔𝗦𝗖𝗛𝗢𝗔𝗟 🏳️‍⚧️ 𝟱𝟬𝟳𝟬𝟬,did:plc:oaqqiq6ij4ndzvmhv3ozlsen
