reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:ui6n6ovnx537f2wwybncyaz7/app.bsky.feed.post/3l5x2tvytih23,bafyreidrgr3uaajrl3vtwunnhfmcs6zrvre44zvmkfejmeutyz64vhdzqa,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",amandapaschoal.bsky.social,Vai ter que trabalhar muito .,2024-10-07T19:41:07.671Z,0,0,0,2024-10-07T19:41:07.671Z,nascimentopai.bsky.social,Onj4cktowmb4ck,did:plc:ui6n6ovnx537f2wwybncyaz7
at://did:plc:qht53u4kjr2tdb6wczor6ppv/app.bsky.feed.post/3l5xa6j6t7t2u,bafyreiheo6xwr42oxcoloiod6y4roj6xrbukpielumv5cxlr3pdudm4t7u,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",amandapaschoal.bsky.social,"Amanda, muito feliz por ter feito parte nessa sua eleição. Torcendo para que você tenha um futuro brilhante 🥳🥳",2024-10-07T21:16:31.371Z,0,0,0,2024-10-07T21:16:31.371Z,lucasnevao.bsky.social,Nevão,did:plc:qht53u4kjr2tdb6wczor6ppv
at://did:plc:okfmpd6dh3uyowgntmejl7m4/app.bsky.feed.post/3l5x3sqgmjd2l,bafyreidqpmx3mopxeu34jljp3tzlfi2afcdncrbo64mgnfbkz4ifipygdi,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",amandapaschoal.bsky.social,"espero que já tenham pensado mil formas diferentes de chamar o Cunes de miliciano, corrupto e prefeito fantasma. Chega de papinho de ""Boulos do bem"", isso não vai fazer ninguém ganhar eleição.",2024-10-07T19:58:21.539Z,0,0,0,2024-10-07T19:58:21.539Z,daalelucas.bsky.social,Lucas,did:plc:okfmpd6dh3uyowgntmejl7m4
at://did:plc:m3hsi2mym3mwp7obwhznrnjc/app.bsky.feed.post/3l5xtjy26h62o,bafyreid22nfmazn3dydgqsbsq7ckf5zegjjqiqa7euscofelsfyz4hyzua,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",amandapaschoal.bsky.social,"Vamos tentando 🥹 consegui virar um voto depois de muita insistência mesmo a querida sendo professora, o receio das pessoas ainda é muito grande",2024-10-08T03:02:57.894Z,0,0,0,2024-10-08T03:02:57.894Z,minimyorim.bsky.social,Azul,did:plc:m3hsi2mym3mwp7obwhznrnjc
at://did:plc:m3b7mqccc4snle72zvhc5lj6/app.bsky.feed.post/3l5xczh6dno2b,bafyreigeqqokfcd2aercsean4h6m6xigaftdsb5zkkukjofruueux7vnge,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",amandapaschoal.bsky.social,Faz uma conta de matemática básica e voces ja vai saber o resultado. 🤣🤣🤣,2024-10-07T22:07:22.828Z,1,0,0,2024-10-07T22:07:22.828Z,robertoleonildo.bsky.social,,did:plc:m3b7mqccc4snle72zvhc5lj6
at://did:plc:lcsyzb645jfjirtyet4c4rzn/app.bsky.feed.post/3l5x6xaxhms2v,bafyreidbearn2sxekdgdqsnbebqcxxrvq5ktxk42hlsmodp64bkuaz5bpm,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",amandapaschoal.bsky.social,"o adversário é contra obrigatoriedade da vacina, tem que destacar isso",2024-10-07T20:54:34.803Z,0,0,0,2024-10-07T20:54:34.803Z,fredlunardi.bsky.social,,did:plc:lcsyzb645jfjirtyet4c4rzn
at://did:plc:izyljup56wmyuui4vhltxdpx/app.bsky.feed.post/3l5x2ul64rt2c,bafyreiattbhysqtodvlufp5qr3balszhhsbraozlunkkbgb6hvlt4544rq,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",amandapaschoal.bsky.social,Essa imagem contém cheiro 🤮,2024-10-07T19:41:28.702Z,0,0,1,2024-10-07T19:41:28.702Z,misaelalmeida.bsky.social,,did:plc:izyljup56wmyuui4vhltxdpx
at://did:plc:esozcy5jygb6xnk5drhu3ghg/app.bsky.feed.post/3l5x4bbi53h2k,bafyreigbqwewxmso6w5vitox4wduw3g35ygazp4ntszzxzlryjpmozv4km,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",amandapaschoal.bsky.social,Força,2024-10-07T20:06:29.130Z,0,0,0,2024-10-07T20:06:29.130Z,gogo-nana.bsky.social,Gogo Nana,did:plc:esozcy5jygb6xnk5drhu3ghg
at://did:plc:e2i4sppog5yx6m6zqmmy3zfb/app.bsky.feed.post/3l5x27alfz42q,bafyreiaglnjjkd4pzgnpnrvgkspwjphg5b4xjiz5i7lsnjafhckvq7br74,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",amandapaschoal.bsky.social,Atualize sua bio aqui e a parabéns 👏🏽👏🏽👏🏽👏🏽👏🏽,2024-10-07T19:29:33.375Z,0,0,0,2024-10-07T19:29:33.375Z,becabonne7.bsky.social, Avisadora Perguntadora Respondedora Pleonástica,did:plc:e2i4sppog5yx6m6zqmmy3zfb
at://did:plc:cbh3ppvpeg5mp7spoodxfcef/app.bsky.feed.post/3l5x6pl63zu25,bafyreicl2grn27isnmetnwpokv3oncrbc3jqzyokg2vv3kgu2bsrsv7w6i,at://did:plc:oaqqiq6ij4ndzvmhv3ozlsen/app.bsky.feed.post/3l5wzqfeukp2w,"✊🏽Estamos agora na coletiva de imprensa do nosso futuro Prefeito @GuilhermeBoulos.bsky.social sobre o segundo turno!

👉🏽 Temos 20 dias de trabalho pela frente, para derrotar o abandono e o descaso, e resgatar nossa São Paulo!",amandapaschoal.bsky.social,Amanda PF me ajuda!! Sou um homem gay pobre precisando de ajuda!! PF,2024-10-07T20:50:16.765Z,0,0,0,2024-10-07T20:50:16.765Z,rickairo.bsky.social,Rick 🚩,did:plc:cbh3ppvpeg5mp7spoodxfcef
