uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5ytrlzqj422,bafyreihzuzlxlegj7rswdl7qwzphqm6yctsxn7uulvqu7rgqxdkgkiai5m,"No primeiro turno das eleições fizemos o debate da cidade, apresentamos o melhor projeto para BH com coragem e coração✌️❤️Agora é hora de enfrentar o mal e tirar Engler da jogada com Fuad 55",2024-10-08T12:39:53.228Z,0,1,11,2024-10-08T12:39:53.228Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5v6h47n3a2g,bafyreicdkzk5o34zau5yy3ewd7i743jm7ltwe6vm2eqb3ld6p25iufs35q,"Elegemos 9 vereadores da coligação. 3 do PSOL, 4 do PT, 1 do PCdoB é um 1 do PV. É a nossa Bancada da Esperança! Essa é diferença de construir um projeto coletivo e não personalista.",2024-10-07T01:40:12.863Z,0,5,33,2024-10-07T01:40:12.863Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5sscn4jlf23,bafyreibxdy25jk5nwsk7cgom3vnmvvqhyq6dmtk4qqsdrcxes5d7bp7uwy,"Olá amizades! 

Amanhã é eleições e eu queria pedir seu voto na minha candidata. Jozeli Rosa 50180 será a melhor vereadora de BH.",2024-10-06T02:57:39.079Z,0,0,9,2024-10-06T02:57:39.079Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5px5lzj3p2b,bafyreibnxqbcutcz2p54ab3dsyzhe5xlfwtjn3w4escywwwp43xr7knr6e,"Quando decidir aceitar o chamado do meu partido para disputar as eleições de BH eu estava em um momento muito difícil, de grave violência política, em que tive que alterar toda a minha vida para garantir a minha segurança. Mas o medo não me paralisou. E não vai paralisar agora. Próximo domingo é 13!",2024-10-04T23:46:19.035Z,1,5,18,2024-10-04T23:46:19.035Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5nmoaf62s2i,bafyreidzxf7pxd2ybekbemat34ly6k22wbvgppt3gidgqyqrsu4u2gc6km,E detalhe não menos importante: Fuad chamou o Golpe militar de revolução.,2024-10-04T01:33:27.240Z,0,1,11,2024-10-04T01:33:27.240Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5nmj3lnvb2d,bafyreia4icsdltrvbo2ajpdeqiujsv4vsn2lsj4c3gmmlzxsv5pvbb3fsq,"Eu estou estarrecida: primeiro ao saber que Fuad participou anos do 12 batalhão do exército durante a ditadura, o batalhão da morte e da tortura. Mais assustada ainda ao colocar em dúvida que a tortura e a morte tenham acontecido durante a ditadura. É democracia ou barbarie. #VotoInutilnoFuadNãoDá",2024-10-04T01:30:33.713Z,1,5,23,2024-10-04T01:30:33.713Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5nlma452z23,bafyreiaay46hchlltueysjgbity3kbbvtxusjswob766wdyiq7qx7nnije,"Já perdemos Marielle. Somos ameaçadas diariamente. Violência política é uma realidade cruel. E hoje vimos um ataque a vida de uma companheira. Estamos com você, Tainá, e não parararemos até que eles parem.",2024-10-04T01:14:24.703Z,0,2,10,2024-10-04T01:14:24.703Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5fj6r2doy2i,bafyreiftns4pmj5k2uqi3s6nlctfs4iy4ljddhtizwxpuiutmyfbwba5q4,"A pesquisa que mais acerta no Brasil e no mundo é a Atlas Intel. Ela mostra o que eu apostava há meses atras: Bruno Engler na liderança  e todos os demais candidatos em empate técnico pela 2nda posição. Essa semana de debates e campanha será definidora. 

www.cartacapital.com.br/politica/pes...",2024-09-30T20:09:48.697Z,5,2,9,2024-09-30T20:09:48.697Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l4ydqh2ots24,bafyreieinkgptl45xbap6j6qs3sivihg7a5mt4v4ocfewrkidnforj3dsm,Recebi com espanto e indignação áudios preconceituosos e violentos de uma servidora que está a frente do Centro Pop Rua de Uberlândia. Como coordenadora da Frente Parlamentar em Defesa da Poprua e vice presidenta da Comissão de DH tomarei providências para que o caso seja apurado e resolvido.,2024-09-25T14:27:42.524Z,0,1,9,2024-09-25T14:27:42.524Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l4hisfotw72e,bafyreiasiditnjgiyhrtc4nb5u4ree2nc73awkc2dm7hspaxpc53iqc77a,Não entendi. Quais falas?,2024-09-18T21:43:01.977Z,1,0,0,2024-09-18T21:43:01.977Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
