reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:hhdxqsozsjoqhr4powap2f27/app.bsky.feed.post/3l5pzs6c7w42l,bafyreifv632uhqrasexb7wiwnajhqlkm3h5xk6byt66j45khvoox6xuede,at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5px5lzj3p2b,"Quando decidir aceitar o chamado do meu partido para disputar as eleições de BH eu estava em um momento muito difícil, de grave violência política, em que tive que alterar toda a minha vida para garantir a minha segurança. Mas o medo não me paralisou. E não vai paralisar agora. Próximo domingo é 13!",bellagoncalves.com.br,"Um elogio parecendo um xingamento. Mas é um elogio à moda anos 80... Sem querer ser grosseiro mas...

@bellagoncalves.com.br você é fod*",2024-10-05T00:33:36.562Z,0,0,1,2024-10-05T00:33:36.562Z,adelinocpp.bsky.social,Adelino Silva ,did:plc:hhdxqsozsjoqhr4powap2f27
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5nmoaf62s2i,bafyreidzxf7pxd2ybekbemat34ly6k22wbvgppt3gidgqyqrsu4u2gc6km,at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5nmj3lnvb2d,"Eu estou estarrecida: primeiro ao saber que Fuad participou anos do 12 batalhão do exército durante a ditadura, o batalhão da morte e da tortura. Mais assustada ainda ao colocar em dúvida que a tortura e a morte tenham acontecido durante a ditadura. É democracia ou barbarie. #VotoInutilnoFuadNãoDá",bellagoncalves.com.br,E detalhe não menos importante: Fuad chamou o Golpe militar de revolução.,2024-10-04T01:33:27.240Z,0,1,11,2024-10-04T01:33:27.240Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
at://did:plc:tjmkty6yrfc4qrephwakooip/app.bsky.feed.post/3l5fysepj422p,bafyreifyk3itd3covorj3ekrkh4avgnbxyshkpcayrsaxyjvzdaaav35ay,at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5fj6r2doy2i,"A pesquisa que mais acerta no Brasil e no mundo é a Atlas Intel. Ela mostra o que eu apostava há meses atras: Bruno Engler na liderança  e todos os demais candidatos em empate técnico pela 2nda posição. Essa semana de debates e campanha será definidora. 

www.cartacapital.com.br/politica/pes...",bellagoncalves.com.br,Duda Salabert PREFEITA DE BH,2024-10-01T00:49:13.020Z,0,0,1,2024-10-01T00:49:13.020Z,angelinablue.bsky.social,Angelina🚩,did:plc:tjmkty6yrfc4qrephwakooip
at://did:plc:tjmkty6yrfc4qrephwakooip/app.bsky.feed.post/3l5fyqe3hsr2y,bafyreifopiy2jrha42c6kt65et4gsfa6ingg5vyox4s7bcndo5znifp4sm,at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5fj6r2doy2i,"A pesquisa que mais acerta no Brasil e no mundo é a Atlas Intel. Ela mostra o que eu apostava há meses atras: Bruno Engler na liderança  e todos os demais candidatos em empate técnico pela 2nda posição. Essa semana de debates e campanha será definidora. 

www.cartacapital.com.br/politica/pes...",bellagoncalves.com.br,Que desgraça,2024-10-01T00:48:05.251Z,0,0,0,2024-10-01T00:48:05.251Z,angelinablue.bsky.social,Angelina🚩,did:plc:tjmkty6yrfc4qrephwakooip
at://did:plc:oka4zpuuecoubmgsdyeqe5jf/app.bsky.feed.post/3l5hzydxcb52l,bafyreidcy4caaq2zrp7chy44sfcbygnnfalxyiep4shxi6giae6swbkeza,at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5fj6r2doy2i,"A pesquisa que mais acerta no Brasil e no mundo é a Atlas Intel. Ela mostra o que eu apostava há meses atras: Bruno Engler na liderança  e todos os demais candidatos em empate técnico pela 2nda posição. Essa semana de debates e campanha será definidora. 

www.cartacapital.com.br/politica/pes...",bellagoncalves.com.br,"Amiga, vem cá: você sabe como funciona e qual é o objetivo de uma pesquisa de intenção de voto?",2024-10-01T20:15:45.831Z,0,0,0,2024-10-01T20:15:45.831Z,estefano-souza.bsky.social,Estéfano Souza 🪑,did:plc:oka4zpuuecoubmgsdyeqe5jf
at://did:plc:hyjdbzmulm65drmef45545yp/app.bsky.feed.post/3l5fjfp2qxy2x,bafyreihxjukdid3gfth5w5fimv65t6suaj3nfjrnpwfeqsgh55h3huy6wy,at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5fj6r2doy2i,"A pesquisa que mais acerta no Brasil e no mundo é a Atlas Intel. Ela mostra o que eu apostava há meses atras: Bruno Engler na liderança  e todos os demais candidatos em empate técnico pela 2nda posição. Essa semana de debates e campanha será definidora. 

www.cartacapital.com.br/politica/pes...",bellagoncalves.com.br,que horror,2024-09-30T20:13:41.397Z,0,0,0,2024-09-30T20:13:41.397Z,pesejes.bsky.social,Pê,did:plc:hyjdbzmulm65drmef45545yp
at://did:plc:dlx7k64jth2o6cyi2qhhr6ta/app.bsky.feed.post/3l5fzgdfxnh2z,bafyreibfe74s6eqtmwvja2d5bm5pdbuf3kowqwzglvjui5gykxa2os2owe,at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l5fj6r2doy2i,"A pesquisa que mais acerta no Brasil e no mundo é a Atlas Intel. Ela mostra o que eu apostava há meses atras: Bruno Engler na liderança  e todos os demais candidatos em empate técnico pela 2nda posição. Essa semana de debates e campanha será definidora. 

www.cartacapital.com.br/politica/pes...",bellagoncalves.com.br,"Surpreendente 🤔
O Tramonte caiu bem. 
Bora botar fé que podemos chegar lá. 
Vote @rogeriocorreia.bsky.social e @bellagoncalves.com.br",2024-10-01T01:00:26.651Z,0,0,0,2024-10-01T01:00:22.917Z,marciaco7.bsky.social,🚩Márcia🚩E as vacinas? 😷 💉,did:plc:dlx7k64jth2o6cyi2qhhr6ta
at://did:plc:g4wobcolvdjsgdkkw7gupghj/app.bsky.feed.post/3l4hjeeyd6u2h,bafyreieq6udvfqarqmz57lb2uz2ya5vdihapu6q6q5vbokcdsajkihztyq,at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l4hisfotw72e,Não entendi. Quais falas?,bellagoncalves.com.br,"Da propaganda eleitoral criticando a tal ""super emei"" q, na realidade, é o CEI.",2024-09-18T21:53:05.189Z,0,0,0,2024-09-18T21:53:05.189Z,sabrinaaleatoria.bsky.social,Moça Aleatória,did:plc:g4wobcolvdjsgdkkw7gupghj
at://did:plc:g4wobcolvdjsgdkkw7gupghj/app.bsky.feed.post/3l4hgrqcgwc2f,bafyreidl3kts64wlcaoxq76qdeuojljyfrf7w3v7revk3axjtx65tco5w4,at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l4hgljijpx22,"Ei esquerda, bora conversar? 

Com 53% de indecisos, MAIS DA METADE  da população não decidiu em quem votar para prefeito. 

Não existe nenhuma certeza, mas sim tendências de crescimento de votos, que se expressam na pesquisa espontânea.

Eu e Rogério, a dupla que mais cresceu nas pesquisas + 2%",bellagoncalves.com.br,Revejam suas falas sobre o CEI-Imaculada. As famílias de BH precisam sim de mais vagas de educação integral em tempo integral. O projeto deve ser incentivado e aprimorado.,2024-09-18T21:06:52.131Z,1,0,0,2024-09-18T21:06:52.131Z,sabrinaaleatoria.bsky.social,Moça Aleatória,did:plc:g4wobcolvdjsgdkkw7gupghj
at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l4hgq52vo62f,bafyreifgfd5mg3hgaloj5w3axrgrzwbzzhzibthk7i33owivb3kna7zyrq,at://did:plc:7r7cvd43bkxya44vj25mzcno/app.bsky.feed.post/3l4hgljijpx22,"Ei esquerda, bora conversar? 

Com 53% de indecisos, MAIS DA METADE  da população não decidiu em quem votar para prefeito. 

Não existe nenhuma certeza, mas sim tendências de crescimento de votos, que se expressam na pesquisa espontânea.

Eu e Rogério, a dupla que mais cresceu nas pesquisas + 2%",bellagoncalves.com.br,"Quem mais cresceu? 
Rogério (+2) 
Bruno Engler (+ 1)
Mauro Tramonte (+1) 

Quem mais caiu? 
Fuad Noman (-2) 
Duda (-1) 
Gabriel (-1)",2024-09-18T21:05:58.331Z,0,1,7,2024-09-18T21:05:58.331Z,bellagoncalves.com.br,Bella Gonçalves,did:plc:7r7cvd43bkxya44vj25mzcno
