uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5zb4vqvp52s,bafyreicsh4lbvfvqgewkzfn2w3lfq4jnppgrpvdkpbgyzauunegi6hu4fe,Mas eu falo! 😉,2024-10-08T16:38:51.399Z,0,0,0,2024-10-08T16:38:51.399Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5yyafn3br2f,bafyreiewqmszk7gtcpfcnzjb6ln3u33wlxfnxucpx4lf7gckveb5wbugq4,"Não preciso estar Vereadora para lutar pelos meus projetos!
Posso fazer isso como cidadã, sem salário e benefícios!
Assine a petição!
Vem comigo!

www.peticao.online/criacao_de_c...",2024-10-08T13:59:44.995Z,1,9,43,2024-10-08T13:59:44.995Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5yvfkk6x42e,bafyreifbiad7hoxeeolemhxs35uk4emodh4iee4563ue72oznfuvzyuuua,Ostenta uma vida de luxo e deixa os trabalhadores (escravos) viverem de forma degradante!,2024-10-08T13:08:56.695Z,7,42,212,2024-10-08T13:08:56.695Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5xeunjnre2s,bafyreiglj3otc2hy6545tk23vw2apgqrvwjq7z7m5q6puujggrrvgkjvwq,"O prefeito reeleito de Quixelô, Adil Júnior (PSB),foi filmado jogando objetos, chutando o portão e xingando adversárias do grupo opositor na noite do último domingo após ter sua vitória confirmada no município do centro-sul do Ceará

Um traste desse foi eleito PREFEITO

Infelizmente é do meu partido",2024-10-07T22:40:29.731Z,3,10,38,2024-10-07T22:40:29.731Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5xemv6ur32l,bafyreibfvfyyl5lfnciqqttlcftq57f2rcynl2xddbvlic623wsycv4onq,#VoudeBoulos,2024-10-07T22:36:09.332Z,1,13,85,2024-10-07T22:36:09.332Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5xdbsojpn2d,bafyreidrgl6jeesdwvq5fqthpevtd4umuqmszalzic2wbp3uuhekn7egz4,Obrigada,2024-10-07T22:12:03.915Z,0,0,0,2024-10-07T22:12:03.915Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5x7hlttw62i,bafyreiauxqtpzi2jjh3khf7qxnk4k4gwvorw37yqiehoyldffe3g3eizae,No q eu puder ajudar pode contar comigo!,2024-10-07T21:03:42.928Z,0,0,2,2024-10-07T21:03:42.928Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5x5dk3cey2p,bafyreied4cbblyvnj2idttkjkomt72r67qw5r2p6bj6u5e6zsvmc6fpbhi,Eu não sou dona de nada,2024-10-07T20:25:39.546Z,1,0,1,2024-10-07T20:25:39.546Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5x5chwxrh2k,bafyreiat2txuw37dd2xvzfmayjkoznale652z2zuu76fknv3pxuhx3xod4,Vamos apoiar?,2024-10-07T20:25:03.281Z,0,13,37,2024-10-07T20:25:03.281Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5x5brzpvr27,bafyreigumtlrcsfva2f6z2wvfuzbbst4zcu6witpnwerkx4cb75xlsxiay,Apoiado!,2024-10-07T20:24:40.768Z,1,0,2,2024-10-07T20:24:40.768Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5wzovypq52r,bafyreig7ark23l34mcc3v7njifoqrf52pd5rtcctolrnso577unpn63upi,Obrigada,2024-10-07T19:20:26.191Z,0,0,1,2024-10-07T19:20:26.191Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5wxunlwlf2j,bafyreidgwkosirjdpiseykqilxa2y2jifze5cl4r7q7ft4bwibkc2uzjmy,"Quem poderia imaginar que o Leonardo estaria na lista suja sobre trabalho escravo?

🙃",2024-10-07T18:47:50.632Z,2,8,63,2024-10-07T18:47:50.632Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5wxt2goaq2j,bafyreifm67vyl5e27ucsyogvz6u6h4t2civ5uweu6t6z5cbw74kgfvs3ze,Pode,2024-10-07T18:46:57.575Z,0,0,1,2024-10-07T18:46:57.575Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5wxsex7ua2p,bafyreicvstudfcvetnnfyvircpiierhc3fbonc7pla6q5tbgruom2evu7i,"Nesse caso eu acho válida a postagem para alertar sobre quem vai representar o povo! Tirando a filha do Fernandinho, pois não a conheço e ela não pode carregar os crimes do pai, os demais são pessoas bizarras!",2024-10-07T18:46:35.047Z,0,0,4,2024-10-07T18:46:35.047Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5wwg4vtjj2e,bafyreicrkmoi3ovzvmy5on2rykz2y4au45jlhed55yxs2xjemk4lypo6yu,Obrigada!,2024-10-07T18:21:50.199Z,1,0,1,2024-10-07T18:21:50.199Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5wvsfeblt2p,bafyreihmcc5fzbl6xqixkrkulmusdbyydxjmkoyvwqky3htd6zc7gzdmbu,🌹,2024-10-07T18:10:47.968Z,0,0,1,2024-10-07T18:10:47.968Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5wuu5ua6e24,bafyreif6ttjfhkrdcdhffzwaizyhalsf5wdv6bofd4bw753syvcsydzywi,"Não preciso ser Vereadora para lutar pelos meus projetos!

Assine a petição!

Vem comigo!

www.peticao.online/contratacao_...",2024-10-07T17:53:53.480Z,7,19,87,2024-10-07T17:53:53.480Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5wtke2qpd2e,bafyreidgt45uzqmnkmpkh5tuz4epbowcywxihryombqcy5aammknziivoq,Obrigada,2024-10-07T17:30:30.693Z,0,0,1,2024-10-07T17:30:30.693Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5wtk5qjjf2r,bafyreiglhcewfbkrcf3vfjiiuprnkmdwrt7o2e63doz3xotd4ovl5z46fi,Eu voto no Notre Dame,2024-10-07T17:30:24.031Z,0,0,1,2024-10-07T17:30:24.031Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5wpieknoe2s,bafyreig2gjvtgkyhyrgu2iajlmob4vx76iygmp47wkhqwl3ahb6pmtzhre,"Obrigada 
Votou no Recreio?",2024-10-07T16:17:49.183Z,1,0,0,2024-10-07T16:17:49.183Z,betabastos.bsky.social,Beta Bastos,did:plc:z2n3s7udixlxk7jejf7pmhxp
