reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:q4dxq5fc2qv73iizwwwdhvgr/app.bsky.feed.post/3l5yza6wchy2o,bafyreicw3d4egs5ve753r3rataxvx7wzs5xxk5cldnohpb4u52ydfkfa7y,at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5yyafn3br2f,"Não preciso estar Vereadora para lutar pelos meus projetos!
Posso fazer isso como cidadã, sem salário e benefícios!
Assine a petição!
Vem comigo!

www.peticao.online/criacao_de_c...",betabastos.bsky.social,"Imagina um país, onde aborto está em quase todas discussões de escola, política.. religião.. 

Mais acolhimento de
Jovens não adotados nem se fala.",2024-10-08T14:17:31.671Z,1,0,1,2024-10-08T14:17:31.671Z,marcelobr123.bsky.social,Marcelo” ,did:plc:q4dxq5fc2qv73iizwwwdhvgr
at://did:plc:wskp3ldqhy4sux4j3tabg4sl/app.bsky.feed.post/3l5zd4a6tps27,bafyreibxkraabj3jsgevltwwk6y7bitvzqhkydpn7r7sxxxysshhamq6je,at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5yvfkk6x42e,Ostenta uma vida de luxo e deixa os trabalhadores (escravos) viverem de forma degradante!,betabastos.bsky.social,A extrema-direita e a centro-direita é sempre assim: não  sabem de nada e a culpa é de outrem,2024-10-08T17:14:15.310Z,0,0,0,2024-10-08T17:14:15.310Z,lucianodecastro.bsky.social,Luciano de Castro,did:plc:wskp3ldqhy4sux4j3tabg4sl
at://did:plc:pny7vplbro5ajcfavt2n35sc/app.bsky.feed.post/3l5zcygdfv72e,bafyreiansmnifdpcvoprodoao6uwyotrs37bg2ntvfyvzkrce6au2yvage,at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5yvfkk6x42e,Ostenta uma vida de luxo e deixa os trabalhadores (escravos) viverem de forma degradante!,betabastos.bsky.social,Para o mundo dos bolsoloides e só mais uma perseguição ao cantor..,2024-10-08T17:12:08.300Z,0,0,0,2024-10-08T17:12:08.300Z,rodrigoriro.bsky.social,,did:plc:pny7vplbro5ajcfavt2n35sc
at://did:plc:gmgwc4kz2j4ypeha4ue2yusc/app.bsky.feed.post/3l5yz5hu6772s,bafyreig77i3pi6axlisd3be44hoj7dpd4sc6aapcdlskokq5m3wsp7sp7y,at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5yvfkk6x42e,Ostenta uma vida de luxo e deixa os trabalhadores (escravos) viverem de forma degradante!,betabastos.bsky.social,mequetrefe,2024-10-08T14:16:00.444Z,0,0,0,2024-10-08T14:16:00.444Z,lula1313.bsky.social,,did:plc:gmgwc4kz2j4ypeha4ue2yusc
at://did:plc:6et3fksi7ctb22246yco3njk/app.bsky.feed.post/3l5zdjjmxb42s,bafyreidizgdrcas3nn3ny5g46thvacikpuvy343jfvaxrtw4qawa6sqwwe,at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5yvfkk6x42e,Ostenta uma vida de luxo e deixa os trabalhadores (escravos) viverem de forma degradante!,betabastos.bsky.social,"Em situação análoga a escravidão, a punição deveria ser a desapropriação da fazenda e a divisão de lotes iguais para cada funcionário, pra deixarem de ser felasdaputa!",2024-10-08T17:21:41.511Z,0,0,1,2024-10-08T17:21:41.511Z,zepig.bsky.social,Zé Renato ,did:plc:6et3fksi7ctb22246yco3njk
at://did:plc:5vvotwv3euzmxbhp5sdqayxh/app.bsky.feed.post/3l5zds5uiz72o,bafyreif5ypqrvxirt5372hssh6nnojxyv3d7litu23vsrvy6gr224hhju4,at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5yvfkk6x42e,Ostenta uma vida de luxo e deixa os trabalhadores (escravos) viverem de forma degradante!,betabastos.bsky.social,Ele é o mestre do “embaixador”,2024-10-08T17:26:32.001Z,0,0,0,2024-10-08T17:26:32.001Z,carlabmiranda.bsky.social,,did:plc:5vvotwv3euzmxbhp5sdqayxh
at://did:plc:43oiyym4bgqdpbxhd2duvyuq/app.bsky.feed.post/3l5zcz3etme2v,bafyreicdedzrkx7k3pxp6hcsewdqt2xqrlyj3kedvalsdnssjocmbcv5g4,at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5yvfkk6x42e,Ostenta uma vida de luxo e deixa os trabalhadores (escravos) viverem de forma degradante!,betabastos.bsky.social,(!) Não souberam negociar com o patrão. Se soubessem o patrão solidário iria atender as necessidade. (!),2024-10-08T17:12:30.447Z,0,0,0,2024-10-08T17:12:30.447Z,matheusereis.bsky.social,Matheus Reis,did:plc:43oiyym4bgqdpbxhd2duvyuq
at://did:plc:25h2ilcafhsg3idvqqywksww/app.bsky.feed.post/3l5yyy6rbtz2u,bafyreiavjcoc4wpfid7fr4k52r7nhrl4tij5tktjgiwqafvkqpmzdbyo2q,at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5yvfkk6x42e,Ostenta uma vida de luxo e deixa os trabalhadores (escravos) viverem de forma degradante!,betabastos.bsky.social,Que absurdo,2024-10-08T14:13:03.612Z,0,0,0,2024-10-08T14:13:03.315Z,frenteampla.bsky.social,Frente Ampla Brasil ,did:plc:25h2ilcafhsg3idvqqywksww
at://did:plc:rdrc7tsnfw2gsrrhvvzztht6/app.bsky.feed.post/3l5xs6fz3dd2x,bafyreig7z7m4ntogpy4mqaify6viwiv4fxb7qewkin75ypmajo2i73myu4,at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5xeunjnre2s,"O prefeito reeleito de Quixelô, Adil Júnior (PSB),foi filmado jogando objetos, chutando o portão e xingando adversárias do grupo opositor na noite do último domingo após ter sua vitória confirmada no município do centro-sul do Ceará

Um traste desse foi eleito PREFEITO

Infelizmente é do meu partido",betabastos.bsky.social,Volta para o privcy  !! A política de RJ não te merece  !,2024-10-08T02:38:35.892Z,0,0,0,2024-10-08T02:38:35.892Z,extremamenteafiado.bsky.social,Marcelo,did:plc:rdrc7tsnfw2gsrrhvvzztht6
at://did:plc:lf5z5lexfr7nsmcykcy2fiye/app.bsky.feed.post/3l5xf4am4s42m,bafyreib7gbuvz52ucnll6xyrc5rjtnbuwy34whh3dpllmyvl5and2eue7a,at://did:plc:z2n3s7udixlxk7jejf7pmhxp/app.bsky.feed.post/3l5xeunjnre2s,"O prefeito reeleito de Quixelô, Adil Júnior (PSB),foi filmado jogando objetos, chutando o portão e xingando adversárias do grupo opositor na noite do último domingo após ter sua vitória confirmada no município do centro-sul do Ceará

Um traste desse foi eleito PREFEITO

Infelizmente é do meu partido",betabastos.bsky.social,"A baixaria tomou conta geral.
Precisamos voltar ao respeito com outrem",2024-10-07T22:44:44.354Z,0,0,1,2024-10-07T22:44:44.354Z,lrlourena.bsky.social,Arthur Dent,did:plc:lf5z5lexfr7nsmcykcy2fiye
