uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5uzyisu332r,bafyreigxbbhigqxvf7tehajovjuyhjql6il2gjd5vadjqo3sn7a77mrbry,"BANCADA FEMINISTA REELEITA! 
Agradecemos a todos que apostaram na força da coletividade! A Bancada Feminista foi reeleita com mais de 34 mil votos. Enfrentamos num cenário muito difícil. Agora vamos com tudo eleger Guilherme Boulos e derrotar o bolsonarismo em São Paulo!",2024-10-07T00:20:28.438Z,2,6,51,2024-10-07T00:20:28.438Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5sofvhi7y2f,bafyreifug4ko5cj5qf3h5pb4shxyeglpil3e373xvpo6lbdm7lp64dzvem,eu amooooo,2024-10-06T01:47:53.365Z,1,0,1,2024-10-06T01:47:53.365Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5soeyvpkg2m,bafyreifquaedx52qwr3k6mgt7ixtiksdghfbhbdghiv3xztjc3d2hxdhki,obrigada pela confiança!,2024-10-06T01:47:23.434Z,0,0,0,2024-10-06T01:47:23.434Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5sjizr6eb2r,bafyreihd4iwsdxghf2ghroumydgb7wvpowlvpbzd5npsiglq5uouflihtu,"Muito obrigada por considerar seu voto em nós! Pedimos licença para nos apresentar: somos um movimento de ocupação coletiva da política, com cinco mulheres feministas para derrotar o bolsonarismo em São Paulo! Nossas propostas e conquistas estão em nosso site: bancadafeministapsol.com.br",2024-10-06T00:20:09.920Z,0,0,1,2024-10-06T00:20:09.920Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5sjgdsxbb23,bafyreihqjdetohogmqiehjf4mfughsxusoj6wju6ztmr5gj5x5zsootoyi,muito obrigada pela confiança!,2024-10-06T00:18:39.802Z,0,0,1,2024-10-06T00:18:39.802Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5sjfb5bjz2r,bafyreihg3nxmgz7fwr44f2flv6rxfcee4qytkw5sdnnjnps4opxmxfpt2e,muito obrigada pela confiança!,2024-10-06T00:18:03.424Z,0,0,0,2024-10-06T00:18:03.424Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5rpsgpzuj2y,bafyreieo5bos7jqiqyftmpwitemtlduscw3kz3nm5piyqr5s4avbrn63ee,"Já declarou seu voto na Bancada Feminista 50900 hoje?

Por uma determinação da justiça eleitoral, quem nos representa enquanto registro da candidatura é a Silvia. Mas votando na Bancada, você também leva para a Câmara Municipal a Dafne, a Nathi, a Letícia e a Naiara, além de muitas outras. Vem!",2024-10-05T16:40:04.307Z,0,5,16,2024-10-05T16:40:04.307Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5rpm3vvfg2z,bafyreiflp3z6avzzz4jhfs2icw7byl5ybhgoo5jkmbcrjdkmuv6rop75su,muito obrigada pela confiança! Vamos juntas!,2024-10-05T16:36:31.639Z,0,0,2,2024-10-05T16:36:31.639Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5rpjnza5g2m,bafyreidmyw4bqyayihpq2jmeyrn3uwz2mip7hbgojawbw3ew2whuqasv4m,"Olá, somos a Bancada Feminista do PSOL, uma ocupação da política de forma coletiva com cinco mulheres feministas. Para derrotar o bolsonarismo em São Paulo, estamos com Boulos e Marta 50! Se quiser conhecer um pouco mais, confira nosso instagram @bancadafeministadopsol!",2024-10-05T16:35:09.963Z,0,0,2,2024-10-05T16:35:09.963Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5rouolkqe24,bafyreid2mko7p2k2fddutmmmwcqzqhnksinklsrtmadewoowlsip7fay7i,Obrigada pelo carinho e pela confiança! Vamos pra cima!,2024-10-05T16:23:25.929Z,0,0,1,2024-10-05T16:23:25.929Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
