reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:ny3iebo5dita2qnmwzz7hbcn/app.bsky.feed.post/3l5wnnfarhf2f,bafyreidlzq34zyje43635fm7sv7y3sk5lbsjrptdarsulbpodhruwztlba,at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5uzyisu332r,"BANCADA FEMINISTA REELEITA! 
Agradecemos a todos que apostaram na força da coletividade! A Bancada Feminista foi reeleita com mais de 34 mil votos. Enfrentamos num cenário muito difícil. Agora vamos com tudo eleger Guilherme Boulos e derrotar o bolsonarismo em São Paulo!",bfeministapsol.bsky.social,"parabéns as companheiras, um ótimo mandato para vcs",2024-10-07T15:44:50.027Z,0,0,1,2024-10-07T15:44:50.027Z,mancruel.bsky.social,renato,did:plc:ny3iebo5dita2qnmwzz7hbcn
at://did:plc:k3ptd55zafm6cnyshcefj5sa/app.bsky.feed.post/3l5z5zed5hq22,bafyreidyhd45ipdcpfp7trdgvuarjo5oh6j5jjtxyuqzky7jav7znmaami,at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5uzyisu332r,"BANCADA FEMINISTA REELEITA! 
Agradecemos a todos que apostaram na força da coletividade! A Bancada Feminista foi reeleita com mais de 34 mil votos. Enfrentamos num cenário muito difícil. Agora vamos com tudo eleger Guilherme Boulos e derrotar o bolsonarismo em São Paulo!",bfeministapsol.bsky.social,Parabéns! Continuem nos representando na Câmara Municipal!,2024-10-08T15:43:06.951Z,0,0,1,2024-10-08T15:43:06.951Z,leque.bsky.social,Leque-Leque 🚩🚩🚩,did:plc:k3ptd55zafm6cnyshcefj5sa
at://did:plc:admwzvp4w56ba76kmjutfoxk/app.bsky.feed.post/3l5sp75cjtd25,bafyreidysyphqxoqermyicc6ezswr2wuor2uubd5azjso5rdfje4uu63au,at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5sofvhi7y2f,eu amooooo,bfeministapsol.bsky.social,eu tô viciado em fazer campanha pra vcs 🫶🥺,2024-10-06T02:02:00.294Z,0,0,0,2024-10-06T02:02:00.294Z,seupapi.bsky.social,leo,did:plc:admwzvp4w56ba76kmjutfoxk
at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5rhiix5hf2r,bafyreigjp5lnj4nhq6w7fyupkspfgdirnop3iai7zov3iylw5badj6h26u,at://did:plc:7qcwt5jobvpedph5hmfnjdby/app.bsky.feed.post/3l5repxxmio2r,"Boulos Prefeito 50
Bancada Feminista Vereadora 50900
Aqui na Av. Paulista",joelleitao.bsky.social,Vamos pra cima!,2024-10-05T14:11:21.250Z,0,0,1,2024-10-05T14:11:21.250Z,bfeministapsol.bsky.social,Bancada Feminista PSOL 50900,did:plc:6x2th4op7zllf3x2pb4pkadk
at://did:plc:qylwlk2yop7xmrgffrahb7y6/app.bsky.feed.post/3l5ov5sb7zh2q,bafyreiemfycdxxdyz7r4zpt3tp72r4qlvfbuexqlhykl2w5zyoacqhlcvm,at://did:plc:6x2th4op7zllf3x2pb4pkadk/app.bsky.feed.post/3l5otimj22d2f,Muito obrigada pela confiança! Vamos pra cima barrar retrocessos!,bfeministapsol.bsky.social,amooo,2024-10-04T13:37:58.683Z,0,0,1,2024-10-04T13:37:58.683Z,mitskighouls.bsky.social,nalu,did:plc:qylwlk2yop7xmrgffrahb7y6
at://did:plc:udiw32ynbulqopvai6owdbma/app.bsky.feed.post/3l5nrkznhaw2i,bafyreiakjzyzyng342ntaostiwhfv23nkovytb3ijf352qswym7h6765ra,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5nobm4paz2v,Vote em quem realmente se importa com você. Vote 50! #BoulosPrefeito50,guilhermeboulos.bsky.social,toma no cu fellahin fdp,2024-10-04T03:01:07.426Z,0,0,0,2024-10-04T03:01:07.426Z,dorianyates.bsky.social,,did:plc:udiw32ynbulqopvai6owdbma
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5noyg3y7s2s,bafyreiaxothje34nf4sdcnpoiu5ufiw6m2nskelcssff6e2vdoeexddciy,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5nobm4paz2v,Vote em quem realmente se importa com você. Vote 50! #BoulosPrefeito50,guilhermeboulos.bsky.social,Vote 5️⃣0️⃣ dia 6!,2024-10-04T02:14:27.678Z,0,0,0,2024-10-04T02:14:27.678Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
at://did:plc:odox53ayxl4rz7p2tal2by7f/app.bsky.feed.post/3l5ol7qss322v,bafyreiaf5jntq3wt37e74kuq25bcosh75kg6u6rt3rvpmjrfvdoyw4olgi,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5nobm4paz2v,Vote em quem realmente se importa com você. Vote 50! #BoulosPrefeito50,guilhermeboulos.bsky.social,VAI DAR BOULOS 50 ✊🏻,2024-10-04T10:40:04.813Z,0,0,1,2024-10-04T10:40:04.813Z,luislz13.bsky.social,Luís 13🚩🇧🇷🇨🇳🇷🇺🇮🇷,did:plc:odox53ayxl4rz7p2tal2by7f
at://did:plc:jalhp6aes7f34iyxaozfucff/app.bsky.feed.post/3l5po4apm6n2o,bafyreidbhau76fsvpsrwfo4upxwsye5rk4fveutrg4ifpig4hsllvy673q,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5nobm4paz2v,Vote em quem realmente se importa com você. Vote 50! #BoulosPrefeito50,guilhermeboulos.bsky.social,Boulossss tamo com vc!! Nosso prefeito ❤️,2024-10-04T21:04:29.883Z,0,0,0,2024-10-04T21:04:29.883Z,mariaapasseio.bsky.social,uma,did:plc:jalhp6aes7f34iyxaozfucff
at://did:plc:hr575ntun322grdbeceybdyj/app.bsky.feed.post/3l5npochyc72d,bafyreidn2sh7piu5wjgkbg6e3dmugiyrvverz2jryd4roi3jy7zc7uvxsu,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5nobm4paz2v,Vote em quem realmente se importa com você. Vote 50! #BoulosPrefeito50,guilhermeboulos.bsky.social,"""A cidade só será justa quando moradia e saúde forem acessíveis a todos os seus cidadãos.
 @guilhermeboulos.bsky.social
@martasuplicy.bsky.social
#BoulosPrefeito50
Vote 5️⃣0️⃣
🎯

||••||",2024-10-04T02:27:10.476Z,0,0,0,2024-10-04T02:27:10.476Z,creuzagarcia13.bsky.social,Creuza Garcia 13🚩🚩🚩,did:plc:hr575ntun322grdbeceybdyj
