uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l5kdid644w2d,bafyreign3ljmzxm7yungolnb7rqkvxuxat4zruz6kwube7mygnyhazg4pm,"Em casos de assédio, todos nós perdemos como sociedade. Mas, em meio à dor das vítimas, encontramos esperança na força de Anielle. Audre Lorde, ainda que em outro contexto, já dizia: o silêncio não nos protegerá. À Anielle, todo o nosso apoio e admiração por quebrar silêncios. Estamos com você.",2024-10-02T18:11:05.684Z,0,2,14,2024-10-02T18:11:05.684Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l5cpbdydvx24,bafyreigsdxqim5ylb54zheynflvcglqt5apfmsrbyczlf7aee6b2searo4,"Instituímos o Dia de Enfrentamento à Violência Política de Gênero e manifestamos nosso repúdio à tentativa de assassinato sofrida pela prefeita de Jardim e candidata à reeleição, Clediane Matzenbacher. Este atentado é uma afronta à democracia e à segurança pública. 
Exigimos rigorosa investigação. 🚨",2024-09-29T17:20:39.334Z,0,1,15,2024-09-29T17:20:39.110Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l535n5wo5g2z,bafyreiesnra6p7othwi7bhdnrbgx6hmhxqahqpp5z6tpzpf2zop6uywgwa,"A luta dos povos indígenas em MS é urgente. O genocídio na TI em Antônio João expõe uma dívida histórica com os Guarani e Kaiowá e o acordo firmado com o STF é apenas o primeiro passo. Além do direito à terra, precisamos garantir que os povos indígenas consigam manter seu modo de vida com dignidade.",2024-09-26T17:16:29.078Z,1,6,21,2024-09-26T17:16:29.078Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4ywfj73qz27,bafyreifpgg2dq6layo6whesivz2q6war7jfijvlww2y5tjrikz6chhxh24,"O Governo age e nós trabalhamos para que as medidas do decreto virem lei. 

Já apresentamos projetos na Câmara Federal para desapropriar terras de reincidentes em crimes ambientais e para bloquear créditos para incendiários. 

Não vamos mais aceitar viver um dia do fogo eterno no nosso país.",2024-09-25T20:01:37.274Z,0,1,7,2024-09-25T20:01:37.274Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4yw7ejl5p2q,bafyreiejgzqxmwlpjr2ttg2xbwfhgtupkob7vwhbwlvl47lx2lchyuaaee,"As novas medidas do Governo protegem nosso maior patrimônio e atingem onde mais dói para esses criminosos: o bolso💰 

Aos poucos, vamos acabar com a ideia de que crimes ambientais compensam, garantindo que quem desmata e queima nosso país seja punido com rigor!",2024-09-25T19:58:11.044Z,1,1,8,2024-09-25T19:58:11.044Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4yw6ggsgz26,bafyreidbqrwktflsmaxktdvq3tbeyqn53fvqq6z5hkzrejslkk4qcxver4,"O Governo Federal publicou decreto que aumenta as multas para quem causar incêndios ambientais. 🌱🔥 Proprietários que não adotarem medidas de prevenção, quem usar fogo em áreas agropastoris ou iniciar queimadas em florestas terão pena maior.

E tem multa em dobro para incêndios em terras indígenas!",2024-09-25T19:57:38.972Z,2,4,15,2024-09-25T19:57:38.972Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4vvbmio7d2z,bafyreicrwtuhqysvuc2e76hu76s5l6m77t6q4ztvm6udg44z23ipqxborq,"Enquanto reconhece a seriedade das crises climáticas e mostra respeito à luta dos palestinos, nosso presidente não tem medo de apontar, diante do mundo, as desigualdades que seu povo enfrenta.

Foi histórico. O Brasil sai ainda mais forte.",2024-09-24T15:03:33.626Z,0,1,7,2024-09-24T15:03:33.626Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4vuye2q7r2z,bafyreicgr42mow2e3r3bfugoorzneicdemmutot5fie5cnl7oi3zgdfxy4,"O discurso de Lula na ONU é a confirmação de que o Brasil voltou a ter um líder. 

Nós temos no comando do país alguém com coragem e compromisso para trazer à mesa dos maiores líderes do mundo a urgência em combater as guerras e a fome que devastam vidas.",2024-09-24T14:58:22.323Z,1,1,9,2024-09-24T14:58:22.323Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4mdzrwo5l2b,bafyreidm67gnlswvol4p5appkwk4a6nedpdtu5c3rt7n62psbr4wbwskeq,"A detenção do dep. Glauber Braga e de 3 estudantes pela PM do Rio é um ataque ao direito de resistência. Os estudantes protestam contra os cortes nas bolsas da UERJ desde junho. Nossa solidariedade a eles, que tiveram a liberdade negada enquanto lutavam por uma das causas mais dignas do nosso país.",2024-09-20T20:00:58.375Z,2,7,20,2024-09-20T20:00:58.375Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l3xnzcrt7y2j,bafyreibfro4ckfuiny4v3hnke6fwfstl5nacyaduaml733j2hpy55uo4ay,Este avanço manda um recado: nós não aceitaremos ver mais histórias interrompidas. Não aceitaremos perder vidas para a violência e assistir à impunidade de braços cruzados.,2024-09-12T14:33:44.775Z,0,0,7,2024-09-12T14:33:44.775Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
