uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:7jgdgez22hffoni3yj3d666k/app.bsky.feed.post/3l55ds3itfq2g,bafyreigxuqsg5banawas5utfuptxmmgmcgs5kcu66y4z4a2se7enpe2phq,Pra cima ✊️,2024-09-27T14:15:56.332Z,0,0,0,2024-09-27T14:11:57.015Z,victori0.bsky.social,Victori0,did:plc:7jgdgez22hffoni3yj3d666k
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4ywfj73qz27,bafyreifpgg2dq6layo6whesivz2q6war7jfijvlww2y5tjrikz6chhxh24,"O Governo age e nós trabalhamos para que as medidas do decreto virem lei. 

Já apresentamos projetos na Câmara Federal para desapropriar terras de reincidentes em crimes ambientais e para bloquear créditos para incendiários. 

Não vamos mais aceitar viver um dia do fogo eterno no nosso país.",2024-09-25T20:01:37.274Z,0,1,5,2024-09-25T20:01:37.274Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4yw7ejl5p2q,bafyreiejgzqxmwlpjr2ttg2xbwfhgtupkob7vwhbwlvl47lx2lchyuaaee,"As novas medidas do Governo protegem nosso maior patrimônio e atingem onde mais dói para esses criminosos: o bolso💰 

Aos poucos, vamos acabar com a ideia de que crimes ambientais compensam, garantindo que quem desmata e queima nosso país seja punido com rigor!",2024-09-25T19:58:11.044Z,1,1,5,2024-09-25T19:58:11.044Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4vvbmio7d2z,bafyreicrwtuhqysvuc2e76hu76s5l6m77t6q4ztvm6udg44z23ipqxborq,"Enquanto reconhece a seriedade das crises climáticas e mostra respeito à luta dos palestinos, nosso presidente não tem medo de apontar, diante do mundo, as desigualdades que seu povo enfrenta.

Foi histórico. O Brasil sai ainda mais forte.",2024-09-24T15:03:33.626Z,0,1,5,2024-09-24T15:03:33.626Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:rklhy7uphytdowre7ekxj2hz/app.bsky.feed.post/3l4mei334ha2d,bafyreibhgsqe4h2zxhf33c3g7fphrf5fllo2sc3qpr7hxqlrxtjpuhweje,"HOJE OS ESTUDANTES RESISTIRAM A REPRESSÃO DAS TROPAS DE CHOQUE DA REAÇÃO NA UERJ! VIVA A RESISTÊNCIA HEROICA DO MEPR - MOVIMENTO ESTUDANTIL POPULAR REVOLUCIONÁRIO! 

GLAUBER BRAGA, UM JORNALISTA DO AND E 2 ESTUDANTES FORAM PRESOS.

ACOMPANHE A SITUAÇÃO POR MEIO DO JORNAL AND:

anovademocracia.com.br",2024-09-20T20:08:59.072Z,0,0,0,2024-09-20T20:08:59.072Z,arapongavermelho.bsky.social,Araponga,did:plc:rklhy7uphytdowre7ekxj2hz
at://did:plc:odyu2pwtyad33ftkvfarsht5/app.bsky.feed.post/3l4megmxslm2a,bafyreiahbz2c74vzuu7wxcuwujrqmbkehrwaxi64vmul62vhupephhx3n4,Não se protesta depredando bem público,2024-09-20T20:08:10.707Z,0,0,0,2024-09-20T20:08:10.707Z,huguette37.bsky.social,Pardo de direita ,did:plc:odyu2pwtyad33ftkvfarsht5
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l3xnzcrt7y2j,bafyreibfro4ckfuiny4v3hnke6fwfstl5nacyaduaml733j2hpy55uo4ay,Este avanço manda um recado: nós não aceitaremos ver mais histórias interrompidas. Não aceitaremos perder vidas para a violência e assistir à impunidade de braços cruzados.,2024-09-12T14:33:44.775Z,0,0,6,2024-09-12T14:33:44.775Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:yoczc4yrtdtcbx5r6w6fitet/app.bsky.feed.post/3l3qzqk2gup2i,bafyreibhhihqmzmwvsmhc2gr27wur5fji5nofew3erqwaia6ndvrfhirge,oi minha prefeita,2024-09-09T23:14:59.089Z,0,0,0,2024-09-09T23:14:59.089Z,sukcosta.bsky.social,suellen,did:plc:yoczc4yrtdtcbx5r6w6fitet
at://did:plc:u35kfkbmhk6kk2toyieofro2/app.bsky.feed.post/3l3tj4red6v2o,bafyreiheqpfby4y22uk5n4umot3kogqhjwzm2vegugd2bxgu46mhabhbqq,Bem vinda,2024-09-10T22:55:34.999Z,0,0,0,2024-09-10T22:55:34.999Z,demolidor.bsky.social,Paulo,did:plc:u35kfkbmhk6kk2toyieofro2
at://did:plc:mhtabfsiwbdqv4i4gpbtyfd6/app.bsky.feed.post/3l3qx5dkflm2c,bafyreidfjla6pdra6edws5hb57bhnegoupigykocg5gmnzn23eqxandswe,Tragam mais pessoas ; vamos promover para não termos q voltar para o X se resolverem o problema,2024-09-09T22:28:27.282Z,0,0,1,2024-09-09T22:28:27.282Z,dferraz1000.bsky.social,Denis Ferraz,did:plc:mhtabfsiwbdqv4i4gpbtyfd6
at://did:plc:m3blhtwklfux6xweoiyg4wd7/app.bsky.feed.post/3l3tibtdbhp2k,bafyreihglldti65bovi4ntcxsgk34qp3nhm4kvt6c6mrlaag2kr6g7mgam,Você é muito bem-vinda Camila Jara!,2024-09-10T22:40:31.080Z,0,0,0,2024-09-10T22:40:31.080Z,cicerabm.bsky.social,Cicera,did:plc:m3blhtwklfux6xweoiyg4wd7
at://did:plc:m3blhtwklfux6xweoiyg4wd7/app.bsky.feed.post/3l3ti7zztjz26,bafyreiduzmubhczlvfkfgfak22n6spuslnrwl7zi7b2ehmhzgd46qextky,Vc é muito bem-vinda Camila Jaraguá!,2024-09-10T22:39:30.977Z,0,0,0,2024-09-10T22:39:30.977Z,cicerabm.bsky.social,Cicera,did:plc:m3blhtwklfux6xweoiyg4wd7
at://did:plc:7rpnqic6qppxcqds5z5jg3hh/app.bsky.feed.post/3l3tlsqqobx2d,bafyreiewhhofiml4uhdbtf5uwf4waebtn7w34hg46lt4lxswlbgtbw5yxe,Bem vinda! Bora fortalecer a democracia 🤩,2024-09-10T23:43:40.063Z,0,0,0,2024-09-10T23:43:40.063Z,carlos69.bsky.social,Carlos,did:plc:7rpnqic6qppxcqds5z5jg3hh
