reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:7jgdgez22hffoni3yj3d666k/app.bsky.feed.post/3l55ds3itfq2g,bafyreigxuqsg5banawas5utfuptxmmgmcgs5kcu66y4z4a2se7enpe2phq,at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l535n5wo5g2z,"A luta dos povos indígenas em MS é urgente. O genocídio na TI em Antônio João expõe uma dívida histórica com os Guarani e Kaiowá e o acordo firmado com o STF é apenas o primeiro passo. Além do direito à terra, precisamos garantir que os povos indígenas consigam manter seu modo de vida com dignidade.",camilajarams.bsky.social,Pra cima ✊️,2024-09-27T14:15:56.332Z,0,0,0,2024-09-27T14:11:57.015Z,victori0.bsky.social,Victori0,did:plc:7jgdgez22hffoni3yj3d666k
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4ywfj73qz27,bafyreifpgg2dq6layo6whesivz2q6war7jfijvlww2y5tjrikz6chhxh24,at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4yw7ejl5p2q,"As novas medidas do Governo protegem nosso maior patrimônio e atingem onde mais dói para esses criminosos: o bolso💰 

Aos poucos, vamos acabar com a ideia de que crimes ambientais compensam, garantindo que quem desmata e queima nosso país seja punido com rigor!",camilajarams.bsky.social,"O Governo age e nós trabalhamos para que as medidas do decreto virem lei. 

Já apresentamos projetos na Câmara Federal para desapropriar terras de reincidentes em crimes ambientais e para bloquear créditos para incendiários. 

Não vamos mais aceitar viver um dia do fogo eterno no nosso país.",2024-09-25T20:01:37.274Z,0,1,7,2024-09-25T20:01:37.274Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4yw7ejl5p2q,bafyreiejgzqxmwlpjr2ttg2xbwfhgtupkob7vwhbwlvl47lx2lchyuaaee,at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4yw6ggsgz26,"O Governo Federal publicou decreto que aumenta as multas para quem causar incêndios ambientais. 🌱🔥 Proprietários que não adotarem medidas de prevenção, quem usar fogo em áreas agropastoris ou iniciar queimadas em florestas terão pena maior.

E tem multa em dobro para incêndios em terras indígenas!",camilajarams.bsky.social,"As novas medidas do Governo protegem nosso maior patrimônio e atingem onde mais dói para esses criminosos: o bolso💰 

Aos poucos, vamos acabar com a ideia de que crimes ambientais compensam, garantindo que quem desmata e queima nosso país seja punido com rigor!",2024-09-25T19:58:11.044Z,1,1,8,2024-09-25T19:58:11.044Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:kxmmdokv3ws4hqjavgcrr6om/app.bsky.feed.post/3l5myosdabv2x,bafyreibffhm7lmlycdeyl2ppv43d5ixldjbfeatza4xwdzpj5v66hfzmnm,at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4yw6ggsgz26,"O Governo Federal publicou decreto que aumenta as multas para quem causar incêndios ambientais. 🌱🔥 Proprietários que não adotarem medidas de prevenção, quem usar fogo em áreas agropastoris ou iniciar queimadas em florestas terão pena maior.

E tem multa em dobro para incêndios em terras indígenas!",camilajarams.bsky.social,Sigam a candidata do presidente Lula esquerda 🚩,2024-10-03T19:35:48.776Z,0,0,0,2024-10-03T19:35:48.776Z,evarubio.bsky.social,Eva 🚩 No X perfil Palestina livre,did:plc:kxmmdokv3ws4hqjavgcrr6om
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4vvbmio7d2z,bafyreicrwtuhqysvuc2e76hu76s5l6m77t6q4ztvm6udg44z23ipqxborq,at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4vuye2q7r2z,"O discurso de Lula na ONU é a confirmação de que o Brasil voltou a ter um líder. 

Nós temos no comando do país alguém com coragem e compromisso para trazer à mesa dos maiores líderes do mundo a urgência em combater as guerras e a fome que devastam vidas.",camilajarams.bsky.social,"Enquanto reconhece a seriedade das crises climáticas e mostra respeito à luta dos palestinos, nosso presidente não tem medo de apontar, diante do mundo, as desigualdades que seu povo enfrenta.

Foi histórico. O Brasil sai ainda mais forte.",2024-09-24T15:03:33.626Z,0,1,7,2024-09-24T15:03:33.626Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:rklhy7uphytdowre7ekxj2hz/app.bsky.feed.post/3l4mei334ha2d,bafyreibhgsqe4h2zxhf33c3g7fphrf5fllo2sc3qpr7hxqlrxtjpuhweje,at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4mdzrwo5l2b,"A detenção do dep. Glauber Braga e de 3 estudantes pela PM do Rio é um ataque ao direito de resistência. Os estudantes protestam contra os cortes nas bolsas da UERJ desde junho. Nossa solidariedade a eles, que tiveram a liberdade negada enquanto lutavam por uma das causas mais dignas do nosso país.",camilajarams.bsky.social,"HOJE OS ESTUDANTES RESISTIRAM A REPRESSÃO DAS TROPAS DE CHOQUE DA REAÇÃO NA UERJ! VIVA A RESISTÊNCIA HEROICA DO MEPR - MOVIMENTO ESTUDANTIL POPULAR REVOLUCIONÁRIO! 

GLAUBER BRAGA, UM JORNALISTA DO AND E 2 ESTUDANTES FORAM PRESOS.

ACOMPANHE A SITUAÇÃO POR MEIO DO JORNAL AND:

anovademocracia.com.br",2024-09-20T20:08:59.072Z,0,0,0,2024-09-20T20:08:59.072Z,arapongavermelho.bsky.social,Araponga,did:plc:rklhy7uphytdowre7ekxj2hz
at://did:plc:odyu2pwtyad33ftkvfarsht5/app.bsky.feed.post/3l4megmxslm2a,bafyreiahbz2c74vzuu7wxcuwujrqmbkehrwaxi64vmul62vhupephhx3n4,at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l4mdzrwo5l2b,"A detenção do dep. Glauber Braga e de 3 estudantes pela PM do Rio é um ataque ao direito de resistência. Os estudantes protestam contra os cortes nas bolsas da UERJ desde junho. Nossa solidariedade a eles, que tiveram a liberdade negada enquanto lutavam por uma das causas mais dignas do nosso país.",camilajarams.bsky.social,Não se protesta depredando bem público,2024-09-20T20:08:10.707Z,0,0,0,2024-09-20T20:08:10.707Z,huguette37.bsky.social,Pardo de direita ,did:plc:odyu2pwtyad33ftkvfarsht5
at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l3xnzcrt7y2j,bafyreibfro4ckfuiny4v3hnke6fwfstl5nacyaduaml733j2hpy55uo4ay,at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l3xnuuexwy2g,"Ontem, aprovamos no Congresso o projeto que endurece as penas para feminicídio e violência doméstica. Hoje, o Ministério das Mulheres lança a campanha #FeminicídioZero. 

Em tempos de retrocessos, é importante celebrarmos cada vitória dessa luta que carrega muitas dores e nos é tão cara.
+⬇️",camilajarams.bsky.social,Este avanço manda um recado: nós não aceitaremos ver mais histórias interrompidas. Não aceitaremos perder vidas para a violência e assistir à impunidade de braços cruzados.,2024-09-12T14:33:44.775Z,0,0,7,2024-09-12T14:33:44.775Z,camilajarams.bsky.social,Camila Jara,did:plc:zvp5lzaordd76s6oo2ytczwr
at://did:plc:yoczc4yrtdtcbx5r6w6fitet/app.bsky.feed.post/3l3qzqk2gup2i,bafyreibhhihqmzmwvsmhc2gr27wur5fji5nofew3erqwaia6ndvrfhirge,at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l3qw7rn2d22o,"Me rendi ao Bluesky! 🦋
Um passarinho me contou que aqui também é um ótimo lugar para fortalecer a democracia… como a gente não tem medo de mudança, viemos na cara e na coragem mesmo 👀",camilajarams.bsky.social,oi minha prefeita,2024-09-09T23:14:59.089Z,0,0,0,2024-09-09T23:14:59.089Z,sukcosta.bsky.social,suellen,did:plc:yoczc4yrtdtcbx5r6w6fitet
at://did:plc:u35kfkbmhk6kk2toyieofro2/app.bsky.feed.post/3l3tj4red6v2o,bafyreiheqpfby4y22uk5n4umot3kogqhjwzm2vegugd2bxgu46mhabhbqq,at://did:plc:zvp5lzaordd76s6oo2ytczwr/app.bsky.feed.post/3l3qw7rn2d22o,"Me rendi ao Bluesky! 🦋
Um passarinho me contou que aqui também é um ótimo lugar para fortalecer a democracia… como a gente não tem medo de mudança, viemos na cara e na coragem mesmo 👀",camilajarams.bsky.social,Bem vinda,2024-09-10T22:55:34.999Z,0,0,0,2024-09-10T22:55:34.999Z,demolidor.bsky.social,Paulo,did:plc:u35kfkbmhk6kk2toyieofro2
