uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5hqtugiiw2i,bafyreibekhf4o4b2cdxqxcv4o3uxap2txr3duprtmzsmp3ernarouhkbla,"Não queremos ser coadjuvantes! Vitória precisa de uma prefeita que entenda nossas necessidades, com um olhar sobre o todo e atenção aos detalhes para fazer a diferença!

Domingo, vote CAMILA VALADÃO 5️⃣0️⃣ para eleger a primeira prefeita de Vitória!",2024-10-01T17:32:12.534Z,0,0,4,2024-10-01T17:32:12.534Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5ft5via7h2s,bafyreichyhfbkg2g7pqfncuq44b37mxt6puw5ckghaejrv42ywczsmgrai,"Este é um momento crucial para convencermos os indecisos e transformar votos em esperança para nossa cidade. Vamos espalhar essas ideias e mostrar que uma nova Vitória é possível!

DIA 6, VAMOS FAZER HISTÓRIA! VOTE 5️⃣0️⃣!",2024-09-30T23:08:16.109Z,0,0,0,2024-09-30T23:08:16.109Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5ft3dnr5t2z,bafyreido2mjmth36ac4kqa6ye64akxiy3ycxm4zg7oxya44rlknjz55xlq,"🔆 Falta pouco para as eleições! E hoje, tive a oportunidade de debater ideias e propostas para uma Vitória de Novos Sonhos na Jovem Pan!

 Confira a entrevista completa: www.folhavitoria.com.br/eleicoes-202...
__ 
Federação PSOL/REDE - CNPJ: 56.846.431/0001-28",2024-09-30T23:06:50.454Z,1,0,1,2024-09-30T23:06:50.454Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:uynd7wwmon5g7qmlisgy4yvw/app.bsky.feed.post/3l5dcoyxhkg2e,bafyreidqwd7qwy5j4yjq4usxpqp2mmbhpbtj5v2ay5a6hpnyeuukkfn5uy,"🎉🚛 A Carreta Valadão passou pela cidade e foi pura animação!  Essa festa é a prova de que Vitória (ES) quer mudança, quer mais oportunidades e acredita em novos sonhos! @camilavaladaopsol.bsky.social 

#CamilaValadão50 #VitóriaDeNovosSonhos #CarretaValadão #MulherDeCoragem",2024-09-29T23:08:17.898Z,0,1,8,2024-09-29T23:08:17.898Z,psol50.org.br,PSOL 50,did:plc:uynd7wwmon5g7qmlisgy4yvw
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5enshv2ey24,bafyreig2zosk6yve4ed4z34u45cudlqxt7kj3zps34citxhn2grf372dlq,"🔆 Em Vitória é Camila 50, sim! É incrível ver tanta gente somando nessa onda de esperança por uma cidade de mais oportunidades! 

Falta pouco! Compartilhe com quem precisa conhecer os planos de novos sonhos! 

📲 Siga e compartilhe nosso perfil @prefeitacamila50!",2024-09-30T11:59:46.265Z,0,0,5,2024-09-30T11:59:46.265Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5ccfdo5mo2o,bafyreiff2gybc4l7gqpihsrntzdbeyhiglim6fdainzuph36oaa2xhmnpa,"Faltam apenas 7 dias para fazermos história em Vitória! Estamos em contagem regressiva para eleger a primeira mulher prefeita da cidade!

No dia 6 de outubro, vote 5️⃣0️⃣, vote em Camila Valadão!

🔁 Compartilhe nossas ideias venha somar nessa caminhada de esperança!",2024-09-29T13:30:14.230Z,0,1,14,2024-09-29T13:30:14.230Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l57mgbi5c32u,bafyreianji7lofgmrakgx7yru4ndcum5mnhk6kxrlnwfsnrqs5mb7suc5a,"Conheça nossas propostas e siga @prefeitacamila50 para conhecer mais.

🔄 Compartilhe e ajude a espalhar essa ideia!",2024-09-28T11:51:42.101Z,0,0,1,2024-09-28T11:51:42.101Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l57mekctof24,bafyreic75jkoz7tkw7fbfkdbedid6oqou4ie6yqekqheao5i6qig4pxjaq,🐶🐱🐾 E se o seu pet pudesse votar? Ele escolheria quem realmente cuida e protege! Nosso projeto para Vitória é comprometido em construir uma cidade mais amigável e segura para nossos bichinhos.,2024-09-28T11:50:44.244Z,1,0,2,2024-09-28T11:50:44.244Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l56gwzls3w2h,bafyreidwmuip7ay6wftlimrhhi3sm7hsrqwdjfexbo7tol4b6j4pmpjjue," A deputada federal de São Paulo, Sâmia Bonfim, tem um recado especial para quem quer ver Vitória avançar com coragem e compromisso! 

▶️ Veja vídeo e comente o apoio da nossa companheira nessa jornada

Vote 5️⃣0️⃣!",2024-09-28T00:41:03.545Z,0,0,12,2024-09-28T00:41:03.545Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l554cjox252o,bafyreiewfwg73se2ua3qbv3fzm6ezbucwx7agz3af2oaxzpbapkrgxto5m,"Compartilhe estas propostas e ajude a espalhar essa ideia!

📲 Siga @prefeitacamila50 e fique por dentro das nossas propostas!",2024-09-27T11:57:58.643Z,0,1,4,2024-09-27T11:57:58.643Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l554ak44rv2o,bafyreichs3mgvf2jjcw4liecyjkzeqkd53jjstzvo3yvitgfcgeqa63rdq,"Vitória merece uma gestão que cuida do meio ambiente e enfrenta as mudanças climáticas com CORAGEM!

Descubra como Vitória será uma cidade que prioriza a sustentabilidade!",2024-09-27T11:56:51.972Z,1,2,5,2024-09-27T11:56:51.972Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l53q4hm3762d,bafyreibw7xlejo6fkpfraitjvld3uif52n57ume3wb5ln2scnsm4jhpy4e,"Hoje foi dia de movimentar São Pedro com nosso carro de som e espalhar esperança pelas ruas! 

Teve panfletaço e bandeiraço na Avenida Serafim Derenzi, com a nossa energia e muita gente abraçando o projeto de uma Vitória de mais oportunidades para todas as pessoas!",2024-09-26T22:47:10.443Z,0,0,0,2024-09-26T22:47:10.443Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l52tiuad5c24,bafyreiepsun7lsw7dhcfb6r4lmvjktcmgmcthnlvemfgngyei3jqhc6e5u,"Vista-se de alegria para festejar com a gente o carnaval de novos sonhos para Vitória no dia 28 de setembro, sábado, às 9h! Vai ter carreata também! A concentração será na praça do papa!

É hora de vibrar, cantar e mostrar a força da nossa campanha! 🎶💛",2024-09-26T14:15:06.799Z,0,0,0,2024-09-26T14:15:06.799Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l52tile4kx2q,bafyreiaadlqgtty3vdsddvytat6btq34bzphv3j5zljca4qjocpwgnp2ae,"✨ VAI COMEÇAR!!!

📺 Camila AO VIVO na TV Tribuna!

🔗 Acompanhe pelo canal 7 ou no YouTube da Tribuna Online: www.youtube.com/watch?v=y9iJ...

☀️ MANDE O SEU APOIO ☀️
comente Camila Valadão 5️⃣0️⃣ no chat do youtube!

✨ PREFEITA É CAMILA VALADÃO 5️⃣0️⃣✊🏾",2024-09-26T14:14:58.998Z,0,0,0,2024-09-26T14:14:58.998Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l52tfvlgji2a,bafyreiempc7i77ipaeq6f4sg3wiscskeynekk5iddonau2bbskexuzwta4,"É FESTA, meu povo!! Preparem-se para um desfile de alegria pelas ruas de Vitória com a nossa Carreta Valadão!! 

📣 Chame a galera! Marque seus amigos e venham juntos fazer esse carnaval da democracia!

Te espero lá! 👋🏾

#CamilaValadão50 #CarretaValadão #Carreata #Vote50 #Eleição2024",2024-09-26T14:13:27.247Z,1,0,4,2024-09-26T14:13:27.247Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l52kc54k5a2f,bafyreiaekhz7fb6fwreaqmm3pyumhsefb3mfiluu224rxgwxzyqfoafa2y,"Vamos construir uma cidade mais justa, cuidadora e inclusiva!

Me conta nos comentários se já segue nosso perfil @prefeitacamila50 para ficar por dentro do nosso programa de governo!",2024-09-26T11:30:18.776Z,0,0,2,2024-09-26T11:30:18.776Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
