reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:nxnxu6qmluukxx2buftonk6c/app.bsky.feed.post/3l5jq5qzpxb2q,bafyreiflmzelo7u65dvvwdqsn5uu6ceoypp4gj6zpuzdgonbbncwt7biua,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5jo4zdypf2s,Eu que agradeço o apoio ❤️,Nós que agradecemos pessoas tão guerreiras representando o @pt.org.br,2024-10-02T12:25:10.172Z,0,0,2,2024-10-02T12:25:10.172Z,coletivosalapt.bsky.social,@ColetivoSalaPT ,did:plc:nxnxu6qmluukxx2buftonk6c
at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5gzmbq3oz27,bafyreidqxloaumewfd3yamglqo5cz3lmlxumgpxkomfa7h5jigdcrl3mtq,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5gzkse24f2f,"O retorno que recebemos das ruas nos mostra que estamos no caminho certo. Agora, chegou a hora daquele esforço final para reeleger esse mandato que tanto te orgulha. Vem com a gente buscar aquele voto indeciso que falta. Converse com seus familiares, amigos e manda um inbox para os contatinhos 😉",Com o coração repleto de alegria e muito afeto eu peço o seu voto para que possamos continuar lutando por uma Floripa mais justa e mais humana. Dia 6 de outubro É CARLA OUTRA VEZ!,2024-10-01T10:36:21.913Z,0,3,13,2024-10-01T10:36:21.913Z,carlaayres.bsky.social,Carla Ayres,did:plc:apizz2flssfr2tunsnixydbd
at://did:plc:2ecdwjcqhhyxzlobvvn77tmc/app.bsky.feed.post/3l5gzu26ibk2w,bafyreias7g2ncccehj23tajsswbdrjp7ftttvzbopsscykg3gi6xbdu66y,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5gzkse24f2f,"O retorno que recebemos das ruas nos mostra que estamos no caminho certo. Agora, chegou a hora daquele esforço final para reeleger esse mandato que tanto te orgulha. Vem com a gente buscar aquele voto indeciso que falta. Converse com seus familiares, amigos e manda um inbox para os contatinhos 😉",Boa sorte Carlinha.,2024-10-01T10:40:42.325Z,1,0,1,2024-10-01T10:40:42.325Z,paulabeiro.bsky.social,Paula Beiro,did:plc:2ecdwjcqhhyxzlobvvn77tmc
at://did:plc:73i7n5piiqfuviyydhwodwgb/app.bsky.feed.post/3l5ewiyxhkl2w,bafyreifhgpgboioamh2phgykqvmwutgz3mfliqkmklydr4jjjbj5soccnm,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5esjg5lfn2s,Muito obrigada pelo apoio 🥰❤️,✊🏽❤️😘,2024-09-30T14:35:31.109Z,0,0,0,2024-09-30T14:35:31.109Z,leticiaha.bsky.social,LetíciaHa 🚩🏳️‍🌈,did:plc:73i7n5piiqfuviyydhwodwgb
at://did:plc:4klkjhxckzrscbyuuthyruzu/app.bsky.feed.post/3l5esrec55d2s,bafyreieeoup6ewjghuu2gndfqhusdyvut6vbd2qjgvxx2gtl5jlifdsohy,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5esjg5lfn2s,Muito obrigada pelo apoio 🥰❤️,"A minha tb, sempre ♥️",2024-09-30T13:28:36.830Z,1,0,2,2024-09-30T13:28:36.830Z,spiceee.bsky.social,Spiceee,did:plc:4klkjhxckzrscbyuuthyruzu
at://did:plc:zuio4zwigar7dp662ap3ckqs/app.bsky.feed.post/3l5dfab3a6c26,bafyreidpqwzxdwggearx3lo3ezbnkwuz4caxpd2mfqthi7aejusj2ibqpu,at://did:plc:vfwb3qvgj5cef6j3nybcloip/app.bsky.feed.post/3l5cmrtghe52b,Dilma Rousseff recebe medalha de amizade diretamente das mãos do presidente chinês Xi Jinping.,"Nós lutamos pelo reconhecimento da capacidade e respeito pelo Brasil e seu povo. 
Dilma Rousseff merece todas as homenagens. 
Não fosse o golpe reconheço que nada se passaria de tão complicado em minha vida. 
Dilma foi uma grande PresidentA.",2024-09-29T23:53:43.239Z,0,0,0,2024-09-29T23:53:43.239Z,velindade.bsky.social,Velinda Luciana 🚩❤️🇧🇷,did:plc:zuio4zwigar7dp662ap3ckqs
at://did:plc:yamlkcifxgngz4lt35jbnt2y/app.bsky.feed.post/3l5cwhg5vx52l,bafyreifqvvsapy5zqo44mziti2nv2vgnhibm54vwgodusdyaerpgwnqlnu,at://did:plc:vfwb3qvgj5cef6j3nybcloip/app.bsky.feed.post/3l5cmrtghe52b,Dilma Rousseff recebe medalha de amizade diretamente das mãos do presidente chinês Xi Jinping.,Por LULAS a 100 anos e o Brasil virava uma potência,2024-09-29T19:29:18.534Z,0,1,1,2024-09-29T19:29:18.534Z,dregypt.bsky.social,Dr. Democrata 🚩🇧🇷 🇵🇸à ESQUERDA,did:plc:yamlkcifxgngz4lt35jbnt2y
at://did:plc:xvuk7qii6uzoeyqmr6s4uaq7/app.bsky.feed.post/3l5d3pgn66n2h,bafyreic5z5ewfiwpi226ipcsjcjwql3akjubdaipdtjb24hfzyf5bfncmi,at://did:plc:vfwb3qvgj5cef6j3nybcloip/app.bsky.feed.post/3l5cmrtghe52b,Dilma Rousseff recebe medalha de amizade diretamente das mãos do presidente chinês Xi Jinping.,👏👏👏👏👏👏,2024-09-29T21:03:16.334Z,0,1,1,2024-09-29T21:03:16.334Z,maria-52.bsky.social,,did:plc:xvuk7qii6uzoeyqmr6s4uaq7
at://did:plc:xmqits7xgnagn5s5l5zbctto/app.bsky.feed.post/3l5cqesrvwn2d,bafyreih5fnickifh2mjdsc6somtbwzsuai2o65serrtytgxxednlpp5d5i,at://did:plc:vfwb3qvgj5cef6j3nybcloip/app.bsky.feed.post/3l5cmrtghe52b,Dilma Rousseff recebe medalha de amizade diretamente das mãos do presidente chinês Xi Jinping.,Brabíssima!! @dilmaresiste.bsky.social. Puro orgulho de ve-la em defesa dos interesses que interessam  aos do Bircs. E isto é a maior revolução dos tempos modernos.,2024-09-29T17:40:29.485Z,0,2,11,2024-09-29T17:40:29.111Z,anabhenriques.bsky.social,,did:plc:xmqits7xgnagn5s5l5zbctto
at://did:plc:xi5sh7vvbl25cxlqwmby2zca/app.bsky.feed.post/3l5cy5zoaxg2x,bafyreiglbaws35tsv67xsyzocqlvlqjtoj6v3whfvzt6yrypevohjrdyte,at://did:plc:vfwb3qvgj5cef6j3nybcloip/app.bsky.feed.post/3l5cmrtghe52b,Dilma Rousseff recebe medalha de amizade diretamente das mãos do presidente chinês Xi Jinping.,"Dizia um antigo proverbio Chines: ""Esperarei o cadaver dos meus inimigos passarem sentado do outro lado do rio""!",2024-09-29T19:59:49.871Z,0,1,2,2024-09-29T19:59:49.871Z,mstadri.bsky.social,,did:plc:xi5sh7vvbl25cxlqwmby2zca
at://did:plc:xhg5g5dlb6i3kzdyn77dvl2x/app.bsky.feed.post/3l5cz5ghxov2r,bafyreiharvglnohd4yk2gcbjqtqezhi2vp77zjmmqi3morwukqikdzffr4,at://did:plc:vfwb3qvgj5cef6j3nybcloip/app.bsky.feed.post/3l5cmrtghe52b,Dilma Rousseff recebe medalha de amizade diretamente das mãos do presidente chinês Xi Jinping.,O q essa mulher já sofreu e levou de porrada da vida o universo está voltando em coisas boas agora…,2024-09-29T20:17:24.723Z,0,1,2,2024-09-29T20:17:24.723Z,sissipas.bsky.social,Sissi,did:plc:xhg5g5dlb6i3kzdyn77dvl2x
at://did:plc:x74xp3ryu7edkwyepdtnlzue/app.bsky.feed.post/3l5dd4eydcy2f,bafyreib43vh32xk6ftjiqac76zywaobv5enqhbs5okasmcbd6jdsurrnm4,at://did:plc:vfwb3qvgj5cef6j3nybcloip/app.bsky.feed.post/3l5cmrtghe52b,Dilma Rousseff recebe medalha de amizade diretamente das mãos do presidente chinês Xi Jinping.,youtu.be/HDW4nSSQHug?...,2024-09-29T23:15:47.725Z,0,0,0,2024-09-29T23:15:47.314Z,sid480.bsky.social,Sid,did:plc:x74xp3ryu7edkwyepdtnlzue
at://did:plc:wwhbryrpxyh3hmr5uz4jekc4/app.bsky.feed.post/3l5cx2xfb662q,bafyreiecgqm5v2nuhqbglldzj3k7nqm3xosbkm7d34lbyunr3rricjhsk4,at://did:plc:vfwb3qvgj5cef6j3nybcloip/app.bsky.feed.post/3l5cmrtghe52b,Dilma Rousseff recebe medalha de amizade diretamente das mãos do presidente chinês Xi Jinping.,A MÃE TÁ ON,2024-09-29T19:40:13.758Z,0,2,3,2024-09-29T19:40:13.758Z,jessicacrvz.bsky.social,Jéssica Cruz 🌊☀️,did:plc:wwhbryrpxyh3hmr5uz4jekc4
at://did:plc:wrpvvtpy3pjcdesnexihlpq2/app.bsky.feed.post/3l5enzskaow2u,bafyreidzaguxr5lbfasbdzkq44pqx5c2fiqk2bcju3igfi534zki7lmboq,at://did:plc:vfwb3qvgj5cef6j3nybcloip/app.bsky.feed.post/3l5cmrtghe52b,Dilma Rousseff recebe medalha de amizade diretamente das mãos do presidente chinês Xi Jinping.,ORGULHO DA NOSSA PRESIDENTA!,2024-09-30T12:03:50.895Z,0,0,3,2024-09-30T12:03:50.895Z,batucada.bsky.social,,did:plc:wrpvvtpy3pjcdesnexihlpq2
