reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:qcbkcct6utyc5r6yvccfjg42/app.bsky.feed.post/3l5yv7s6v2s2t,bafyreibg2tixwksvq73pq4kr2xwaxc7fcbqdba2m4k5w7qlv37umu46ata,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5ytqqmqj62s,"O PT segue se fortalecendo em todo o Brasil ⭐️

Nosso partido elegeu 3.130 vereadores e vereadoras no país, contra 2.668 que havíam sido eleitos em 2020. Um crescimento de 17,3%. Aqui em Floripa, agora teremos duas cadeiras: com o professor Bruno e comigo.",carlaayres.bsky.social,"O povo queria uma mágica da multiplicação dos votos depois de quase 10 anos de ataques incessantes! O partido tá se refortalecendo, e está no caminho",2024-10-08T13:05:43.425Z,0,0,2,2024-10-08T13:05:43.425Z,josepennafort.bsky.social,José Pennafort ⭐️🏳️‍🌈🇧🇷 ☭,did:plc:qcbkcct6utyc5r6yvccfjg42
at://did:plc:admgsq2ovyqqwmr3zrckpmj2/app.bsky.feed.post/3l5z67ih3ms2j,bafyreiakdfvwaegjb5l7idccrwnd3texznd6ftilygkm3zn4ygckkae2uu,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5ytqqmqj62s,"O PT segue se fortalecendo em todo o Brasil ⭐️

Nosso partido elegeu 3.130 vereadores e vereadoras no país, contra 2.668 que havíam sido eleitos em 2020. Um crescimento de 17,3%. Aqui em Floripa, agora teremos duas cadeiras: com o professor Bruno e comigo.",carlaayres.bsky.social,"Bom dia, Carla! Esta na hora de voce sair para Deputada Estadual.
Parabéns à voce e a todos envolvidos na sua campanha.
Quem ganha é Floripa e seu povo! ❤",2024-10-08T15:46:36.590Z,0,0,0,2024-10-08T15:46:36.590Z,elisabetholiva1.bsky.social,Elisabeth Oliva ,did:plc:admgsq2ovyqqwmr3zrckpmj2
at://did:plc:yq36xobcelcxbpgcyx27rbpg/app.bsky.feed.post/3l5uvrthqqd2b,bafyreicn6ah6a7h4jmuaofbelw7xjl2s5i5jvhri22nfmcm65bv5hac43a,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,"Parabéns, Carla! Um alento saber que vc continua na Câmara",2024-10-06T23:05:09.339Z,0,0,0,2024-10-06T23:05:09.339Z,afasia.bsky.social,Latinoamericana,did:plc:yq36xobcelcxbpgcyx27rbpg
at://did:plc:wjto4stheysukc64ombolufe/app.bsky.feed.post/3l5xnty6yzn2i,bafyreiaslbrmt6notvultowpi6v7l5ge7xjjjkf5zimvanfozbjjppvaza,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,Parabéns,2024-10-08T01:21:10.710Z,0,0,0,2024-10-08T01:21:10.710Z,petistacritico.bsky.social,,did:plc:wjto4stheysukc64ombolufe
at://did:plc:wcrrprvg5u4ed3ff5smauhjx/app.bsky.feed.post/3l5wzlmzgxs2s,bafyreihk3vkj5kllvllde7dktsyoxkulqkoznv7ybdl4fuhc4pdl756nbu,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,Parabéns ✊🏼✊🏼✊🏼,2024-10-07T19:18:35.768Z,0,0,0,2024-10-07T19:18:35.768Z,mperna.bsky.social,,did:plc:wcrrprvg5u4ed3ff5smauhjx
at://did:plc:w42nlhd22a57zd3jljl2tire/app.bsky.feed.post/3l5wddkucxe2f,bafyreigvm3vqxkwia33mvzplrj7or4wmxt6es5coviebjtrdybrgrodsya,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,Parabéns !!,2024-10-07T12:40:22.697Z,0,0,0,2024-10-07T12:40:22.697Z,adrianobaboo.bsky.social,Baboo,did:plc:w42nlhd22a57zd3jljl2tire
at://did:plc:sjxm7co3dtxljtn7wxkedsnm/app.bsky.feed.post/3l5wdvma2wd26,bafyreib2ilg3q6tj6lodw42u6q4xrrq4cdutz5ru62f3ej6e5fsa6w4yqe,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,"Parabéns, Carla!",2024-10-07T12:50:27.910Z,0,0,0,2024-10-07T12:50:27.910Z,hugobezerra.bsky.social,Hugo Bezerra 🚩,did:plc:sjxm7co3dtxljtn7wxkedsnm
at://did:plc:sdbsfltas3zg2am3dl76cobl/app.bsky.feed.post/3l5xjgnu7wc2j,bafyreihd3oxl6cx5yvll6vmvfkp2pkaofx3rskynqw45rfuk25msglu47i,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,Parabéns Carla!!,2024-10-08T00:02:08.031Z,0,0,0,2024-10-08T00:02:08.031Z,daniel-miranda.bsky.social,Daniel Miranda ,did:plc:sdbsfltas3zg2am3dl76cobl
at://did:plc:s376c5xbs3yhvbs7j552lju3/app.bsky.feed.post/3l5v2fkyys32o,bafyreif5m6ubsst2r4kd65yat77azbe6xicx7uvwultkqxl7ungexbutli,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,Meus parabéns minha candidata,2024-10-07T00:27:46.733Z,0,0,0,2024-10-07T00:27:46.733Z,orlei13.bsky.social,,did:plc:s376c5xbs3yhvbs7j552lju3
at://did:plc:rj7dlca3d6kmbik34jebakae/app.bsky.feed.post/3l5uv7q66wf2u,bafyreicre4h34at5vfqwjsekhdth46uhkussck3k7n6wibfgzyb3jxuwxe,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,"Parabéns, Carla!! 🎉🎉🎉",2024-10-06T22:54:57.364Z,0,0,0,2024-10-06T22:54:57.364Z,pocai.bsky.social,André,did:plc:rj7dlca3d6kmbik34jebakae
at://did:plc:rfioo5clkqihqifbdzaroywm/app.bsky.feed.post/3l5z6uaipdq2g,bafyreieskc7aumtyzwycwat5w3itdxt57wk3ljvmuszaveargwdoq4snt4,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,Parabéns e a luta continua.,2024-10-08T15:58:13.119Z,0,0,1,2024-10-08T15:58:13.119Z,ajatini.bsky.social,Ajatini,did:plc:rfioo5clkqihqifbdzaroywm
at://did:plc:ni6aatxmsalf44r4cbt5kfhy/app.bsky.feed.post/3l5uvsbsppb2v,bafyreic6ryurkyrigdbcb4sftwvmwxtaj6nwduj3gm6s2uuaqmrywooza4,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,"PARABÉNS!!
Um alento para o campo popular",2024-10-06T23:05:25.206Z,0,0,0,2024-10-06T23:05:25.014Z,jornaldocampeche.bsky.social,Jornal do Campeche,did:plc:ni6aatxmsalf44r4cbt5kfhy
at://did:plc:locyms2iidvla2o4roejoltw/app.bsky.feed.post/3l5uw34luwe2s,bafyreib7fjjaupzfnpgczjigvgjc2qq7t3r6jwz54uw3j4mhwjmz2vwmeu,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,Parabéns Carla 👏👏👏,2024-10-06T23:10:20.945Z,0,0,0,2024-10-06T23:10:20.945Z,kelfiori.bsky.social,Kelfiori🚩,did:plc:locyms2iidvla2o4roejoltw
at://did:plc:kxrzzxphhhnambm56hismggb/app.bsky.feed.post/3l5uv6eqoa42l,bafyreigzhyk45hytybaw73zr5e5nfus4u7txuajgkgc2xfsrswd3bmrcyi,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,"Parabéns, Carla!!❤️",2024-10-06T22:54:16.765Z,0,0,0,2024-10-06T22:54:16.765Z,claudiapolo.bsky.social,Claudia Polo,did:plc:kxrzzxphhhnambm56hismggb
at://did:plc:jo2lwjls6iij726uuram35kf/app.bsky.feed.post/3l5uvcu2zoz2f,bafyreif6pxul2qplko4fualweaxd554otg5xl3g6fo7rxykdpayn3v2enu,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,Parabéns!,2024-10-06T22:56:06.042Z,0,0,0,2024-10-06T22:56:06.042Z,glauciats.bsky.social,,did:plc:jo2lwjls6iij726uuram35kf
at://did:plc:iqtb67wjmgkxggybmdignzi3/app.bsky.feed.post/3l5x6rn7hf22d,bafyreicdswfi3vhwdpsywpojbq5diauq4z45fuxj3d2tsaqjpuunug624e,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,"@rosanatosin.bsky.social 
Uma luz SC",2024-10-07T20:51:27.495Z,0,0,1,2024-10-07T20:51:26.611Z,romaatanasio.bsky.social,Maria ,did:plc:iqtb67wjmgkxggybmdignzi3
at://did:plc:iqtb67wjmgkxggybmdignzi3/app.bsky.feed.post/3l5x6jiaxxi27,bafyreiau4ecfyjjo7pkp4t4rpwcaenwsw5xknu4mv6kqenlscez5ierg6e,at://did:plc:apizz2flssfr2tunsnixydbd/app.bsky.feed.post/3l5uv2klioq2b,"5.743 VEZES OBRIGADA, FLORIPA ❤️ 

Reelegemos a primeira vereadora assumidamente lésbica da história de Florianópolis.

MUITO OBRIGADA ❤️ SEGUIREMOS TRABALHANDO POR FLORIPA E POR VOCÊ!",carlaayres.bsky.social,"Tô sabendo.
Fiquei bem feliz.
Mereces.",2024-10-07T20:46:53.706Z,0,0,0,2024-10-07T20:46:52.916Z,romaatanasio.bsky.social,Maria ,did:plc:iqtb67wjmgkxggybmdignzi3
