uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xojyou6s2y,bafyreie2q3ektsoawbgu62i6s7r2goxva23jf56ihqrt5wnapjcv6ayjwe,"BH enfrenta uma disputa civilizatória contra a extrema direita que pode destruir as políticas públicas construídas na nossa cidade desde a redemocratização do país. 

Por isso, a partir de agora, estarei totalmente empenhada na reeleição do Prefeito Fuad contra o candidato de Bolsonaro.",2024-10-08T01:33:29.859Z,3,25,113,2024-10-08T01:33:29.859Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,bafyreiavosunilruoceyeqvrpzrgvjf4roq4h6tiovaprufv2ld3us4bti,💖🌻🥹,2024-10-07T23:33:02.236Z,21,6,139,2024-10-07T23:33:02.236Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhrsav3x26,bafyreigg6sxpcetm5zbeddsvh3ki32zy7m4dwvn3rauikqrd4b23zt6o6e,Muito obrigada!,2024-10-07T23:32:35.327Z,0,0,1,2024-10-07T23:32:35.327Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5skmygsq62y,bafyreihcig66htuk54cbof2va3upvvxreeaovzpr2ykcukr6kx44pxe7hq,Segunda-feira estarei lá!,2024-10-06T00:40:16.486Z,0,0,1,2024-10-06T00:40:16.486Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5sklrxhpg2y,bafyreibldt6uc5dxom5hrmskyfm4rirnpdqcu4ago53pe4ikzkhoqbdj5a,Amo vocês duas! ❤️❤️,2024-10-06T00:39:36.135Z,0,0,1,2024-10-06T00:39:36.135Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5sfcfezcw2h,bafyreiazcvqsqpzgglina2uaha3h5sofzckvfh4grlxyyioaf4mbj3mjdm,ai blusinha que coisa boa,2024-10-05T23:04:53.467Z,1,0,1,2024-10-05T23:04:52.710Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5sfb3kycn22,bafyreiataopfr2f5brdmlywb4a5m6phzl2mulcbo5afc56b6zsdua65ogy,,2024-10-05T23:04:09.615Z,0,0,0,2024-10-05T23:04:09.615Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5sf7xkqgh2k,bafyreib3l2kqm6wnruc7swse6olfizsyio7pmr3txt4srwxvyqmlqfmetm,tem até figurino pra votar!!!,2024-10-05T23:03:31.866Z,1,0,1,2024-10-05T23:03:31.010Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5sf5hdszr2r,bafyreialcllg4nsm64ar23truczvdihsebe624netecliz5obozjq62w4e,Obaaaaaa,2024-10-05T23:02:07.753Z,0,0,1,2024-10-05T23:02:06.812Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5s5r7txoo2m,bafyreihh6rggz7hexmta7qmx2m5eqcmtnq4dm4tallq3d7gwwu2o2u47ru,BH!!!! VOTA EM MIM,2024-10-05T20:49:59.927Z,15,9,81,2024-10-05T20:49:59.927Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5rm3wwozm24,bafyreihquautvhtwlg4ggeoyvfkz5dcwaseqe654g4ndz2loaiwms2xryu,"Paulo, eu estou achando o cenário da prefeitura tão grave, que acho que a prioridade deve ser essa discussão. Precisamos tirar votos do Tramonte! Aí eu tô achando que a bandeira tanto faz. Tem gente que gosta, outros não… E nós não podemos nos desgastar ou nos dividir sobre isso. Bj",2024-10-05T15:33:52.214Z,0,0,0,2024-10-05T15:33:52.214Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5rlwddnt52n,bafyreihmd7nn7qnqwijuso6hwajlrfdud6lhd53m2usvrrandwslnsdx4i,www.cidafalabella.com.br,2024-10-05T15:30:43.889Z,0,1,7,2024-10-05T15:30:43.889Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5rlvbahu52n,bafyreicyh777unty3ryrbnkqylixgsczfhj2iofia3ctzk452zjt2fdbzu,Kakakaka,2024-10-05T15:30:08.135Z,0,0,1,2024-10-05T15:30:08.135Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5pl77f7fc2y,bafyreifxid5wbjhwnnai47j3nhytcsw3csogwcjq5dpmjmb6nkgr6qlq4e,É 50.018 - Cida Falabella vereadora ☀️,2024-10-04T20:12:28.543Z,1,0,3,2024-10-04T20:12:28.543Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:ti4zmkstdldc5ka6nbxn64pw/app.bsky.feed.post/3l5nmg23gur2m,bafyreib32bwownhl343xlzbsiaxvihaqw6thmsnogubjt5x5omtfbv6fsq,Eu vou na @cidafalabella.bsky.social pela 3ª ou 4ª vez já. Excelente vereadora. 50018.,2024-10-04T01:28:52.131Z,0,1,14,2024-10-04T01:28:52.131Z,fermarcolla.bsky.social,Fernanda Marçolla 🇧🇷 🇫🇷,did:plc:ti4zmkstdldc5ka6nbxn64pw
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5pl4j5b4g2v,bafyreiaea6qcvcpwuximzxjgfvfcwukycmo4rl6dapvdhb6ndz7ponfs5e,Kakaka adorei! Mas vamos ser vereadora mesmo que tá de bom tamanho. Rs,2024-10-04T20:10:58.104Z,0,0,1,2024-10-04T20:10:58.104Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5pb6plhng2h,bafyreib2qyvlzlq2yivj5ouyqwfuyi7svmql3wl4ursd3eulbwrvgn66py,"Olha, isso ainda não foi definido formalmente, até porque o nosso partido tem uma candidatura no 1º turno! Mas eu acredito que o PSOL tem tudo para caminhar nesse sentido, caso as pesquisas se confirmem.",2024-10-04T17:13:14.733Z,1,0,4,2024-10-04T17:13:14.733Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5p5wmglgy2c,bafyreig43rav442lfevrwwssuj67qlf7nwnxsxidormmjg2bloetpnlpje,"😥EMPATE TRIPLO NAS ELEIÇÕES EM BH:
pesquisa Itatiaia/Doxa de 04/10

🟠 TRAMONTE (REP) 22,9% (-3,9)
🟢 ENGLER (PL) 21,8% (+4,9)
🔵 FUAD (PSD) 21% (+1)

🟣 DUDA (PDT) 8,3% (+1,2)
🔴 ROGÉRIO (PT) 5,1% (-1,5)
🟡 GABRIEL (MDB) 4,3% (-0,2)
🟤 VIANA (PODE) 2,7% (-0,3)

⚪ Branco/Nulo 8,4%
⚫ Ñ sabe 5,1% (-2)",2024-10-04T16:15:01.236Z,3,1,19,2024-10-04T16:15:01.236Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5nevgmti42z,bafyreiaxbqr6qfdr7d4s3okutqnawsqqmf2oku25pb5auyjyjcg6ndis5e,"🚨ELEIÇÕES EM BH 🚨
pesquisa Datafolha em 3/10

🟢ENGLER (PL) 21% (+3)
🔵FUAD (PSD) 21% (+3)
🟠TRAMONTE (REP) 21% (-7)

🟣DUDA (PDT) 9% (=)
🟡GABRIEL (MDB) 7% (+4)
🔴ROGÉRIO (PT) 6% (=)
🟤VIANA (PODE) 3% (-2)

⚪️Brancos/Nulos 7% (=)
⚫️Ñ sabe 5% (=)

*a última pesquisa foi em 18/9",2024-10-03T23:14:18.063Z,7,1,18,2024-10-03T23:14:18.063Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:vyx7vnxb6vipeegevs7cwv6c/app.bsky.feed.post/3l5ndp2lcgs2c,bafyreicha5bksd5dxs7v6vzkl7szpkbafu3bglx3vk3xjcdagtxh2frxai,@cidafalabella.bsky.social para belo horizonte :D,2024-10-03T22:52:51.693Z,0,1,8,2024-10-03T22:52:51.410Z,gabyfraga.bsky.social,Gaby está escrevendo 🦹‍♂️🦸‍♀️💪💣,did:plc:vyx7vnxb6vipeegevs7cwv6c
at://did:plc:nejnjjp5aqxkuf6he7dyfsxo/app.bsky.feed.post/3l5klbdncpz2z,bafyreif6b4szyttfl7ylzp6dm6ale5g5ccup7avpokwpg5357zxlo4bsgu,Se tu é de Belo Horizonte e ainda não sabe em quem votar pra vereador (a) da uma olhadinha nas propostas da  @cidafalabella.bsky.social   e domingo aperta 50018,2024-10-02T20:30:21.305Z,1,4,23,2024-10-02T20:30:21.305Z,stamusica.bsky.social,StaMusica,did:plc:nejnjjp5aqxkuf6he7dyfsxo
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5k7homdj224,bafyreibe5rif4s2nszohexdyzkyi6yckynn4zxzzmm4ifvsnt2ppv7orsi,"Obrigada pela correção, André. Eu tinha me baseado no post da Quaest que saiu há alguma horas, acabei me confundindo. Peço desculpas pelo equívoco, é que meu alarme tá on mesmo. Rs.",2024-10-02T16:59:09.235Z,0,0,1,2024-10-02T16:59:09.235Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5jyvsswmo2f,bafyreiemcbq6zffr3sacu2tcuk5kt2jswsg7asyos53ceijsqsjakn75ay,É terrível!!!!,2024-10-02T15:01:47.366Z,0,0,1,2024-10-02T15:01:47.366Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5ilzum3yh2n,bafyreicea63da62wizuvhgszp7ljmekyre6m64frmg6ymulx6ghncjbm2m,"🙏🚨🙏 O avião que transportava o presidente Lula já pousou em segurança na Cidade do México! Após sofrer um problema técnico, foi necessário voar em círculos por quatro horas e meia, com apenas uma turbina funcionando",2024-10-02T01:38:44.706Z,1,5,55,2024-10-02T01:38:44.706Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5ih4xteff22,bafyreibxrmpk6c4c7rjbydh5ibdlupfscfklam6iorvpc5m7giizs356iq,"Lula tá tranquilo, mas eu não. Já na vela aqui pra Senhora Aparecida",2024-10-02T00:11:00.433Z,5,10,71,2024-10-02T00:11:00.433Z,cidafalabella.bsky.social,Cida Falabella ,did:plc:mlmrbzflfuj3ezqobqnbqm4d
