reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:vpibvvvtg5k7okew3jzjgon3/app.bsky.feed.post/3l5xptxqmrb2a,bafyreibxohdpkulrp6em5yxl6qe2napkcpqan44t36i6og2aib6bm7rmdy,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xojyou6s2y,"BH enfrenta uma disputa civilizatória contra a extrema direita que pode destruir as políticas públicas construídas na nossa cidade desde a redemocratização do país. 

Por isso, a partir de agora, estarei totalmente empenhada na reeleição do Prefeito Fuad contra o candidato de Bolsonaro.",cidafalabella.bsky.social,minha candidata e agora do meu pai também!,2024-10-08T01:56:57.798Z,0,0,1,2024-10-08T01:56:57.798Z,marialeite.bsky.social,maria,did:plc:vpibvvvtg5k7okew3jzjgon3
at://did:plc:h3se7dsipsppqwtcmyghb3th/app.bsky.feed.post/3l5xop7uu352l,bafyreih4ijlf7px6e6n6dc27segn2sdflw3wycz2u37cmbddr5f7dpzd3u,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xojyou6s2y,"BH enfrenta uma disputa civilizatória contra a extrema direita que pode destruir as políticas públicas construídas na nossa cidade desde a redemocratização do país. 

Por isso, a partir de agora, estarei totalmente empenhada na reeleição do Prefeito Fuad contra o candidato de Bolsonaro.",cidafalabella.bsky.social,É o segundo turno da extrema direita x a estranha direita. Que Lástima!,2024-10-08T01:36:25.129Z,1,0,4,2024-10-08T01:36:25.129Z,judiniz22.bsky.social,Juliana Diniz Pena,did:plc:h3se7dsipsppqwtcmyghb3th
at://did:plc:4hf7kld3zzzgllsfrkzivfg5/app.bsky.feed.post/3l5xpj2taup2h,bafyreieney3d3uhfvse6qifa3zf4g4vxvja7k22duhvszoug7xs3qy334e,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xojyou6s2y,"BH enfrenta uma disputa civilizatória contra a extrema direita que pode destruir as políticas públicas construídas na nossa cidade desde a redemocratização do país. 

Por isso, a partir de agora, estarei totalmente empenhada na reeleição do Prefeito Fuad contra o candidato de Bolsonaro.",cidafalabella.bsky.social,Estaremos juntos nessa empreitada!👏,2024-10-08T01:50:52.517Z,0,0,1,2024-10-08T01:50:52.508Z,flarobsal.bsky.social,Salvador Daqui,did:plc:4hf7kld3zzzgllsfrkzivfg5
at://did:plc:z2kpjn33q4ugzeanrvxen7py/app.bsky.feed.post/3l5xkmpu5wd2p,bafyreiaidklswjrinkbpzwbzef7mjozlxmrkt6w3fpobdfskvuzkxomdfu,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,Também junto Cida. Parabéns,2024-10-08T00:23:26.486Z,0,0,1,2024-10-08T00:23:26.486Z,profalessandro.bsky.social,Prof. Me.  Alessandro ,did:plc:z2kpjn33q4ugzeanrvxen7py
at://did:plc:x47f5nctybzajuwxv3z2qfgn/app.bsky.feed.post/3l5xktrwjay2e,bafyreidllug4nd6p7zmefjgsztydejxm6fisqqsc4qffvtvhbptathzjrq,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,Que alegria,2024-10-08T00:27:23.819Z,0,0,0,2024-10-08T00:27:23.610Z,galou2bh.galo.cam,Cristiano,did:plc:x47f5nctybzajuwxv3z2qfgn
at://did:plc:wytthdycjrstlv5gbjbao7nj/app.bsky.feed.post/3l5xi2jc3ws24,bafyreifc6sri4awaaaye75nx3poiwskuxg2v22hjln7jz7ky6wsxxduxfm,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,boa,2024-10-07T23:37:28.735Z,0,0,1,2024-10-07T23:37:28.114Z,mrpedrok.bsky.social,MrPedrok ,did:plc:wytthdycjrstlv5gbjbao7nj
at://did:plc:v5pukclmmulu2zlkje2pnqnw/app.bsky.feed.post/3l5xi5ozaqr2j,bafyreiau4rrgxkctex4gkg26gvaecdgntpxmjvx7ns2vw5mrqoquagbxoq,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Que maravilha. Parabéns,  Cida😍",2024-10-07T23:39:15.091Z,0,0,1,2024-10-07T23:39:14.810Z,marimeireles.bsky.social,Mari Meireles,did:plc:v5pukclmmulu2zlkje2pnqnw
at://did:plc:v3jprcihejtgmu3ddxhai7ck/app.bsky.feed.post/3l5xkwiaimo27,bafyreiefkyhg7vw3feqzuxjwm6ixs6cjsunj36p7pifadzo5digt47il6e,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Parabéns, Cida!!",2024-10-08T00:28:53.759Z,0,0,0,2024-10-08T00:28:53.759Z,lucasandrade13.galo.cam,Lucas Andrade,did:plc:v3jprcihejtgmu3ddxhai7ck
at://did:plc:u7wnfneclmy635jtgvrn77rh/app.bsky.feed.post/3l5xjzkgfus2q,bafyreiegktqqrpjntveafinu2rsw7gyxblpv7xiq7rhdanf7ca52igzumq,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,parabéns cida!,2024-10-08T00:12:43.414Z,0,0,0,2024-10-08T00:12:43.309Z,marxcelo.bsky.social,webdivo marcelo,did:plc:u7wnfneclmy635jtgvrn77rh
at://did:plc:tourc4o45vlrq7xcle3c6pno/app.bsky.feed.post/3l5xikfuwm42s,bafyreibkl37kpdtxrylcnn752jnvyvjm7lb7zsc3i5kgjtwvfgami4atqm,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,viva! 🫶,2024-10-07T23:46:21.104Z,0,0,1,2024-10-07T23:46:21.104Z,pauloproenca.bsky.social,Paulo Proença,did:plc:tourc4o45vlrq7xcle3c6pno
at://did:plc:tkvvlaxqthre2lsirmgij2w6/app.bsky.feed.post/3l5xitxvs3m2w,bafyreig7gjt62ofa42pulkzcld4a4ocxnbf24ouxwt35hqzklldnqoxa2a,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Parabéns!! Feliz demais com você, Juhlia e Iza na câmara.",2024-10-07T23:51:42.125Z,0,0,1,2024-10-07T23:51:42.125Z,marcellacna.bsky.social,Marcella,did:plc:tkvvlaxqthre2lsirmgij2w6
at://did:plc:snwmozvuahxxwhjtczaeha7n/app.bsky.feed.post/3l5yj6jgc7l22,bafyreifuucodc3f263ypgwt5hlmrkl4nhl4zdovuy32xkmyw5xgu2jepwq,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Parabéns, Cida! 💜",2024-10-08T09:30:15.247Z,0,0,0,2024-10-08T09:30:15.247Z,rusalki.bsky.social,Núbia ,did:plc:snwmozvuahxxwhjtczaeha7n
at://did:plc:sdmz3uqj3o6ambi7i7q4mjjd/app.bsky.feed.post/3l5xi5wrebk2f,bafyreigcc6657iukglwigimquuy26gxudiiikpoxmejg27ukyrvwnljptu,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,Tão feliz por você,2024-10-07T23:39:22.735Z,0,0,1,2024-10-07T23:39:22.735Z,celsenrique.bsky.social,,did:plc:sdmz3uqj3o6ambi7i7q4mjjd
at://did:plc:lvzconzschf66xne2tq5mywc/app.bsky.feed.post/3l5xis6pza425,bafyreihkoyvgqc5ztt7jryspp34ywg6vgyuxgazuk2dz24723lqkapnp7e,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,Que bom ter você por mais um mandato. Feliz que teremos um grupo maior junto com você na luta. Muita força para os próximos 4 anos.,2024-10-07T23:50:41.077Z,0,1,1,2024-10-07T23:50:41.077Z,gobira.bsky.social,Gobira 🚩,did:plc:lvzconzschf66xne2tq5mywc
at://did:plc:l5gux47n4oinsg4srnsldzet/app.bsky.feed.post/3l5xiyi3v2e2i,bafyreiflw45ldcems2446wruico53rme6eml66tmqk2xgvct7lwneenzku,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Feliz por vc, Cida!",2024-10-07T23:54:10.182Z,0,0,1,2024-10-07T23:54:10.182Z,waltherjr.bsky.social,Walther Júnior🚩🚩🚩,did:plc:l5gux47n4oinsg4srnsldzet
at://did:plc:j3ywndfbrhxhjb5byqlwi53j/app.bsky.feed.post/3l5xlhgj6wa26,bafyreibpsr7w6xp37h2sdk7g6jpkpz6nwtai3nnvesr5i276yj6ykzqxby,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Diva
Maravilhosa 
Linda
Perfeita

Tem meu voto sempre 🥰🥰🥰",2024-10-08T00:38:21.937Z,0,0,0,2024-10-08T00:38:21.937Z,sanchessss.bsky.social,🦊💙,did:plc:j3ywndfbrhxhjb5byqlwi53j
at://did:plc:iqxo4ewe37ile4uoaftopnv5/app.bsky.feed.post/3l5xmzozxjd2a,bafyreihytym4rj65omzcfmh4leisalupdjukfodkfxo666fhugyszqmdhm,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Ganha BH! Parabéns, Cida!",2024-10-08T01:06:29.009Z,0,0,0,2024-10-08T01:06:29.009Z,paulohalonso.bsky.social,Paulo H Alonso,did:plc:iqxo4ewe37ile4uoaftopnv5
at://did:plc:h3eus6xcfyzg3nfgacwzuisx/app.bsky.feed.post/3l5xin327fe24,bafyreieyu6krd5mrrjrbneixckuiw2kl5u7nhafah5h5cindiodgxxlipi,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Parabéns, vereatriz!!!! Contra a caretice pra macetar a extrema direita na câmara de BH!! Parabéns e conte com a gente! 🥰",2024-10-07T23:47:49.927Z,0,1,1,2024-10-07T23:47:49.927Z,ellejb.bsky.social,Elen Braga ,did:plc:h3eus6xcfyzg3nfgacwzuisx
at://did:plc:fap4xxioh3fydtna2sm2rpta/app.bsky.feed.post/3l5xk2m2h5v2z,bafyreiagbjcwll6ebn72xdclcgwkavxwstcioxeawfxsbvwhe73vxh5frq,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,Parabéns Cida🌻✊️,2024-10-08T00:13:17.910Z,0,0,0,2024-10-08T00:13:17.910Z,olgacris.bsky.social,Olga Damasceno ,did:plc:fap4xxioh3fydtna2sm2rpta
at://did:plc:ddejou6ib6ud5jnib5ooffph/app.bsky.feed.post/3l5xjweyqiy2q,bafyreif2r5at6ty6lm3deakr27rdragqvtamc6tbhruklmfbd4fbw3hr2y,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,Minha candidata ❤️ feliz demais por essas 4 mulheres d esquerda q entraram! 💃💃💃💃,2024-10-08T00:10:56.521Z,0,0,0,2024-10-08T00:10:56.521Z,lisiamaria.bsky.social,😎🪡🤓💃🌈🫀🖤😻🤍😻,did:plc:ddejou6ib6ud5jnib5ooffph
at://did:plc:am3kfv5nrhcahd67koufqgml/app.bsky.feed.post/3l5xo2x3adg2o,bafyreiggh7qol354owan3m62jsski5aiif4bva77crogz2nzhp37dc5tja,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Muito feliz, Cida 🥰",2024-10-08T01:25:04.828Z,0,0,0,2024-10-08T01:25:04.828Z,janainaoliveira.bsky.social,Janaina Oliveira ,did:plc:am3kfv5nrhcahd67koufqgml
at://did:plc:66v3suanybe75sll3a7zxftw/app.bsky.feed.post/3l5yiz7eujy2r,bafyreiafnzzj23a6dedcswgpaxujpec3oe5izoy7k52pk4ltibia4apgli,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Parabéns, Cida!",2024-10-08T09:27:38.853Z,0,0,0,2024-10-08T09:27:18.010Z,edisenra.bsky.social,EdiSenra🇵🇸,did:plc:66v3suanybe75sll3a7zxftw
at://did:plc:2ufwsxtoq42grzzrttx4sb2t/app.bsky.feed.post/3l5xiaip2fy2e,bafyreieair3blm4k46b7j2dln3srcvl2wzavpz2jkdee2qddpovjosu44q,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Parabéns, vereatriz",2024-10-07T23:40:48.131Z,0,0,2,2024-10-07T23:40:48.131Z,zonalast.bsky.social,letocia,did:plc:2ufwsxtoq42grzzrttx4sb2t
at://did:plc:2tkr3hnkvrmjcr2dx2zmmv4r/app.bsky.feed.post/3l5xhxtepvb2u,bafyreidvsuujwmn25qyhpri3fid5e5bfx4zgmrq6qnae6v2q5osv3caneu,at://did:plc:mlmrbzflfuj3ezqobqnbqm4d/app.bsky.feed.post/3l5xhslw5kp2h,💖🌻🥹,cidafalabella.bsky.social,"Parabéns, Cida!",2024-10-07T23:35:57.285Z,0,0,1,2024-10-07T23:35:57.285Z,mitraud.galo.cam,mitraud ,did:plc:2tkr3hnkvrmjcr2dx2zmmv4r
