uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5yyw6d3wv2z,bafyreidufoi5v7nhxdoxochcsnzr745w72khvobq7zr5rb4idy3bfy3koa,É sobre eleições e sobre coisas além de eleições,2024-10-08T14:11:26.998Z,0,6,29,2024-10-08T14:11:26.998Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5x7cz3rfh2b,bafyreifywnqtwrr7ldazvqeuedqtaf4mwx3zdqiw7ktfu2kdgmbetcl3sq,"Sempre! Em eleição ou não, estaremos no bom combate ✊🏾",2024-10-07T21:00:40.565Z,1,0,1,2024-10-07T21:00:40.565Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5wosp4zjp2y,bafyreiashodgmimu7g3cheusogdm5zfdtbnymmgcxnqyehzlpcp6ki2hom,E não posso deixar de dizer: SE O MARÇAL NÃO FOI PARA O SEGUNDO TURNO É PORQUE NÃO SE ESFORÇOU O SUFICIENTE 😂,2024-10-07T16:05:12.638Z,1,3,48,2024-10-07T16:05:12.638Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5wn7rde6l2p,bafyreiajy5h2cg7d3k5va4lii7uvn234t7f37gllk6oxrsfpsbww3v52fe,Lume 💜💚,2024-10-07T15:36:44.398Z,0,0,1,2024-10-07T15:36:44.398Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5wn26q3uh2y,bafyreibyh52i3s7ozeuibbi6vror32zxgc3d5hdw4cpou5piczxbob2lpm,"A força e a mão negra que constroem São Paulo e é assim, de braços abertos e com acolhimento que sigo por justiça social!

Muito obrigada! A mãe segue firme, na luta e pelo futuro",2024-10-07T15:33:37.118Z,0,0,3,2024-10-07T15:33:37.118Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5wmzovzgw2z,bafyreibmpufun2xw66mqpt4gqy6izl57x2bit2ofywg3mkmtcvjq4mrqay,"Nossa luta não começou agora... veio de muito longe! É ancestral! E é com a força da ancestralidade que seguirei lutando diariamente, nas ocupações, nas periferias, em todas as regiões desta cidade e por todas as famílias que resistem pela garantia de direitos!",2024-10-07T15:33:20.234Z,1,0,4,2024-10-07T15:33:20.234Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5wmz67izx2y,bafyreiakv2rsmtg5bdhmyfcx6hjxrhb7r7n4vxhwq4leudhj52ozfu5kc4,"Da menina negra da periferia até a mulher e mãe que sou, as muitas faces da minha vida: cozinheira, professora, coordenadora do MTST e presidenta do PSOL São Paulo, me fazem seguir na luta por teto, trabalho e pão para todos e todas desta metrópole.",2024-10-07T15:33:03.014Z,1,0,5,2024-10-07T15:33:03.014Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5wmykjhtz2q,bafyreiaiox4qj4fbrnfaskjhpmeagnqzrhgjzdppaeotpu3eepxiqxwm7e,"Foram meses de campanha, muitas mãos, vozes e corações nessa caminhada que não se encerra agora porque seguiremos de cabeça erguida e ecoando vozes por justiça social.",2024-10-07T15:32:42.058Z,1,0,5,2024-10-07T15:32:42.058Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5wmxrj5ty2g,bafyreibtkkyochoqakhbyecg4cb7v5rwzj5vdpq5xvir5aj4qtxxx4vnga,"Nós, mulheres negras, nunca paramos de lutar!

Quero agradecer cada voto, a cada um de vocês que acreditou na força transformadora de uma mãe sem teto e trabalhadora para a Câmara Municipal de São Paulo e para representar milhões de vidas!",2024-10-07T15:32:16.144Z,3,17,206,2024-10-07T15:32:16.144Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
at://did:plc:sf45ohi7n4ecvedaiwoddytn/app.bsky.feed.post/3l5skv6bwmy2d,bafyreichz3qdensoyrdxlmrh7u7z4lrryp75d7clbhlofs24xfaymoh7we,"E meu último post antes da eleição é essa colinha para você mandar pra geral!

5️⃣0️⃣ para Prefeito 
5️⃣0️⃣1️⃣1️⃣0️⃣ para Vereadora 🔥",2024-10-06T00:44:22.269Z,1,2,15,2024-10-06T00:44:22.269Z,deboralimamtst.bsky.social,Débora Lima 5️⃣0️⃣1️⃣1️⃣0️⃣,did:plc:sf45ohi7n4ecvedaiwoddytn
