uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l5nmrwx7ud2l,bafyreihll5dnz7drkpqughx32jf466vzhwztbbabq2g6gfji6iihycoypa,"Mais 40 mil vagas em creches, horário em integral, educação pública de qualidade e com acesso para todas as crianças.🧡",2024-10-04T01:35:31.267Z,0,0,0,2024-10-04T01:35:31.267Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l5nm6nx4u52l,bafyreickfg7bdm6wthb4tbzhtww76i7zltbv5qxuprzbolyvpgm2egsip4,"Eduardo Paes tem história, trabalho e compromisso. E quero perpetuar a história e expandir mais oportunidades para educação do RJ.",2024-10-04T01:24:44.176Z,0,0,0,2024-10-04T01:24:44.176Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l5nlt2iyh22e,bafyreicgoogqnsnsgsruor2nkm4z32bj5krb3ahqk7254yflxcsclnbmhi,Vamos de debate? É #55 para Prefeito e 55121 para Vereadora! 🧡,2024-10-04T01:18:15.154Z,0,0,0,2024-10-04T01:18:15.154Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l4bq2ebtrh2h,bafyreihuqf52zyf3d2cqntkrisdicw5i3pj7vmi34ub2l3coui72i6skpq,"A verdadeira liderança se constrói com equilíbrio, seriedade e respeito às diferenças.",2024-09-16T14:36:46.705Z,0,0,0,2024-09-16T14:36:46.705Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l4bq2adnh22y,bafyreigwmm5twf6luowmm6n5zvdn6deengx5rizrr4d4nslr5bjbnkmet4,"Ataques e violência só agravam o distanciamento entre o povo e seus representantes.

Precisamos de debates que priorizem a solução dos nossos problemas diários, como educação, saúde e segurança, e não de espetáculos tristes que desviam o foco do que realmente importa.",2024-09-16T14:36:42.072Z,0,0,0,2024-09-16T14:36:42.072Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l4bpzicrqo2m,bafyreiavdio23jndmr2i2rjt2c4xnbaxbrsh2axdioglxcdc2qz77repfe,"A política não pode se reduzir a momentos de tensão explosiva, onde o que importa é ""derrubar"" o adversário. Pelo contrário, o verdadeiro desafio é construir pontes, apresentar propostas concretas e, acima de tudo, ouvir o que o eleitor precisa.",2024-09-16T14:36:16.949Z,0,0,0,2024-09-16T14:36:16.949Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l4bpylad3o2w,bafyreihzmothl6swlr6ncsx3tbhji64eu5vazmoksoabc5ajxex6begf3m,"Em vez de discutirem ideias, presenciamos uma cena lamentável, onde o desrespeito prevaleceu sobre o diálogo e a troca de ideias. Situações como essas afastam ainda mais a população dos processos políticos, já tão desacreditados por parte da sociedade.",2024-09-16T14:35:46.892Z,0,0,0,2024-09-16T14:35:46.892Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l4bpyfj4pz2l,bafyreibftwjqf5xzmjiubd6urotdexlv45mdzh4exp5pa2efez74abmwzu,Ontem vimos mais uma vez o que a política não deve ser: um palco de agressões e ataques pessoais.,2024-09-16T14:35:40.496Z,0,0,0,2024-09-16T14:35:40.496Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l3kuzt5g4j2u,bafyreie22ypurjrh4efunibvuknfydrbbufaxnvr2jp6lsnelelpkbuaou,"Por fim, exigimos apuração rigorosa dos fatos e justiça. 
Não mais seremos silenciadas e estamos lutando pela nossa independência em todos os aspectos!",2024-09-07T12:34:43.487Z,0,0,1,2024-09-07T12:34:43.487Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l3kssy7lo72v,bafyreig4fpcfrzyhs7rxiv7jke2is76ugq3co4kwosqybemifw3nyqedli,"Em segundo, infelizmente os casos de assédio não se encerram por aí, há muitas subnotificações, por medo de denunciar. Nós, mulheres, somos mesmo independentes por completo?",2024-09-07T11:55:05.744Z,0,0,0,2024-09-07T11:55:05.744Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l3ksshshyi26,bafyreifv5j4es74jvdvgpnwbu4t5gbjhcz6cwn6mmfaf5rtz644hv4y6pm,"Em primeiro lugar, toda a minha solidariedade e meu abraço a ministra Anielle Franco e todas as mulheres envolvidas no caso.",2024-09-07T11:54:48.561Z,0,0,0,2024-09-07T11:54:48.561Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l3ksruwuue25,bafyreifnr35rp7nidztxrzxzylmrz5cvfmghwpvz2qczdmq2sojr4zvjy4,"Hoje o Brasil comemora a sua “Independência”, mas infelizmente um dia antes vieram a tona casos graves de assédio.",2024-09-07T11:54:29.188Z,0,0,0,2024-09-07T11:54:29.188Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
at://did:plc:3kj6s42xhrvp3lj62uaqvmqy/app.bsky.feed.post/3l3bofh6wrc2t,bafyreigesqcfizhhqmz7sofclvkj66feqwzaemtqr5uan4jjimufhy57ou,Chegamos por aqui para propagar e espalhar nossa campanha pela educação pública de qualidade.,2024-09-03T20:41:54.619Z,0,0,1,2024-09-03T20:41:54.619Z,eucarolguedes.bsky.social,Carol Guedes I 55121,did:plc:3kj6s42xhrvp3lj62uaqvmqy
