reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did,palavras_encontradas,contagem_palavras
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rp7kpqg72t,bafyreie6bq2utags3xwbtra57kbkyum3ittjo6markaebsvl2qlzk37tv4,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rp6gr3r62m,"Oie! Peço licença para me auto recomendar haha 💕

Estou no time do Boulos, nº 50000, mulher preta, travesti, intersexo, do axé, periférica da ZL, positHIVa contra o estigma, trabalhadora do SUS, Mestra em Sociais e ativista do movimento social. ⤵️",acarolinaiara.bsky.social,"Meu compromisso com a justiça social e climática marcaram minha experiência na bancada feminista.

Quem sabe vc dá uma olhada e gosta das minhas propostas: bit.ly/PropostasCarol

Agora todo voto conta 🫰 Podemos ser muitas e múltiplas vereadoras progressistas! 🙏5️⃣0️⃣0️⃣0️⃣0️⃣✅️",2024-10-05T16:29:34Z,0,0,3,2024-10-05T16:29:34Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r,feminista,1
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5roz3kau52w,bafyreiey7aztxkqyxbxb7yheb4frb73i6xcag3cyxvnznugaz4pinkseza,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5roy4tc2x2c,"Oie! Peço licença para me auto recomendar haha 💕

Estou no time do Boulos, nº 50000, mulher preta, travesti, intersexo, do axé, periférica da ZL, positHIVa contra o estigma, trabalhadora do SUS, Mestra em Sociais e ativista do movimento social. ⤵️",acarolinaiara.bsky.social,"Meu compromisso com a justiça social e climática marcaram minha experiência na bancada feminista.

Quem sabe vc dá uma olhada e gosta das minhas propostas: bit.ly/PropostasCarol

Agora todo voto conta 🫰 Podemos ser muitas e múltiplas vereadoras progressistas! 🙏5️⃣0️⃣0️⃣0️⃣0️⃣✅️",2024-10-05T16:25:57Z,0,0,1,2024-10-05T16:25:57Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r,feminista,1
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5roogmz4x2o,bafyreickbdy6wqq4khplwjgcoahtn7k2xzd6mnraxye6mujkctugma3nia,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5rojsfg5l2o,"Oie! Peço licença para me auto recomendar haha 💕

Estou no time do Boulos, nº 50000, mulher preta, travesti, intersexo, do axé, periférica da ZL, positHIVa contra o estigma, trabalhadora do SUS, Mestra em Sociais e ativista do movimento social. ⤵️",acarolinaiara.bsky.social,"Meu compromisso com a justiça social e climática marcaram minha experiência na bancada feminista.

Quem sabe vc dá uma olhada e gosta das minhas propostas: bit.ly/PropostasCarol

Agora todo voto conta 🫰 Podemos ser muitas e múltiplas vereadoras progressistas! 🙏5️⃣0️⃣0️⃣0️⃣0️⃣✅️",2024-10-05T16:19:59Z,0,0,1,2024-10-05T16:19:59Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r,feminista,1
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5qenjxtfi2c,bafyreibp54fmdmtxaxlgbkeebvr2jdbifuboocdt4wrw6ji7g7oznlroya,at://did:plc:gpunjjgvlyb4racypz3yfiq4/app.bsky.feed.post/3l5qe5oj7um2v,"Circulando em grupos algumas análises sustentando que a suposta remoção do conteúdo pela Meta seria, na verdade, forjada por Marçal para se vitimizar (“fui vítima de censura”); no lugar, ele teria apagado o post. Reparem que o print aparece como dia 5, enquanto a postagem foi feita ainda no dia 4",jnascim.info,O documento não está lá nesse momento. Mas honestamente tudo é realmente possivel porque esse canalha não tem nenhum limite e precisa ser impedido.,2024-10-05T03:47:52Z,0,0,5,2024-10-05T03:47:52Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r,canalha,1
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5nnnrvlg42m,bafyreiexyrazfd2gyezj44gkvaz5uvdgmsqqg3lzpn25pjmlnbvafo2uim,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5nn5mqbdr2z,"Olhe no olho do Nunes, você vê verdade nele? Olhe no olho do Marçal, você vê alguma coisa que não seja vaidade ali? Domingo, vote 50. #BoulosPrefeito50 #DebateNaGlobo",guilhermeboulos.bsky.social,"É na rua, na rede, na raça, é contra dois bolsonaristas, contra o descaso e a vaidade e VAMOS VENCER! É 50!

#BoulosPrefeito50 #DebateNaGlobo",2024-10-04T01:51:06Z,0,1,1,2024-10-04T01:51:06Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r,raça,1
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5kg5agtpi2i,bafyreihjedxnpoxu5pna4ttmxchtujiy7ee3fekrba2ion7dtlxumdwmse,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5kfw5lqcg2j,"PROPOSTAS PARA UMA SP ANTIRRACISTA 📌

1️⃣ Lutar contra a tecnologia racista de reconhecimento facial
2️⃣ Criação de Canal de Atendimento para denúncias de racismo e condutas análogas na cidade
3️⃣ Formar profissionais do SUS em saúde integral da pop negra
4️⃣ Formação antirracista e de DHs para a GCM",acarolinaiara.bsky.social,"5️⃣ Defender memória e justiça racial na cidade
6️⃣ Implementar as leis federais 10.639 e 11.645 que garantem ensino de história e cultura afro-brasileira nas escolas
7️⃣ Defender a infância e juventude preta livre da violência policial
8️⃣ Fortalecer os equipamentos de cultura na periferia",2024-10-02T18:58:35Z,0,2,6,2024-10-02T18:58:35Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r,preta,1
at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5aabggrc72i,bafyreihub24bhv4hbrsvh2unkcvi5xjmxi6rrdzllcxbwejopufzkxfwti,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l5aa3vlycd2x,"PROPOSTAS PARA A SAÚDE 📌

Sou trabalhadora do SUS e sei que a gestão de Ricardo Nunes é péssima, mas tem jeito com Boulos!

Minhas prioridades como verê são:

1️⃣ + Servidores já com contratação emergencial e concurso público
2️⃣ Piso salarial da enfermagem já e expandido p/ outras categorias 🧶",acarolinaiara.bsky.social,"3️⃣ Garantir direitos sexuais e reprodutivos a todas as pessoas com útero, ampliando a rede do aborto legal. CRIANÇA NÃO É MÃE!
4️⃣ Foco e investimento na atenção primária com + médicos de família + médicos especialistas, Poupatempo da saúde e unidades novas na periferia!",2024-09-28T17:46:55Z,0,0,1,2024-09-28T17:46:55Z,acarolinaiara.bsky.social,Carol Iara,did:plc:jvaauryzuvqbfhbhgrryb22r,aborto,1
at://did:plc:dzcmwripvh7etsik7rrivrqn/app.bsky.feed.post/3l5324cgm3g26,bafyreig43hhymt6zhjm25kcdxpgk2c6voqcomyl2dyy2hhp5pkwg2o7p3m,at://did:plc:bvdczzyaip2klzg5lcxqnxms/app.bsky.feed.post/3l52zdgtycp2e,"Com a conivência da ONU, EUA e outros países, o estado genocida de Israel segue assassinando inocentes. Dessa vez as vítimas foram o adolescente Ali Kamal Abdallah, de 15 anos, e o pai dele, Haj Kamal Abdallah, que é paraguaio, e foram atingidos por um foguete na cidade de Kelya.",lazarorosa.bsky.social,"Nem Lúcifer é tão ruim que nem esse Nataniahu, fdp. Aliás, @lucifer tá por aqui?",2024-09-26T16:13:24Z,1,0,5,2024-09-26T16:13:23Z,marciocarr.bsky.social,Márcio Carreiro,did:plc:dzcmwripvh7etsik7rrivrqn,fdp,1
at://did:plc:3x2bdfehxbfc2dzjwzwydadx/app.bsky.feed.post/3l4w7llemzk2h,bafyreiev7kf2p32jz2mxniaima55yqfb2germ3vk6h6zxyhfjcvdl77fna,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l4umds6bje2m,"🚨🚨🚨🚨🚨

Não há democracia com fascista no debate.

Chega de mentiras, provocação e misoginia.

✊🏽Assine para enviar às emissoras uma mensagem em alto e bom som: Fora Pablo Marçal dos debates 👇🏿

bit.ly/foramarcal

#calabocamarcal 
#foramarcaldosdebates",acarolinaiara.bsky.social,"Na verdade, democracia é isso, se o povo quer governo fascista, vai ter governo fascista.

Faz anos que tão alertando isso, democracia não funciona, mas ficam nessa de ""Olhem pra mim! Estou defendendo a democracia! Eu sou um herói! Vamos exaltar o Xandão! O maior defensor da democracia de todos!""",2024-09-24T18:08:05Z,1,0,0,2024-09-24T18:08:05Z,memetichazard.bsky.social,Memetic Hazard,did:plc:3x2bdfehxbfc2dzjwzwydadx,fascista,2
at://did:plc:ydgmaduzli77vqfptme7n4jk/app.bsky.feed.post/3l4uke7lgje25,bafyreih4dvoqnftfwuyxlygursimkutttxgbvuk4hakl4dywunokq2je34,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l4uj7yui3w2k,"Medo de ir no banheiro de madrugada e encontrar a Marina Helena falando em 1min. Socorro! 

Puro suco de liberalismo cafona.

#DebateFlow #DebateFlowNews",acarolinaiara.bsky.social,"Ela tem medo do hino nacional neutro, mas não tem medo de aluno em insegurança alimentar, sem acesso a cultura, de tantos projetos INCRÍVEIS de alunos de instituições públicas sendo jogados no lixo",2024-09-24T02:15:28Z,1,0,1,2024-09-24T02:15:28Z,redjunny.bsky.social,Junny,did:plc:ydgmaduzli77vqfptme7n4jk,lixo,1
at://did:plc:rt5at6f55fh2psomf6b6isy2/app.bsky.feed.post/3l4edazrzlv2h,bafyreihwh3vbkxtybpiqd2hgs75cjvh33rltfml4znu27fa7rd62lvwoym,at://did:plc:jvaauryzuvqbfhbhgrryb22r/app.bsky.feed.post/3l4ebhorltp24,"Quanta ignorância da candidata do Novo no debate de SP. 

Ela chamou as pessoas (inclusive quem não precisa) a entrar no app para marcar consulta. O @guilhermeboulos.bsky.social vem denunciando o problema da fila, mas flodar o app desnecessariamente não dá!
#BoulosPrefeito50 #DebateUOL #DebateRedeTv",acarolinaiara.bsky.social,Ela não fala nem o portugues corretamente! Candidata fraca demais,2024-09-17T15:25:51Z,1,0,0,2024-09-17T15:25:51Z,prigranzotto.bsky.social,Pri,did:plc:rt5at6f55fh2psomf6b6isy2,fraca,1
at://did:plc:zng4df335ksphunidzkp6mdq/app.bsky.feed.post/3l3w47a627f2h,bafyreihoyvlbxxl2phiqlp3va5waxtfuwv6n4ykjcfaxr3lhcqyxh2ncha,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l3ux2qse652v,"Bom dia com notícia boa, gente!

Nova pesquisa AtlasIntel confirma: seguimos na liderança, com 28% das intenções de voto.

Vamos em frente com coragem e esperança para melhorar nossa cidade e cuidar do nosso povo. Vamo pra cima!",guilhermeboulos.bsky.social,"Bote e sature Marta e Lula na TV, Boulos. E fala mais do que vc fez e do que fará!

E sature Marta em todo e qualquer lugar! Nos palanques, nas redes e etc!! Deixa essa mulher falar!!! Marta nunca é demais!!!

E acho que seria legal pedir apoio de mais artistas do rap e do funk além do Rei Emicida!",2024-09-11T23:42:15Z,0,0,0,2024-09-11T23:42:15Z,guimariane94.bsky.social,Guimariane 🪑,did:plc:zng4df335ksphunidzkp6mdq,mulher,1
at://did:plc:spegtvou5trs7x5weqrd5s56/app.bsky.feed.post/3l3vdyip6en26,bafyreih4efgrkcfssxplcs6ztiv3inj6ur4kdig2yzzv65awaqutgwp2e4,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l3ux2qse652v,"Bom dia com notícia boa, gente!

Nova pesquisa AtlasIntel confirma: seguimos na liderança, com 28% das intenções de voto.

Vamos em frente com coragem e esperança para melhorar nossa cidade e cuidar do nosso povo. Vamo pra cima!",guilhermeboulos.bsky.social,Não vai ser fácil derrotar os fascista. Boa sorte. Torcendo aqui🤞.,2024-09-11T16:29:06Z,0,0,0,2024-09-11T16:29:02Z,biadru.bsky.social,BiaDru,did:plc:spegtvou5trs7x5weqrd5s56,fascista,1
at://did:plc:r3tkqapqqxln5gssmssrd7ed/app.bsky.feed.post/3l3uy223mjr22,bafyreickp3u6ru6rjebc3ogdklpdbo7uotjnruilxz4zy6ewqloutyphpa,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l3ux2qse652v,"Bom dia com notícia boa, gente!

Nova pesquisa AtlasIntel confirma: seguimos na liderança, com 28% das intenções de voto.

Vamos em frente com coragem e esperança para melhorar nossa cidade e cuidar do nosso povo. Vamo pra cima!",guilhermeboulos.bsky.social,"Sou da quebrada, Pedreira Zona Sul e a campanha por lá está bem fraca!! Por lá do da Nunes, quem melhorar muito!! Pra ganhar a gente precisa da quebrada!!",2024-09-11T12:55:09Z,0,0,1,2024-09-11T12:55:09Z,maxsoares13.bsky.social,NA,did:plc:r3tkqapqqxln5gssmssrd7ed,fraca,1
at://did:plc:nimudto5da6anuytifmeepd4/app.bsky.feed.post/3l3w2yh2wcd24,bafyreigtp6up2lcdvfsbcvqbesrih6ihjepzganfhxn5agmef3ecuqjgri,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l3ux2qse652v,"Bom dia com notícia boa, gente!

Nova pesquisa AtlasIntel confirma: seguimos na liderança, com 28% das intenções de voto.

Vamos em frente com coragem e esperança para melhorar nossa cidade e cuidar do nosso povo. Vamo pra cima!",guilhermeboulos.bsky.social,Não a quest foi péssima seus eleitores de 16 a 35 anos migraram pro Marçal....pega o código,2024-09-11T23:20:36Z,0,0,0,2024-09-11T23:20:36Z,rossanarv.bsky.social,Rossana,did:plc:nimudto5da6anuytifmeepd4,péssima,1
