uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:mxp33ep3bi54odnx7wmqjjaa/app.bsky.feed.post/3l5wmuyqj7s2f,bafyreiact5flheitepcafw362xbrbomufz4y37ht3hrpln4gfgfhd6kxqi,Parabéns pra nós!,2024-10-07T15:31:11.418Z,0,0,1,2024-10-07T15:31:11.418Z,iza-lourenca.bsky.social,Iza Lourença 50099,did:plc:mxp33ep3bi54odnx7wmqjjaa
at://did:plc:mxp33ep3bi54odnx7wmqjjaa/app.bsky.feed.post/3l5wmuk5p3c2o,bafyreihkngful3eimro2asrwqg5zdmob7i6ei4pcgl7gkwy4d5a5j2hbne,A vitória é nossa!!,2024-10-07T15:30:56.338Z,0,0,1,2024-10-07T15:30:56.338Z,iza-lourenca.bsky.social,Iza Lourença 50099,did:plc:mxp33ep3bi54odnx7wmqjjaa
at://did:plc:mxp33ep3bi54odnx7wmqjjaa/app.bsky.feed.post/3l5wmu6vsqj2u,bafyreidqmzsoxknjtnclqb55kbbo6qmtjkgn7w3opoielr3sh76iqusjjm,Muita felicidade!!!,2024-10-07T15:30:44.556Z,1,0,1,2024-10-07T15:30:44.556Z,iza-lourenca.bsky.social,Iza Lourença 50099,did:plc:mxp33ep3bi54odnx7wmqjjaa
at://did:plc:mxp33ep3bi54odnx7wmqjjaa/app.bsky.feed.post/3l5wegqtdrm2v,bafyreicvy23ky644nrwd47lobxfcg7o2z5awvctfp2agbohspgju2u2h2y,"Muito obrigada a todo mundo que fez história comigo! É a primeira vez que uma mulher negra é reeleita em BH! Com 21485 votos, sou a terceira mais votada! Vamos permanecer pq nosso sonho é coletivo! E BH nunca foi eles, sempre foi nóis! Nossa luta tá só começando! Vamo com tudo! 🚀",2024-10-07T13:00:02.888Z,5,11,87,2024-10-07T13:00:02.888Z,iza-lourenca.bsky.social,Iza Lourença 50099,did:plc:mxp33ep3bi54odnx7wmqjjaa
at://did:plc:eklykv7ifxqdecyga4qluqyi/app.bsky.feed.post/3l5v3lpuw2t2v,bafyreieefskr3hq7r5rydkovey4clcjqd6grsjscsqajge55lc74gx7iqe,Pelo menos reelegemos a @iza-lourenca.bsky.social e a  @cidafalabella.bsky.social,2024-10-07T00:49:06.516Z,0,1,5,2024-10-07T00:49:06.516Z,toscanoigor.bsky.social,Igor Toscano  🏴,did:plc:eklykv7ifxqdecyga4qluqyi
at://did:plc:e465y3c7tedjzfriukpqldpy/app.bsky.feed.post/3l5uy6o3tbi2r,bafyreietdufrifyhuebe3ilm4cz4qygepkxs7e3daixfmuf536kndnewtq,Minha vereadora @iza-lourenca.bsky.social em terceiro entre os vereadores mais votados ❤️,2024-10-06T23:48:08.270Z,1,3,57,2024-10-06T23:48:08.270Z,noimportant.bsky.social,Nobody,did:plc:e465y3c7tedjzfriukpqldpy
at://did:plc:pvevdtzv256tuedr457t4kbl/app.bsky.feed.post/3l5v4nmhqio2p,bafyreiara3ynukby4lh56awej52h2vckekaalapz4efistbioo7urbpzdu,"Que bom que continuaremos com a @iza-lourenca.bsky.social na câmara. Foi um resultado excelente. 
Vamos precisar muito dela! 
✊🏾✊🏾✊🏾",2024-10-07T01:08:04.061Z,1,5,25,2024-10-07T01:08:04.061Z,glaison.bsky.social,Glaison Moura,did:plc:pvevdtzv256tuedr457t4kbl
at://did:plc:pljmk5bsn4rn4liezwl3ggna/app.bsky.feed.post/3l5vba5w3x72o,bafyreidjmouwcy5mszd5yzs2aw55as4p4tv5l35ghf354lria7dqo6zgx4,"Parabéns pra @iza-lourenca.bsky.social , @cidafalabella.bsky.social e Juhlia Santos! Muito feliz que o @psol50.org.br cresceu em BH! ❤️",2024-10-07T02:30:01.671Z,0,1,6,2024-10-07T02:30:01.671Z,carolrodrigues.bsky.social,Carola vota 50099 #BH 🌎🌧️,did:plc:pljmk5bsn4rn4liezwl3ggna
at://did:plc:zq3o5lwieb4aokklziqy6e5a/app.bsky.feed.post/3l5vdjiyb6s2g,bafyreihkdgo5dzfavldfujmotyxq3awvacbjucso7xbll64n7pdmwbxacq,@iza-lourenca.bsky.social  minha vereadora!!!,2024-10-07T03:11:02.693Z,0,1,2,2024-10-07T03:11:02.693Z,milenamendonca.bsky.social,,did:plc:zq3o5lwieb4aokklziqy6e5a
at://did:plc:fw63lpmzxuk4b7brdcsaxeru/app.bsky.feed.post/3l5waytek4v2s,bafyreiau4lsokxnjiss2guuwthwzugxrcihfujthapaoobtsepj2u62m4y,"Parabéns à bancada progressista eleita em Belo Horizonte:
Pedro Rousseff @pedrorousseff13000.bsky.social 
Luiza Dulci 
Pedro Patrus @pedropatrus.bsky.social 
Iza Lourença @iza-lourenca.bsky.social 
Cida Falabella @cidafalabella.bsky.social 
Juhlia Santos 
Edmar Branco",2024-10-07T11:58:35.043Z,1,12,61,2024-10-07T11:58:35.043Z,ciscozappa.bsky.social,Cisco Zappa,did:plc:fw63lpmzxuk4b7brdcsaxeru
