uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5yx6roduc2i,bafyreifxhfnplbkecp7d43zw6iezztwstbm3kaz5wj7ldnhltbduble56m,Penso a mesma coisa,2024-10-08T13:40:57.014Z,0,0,1,2024-10-08T13:40:57.014Z,julianacarvalho13.bsky.social,Juliana Carvalho BH🔺🚩🚩🚩,did:plc:c5armxgtpfymxyqfqzwhqnzy
at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5yx5obryh2s,bafyreia3gkauupeny2rbqewxu7mkk3lqagge4akqagxfn7e7snos5g7vpy,Deve ter outra coisa ao invés de cérebro na cabeça dessa gente,2024-10-08T13:40:19.627Z,1,0,4,2024-10-08T13:40:19.627Z,julianacarvalho13.bsky.social,Juliana Carvalho BH🔺🚩🚩🚩,did:plc:c5armxgtpfymxyqfqzwhqnzy
at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5yx2p2yof2c,bafyreifldrd6d2friby4w3h23dalac4iquucj5vwbpno67px7viblu5mje,Agora é FUAD 5️⃣5️⃣,2024-10-08T13:38:40.055Z,0,4,22,2024-10-08T13:38:40.055Z,julianacarvalho13.bsky.social,Juliana Carvalho BH🔺🚩🚩🚩,did:plc:c5armxgtpfymxyqfqzwhqnzy
at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5yqeklqwd2f,bafyreie2e3ngdgcxutlu6hfgmgeprvf6mqwjjhnyuflownw3ytggxtwbye,**Faltar,2024-10-08T11:38:54.449Z,0,1,5,2024-10-08T11:38:54.449Z,julianacarvalho13.bsky.social,Juliana Carvalho BH🔺🚩🚩🚩,did:plc:c5armxgtpfymxyqfqzwhqnzy
at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5ypglcq232k,bafyreiha7tuhzlf6klnt3psbrcetcvnesuclyajecf4ah4tl5zd57pdfqa,"Eu fico impressionada com o eleitor que vota em Bruno Engler. Um cara que, além de flatar as sessões, não fez nada nos dois mandatos de Deputado Estadual. Desestimulou a população a se vacinar, orientou o gado a tomar cloroquina e ivermectina e só sabe falar mal do nosso Presidente @lula.com.br",2024-10-08T11:22:08.574Z,19,30,187,2024-10-08T11:22:08.574Z,julianacarvalho13.bsky.social,Juliana Carvalho BH🔺🚩🚩🚩,did:plc:c5armxgtpfymxyqfqzwhqnzy
at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5wf6f2nzs2p,bafyreie7yjigj6vb45aahntn27ewyn72booacukew3t3cg6qs3ldjnuczy,,2024-10-07T13:13:16.771Z,1,5,80,2024-10-07T13:13:16.771Z,julianacarvalho13.bsky.social,Juliana Carvalho BH🔺🚩🚩🚩,did:plc:c5armxgtpfymxyqfqzwhqnzy
at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5v4wggosy2b,bafyreibsmmcxqykdgfrsqypedsxmequrn2jvvguhyeea5gisuhmul57spi,"Não foi dessa vez, mas agradeço pela força Amigo",2024-10-07T01:13:00.093Z,0,0,2,2024-10-07T01:13:00.093Z,julianacarvalho13.bsky.social,Juliana Carvalho BH🔺🚩🚩🚩,did:plc:c5armxgtpfymxyqfqzwhqnzy
at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5sejwc3mw2r,bafyreiczjtv3pcvshcjd6oo5no7nmmqq3ljdvnrzckfmagx5wxqgw5jzgu,"#TimeDoLula @lula.com.br, @rogeriocorreia.bsky.social  e @bellagoncalves.com.br
1️⃣3️⃣
Juliana Carvalho  1️⃣3️⃣2️⃣1️⃣3️⃣
Coligação BH da Esperança FEBRASIL (PT/PC do B/PV)/Federação PSOL REDE (PSOL/REDE) /PCB",2024-10-05T22:51:10.916Z,0,1,10,2024-10-05T22:51:10.916Z,julianacarvalho13.bsky.social,Juliana Carvalho BH🔺🚩🚩🚩,did:plc:c5armxgtpfymxyqfqzwhqnzy
at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l2x7dghjiq2k,bafyreibioodwx7fhk3bdwvgtnwket5evh2latykcjavsafzfjkuybko7f4,"Rogério Correia 1⃣3⃣ 
Juliana Carvalho 1⃣3⃣2⃣1⃣3⃣
Coligação BH da Esperança FEBRASIL (PT/PC do B/PV)/Federação PSOL REDE (PSOL/REDE) /PCB
#JulianaCarvalhoVereadora
#RogerioCorreiaPrefeito
#TimeDoLula 
#BH",2024-08-30T16:45:48.645Z,17,197,594,2024-08-30T16:45:48.645Z,julianacarvalho13.bsky.social,Juliana Carvalho BH🔺🚩🚩🚩,did:plc:c5armxgtpfymxyqfqzwhqnzy
at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5p26zgoh22s,bafyreihskheyav6mjoihzx7xhloiuzkxlsfovu5e2vl6wos72apysabyxa,"Vamos todos amanhã para caminhada da virada, vamos abraça Bh.
Comite coligação da Esperanca
 Av. Afonso Pena 2161 as 9:00 hs da manhã. 
 Já marque na sua agenda . Vamos apoiar 
JULIANA CARVALHO para vereadora
👉✅️1️⃣3️⃣2️⃣1️⃣3️⃣👉✅️
ROGERIO CORREIA para prefeito
👉✅️1️⃣3️⃣👉✅️",2024-10-04T15:08:08.439Z,0,6,23,2024-10-04T15:08:08.439Z,julianacarvalho13.bsky.social,Juliana Carvalho BH🔺🚩🚩🚩,did:plc:c5armxgtpfymxyqfqzwhqnzy
