reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:xzbckrq5k2xh4dundnlgb2ld/app.bsky.feed.post/3l5yxpis7jp23,bafyreifm2z2gi4zhltyydmj3awyc7f37dqgesnjnfdzgijunfcu6yxapju,at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5yx5obryh2s,Deve ter outra coisa ao invés de cérebro na cabeça dessa gente,julianacarvalho13.bsky.social,"É um caso a ser estudado por sociólogos,  psiquiatras, psicólogos. Na verdade, é um fenômeno provocado pela televisão, principalmente a Globo,  Record e SBT.",2024-10-08T13:50:17.593Z,0,0,4,2024-10-08T13:50:17.593Z,luzvermelha.bsky.social,Luz Vermelha  🚩 🇨🇵  🇫🇮 🇧🇷 🇵🇸 🇱🇧,did:plc:xzbckrq5k2xh4dundnlgb2ld
at://did:plc:ynj7xxst22vmokmgqcshbas7/app.bsky.feed.post/3l5z7vimi5p23,bafyreidz2yegll2vxoum3ddfpu6hr7c4b6nvuxrsogorjw4p6wk2xysv6q,at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5ypglcq232k,"Eu fico impressionada com o eleitor que vota em Bruno Engler. Um cara que, além de flatar as sessões, não fez nada nos dois mandatos de Deputado Estadual. Desestimulou a população a se vacinar, orientou o gado a tomar cloroquina e ivermectina e só sabe falar mal do nosso Presidente @lula.com.br",julianacarvalho13.bsky.social,Inacreditável 🤦🏼‍♀️,2024-10-08T16:16:48.961Z,0,0,0,2024-10-08T16:16:48.961Z,democracia13.bsky.social,MaryS🚩,did:plc:ynj7xxst22vmokmgqcshbas7
at://did:plc:yfxmouqxzqcrk6gbqkn3zamy/app.bsky.feed.post/3l5za5wvzxp24,bafyreidpdhlgcqj4hlnmr6hbebvopskwdsk57z7tiqt6so6mwvhgvq4rwm,at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5ypglcq232k,"Eu fico impressionada com o eleitor que vota em Bruno Engler. Um cara que, além de flatar as sessões, não fez nada nos dois mandatos de Deputado Estadual. Desestimulou a população a se vacinar, orientou o gado a tomar cloroquina e ivermectina e só sabe falar mal do nosso Presidente @lula.com.br",julianacarvalho13.bsky.social,"Fascistas, como ele! Escória, esgoto social, ou cloacal! 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮",2024-10-08T16:21:32.471Z,0,0,1,2024-10-08T16:21:32.471Z,lauraquadros.bsky.social,Laura Quadros 🚩🇧🇼,did:plc:yfxmouqxzqcrk6gbqkn3zamy
at://did:plc:y7jjhbfptdjygognui7eizkt/app.bsky.feed.post/3l5za227rlr2c,bafyreielahs7dlcupkjb3roofql7dzp3joewsb7knmzdh2ebakqgjk3u44,at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5ypglcq232k,"Eu fico impressionada com o eleitor que vota em Bruno Engler. Um cara que, além de flatar as sessões, não fez nada nos dois mandatos de Deputado Estadual. Desestimulou a população a se vacinar, orientou o gado a tomar cloroquina e ivermectina e só sabe falar mal do nosso Presidente @lula.com.br",julianacarvalho13.bsky.social,"Eu to rezando pra BH ir de Fuad, Bruno Engler é da falange do Pablo Marçal, um doido",2024-10-08T16:19:26.226Z,0,0,1,2024-10-08T16:19:21.916Z,julianalopes.bsky.social,Juliana Cafeterias 🪑,did:plc:y7jjhbfptdjygognui7eizkt
at://did:plc:xzbckrq5k2xh4dundnlgb2ld/app.bsky.feed.post/3l5yvtdpmke2j,bafyreicoqihyeemf4kyicgw5uy43oi3ysscdoydiihpk3ybuwcmatmo3cm,at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5ypglcq232k,"Eu fico impressionada com o eleitor que vota em Bruno Engler. Um cara que, além de flatar as sessões, não fez nada nos dois mandatos de Deputado Estadual. Desestimulou a população a se vacinar, orientou o gado a tomar cloroquina e ivermectina e só sabe falar mal do nosso Presidente @lula.com.br",julianacarvalho13.bsky.social,"No Rio de Janeiro tem o Pazuello e o Hélio Negão, que também não aparecem no Congresso. Mas é a esquerda que eles acusam de ser vagabunda.",2024-10-08T13:16:38.854Z,1,0,9,2024-10-08T13:16:38.854Z,luzvermelha.bsky.social,Luz Vermelha  🚩 🇨🇵  🇫🇮 🇧🇷 🇵🇸 🇱🇧,did:plc:xzbckrq5k2xh4dundnlgb2ld
at://did:plc:xighnjy5yof55j7vkzywh4y4/app.bsky.feed.post/3l5za2dskpi2s,bafyreig2z73ewfcetedw7atlij4hnstnzelxojcppey22f7vxhg4s75doa,at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5ypglcq232k,"Eu fico impressionada com o eleitor que vota em Bruno Engler. Um cara que, além de flatar as sessões, não fez nada nos dois mandatos de Deputado Estadual. Desestimulou a população a se vacinar, orientou o gado a tomar cloroquina e ivermectina e só sabe falar mal do nosso Presidente @lula.com.br",julianacarvalho13.bsky.social,"Trabalhei numa escola em que ele foi votar ACHO que em 2018. Um completo desconhecido, a não ser pelos capang, digo, seguranças protegendo ele (não sei do que). Ranço desde então.",2024-10-08T16:19:31.542Z,0,0,0,2024-10-08T16:19:31.542Z,amandarizolli.bsky.social,Amandita Pessoa,did:plc:xighnjy5yof55j7vkzywh4y4
at://did:plc:pttxj6wrwxjt6rxqg2gils2w/app.bsky.feed.post/3l5zb7akusk2v,bafyreibdlnsmbvqh5ainycyeucwn5lv5kdzdevoljeaeowllv5w5y34sje,at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5ypglcq232k,"Eu fico impressionada com o eleitor que vota em Bruno Engler. Um cara que, além de flatar as sessões, não fez nada nos dois mandatos de Deputado Estadual. Desestimulou a população a se vacinar, orientou o gado a tomar cloroquina e ivermectina e só sabe falar mal do nosso Presidente @lula.com.br",julianacarvalho13.bsky.social,É igual em Fortaleza com o raspaku,2024-10-08T16:40:08.889Z,0,0,0,2024-10-08T16:40:08.889Z,alex-a-s.bsky.social,Alex BR🚩🇧🇷🇵🇹🚩PT,did:plc:pttxj6wrwxjt6rxqg2gils2w
at://did:plc:pr52ccdrapr3baat7nq7urpf/app.bsky.feed.post/3l5yxku2iov26,bafyreih2yfcimpsbt6ilg4r5lfdfjaqb575s7qmzblauqqpjojt6p7ys3e,at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5ypglcq232k,"Eu fico impressionada com o eleitor que vota em Bruno Engler. Um cara que, além de flatar as sessões, não fez nada nos dois mandatos de Deputado Estadual. Desestimulou a população a se vacinar, orientou o gado a tomar cloroquina e ivermectina e só sabe falar mal do nosso Presidente @lula.com.br",julianacarvalho13.bsky.social,É o público dele.,2024-10-08T13:47:41.820Z,0,0,1,2024-10-08T13:47:41.820Z,ricardotarologo.bsky.social,,did:plc:pr52ccdrapr3baat7nq7urpf
at://did:plc:kzwg2653vjiitnnfvqon3jic/app.bsky.feed.post/3l5ypys4a6n2m,bafyreiggic773lkxprdat6uwdxxjqhsc77bazvj5q4mon2hbo7fhgluqzq,at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5ypglcq232k,"Eu fico impressionada com o eleitor que vota em Bruno Engler. Um cara que, além de flatar as sessões, não fez nada nos dois mandatos de Deputado Estadual. Desestimulou a população a se vacinar, orientou o gado a tomar cloroquina e ivermectina e só sabe falar mal do nosso Presidente @lula.com.br",julianacarvalho13.bsky.social,Bora de Fuad.,2024-10-08T11:32:19.156Z,0,0,4,2024-10-08T11:32:19.156Z,alessandroamorim.bsky.social,Alessandro (União e Reconstrução),did:plc:kzwg2653vjiitnnfvqon3jic
at://did:plc:jtxav6ywis73rh3utk5ev53f/app.bsky.feed.post/3l5yqv5hjj624,bafyreihizlww5iiu5675kdf5elc2tp2bpiavud5zy7fvn3c7po5d6ojuzi,at://did:plc:c5armxgtpfymxyqfqzwhqnzy/app.bsky.feed.post/3l5ypglcq232k,"Eu fico impressionada com o eleitor que vota em Bruno Engler. Um cara que, além de flatar as sessões, não fez nada nos dois mandatos de Deputado Estadual. Desestimulou a população a se vacinar, orientou o gado a tomar cloroquina e ivermectina e só sabe falar mal do nosso Presidente @lula.com.br",julianacarvalho13.bsky.social,+1,2024-10-08T11:48:11.135Z,0,0,1,2024-10-08T11:48:11.135Z,brasilagora.bsky.social,Brasil Agora 🇧🇷💫✨️📣,did:plc:jtxav6ywis73rh3utk5ev53f
