uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5sovomdq42o,bafyreifjccm7ygl2zr4laigtt5h4zphnayibnxtpfeqdyi7gct2276dnsm,🧡✊🏿,2024-10-06T01:56:44.991Z,0,0,1,2024-10-06T01:56:43.419Z,keitlimasp.bsky.social,Keit Lima ,did:plc:hbzizivymev65z23xudzmtmg
at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5sfca4qgx22,bafyreidwgwu3e3yvu25ialcj6z6pa6apb7r3zqtz5p2hazzip6thmtraye,Pra todos nós! Até a vitória! 🧡,2024-10-05T23:04:47.888Z,0,0,0,2024-10-05T23:04:47.013Z,keitlimasp.bsky.social,Keit Lima ,did:plc:hbzizivymev65z23xudzmtmg
at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5scme77cd2r,bafyreih5zwq6fplbgvcuhqxds6gutvvso6edh3bvc62cyszc3u6gkyvoau,"📣 CHEGOU O DELIVERY! Foi daqui que pediram uma candidata favelada que vai lutar pelo povo das periferias de toda a cidade? Então, RECEBA! E se alguém aí ainda não anotou o número da placa: é 5️⃣0️⃣3️⃣0️⃣0️⃣! 🏍️",2024-10-05T22:16:46.600Z,2,0,12,2024-10-05T22:16:46.600Z,keitlimasp.bsky.social,Keit Lima ,did:plc:hbzizivymev65z23xudzmtmg
at://did:plc:gpunjjgvlyb4racypz3yfiq4/app.bsky.feed.post/3l5sc3ikmfh2h,bafyreibuqez2snmfeppamywrpjmvsmpu5vm777pq6dmgmrlrpa6zy6g4oa,"Minha candidata a vereadora em São Paulo é ela ⤵︎

KEIT LIMA 5️⃣0️⃣3️⃣0️⃣0️⃣
@keitlimasp.bsky.social",2024-10-05T22:07:19.519Z,4,11,124,2024-10-05T22:07:19.519Z,jnascim.info,Jeff Nascimento,did:plc:gpunjjgvlyb4racypz3yfiq4
at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5sckwoiyg25,bafyreibst4cidwkw2ygvd5ynsaog2zd6riymbicmliztbs2d775kqwlcym,Tamo junto! 🧡✊🏿,2024-10-05T22:15:58.867Z,1,0,1,2024-10-05T22:15:57.912Z,keitlimasp.bsky.social,Keit Lima ,did:plc:hbzizivymev65z23xudzmtmg
at://did:plc:rtvbuusk5lmcvwdhwh7htoiz/app.bsky.feed.post/3l5rvwao3zk2l,bafyreic7qsn7dytbwuhn2y544dnneexoxxdpcxjmwg2j7aesyzct2qleoe,"@keitlimasp.bsky.social 50300 - Bacharel em Direito e Administração, quer colocar a favela no orçamento, com políticas públicas como segurança, saúde, educação, transporte e qualidade de vida para o povo que mais precisa: www.instagram.com/p/C_xq8QSxdXP",2024-10-05T18:29:39.301Z,3,1,13,2024-10-05T18:29:39.301Z,pensenisso.substack.com,Alexandre Inagaki,did:plc:rtvbuusk5lmcvwdhwh7htoiz
at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5scka4cqy2w,bafyreigqqmjd3zjvcxxfnkphct73tyh27zi5pcasvfblnborx632or2jge,"Que alegria saber que nossa candidatura chegou até você, querido! Vamos seguir buscando e construindo um futuro melhor para o povo das nossas favelas! Amanhã é 5️⃣0️⃣3️⃣0️⃣0️⃣! 🧡🚀",2024-10-05T22:15:35.048Z,0,0,5,2024-10-05T22:15:34.311Z,keitlimasp.bsky.social,Keit Lima ,did:plc:hbzizivymev65z23xudzmtmg
at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5r4ztbghk2r,bafyreia2zzq7n7ivaytnjutfx6l7mkmklqxwvllxiall6sm4tywkef2kz4,"Marçal passou a campanha inteira mentindo e agredindo o povo de SP. Agora, resolveu FALSIFICAR um laudo com o CRM de um médico MORTO para atacar Boulos às vésperas da eleição. Além de cassado, Marçal DEVE SER PRESO pelo bem da nossa democracia e da nossa cidade. Amanhã é Boulos 50! ✊🏿",2024-10-05T11:04:15.149Z,0,0,2,2024-10-05T11:04:15.149Z,keitlimasp.bsky.social,Keit Lima ,did:plc:hbzizivymev65z23xudzmtmg
at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5r4ip4xj62s,bafyreibgkx64ziw5a3wftozghd7uru6kgd2puxsfvukht33hglo6jonahi,"Estamos juntos, querido! ✊🏿",2024-10-05T10:54:40.233Z,0,1,1,2024-10-05T10:54:40.233Z,keitlimasp.bsky.social,Keit Lima ,did:plc:hbzizivymev65z23xudzmtmg
at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5ns4ax4jk26,bafyreic5wqdhz2uvzr6ekdq3gyzxpays7tnbrxj2rzlwwqmi3ium7fm4ki,Domingo é 5️⃣0️⃣! ✊🏿,2024-10-04T03:10:46.175Z,0,0,2,2024-10-04T03:10:46.175Z,keitlimasp.bsky.social,Keit Lima ,did:plc:hbzizivymev65z23xudzmtmg
