reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:ew5cepzq5l6wlwdgnwr2un5y/app.bsky.feed.post/3l5veo3vf7u2m,bafyreibbsytxn2w4o3rx3mxyywdxghkrhytwcdfmr2dy6xslpsg67hrewm,at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5scme77cd2r,"📣 CHEGOU O DELIVERY! Foi daqui que pediram uma candidata favelada que vai lutar pelo povo das periferias de toda a cidade? Então, RECEBA! E se alguém aí ainda não anotou o número da placa: é 5️⃣0️⃣3️⃣0️⃣0️⃣! 🏍️",keitlimasp.bsky.social,"Parabéns, vereadora. Desejo muito sucesso no seu trabalho na câmara de vereadores.",2024-10-07T03:31:28.325Z,0,0,0,2024-10-07T03:31:28.325Z,saramarm.bsky.social,,did:plc:ew5cepzq5l6wlwdgnwr2un5y
at://did:plc:2ernzqtemeospu3r6dnrawwq/app.bsky.feed.post/3l5w5uyysw32i,bafyreiekur2wu7ppmmmvfwcjzqvowm3iivco3bihjexexjl7p2pvdkmhj4,at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5scme77cd2r,"📣 CHEGOU O DELIVERY! Foi daqui que pediram uma candidata favelada que vai lutar pelo povo das periferias de toda a cidade? Então, RECEBA! E se alguém aí ainda não anotou o número da placa: é 5️⃣0️⃣3️⃣0️⃣0️⃣! 🏍️",keitlimasp.bsky.social,Parabéns!!,2024-10-07T11:02:45.867Z,0,0,0,2024-10-07T11:02:45.867Z,wanuzarothmund.bsky.social,Wanuza Rothmund ,did:plc:2ernzqtemeospu3r6dnrawwq
at://did:plc:rtkuhohdwyg35imh2aothaz3/app.bsky.feed.post/3l5scgo5nyo2y,bafyreicbuo3kbjdrbyoxpe3metsh6veqzqstagy3eukgzhhuocneoezezq,at://did:plc:gpunjjgvlyb4racypz3yfiq4/app.bsky.feed.post/3l5sc3ikmfh2h,"Minha candidata a vereadora em São Paulo é ela ⤵︎

KEIT LIMA 5️⃣0️⃣3️⃣0️⃣0️⃣
@keitlimasp.bsky.social",jnascim.info,Gabarito.,2024-10-05T22:13:34.455Z,0,0,0,2024-10-05T22:13:34.455Z,pcdobruno.bsky.social,Bruno,did:plc:rtkuhohdwyg35imh2aothaz3
at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5scka4cqy2w,bafyreigqqmjd3zjvcxxfnkphct73tyh27zi5pcasvfblnborx632or2jge,at://did:plc:gpunjjgvlyb4racypz3yfiq4/app.bsky.feed.post/3l5sc3ikmfh2h,"Minha candidata a vereadora em São Paulo é ela ⤵︎

KEIT LIMA 5️⃣0️⃣3️⃣0️⃣0️⃣
@keitlimasp.bsky.social",jnascim.info,"Que alegria saber que nossa candidatura chegou até você, querido! Vamos seguir buscando e construindo um futuro melhor para o povo das nossas favelas! Amanhã é 5️⃣0️⃣3️⃣0️⃣0️⃣! 🧡🚀",2024-10-05T22:15:35.048Z,0,0,5,2024-10-05T22:15:34.311Z,keitlimasp.bsky.social,Keit Lima ,did:plc:hbzizivymev65z23xudzmtmg
at://did:plc:eheoeracyv2x236dsuouvk3f/app.bsky.feed.post/3l5x5pbau5g2i,bafyreidwz6ojhtm5lnq27lvxhrr2ioyntmpoziqk3yk6rzayqxvkiyb2hi,at://did:plc:gpunjjgvlyb4racypz3yfiq4/app.bsky.feed.post/3l5sc3ikmfh2h,"Minha candidata a vereadora em São Paulo é ela ⤵︎

KEIT LIMA 5️⃣0️⃣3️⃣0️⃣0️⃣
@keitlimasp.bsky.social",jnascim.info,Minha também✊🏾,2024-10-07T20:32:11.651Z,0,0,0,2024-10-07T20:32:11.651Z,ewr76.bsky.social,Erick,did:plc:eheoeracyv2x236dsuouvk3f
at://did:plc:dzgrewlx3etxjei6beikvk2y/app.bsky.feed.post/3l5scuohuzj24,bafyreia7w2yj3yvtdz2d7c5hxwz5vwueuxcnuba2ps4t5b3zd7drzd2any,at://did:plc:gpunjjgvlyb4racypz3yfiq4/app.bsky.feed.post/3l5sc3ikmfh2h,"Minha candidata a vereadora em São Paulo é ela ⤵︎

KEIT LIMA 5️⃣0️⃣3️⃣0️⃣0️⃣
@keitlimasp.bsky.social",jnascim.info,É a minha também :),2024-10-05T22:21:24.627Z,0,0,1,2024-10-05T22:21:24.627Z,pokanascimento.bsky.social,Poka Nascimento,did:plc:dzgrewlx3etxjei6beikvk2y
at://did:plc:rtvbuusk5lmcvwdhwh7htoiz/app.bsky.feed.post/3l5seeq5ntg2w,bafyreifkhk35bpxvdkcmcmjpyze4g53t22yn3unnkkug7howbfqo4dxlcq,at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5sckwoiyg25,Tamo junto! 🧡✊🏿,keitlimasp.bsky.social,Boa sorte amanhã! ✌️,2024-10-05T22:49:13.935Z,1,0,2,2024-10-05T22:48:17.214Z,pensenisso.substack.com,Alexandre Inagaki,did:plc:rtvbuusk5lmcvwdhwh7htoiz
at://did:plc:rtvbuusk5lmcvwdhwh7htoiz/app.bsky.feed.post/3l5rw34l3mh2s,bafyreibuwjqvzzx2u3ruvqhd3j2r2coatosnkbihl6a6bc2iczjo2kwpam,at://did:plc:rtvbuusk5lmcvwdhwh7htoiz/app.bsky.feed.post/3l5rvwao3zk2l,"@keitlimasp.bsky.social 50300 - Bacharel em Direito e Administração, quer colocar a favela no orçamento, com políticas públicas como segurança, saúde, educação, transporte e qualidade de vida para o povo que mais precisa: www.instagram.com/p/C_xq8QSxdXP",pensenisso.substack.com,"@nabilbonduki.bsky.social 13633 - Arquiteto, urbanista e ex-secretário municipal de Cultura, trabalha por cidadania cultural e uma cidade mais segura: www.instagram.com/p/C_tYnkaPz-9/",2024-10-05T18:32:22.781Z,1,0,9,2024-10-05T18:32:22.781Z,pensenisso.substack.com,Alexandre Inagaki,did:plc:rtvbuusk5lmcvwdhwh7htoiz
at://did:plc:hbzizivymev65z23xudzmtmg/app.bsky.feed.post/3l5sckwoiyg25,bafyreibst4cidwkw2ygvd5ynsaog2zd6riymbicmliztbs2d775kqwlcym,at://did:plc:rtvbuusk5lmcvwdhwh7htoiz/app.bsky.feed.post/3l5rvwao3zk2l,"@keitlimasp.bsky.social 50300 - Bacharel em Direito e Administração, quer colocar a favela no orçamento, com políticas públicas como segurança, saúde, educação, transporte e qualidade de vida para o povo que mais precisa: www.instagram.com/p/C_xq8QSxdXP",pensenisso.substack.com,Tamo junto! 🧡✊🏿,2024-10-05T22:15:58.867Z,1,0,1,2024-10-05T22:15:57.912Z,keitlimasp.bsky.social,Keit Lima ,did:plc:hbzizivymev65z23xudzmtmg
at://did:plc:47xq42g6ivh3djk5dbe44x4z/app.bsky.feed.post/3l5wbxinwt42a,bafyreie4xjumcsqn5ckwhrtiesedwloqggotgfdprrf3rgmx4dzpbiheji,at://did:plc:rtvbuusk5lmcvwdhwh7htoiz/app.bsky.feed.post/3l5rvwao3zk2l,"@keitlimasp.bsky.social 50300 - Bacharel em Direito e Administração, quer colocar a favela no orçamento, com políticas públicas como segurança, saúde, educação, transporte e qualidade de vida para o povo que mais precisa: www.instagram.com/p/C_xq8QSxdXP",pensenisso.substack.com,Minha Vereadora! Linda! 🤩,2024-10-07T12:15:44.407Z,1,0,0,2024-10-07T12:15:44.407Z,letmassula.bsky.social,Letícia Massula,did:plc:47xq42g6ivh3djk5dbe44x4z
