uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did,violence_detected
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5ft5via7h2s,bafyreichyhfbkg2g7pqfncuq44b37mxt6puw5ckghaejrv42ywczsmgrai,"Este é um momento crucial para convencermos os indecisos e transformar votos em esperança para nossa cidade. Vamos espalhar essas ideias e mostrar que uma nova Vitória é possível!

DIA 6, VAMOS FAZER HISTÓRIA! VOTE 5️⃣0️⃣!",2024-09-30T23:08:16Z,0,0,0,2024-09-30T23:08:16Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l57mgbi5c32u,bafyreianji7lofgmrakgx7yru4ndcum5mnhk6kxrlnwfsnrqs5mb7suc5a,"Conheça nossas propostas e siga @prefeitacamila50 para conhecer mais.

🔄 Compartilhe e ajude a espalhar essa ideia!",2024-09-28T11:51:42Z,0,0,1,2024-09-28T11:51:42Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l554cjox252o,bafyreiewfwg73se2ua3qbv3fzm6ezbucwx7agz3af2oaxzpbapkrgxto5m,"Compartilhe estas propostas e ajude a espalhar essa ideia!

📲 Siga @prefeitacamila50 e fique por dentro das nossas propostas!",2024-09-27T11:57:58Z,0,1,4,2024-09-27T11:57:58Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l52tiuad5c24,bafyreiepsun7lsw7dhcfb6r4lmvjktcmgmcthnlvemfgngyei3jqhc6e5u,"Vista-se de alegria para festejar com a gente o carnaval de novos sonhos para Vitória no dia 28 de setembro, sábado, às 9h! Vai ter carreata também! A concentração será na praça do papa!

É hora de vibrar, cantar e mostrar a força da nossa campanha! 🎶💛",2024-09-26T14:15:06Z,0,0,0,2024-09-26T14:15:06Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l52kc54k5a2f,bafyreiaekhz7fb6fwreaqmm3pyumhsefb3mfiluu224rxgwxzyqfoafa2y,"Vamos construir uma cidade mais justa, cuidadora e inclusiva!

Me conta nos comentários se já segue nosso perfil @prefeitacamila50 para ficar por dentro do nosso programa de governo!",2024-09-26T11:30:18Z,0,0,2,2024-09-26T11:30:18Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4y5b3snyg2h,bafyreic4thp2gxhkytfc2xcf6fs7m6lvyp25plsf7vrtmpws3zccmk44ry,"Vamos construir uma cidade mais justa, cuidadora e inclusiva!

💬 Aproveita e me conta nos comentários se já segue nosso perfil @prefeitacamila50 para ficar por dentro do nosso programa de governo!",2024-09-25T12:31:45Z,0,0,1,2024-09-25T12:31:45Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4whhmp2ls2z,bafyreih32vh6wieegpof6z7vis22ufvqkx3x7w3i3sltvixceyfxunoswa,"O combate à fome é nosso compromisso! Vamos garantir que ninguém passe necessidade em Vitória!

📲 Siga @prefeitacamila50, conheça nossas ideias e compartilhe com quem precisa conhecer! 

Vote 5️⃣0️⃣!",2024-09-24T20:29:01Z,0,0,1,2024-09-24T20:29:01Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4vjhnsfmw2p,bafyreiesnghhm3mphaayhr7dmuubc4qtmzbxmgzlowb6abynkbeaj3yw7e,"Vamos lutar por uma Vitória sem fome! 

Siga @prefeitacamila50,  conheça nossas ideias e compartilhe essa mensagem com quem precisa conhecer! 

#SegurançaAlimentar #Fome #CamilaValadao50 #CamilaValadaoPrefeita #VitóriaSemFome",2024-09-24T11:32:11Z,0,0,1,2024-09-24T11:32:11Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4qmjeq5cr2e,bafyreigp55iyhylznt7wkzsloglugyzd373ovgdm7kkkxloxk3wrrz6phq,"Depois de tomar uma água, siga @prefeitacamila50 para saber mais dos nossos planos para Vitória!

🏃🏾‍♀️Comente aqui qual foi seu KM hoje?",2024-09-22T12:43:32Z,0,0,1,2024-09-22T12:43:32Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:74tywpppfwqbzdpf65rvyz7g/app.bsky.feed.post/3l4qmjoimxo2b,bafyreidq547dzevkt6yobw4mevdif7pe4f376fl6qwjqqm5w7znxx5apbu,Eu nem sabia disso e fui de bike no supermercado 😅,2024-09-22T12:43:43Z,1,0,1,2024-09-22T12:43:42Z,vitorkfuri.bsky.social,Kfurifenazina 🇱🇧🇵🇸,did:plc:74tywpppfwqbzdpf65rvyz7g,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4opdvffcx2j,bafyreigdhejyl245l2k5g2eaigloeiwmzoleuq67vlqlti3p5jk3lhqyfy,"Quer saber mais sobre como vamos transformar nossas escolas em espaços mais inclusivos, acolhedores e com profissionais valorizadas? 

📲 Siga @prefeitacamila50 lá no Instagram! 

Vote 50! A educação pode (e vai!) transformar vidas. 💛",2024-09-21T18:28:48Z,0,0,1,2024-09-21T18:28:48Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4hi7eyra327,bafyreihluj5vp5hjhn42e5w2q4fxfrkcgjuipm5w6xirv5is67675mqpre,"Conhece alguém que também está precisando mudar de voto?

Compartilhe esse vídeo e nossas propostas com quem pode se juntar a nós por uma Vitória de Novos Sonhos! 

#Vote50 #MudaVoto #CamilaValadão50 #CamilaValadãoPrefeita #VitóriaDeNovosSonhos",2024-09-18T21:32:23Z,0,0,1,2024-09-18T21:32:23Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4h2yh5i2b2r,bafyreiaom2zmo76ngg2t5ynq6jilfz376gigbgdqt57mudyswg3zbvki6m,"Seguimos firmes para transformar Vitória em uma cidade que cuida e oferece oportunidades para todas as pessoas!

👉🏾 Acesse nosso perfil @prefeitacamila50 no Instagram e conheça mais sobre nosso plano de governo!",2024-09-18T17:35:52Z,0,0,1,2024-09-18T17:35:52Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4ewdpcqxj2r,bafyreigujsmwkf5gasxyjber2irwcohylegom37qwrsnotq3ggydst2tvy,"Quer saber mais? Conheça o nosso Programa de Governo completo, disponível no link da bio ou no perfil @prefeitacamila50 lá no Instagram.",2024-09-17T21:07:21Z,0,0,1,2024-09-17T21:07:21Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
at://did:plc:kzqozcrlaayor5pobuuh6clj/app.bsky.feed.post/3l4cyyyzxwm22,bafyreie4ehcqekqi5ijeougp3qy53mrd365rsfwlm4e7fl2ltw5ic7ysfq,Indiscutivelmente a melhor!!!,2024-09-17T02:49:45Z,1,0,1,2024-09-17T02:49:45Z,pedropavioti.bsky.social,Pedro  🇵🇸,did:plc:kzqozcrlaayor5pobuuh6clj,sem violência detectada
at://did:plc:kotaicute2tslxl62jau35d3/app.bsky.feed.post/3l4cz7c2jeh2u,bafyreialbmwpporgpbuwyyogsdhefavwf5xqj7ybsrtpx5o6yhodnuls5e,A melhor!,2024-09-17T02:53:14Z,1,0,1,2024-09-17T02:53:14Z,giugiutadini.bsky.social,Giulia Tadini,did:plc:kotaicute2tslxl62jau35d3,sem violência detectada
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l4bfxr6bnp2r,bafyreidjswzebcsybsqrhumtk5crr3irthytakiscmbvmzyppgdzbhnfpi,"👉🏾 Quer saber mais sobre nosso plano de governo? Siga o nosso novo perfil @prefeitacamila50 no Instagram e fique por dentro de todo programa de governo!

#CamilaValadãoPrefeita #Eleições2024 #OrçamentoParticipativo #Vote50",2024-09-16T11:36:21Z,0,0,1,2024-09-16T11:36:21Z,camilavaladaopsol.bsky.social,Camila Valadão,did:plc:nhpqbusdj3634vutkdsfgaxp,sem violência detectada
