reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5omv7dy5u2w,bafyreiayn4flfb5bmk5b5nyjrl6tlk6m7spvqmupedcygqtnsck4kel4cq,at://did:plc:kotaicute2tslxl62jau35d3/app.bsky.feed.post/3l5np52chad2p,Que compromisso terá Pazolini com a qualidade do ar e com a saúde do povo se tem na sua chapa uma representante das maiores poluidoras? Camila Valadão foi na ferida! #DebateNaGazeta,✊🏾,2024-10-04T11:10:02.112Z,0,0,0,2024-10-04T11:10:01.110Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:r4j3ujx6dgpplaezetxztzz2/app.bsky.feed.post/3l5oltfhmls2h,bafyreiaheatpkgg7wfgwgtxdq4a32plhc3pzvvax7xyyp2gcpflzczof6u,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5olj6wng52o,✊🏾,"Parabéns, Camila, por sua participação no debate!!
Falou verdades sobre o atual prefeito, que muitos não querem ver!!!
✊🏾✊🏾",2024-10-04T10:51:06.774Z,1,0,3,2024-10-04T10:51:06.611Z,gvza.bsky.social,Gisa Vieira,did:plc:r4j3ujx6dgpplaezetxztzz2
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5mwazeleh2q,bafyreihtcfan3sta2zltskc6v75z27msp6fx56bowy46ky435h252slgue,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5mwa4vlt42u,"Nossa campanha é feita por muitas vozes, muitas histórias e uma única vontade: construir uma Vitória diversa e acolhedora para todas as pessoas!

👉🏾 Escolha o que tem mais a ver com você e COMPARTILHE pra mostrar seu apoio nessa reta final!","Agora é a hora de espalhar nossa mensagem de esperança e mobilizar quem ainda tem dúvidas! Vamos juntas, juntos e juntes até domingo!

🔗 linktr.ee/CamilaValadao",2024-10-03T18:52:20.006Z,0,0,1,2024-10-03T18:52:20.006Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5m372e22z2m,bafyreib7wbq3rz654skanfoejpeqh2zbs7echubmxg3gvtvel5bj2gnlrq,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5m35fycap2r,"🔆 Está chegando a hora de decidir o futuro de Vitória! FALTAM 3 DIAS para eleger a primeira prefeita da cidade! 

Conheça as vereadoras e os vereadores comprometidos, que vão garantir um mandato que faz a diferença na vida de quem mais precisa.","Compartilhe com as amigas, com os amigos, com quem ainda não decidiu voto! 

Vote 5️⃣0️⃣ para prefeita e escolha um time comprometido!",2024-10-03T10:48:04.422Z,0,0,3,2024-10-03T10:48:04.422Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:2exmd6fxjwglr2c2d6s7hyjr/app.bsky.feed.post/3l5ibipfla42p,bafyreiatgd6k6tw5t77xbn4lvrvsr4t5fppss7w6navgedy6vmmubuqiwm,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5i5d25xr625,🫶🏾 VEM AIIII,Torcendo muito 🙏🏻,2024-10-01T22:30:10.935Z,0,0,1,2024-10-01T22:30:10.935Z,arielsereiar.bsky.social,Ariella Rocha ,did:plc:2exmd6fxjwglr2c2d6s7hyjr
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5ft5via7h2s,bafyreichyhfbkg2g7pqfncuq44b37mxt6puw5ckghaejrv42ywczsmgrai,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l5ft3dnr5t2z,"🔆 Falta pouco para as eleições! E hoje, tive a oportunidade de debater ideias e propostas para uma Vitória de Novos Sonhos na Jovem Pan!

 Confira a entrevista completa: www.folhavitoria.com.br/eleicoes-202...
__ 
Federação PSOL/REDE - CNPJ: 56.846.431/0001-28","Este é um momento crucial para convencermos os indecisos e transformar votos em esperança para nossa cidade. Vamos espalhar essas ideias e mostrar que uma nova Vitória é possível!

DIA 6, VAMOS FAZER HISTÓRIA! VOTE 5️⃣0️⃣!",2024-09-30T23:08:16.109Z,0,0,0,2024-09-30T23:08:16.109Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l57mgbi5c32u,bafyreianji7lofgmrakgx7yru4ndcum5mnhk6kxrlnwfsnrqs5mb7suc5a,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l57mekctof24,🐶🐱🐾 E se o seu pet pudesse votar? Ele escolheria quem realmente cuida e protege! Nosso projeto para Vitória é comprometido em construir uma cidade mais amigável e segura para nossos bichinhos.,"Conheça nossas propostas e siga @prefeitacamila50 para conhecer mais.

🔄 Compartilhe e ajude a espalhar essa ideia!",2024-09-28T11:51:42.101Z,0,0,1,2024-09-28T11:51:42.101Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l554cjox252o,bafyreiewfwg73se2ua3qbv3fzm6ezbucwx7agz3af2oaxzpbapkrgxto5m,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l554ak44rv2o,"Vitória merece uma gestão que cuida do meio ambiente e enfrenta as mudanças climáticas com CORAGEM!

Descubra como Vitória será uma cidade que prioriza a sustentabilidade!","Compartilhe estas propostas e ajude a espalhar essa ideia!

📲 Siga @prefeitacamila50 e fique por dentro das nossas propostas!",2024-09-27T11:57:58.643Z,0,1,4,2024-09-27T11:57:58.643Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l52tiuad5c24,bafyreiepsun7lsw7dhcfb6r4lmvjktcmgmcthnlvemfgngyei3jqhc6e5u,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l52tfvlgji2a,"É FESTA, meu povo!! Preparem-se para um desfile de alegria pelas ruas de Vitória com a nossa Carreta Valadão!! 

📣 Chame a galera! Marque seus amigos e venham juntos fazer esse carnaval da democracia!

Te espero lá! 👋🏾

#CamilaValadão50 #CarretaValadão #Carreata #Vote50 #Eleição2024","Vista-se de alegria para festejar com a gente o carnaval de novos sonhos para Vitória no dia 28 de setembro, sábado, às 9h! Vai ter carreata também! A concentração será na praça do papa!

É hora de vibrar, cantar e mostrar a força da nossa campanha! 🎶💛",2024-09-26T14:15:06.799Z,0,0,0,2024-09-26T14:15:06.799Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l52kc54k5a2f,bafyreiaekhz7fb6fwreaqmm3pyumhsefb3mfiluu224rxgwxzyqfoafa2y,at://did:plc:nhpqbusdj3634vutkdsfgaxp/app.bsky.feed.post/3l52k7ywo6p2h,"🏠 MORADIA É UM DIREITO! Com o nosso projeto político na prefeitura, queremos implantar a regularização fundiária em nossa cidade, garantindo mais segurança e estabilidade para as famílias das periferias.","Vamos construir uma cidade mais justa, cuidadora e inclusiva!

Me conta nos comentários se já segue nosso perfil @prefeitacamila50 para ficar por dentro do nosso programa de governo!",2024-09-26T11:30:18.776Z,0,0,2,2024-09-26T11:30:18.776Z,camilavaladaopsol.bsky.social,Camila Valadão ,did:plc:nhpqbusdj3634vutkdsfgaxp
