uri,cid,text,created_at,reply_count,repost_count,like_count,author_handle,author_display_name,author_avatar,author_did
at://did:plc:js5ldejvopvesic46k257ilb/app.bsky.feed.post/3l5hfl43gh72s,bafyreibn44vp2ikl4ght7skifdnx4q7qv6kagleuywpwim5u4le2d23fla,chatabata,2024-10-01T14:10:27.125Z,0,0,0,larissxj.bsky.social,larissa,https://cdn.bsky.app/img/avatar/plain/did:plc:js5ldejvopvesic46k257ilb/bafkreidq5bnx5yvcfy4emf7axi62htblkzyz2s4pfnnqzpmjkqvzemr4a4@jpeg,did:plc:js5ldejvopvesic46k257ilb
at://did:plc:4u56hiccbsvkaalr5m4hvgbl/app.bsky.feed.post/3l5ggsbi47z2x,bafyreiaowss5iqgnrfpvadmctienerijkju5omsbuyzmpf6vk7ubmabhxm,"Pinto Marçal, chatabata e boules",2024-10-01T04:59:40.480Z,0,0,2,malisa--olive.bsky.social,Malisaˢʰˢᵏʸ♡,https://cdn.bsky.app/img/avatar/plain/did:plc:4u56hiccbsvkaalr5m4hvgbl/bafkreictg32lrmv55tvtiyxuifnh6cqlfbzbmg5r3cpwzsznjctyx4p2fy@jpeg,did:plc:4u56hiccbsvkaalr5m4hvgbl
at://did:plc:wxntmo5swdayd4uz2s2nbeuo/app.bsky.feed.post/3l5fx2xuq4r26,bafyreig74vrojmfkgzpjalw4n7lgcnbdt74zosz4rp4zthntnyinv2mt5q,"Acabei de ver o penúltimo debate pela prefeitura de São Paulo, no começo achei louco, mas o formato que a UOL fez foi muito interessante, e brilhante de certa forma.
Bananinha tá desesperado e Chatabata da sono, SP, minha terrinha, só façam o M do Marçal por favor.",2024-10-01T00:18:10.433Z,0,0,1,felipe5bezerra.bsky.social,Felipe Bezerra,https://cdn.bsky.app/img/avatar/plain/did:plc:wxntmo5swdayd4uz2s2nbeuo/bafkreihkfpl3euply7af432j3qruzvt62ij5rry4xxnpxnuj65xd2wbz6u@jpeg,did:plc:wxntmo5swdayd4uz2s2nbeuo
at://did:plc:ne5c3hpvtirvbojsqadlwyz5/app.bsky.feed.post/3l5fdxclqli2x,bafyreicodcjmwc5kh6irplr6ujxesukqivtdxwi35p452crp4xwm4z4hcq,"Perai, deixa eu ver se entendi, tu me vem com uma puta fake News sobre a posição da chatabata,eu te refuto com provas validas e depois eu que sou o analfabeto funcional?
Alias, como TODES vocês falam 'VAI AVISANDO 💅💅'

(Me recuso a acreditar que vi inteligente e esquerda no mesmo post 😂)""",2024-09-30T18:36:12.627Z,1,0,0,lucas77.bsky.social,MAURINHO TERROR DO CURICA,https://cdn.bsky.app/img/avatar/plain/did:plc:ne5c3hpvtirvbojsqadlwyz5/bafkreieyu5nvqri23hcqgtgcoattbfolee2xq2vhzvj2g2jo4zvp3rmoki@jpeg,did:plc:ne5c3hpvtirvbojsqadlwyz5
at://did:plc:du5766va33xmlvnscslpzkgm/app.bsky.feed.post/3l5fbx2mdkv2g,bafyreiefctsxlqc3xrlcql67zlqeu6ogamy5w3nqwr5322hqzvca6ziyce,Não aguento mais toda hora que eu passo na frente da tv está a cara daquela chatabata,2024-09-30T17:59:32.523Z,0,0,0,manuuhzinha.bsky.social,M!,https://cdn.bsky.app/img/avatar/plain/did:plc:du5766va33xmlvnscslpzkgm/bafkreif4uxz6kcqtdu2twhjphax4orwvbbzhdmrwy5b3zfztlvj25imnza@jpeg,did:plc:du5766va33xmlvnscslpzkgm
at://did:plc:s2ykvosrjluznlrjonit7mdu/app.bsky.feed.post/3l5favmj2f22k,bafyreicamdztjkabunpkmkdb3qs6akl65zntw2tebz3i2dqkg6ken2wqwm,Desde que mainha me disse isso nada tira da minha cabeça que a chaTabata é a Lisa Simpson,2024-09-30T17:41:30.765Z,1,0,1,outkoda.bsky.social,koda,https://cdn.bsky.app/img/avatar/plain/did:plc:s2ykvosrjluznlrjonit7mdu/bafkreidmg7lxjhcwgeghzih3nbyd2eckt22nder4fjkeyecyrlaxtkhzqe@jpeg,did:plc:s2ykvosrjluznlrjonit7mdu
at://did:plc:gfhpdfmnvukezj7cdkh663je/app.bsky.feed.post/3l5f3zbibxo2e,bafyreib35ptk7bgago5jwjifz2dg32dig5erqb5ec2o2dxhafpxbdxlvey,"MESMO TERRIVELMENTE OCUPADO, TIVE QUE POSTAR ESSA RESPOSTA DO P. MARCOLA Á CHATABATA. 
REFLITAM O NÍVEL? 
KD AS PROPOSTAS ?",2024-09-30T16:14:05.094Z,0,3,4,zoioazualdo.bsky.social,SCARPA.HEDAD,https://cdn.bsky.app/img/avatar/plain/did:plc:gfhpdfmnvukezj7cdkh663je/bafkreic6l7ylebpo2gstnrl5fjzzom6ufxj2fxi3hpbempwa6ll2fciixq@jpeg,did:plc:gfhpdfmnvukezj7cdkh663je
at://did:plc:izpd5q7dc3v77xazfst3s2vw/app.bsky.feed.post/3l5exex5pvf25,bafyreigvz43ofu4cz2uzcv4wqoaosgwh5u46f2eub7uftgnzb2vavdprga,"Não defendendo o Pablo Marçal , mas ele explica bem no debate , ao falar essa frase ele estava explicando para a Chatabata que ela não ia receber o voto de mulher só por ser mulher, após falar que a mulher é inteligente ele fala pra ela e fala que as mulheres só veem debates sem sentido na Chatabata",2024-09-30T14:51:13.650Z,2,0,0,ailtonveiga.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:izpd5q7dc3v77xazfst3s2vw/bafkreiggv42jsgcqr2owir7kbyzktzvjw6utwjp2wgeky7onsbi55zo76q@jpeg,did:plc:izpd5q7dc3v77xazfst3s2vw
at://did:plc:c6liiqgfy4pybouy2newvwno/app.bsky.feed.post/3l5ex7ezw7b2l,bafyreibgry3uhrsif42xce5526f3gkxpzhvvu5cdlligcfbluq3du4r5qe,"eh triste como a Tabata Amaral eh a única normal no debate e os comentários são chamando ela de chatabata

o futuro desse país eh preocupante e tudo isso eh graças a MERDA da geração passada que se dizem lutar pelo ""bem"" da próxima geração.",2024-09-30T14:48:02.107Z,1,0,1,guilimas.bsky.social,Guilherme Motel Destino Lima 🏴‍☠️,https://cdn.bsky.app/img/avatar/plain/did:plc:c6liiqgfy4pybouy2newvwno/bafkreibrisz755zyy6d4gwv4i3nr4im2ymim77uwi6sffkow25muhs5ay4@jpeg,did:plc:c6liiqgfy4pybouy2newvwno
at://did:plc:e52rnklifyv66bmrx5c2agty/app.bsky.feed.post/3l5ethxquz62h,bafyreicswxemvgyxly6ucg7ymgcaah7xiivq3dybmhxuwidureqm2rfwn4,Hahahah. Isso diz muito sobre a Chatabata.,2024-09-30T13:41:15.430Z,1,0,10,marvalmeida.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:e52rnklifyv66bmrx5c2agty/bafkreic3pjity2zaczc3sbmfmpcz37odjq77zkwgqug4k7uvuktyur7csu@jpeg,did:plc:e52rnklifyv66bmrx5c2agty
