uri,cid,text,created_at,reply_count,repost_count,like_count,author_handle,author_display_name,author_avatar,author_did
at://did:plc:vf6rhla2sdwlwlovkx62bbaw/app.bsky.feed.post/3l5hxhcq4yf24,bafyreihsx6zuusbeluwzhszel6ms6ghthwnbrs2e55vcsgdq2syvn6q7ae,"Estou do lado de Israel que vai se defender reagindo ao regime nefasto do Iran, opinião de esquerdista mimizento é o mesmo que nada",2024-10-01T19:30:27.515Z,0,0,0,antimilitancia.bsky.social,Anti Militante,https://cdn.bsky.app/img/avatar/plain/did:plc:vf6rhla2sdwlwlovkx62bbaw/bafkreie2vxuq67ordq5n5zpdlrajhdbaz4vokzvfb5xannhgahew3cphve@jpeg,did:plc:vf6rhla2sdwlwlovkx62bbaw
at://did:plc:vf6rhla2sdwlwlovkx62bbaw/app.bsky.feed.post/3l5hwssn25i2p,bafyreifjtfutc6og2ljh2u62krt7ozxofvca4cfaboefagqtvj7kattz3m,"Quanto quando blabla de esquerdista mimimi, Israel é um país legítimo que vai dar ao Iran o que merece, e sua opinião e nada é a mesma coisa",2024-10-01T19:18:59.558Z,2,0,0,antimilitancia.bsky.social,Anti Militante,https://cdn.bsky.app/img/avatar/plain/did:plc:vf6rhla2sdwlwlovkx62bbaw/bafkreie2vxuq67ordq5n5zpdlrajhdbaz4vokzvfb5xannhgahew3cphve@jpeg,did:plc:vf6rhla2sdwlwlovkx62bbaw
at://did:plc:kjo7i2zcn5qguao2xtrfzgtx/app.bsky.feed.post/3l5hwqh3jt52x,bafyreiggbqfjvqdbh5nyrtce2wmpsywnlrkuh7usnglvlwfq4rcoljpqqu,ai pq esquerdista é igual bolsonarista sou igual sim 👍 e pau no cu de israel,2024-10-01T19:17:40.363Z,0,0,0,bebegatopersa.bsky.social,PNG bebegatopersa,https://cdn.bsky.app/img/avatar/plain/did:plc:kjo7i2zcn5qguao2xtrfzgtx/bafkreihdfvnmy7pgij2q7r3d23oiq2j6cs5ffr5aj3gkjn454fdmgdbpfq@jpeg,did:plc:kjo7i2zcn5qguao2xtrfzgtx
at://did:plc:szuchqekxoxjb5xmzeh4y7qn/app.bsky.feed.post/3l5hwhr7n6y26,bafyreign5bnuetwqp3gtod7rm3ur7p7w3skjdkiucekxspovgoadccgluu,"Eua nunca vai deixar de apoiar Israel, EUA e um país 90 % católico e evangélico , sempre vai estar contra rebola, ramadz ,todos terroristas apoiado por Irã e esquerdista adora terroristas e bandido igual o ex presidiário lula",2024-10-01T19:12:49.524Z,1,0,0,ney1981ac.bsky.social,Ney ac🖤❤️🖤🇬🇫,https://cdn.bsky.app/img/avatar/plain/did:plc:szuchqekxoxjb5xmzeh4y7qn/bafkreietkg3tzchk5e7otxrqgpcjvn2ms37moyfzg633sjplnflqnexksy@jpeg,did:plc:szuchqekxoxjb5xmzeh4y7qn
at://did:plc:cq52ntmvirzwxhszwoyovguq/app.bsky.feed.post/3l5hw46xfes2c,bafyreihrnfnr7oezmw4h5avk2ttiiff5r6jdnlgqa64ra32qdopjroc2iy,O Instagram é contra qualquer comentário de pessoa de esquerda. Eu tenho mais de 10mil comentários curtidos. E qualquer comentário meu em perfil de esquerda é censurado. esses dias tomei um gancho de 24 HS e agora tomei um de 7 dias. E eu nem escrevi nada de comunista ou esquerdista. Acontece aí tb?,2024-10-01T19:06:20.169Z,4,1,7,jramonesccp.bsky.social,Antonio C Silva Jr,https://cdn.bsky.app/img/avatar/plain/did:plc:cq52ntmvirzwxhszwoyovguq/bafkreihu3oklicqp7dvlefbn5e6b457ak5ig64ijmzxn7hq25rp4vbdds4@jpeg,did:plc:cq52ntmvirzwxhszwoyovguq
at://did:plc:cwup7d3vwv6nota2w2o5r4sl/app.bsky.feed.post/3l5hurl7tge2u,bafyreiccdjjam77tl6rdckyj6zzzq365p73eppxkkv2b2w4stz23ijnse4," Mas ele é do partido PRD de direita, será que algum esquerdista não gostou da ideia de ele ser vereador? Esse també é do PRD e também foi assassinado g1.globo.com/rr/roraima/n...",2024-10-01T18:42:43.059Z,0,0,0,emonlusk.bsky.social,Emon Lusk ,https://cdn.bsky.app/img/avatar/plain/did:plc:cwup7d3vwv6nota2w2o5r4sl/bafkreibhylthegqeos2tltugefigjq355rokhr3x2ywlf3su2zcaly5evy@jpeg,did:plc:cwup7d3vwv6nota2w2o5r4sl
at://did:plc:6qyszaapr4ylcua4vaesobcm/app.bsky.feed.post/3l5hukkzjqv2r,bafyreib6gtjftv7x526uvqcdnwupazlpkod342u5ksvrkovmpevjxvfawu,"Patriotário, respira fundo e pense. Sei que pra ti é difícil, mas tente.

Você diz que ""sempre foi a esquerda que trabalhou para os ricos"", certo?
E também diz que ""os pobres só são usados para ganhar votos"", certo?

Tu percebeu que em uma resposta tu se chamou de esquerdista e de pobre manipulado?",2024-10-01T18:38:35.262Z,1,0,1,eduthomaz.bsky.social,Edu Thomaz,https://cdn.bsky.app/img/avatar/plain/did:plc:6qyszaapr4ylcua4vaesobcm/bafkreibxyy4riyxythvcbkux3lkmdq2lrjf5gjwrobcbec2ks4shvqeiam@jpeg,did:plc:6qyszaapr4ylcua4vaesobcm
at://did:plc:ja6ffe6xhrx6bcphuoxtao5a/app.bsky.feed.post/3l5htz2gjzj27,bafyreicouozy7oopeedomzdg7z6rr3fzrxdc4hb7h3pwmxtr54ykgmzzzu,"Errado ele não está, Calejon é o esquerdista que morre afogado e engasgado com o saco dos esquerdistas de plantão.",2024-10-01T18:28:47.325Z,0,0,0,darlanserra.bsky.social,Darlan Serra,https://cdn.bsky.app/img/avatar/plain/did:plc:ja6ffe6xhrx6bcphuoxtao5a/bafkreic2gqgkavgje7fqyf3c7dxvty5zvg66gnoyno3plt3x6cv4txd2uu@jpeg,did:plc:ja6ffe6xhrx6bcphuoxtao5a
at://did:plc:g5dqk2hchz5x4iubv52ldwu4/app.bsky.feed.post/3l5ht7yazqu2e,bafyreic6jiypt6vmxvmtmxuqbmqk5v27cral3eqpulu4j3m5lvjkbhblsi,"é complicado pra eles mesmo, pq todo o partido republicano segue ideologias e tem campanhas conservadoras que tem extrema influência neonazista e fascista (project 2025 aí), então eles acham que os democratas são o ápice esquerdista estadunidense",2024-10-01T18:14:46.564Z,2,0,1,fgottini.bsky.social,rato 🐭 comms abertas ,https://cdn.bsky.app/img/avatar/plain/did:plc:g5dqk2hchz5x4iubv52ldwu4/bafkreiazdfw4gc65vx2s4v4imkagzqmaiuu3xqrbr7nwrckodgrx3lwrka@jpeg,did:plc:g5dqk2hchz5x4iubv52ldwu4
at://did:plc:m3xbh6jkgl4oujtnzxqnskfg/app.bsky.feed.post/3l5ht7bgl3n2v,bafyreicu5f4cfjrn2o36bl63r2kytp325q7xo7c4elzvbyi3ynb6fdynoe,"se o colega do tarado de kiev não meter um ""imposto é coisa de esquerdista"" (ou semelhantes que seja, em essência, a mesma afirmação) em relação a taxação dos sites chineses eu dou meu cu pro estado de sergipe inteiro",2024-10-01T18:14:22.175Z,0,0,0,skeiti.online,skeiti,https://cdn.bsky.app/img/avatar/plain/did:plc:m3xbh6jkgl4oujtnzxqnskfg/bafkreihbxhb57qgzi7k5hg3mm4c7ab7zo6z4bq6owurumd4h63cujfr5ye@jpeg,did:plc:m3xbh6jkgl4oujtnzxqnskfg
at://did:plc:decj6cf22d4hwcb43ssztqk2/app.bsky.feed.post/3l5hszhxvyv2j,bafyreiaek6qrszngchiyuwjg5zskqm7wwqw36jjctkykxkoajy6alu5hba,jamais me renderei à sua pseudociência esquerdista e lacradora!!!,2024-10-01T18:11:08.966Z,1,0,1,samueldg3.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:decj6cf22d4hwcb43ssztqk2/bafkreibfskiijjs6i5md22skfkomnerlp4oq42rwxy2f624jitpcih3om4@jpeg,did:plc:decj6cf22d4hwcb43ssztqk2
at://did:plc:sh4ylwhuxguufpvo6ju746gi/app.bsky.feed.post/3l5hsypvasd2x,bafyreigngnc4ihfe6yz6s2kmwjmosxfsyx5mbkhh2d7va4ynytddrutydu,esta generalizando seu acéfalo esquerdista de merda?,2024-10-01T18:10:42.926Z,0,0,0,berlimshert.bsky.social,Berlim ,https://cdn.bsky.app/img/avatar/plain/did:plc:sh4ylwhuxguufpvo6ju746gi/bafkreif7dxdqpqiib35q4j6sp4dcutzacuqx6oejhdr27sy5hrhulceeza@jpeg,did:plc:sh4ylwhuxguufpvo6ju746gi
at://did:plc:vvldy5cxj3cg3izf3bcf4w4i/app.bsky.feed.post/3l5hsuhjiyh2o,bafyreihdfg6r2v34b2snvyo6fkj6bglkpeotplcdfht7p7gqphnye42x3a,"Contra Bolsonaro, sou lulista, esquerdista, comunista, revolucionário... sou o que precisar ser. Nunca fui tão esquerdista na minha vida. E se precisar ser de novo serei com força. É bom demais saber se pocisionar e ficar do lado certo da História.",2024-10-01T18:08:20.098Z,1,0,0,petricor.xyz,me,https://cdn.bsky.app/img/avatar/plain/did:plc:vvldy5cxj3cg3izf3bcf4w4i/bafkreicg2wrly62m6rwaklnnnbwpwkrvcyo46sdlkhxqb7nlwggga5hqyi@jpeg,did:plc:vvldy5cxj3cg3izf3bcf4w4i
at://did:plc:jzw3tvfsvhtxizotmsscrgrx/app.bsky.feed.post/3l5hs6x26xg2e,bafyreihrk7s4ahqxmxkkb3yv3p4y3agitvkygv6fbkatg3qhdebfkp7tku,Daqui a pouco aparece um esquerdista pra passar o pano...,2024-10-01T17:56:17.789Z,2,0,1,rjusticeiro.bsky.social,,https://cdn.bsky.app/img/avatar/plain/did:plc:jzw3tvfsvhtxizotmsscrgrx/bafkreielbv3mebksku2i5xhq6iugxfj4cjq7iov2uzluzeslqym6tx4iza@jpeg,did:plc:jzw3tvfsvhtxizotmsscrgrx
at://did:plc:7zlu6nlawrcjd3gmfjr7saak/app.bsky.feed.post/3l5hquohfsb2i,bafyreidi3kykki6a62vcc73tfmohhkl5loymtmvgwdxtun4ppodierbr6a,"Lamentável esse ato
Mas querendo ou não a esquerda não tem moral pra falar nada
É só ver os casos de agressão a pessoas de direita 
Vindo da militância esquerdista 
Ambos os lados estão errados",2024-10-01T17:32:39.671Z,2,0,0,nicolasarruda.bsky.social,Nicolas Arruda,https://cdn.bsky.app/img/avatar/plain/did:plc:7zlu6nlawrcjd3gmfjr7saak/bafkreiglgbef43ba4jv7ff4bsu56633dfh7mvsqyw4ecdbet454lsgkfwy@jpeg,did:plc:7zlu6nlawrcjd3gmfjr7saak
at://did:plc:txuvxwkym3j6facrbb2fjj2q/app.bsky.feed.post/3l5hqpmnbtx27,bafyreidlaeeboioagyl4qdv5ijdq5ojfycluzzxjpnn2dvqoidlcvoje2e,"Realmente não existe gado na esquerda,pq até o gado tem mais QI que um esquerdista, vc está certo, perdão",2024-10-01T17:29:48.370Z,1,0,0,sakhot.bsky.social,O Cão Chupando Manga,https://cdn.bsky.app/img/avatar/plain/did:plc:txuvxwkym3j6facrbb2fjj2q/bafkreia4ws7fp6if5t47rzeijab2lanrq2l64y4srh62heliqsoht4uuim@jpeg,did:plc:txuvxwkym3j6facrbb2fjj2q
at://did:plc:6uwybnthxcjdvxazboobleoi/app.bsky.feed.post/3l5hql2zbyp22,bafyreiewhnfbw6nhsfvreqhkkclaqm2o2jmtdyobp4qazp4xcuglf4wqea,Globo esquerdista do caralho,2024-10-01T17:27:17.437Z,0,0,0,guizaodosachados.bsky.social,Guizao dos Achados ,https://cdn.bsky.app/img/avatar/plain/did:plc:6uwybnthxcjdvxazboobleoi/bafkreicvsgmvtgtsibd6lwrx3jqo5ymwcrmkcpheoeyg4o4wkxurtxcs7a@jpeg,did:plc:6uwybnthxcjdvxazboobleoi
at://did:plc:44w3lykgg6cisbkgxtfv27jo/app.bsky.feed.post/3l5hnecahzr2k,bafyreigjt3mjh7wtjxiogzxx7w5uxgrndp36dbg3l2uaqgtbo75vddcd7m,"
🚨 na votação p/suspensão do X ministro Fux quis entender multa para quem usar VPN. Explicação: será aplicada APENAS a quem usar vpn para ¨discursos de ódio, antidemocráticos e fake news¨ A bom entendedor 7 palavras bastam. Entendi: ódio a esquerdista, anti democrata-totalitário e go-fake-yourself",2024-10-01T16:29:41.051Z,1,0,1,psyquick.bsky.social,Xandona Imoraes,https://cdn.bsky.app/img/avatar/plain/did:plc:44w3lykgg6cisbkgxtfv27jo/bafkreih63z6rtbb2pjtcf2gjsgeg4ykoslmuki6yly7dd625iieconeaju@jpeg,did:plc:44w3lykgg6cisbkgxtfv27jo
at://did:plc:yrv6xthatwvqvozxsnjxou3e/app.bsky.feed.post/3l5hmfdvuck2g,bafyreicm5znu7sd4pdgybgyeqaljdfp5hqj6go7bse3h2cyewhch2gmoei,"""Eles não sabem o que fazem"", mas sabem muito bem o que desejam. É lógico que o limite do vanguardismo leninista é a produção desejante, afinal, é justamente isso que foge, ou melhor, que necessariamente é excluído da forma partido. E com isso, temos essas caricaturas do esquerdista evangelista",2024-10-01T16:14:27.110Z,1,0,4,schizofia.bsky.social,linha de fuga esquizofrênica,https://cdn.bsky.app/img/avatar/plain/did:plc:yrv6xthatwvqvozxsnjxou3e/bafkreiav7vbanjcd33biqvffatfcjyusy6zlgza34rxp6gpdueofudtgj4@jpeg,did:plc:yrv6xthatwvqvozxsnjxou3e
at://did:plc:3cmzfp2pmfc5jen2yyelr3dc/app.bsky.feed.post/3l5hm3wuc752g,bafyreif7qxng7j3h753kq64i4fdzcbubsq6yeq6hwk7hqq7infdj3ugcmy,Tabata e esquerdista na mesma frase,2024-10-01T16:07:14.554Z,0,0,1,jubiaa.bsky.social,Jubia,https://cdn.bsky.app/img/avatar/plain/did:plc:3cmzfp2pmfc5jen2yyelr3dc/bafkreibwpai7vaiq4b2oxbkhmo6cnx7aev7vgzoqjedw2dx4bgm4ddtoxy@jpeg,did:plc:3cmzfp2pmfc5jen2yyelr3dc
at://did:plc:kdxkhu27acmriuy3eporlyui/app.bsky.feed.post/3l5hlrlk3j72n,bafyreihl47poijpdlgwhjhehehzpmq465be24dbb4rv22hcrjafov5goae,"Meu pai esquerdista, saindo da piscina, acabou de mandar essa na voz do bolsonaro: 

Não tem sol comunista, o sol é meu!",2024-10-01T16:01:27.371Z,0,0,1,felipelessi.bsky.social,Lessi,https://cdn.bsky.app/img/avatar/plain/did:plc:kdxkhu27acmriuy3eporlyui/bafkreigprwmfjbgxm72dra3qfhkyr56nwiykdvu7jfambwzkgqr4zpt3ky@jpeg,did:plc:kdxkhu27acmriuy3eporlyui
at://did:plc:77igfpwqpzxgjwknss7yg4ri/app.bsky.feed.post/3l5hlonm46o2m,bafyreid74fni7ew7u37cmcist6uo5beeubl3epqjlviwqbekf7hrpwmzvu,"Sendo genéricos de novo... Todo esquerdista gosta de acusar a pessoas sendo genérico? ""Nossa como tu é terrível mesmo eu não explicando motivo pois sou baba ovo de grupinhos sociais vitimistas"". Dizer que algo é terrível e não justificar não passa credibilidade nenhuma...",2024-10-01T15:59:48.064Z,1,0,0,manybears.bsky.social,Many,https://cdn.bsky.app/img/avatar/plain/did:plc:77igfpwqpzxgjwknss7yg4ri/bafkreiedpkxm546xdaau5d7p2s7tdfbgys3cgenpjwtqgredgzknnnewky@jpeg,did:plc:77igfpwqpzxgjwknss7yg4ri
at://did:plc:xwuihb4z3wxcgj2vkdxxwiup/app.bsky.feed.post/3l5hlk2ihyn24,bafyreidmjyzjhe6zaiobz4wrfumxdzmeakoqcdvjakv3igrokzesre3igi,Inclusive isso se aplica a algo q mt esquerdista adora mas q se eu falo gera briga,2024-10-01T15:57:14.065Z,0,0,0,gusmaopedro1.bsky.social,Sportello Gusmão ,https://cdn.bsky.app/img/avatar/plain/did:plc:xwuihb4z3wxcgj2vkdxxwiup/bafkreih5ctw7qrveqqbettqekd7q6qxd6lhbaf63ntlrxeykcik5yxnhvq@jpeg,did:plc:xwuihb4z3wxcgj2vkdxxwiup
at://did:plc:uxvwvzzgfmfgbtrakeswvadv/app.bsky.feed.post/3l5hkz3apx726,bafyreihmxqacqlsgvthnllnbdukr4oewcxi5jryllsnbbmld7sacymoqvq,"infelizmente vai ser um treinador conservador e armamentista o maior responsável pelo meu progresso no esporte mds que INFERNO 🤬 

1 mês com ele já evolui o equivalente a uns 6 meses com o hugo, meu treinador anterior (um querido e esquerdista mas flopado dms enquanto prof",2024-10-01T15:47:45.081Z,0,0,0,vtrschmnn.bsky.social,🌞 poder solar 🌞,https://cdn.bsky.app/img/avatar/plain/did:plc:uxvwvzzgfmfgbtrakeswvadv/bafkreift6f6fpm7b6bpjhp6w54t742moy6jjqb4rnyus77cqpq4b5uuzxm@jpeg,did:plc:uxvwvzzgfmfgbtrakeswvadv
