uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did,violence_detected
at://did:plc:shvn2dh2xjkrhorbgcobzmfy/app.bsky.feed.post/3l5dhvzbvk32v,bafyreifizleeaviufaadkbwfpdpn3avmguyvnvum4ibzbty2splq2iujtu,"@pablovillaca.cinemaemcena.com.br há esperança para Porto Alegre também.
 sul21.com.br/noticias/pol...",2024-09-30T00:47:35Z,0,0,0,2024-09-30T00:41:42Z,ellslu.bsky.social,NA,did:plc:shvn2dh2xjkrhorbgcobzmfy,sem violência detectada
at://did:plc:llnwxuoymbezjcfunvjxjnlo/app.bsky.feed.post/3l5ezxfeqxq2u,bafyreibhtzzdypqfama3nukjsmns7t4pv2n4jaxikss3otvheduz66ozky,Não dá pra entender: na propagande de Maria do Rosario NUNCA é mencionado o apoio do lider golpista bozo ao incompetente Melo....voces querem proteger o despreparado melo de qualquer critica? Assim como a RBS blinda o bolsonarista melo de qualquer critica sobre as cheias...,2024-09-30T15:37:14Z,0,0,0,2024-09-30T15:37:14Z,leanz100.bsky.social,Leanz,did:plc:llnwxuoymbezjcfunvjxjnlo,sem violência detectada
at://did:plc:iil2u27lxax5wra7ycfbyeyn/app.bsky.feed.post/3l5di4jhy5523,bafyreif5643y5ihzo4x4lksvbok73ntnaiy5ebg4gyqdoprvxnepyyogia,NA,2024-09-30T00:45:20Z,0,0,0,2024-09-30T00:45:20Z,cironoblsky.bsky.social,Ciro no Bluesky🌹,did:plc:iil2u27lxax5wra7ycfbyeyn,sem violência detectada
at://did:plc:lkqyni3msqvtqd64g6irenrf/app.bsky.feed.post/3l57fod7zgk23,bafyreiesi75iajbocp57oh5sr2inpcuqi73ivuou5bgbggpxuozkzjbrwu,Maria e Tamyres 🌻❤🌟👏👏👏👏👏,2024-09-28T09:50:57Z,0,1,2,2024-09-28T09:50:57Z,camilasn.bsky.social, Cαмιℓα ѕ.η.,did:plc:lkqyni3msqvtqd64g6irenrf,sem violência detectada
at://did:plc:rkj7x4lkz3ccoflewc3exsc3/app.bsky.feed.post/3l5a2atbhdv2v,bafyreigj3duohskkmqafnfh4dyhlflwzfgs2zdwcudof6zhrc2mo53p3da,Votem em Juliana Brizola,2024-09-28T15:59:11Z,1,0,6,2024-09-28T15:59:11Z,ricvalley.bsky.social,NA,did:plc:rkj7x4lkz3ccoflewc3exsc3,sem violência detectada
at://did:plc:kxmmdokv3ws4hqjavgcrr6om/app.bsky.feed.post/3l5afdcwjyo2e,bafyreidd7zxkiakw5wogzf2om4hkftj4txsd52kjkyjqpzfkyhlogbgdba,"3 semanas sem postar candidata??
Desse jeito não tem como ganhar 
Tem que postar todo dia!
Ir pro Sarandi 
Prós bairros que estão mais necessitados de ajuda",2024-09-28T19:17:24Z,0,0,2,2024-09-28T19:17:24Z,evarubio.bsky.social,Eva 🚩 No X perfil Palestina livre,did:plc:kxmmdokv3ws4hqjavgcrr6om,sem violência detectada
at://did:plc:kpabzdx5juei5cmislottm4j/app.bsky.feed.post/3l5afq7p7fr2h,bafyreiegekazzncczr4nn3oqb6bgmrzgwmxs62np4jwelu6mqehl4jvbkm,"Maria, põe a militância do PT prá ir p as ruas fazer o corpo a corpo com os eleitores. Conquistar voto a voto! Essa é a hora decisiva prá ultrapassar o outro candidato. A militância tem que ir conquistar os votos dos indecisos.",2024-09-28T19:27:15Z,0,2,3,2024-09-28T19:24:41Z,cris6744.bsky.social,NA,did:plc:kpabzdx5juei5cmislottm4j,sem violência detectada
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l56ovggqm222,bafyreief43eiqths5g5rovyzwd2rv772tdnvq5qpbpkjns3ojbnei63zcu,"
A Cidade Baixa é o bairro que acolhe a gurizada, os blocos de carnaval, famílias e idosos que gostam da boêmia do bairro, mas que ainda assim, precisa da qualificação de muitos serviços. 

Porto Alegre voltará a ser boa para toda a sua gente! Para todos os bairros e regiões!",2024-09-28T03:03:19Z,1,16,75,2024-09-28T03:03:19Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53,sem violência detectada
at://did:plc:whlo2tap7udbs7pgzf6oauom/app.bsky.feed.post/3l47mlgwsf62g,bafyreihnf2atd4c5jkkriljnnarju6i4p5rtctt2z4xbmo6lvs4doggvli,#LulaJuntosNoBluesky,2024-09-15T18:29:24Z,0,0,1,2024-09-15T18:29:24Z,marlenebr.bsky.social,"@marlenebr.bsky.social, esquerdista, votei  Lula, Haddad , Dilma",did:plc:whlo2tap7udbs7pgzf6oauom,sem violência detectada
at://did:plc:mgrziuc5cgorc5m7ikyjwclh/app.bsky.feed.post/3l534c4mup622,bafyreifqi5nquk5hu2rnsppzmzc76nrtmfkr5qdzurrykw35mw7xpnpgyi,Bora engajar aqui mulher,2024-09-26T16:52:25Z,0,0,0,2024-09-26T16:52:25Z,franetica.bsky.social,Franciele,did:plc:mgrziuc5cgorc5m7ikyjwclh,sem violência detectada
