reply_uri,reply_cid,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did,original_post_uri,original_post_text
at://did:plc:vznftabtwg4oeksmqz7tjca3/app.bsky.feed.post/3l5mwf2hdod2w,bafyreid4cstoeyavd5ngec6mfaalv35f3d37znrd7cpnbzn3rr3lvm3g4i,"Marina, você felizmente conseguiu participar de alguns debates. Aqui no RJ a Carol Sponza foi completamente ignorada em TODOS os debates.

Eu queria de verdade entender qual a perseguição da grande imprensa com o partido NOVO",2024-10-03T18:54:31.818Z,0,0,1,2024-10-03T18:54:31.818Z,mattsantana.bsky.social,Matheus ...?!✠ Jesus Crist is my King 👑,did:plc:vznftabtwg4oeksmqz7tjca3,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5muq4qjwy2y,"CENSURA! Mais uma vez, querem calar a minha voz. Globo, do que vocês tem medo?

Marca a @tvglobo.com aqui e vamos exigir uma explicação! 
#Vote30"
at://did:plc:tkwfzrjwa4rorrue3z4ldjnk/app.bsky.feed.post/3l5nnurrtvb2d,bafyreidgw7rs3i6bmhvfm3khdgczl5t426iehlsuel3ugxzrk5kw25dt3q,😂😂😂😂,2024-10-04T01:54:59.880Z,0,0,0,2024-10-04T01:54:59.880Z,gilmardesou.bsky.social,,did:plc:tkwfzrjwa4rorrue3z4ldjnk,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5muq4qjwy2y,"CENSURA! Mais uma vez, querem calar a minha voz. Globo, do que vocês tem medo?

Marca a @tvglobo.com aqui e vamos exigir uma explicação! 
#Vote30"
at://did:plc:qcot6nq6yhooervxmpefi2sy/app.bsky.feed.post/3l5nkqabeo52c,bafyreigtqd6xvg5tzj76sbpzixndryfpnvcqtev5tvmfgreifny5mfaqc4,Seja firme e corajosa senadora.,2024-10-04T00:58:45.743Z,0,0,0,2024-10-04T00:58:45.743Z,robertoslm.bsky.social,Roberto 🇧🇷,did:plc:qcot6nq6yhooervxmpefi2sy,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5muq4qjwy2y,"CENSURA! Mais uma vez, querem calar a minha voz. Globo, do que vocês tem medo?

Marca a @tvglobo.com aqui e vamos exigir uma explicação! 
#Vote30"
at://did:plc:ny6nqpkrc5ekjgw35yiv4cak/app.bsky.feed.post/3l5nzxcuyti2x,bafyreiehco35myisdd5utwzhodqnpdkidskotif7t2l6zbzp4grxnrre6u,"A explicação é simples: você, de acordo com a lei eleitoral, não precisa ser convidada.
Deveríamos cobrar explicações da Globo sobre o convite ao candidato do PRTB, isso sim.
Nenhum de vocês dois deveria ter estado em nenhum dos debates.",2024-10-04T05:31:10.289Z,0,0,0,2024-10-04T05:31:10.289Z,crismoretto.bsky.social,,did:plc:ny6nqpkrc5ekjgw35yiv4cak,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5muq4qjwy2y,"CENSURA! Mais uma vez, querem calar a minha voz. Globo, do que vocês tem medo?

Marca a @tvglobo.com aqui e vamos exigir uma explicação! 
#Vote30"
at://did:plc:inbdmi5h2bbcborzrzjvzhxa/app.bsky.feed.post/3l5nje27zae2n,bafyreihbmdnujcypmgz6a4skngz7aunyavmfrg5724vg6fvjwlzle6fsya,Qual pesquisa vc passou o Datena?...,2024-10-04T00:34:03.386Z,0,0,0,2024-10-04T00:34:03.386Z,anderson539.bsky.social,,did:plc:inbdmi5h2bbcborzrzjvzhxa,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5muq4qjwy2y,"CENSURA! Mais uma vez, querem calar a minha voz. Globo, do que vocês tem medo?

Marca a @tvglobo.com aqui e vamos exigir uma explicação! 
#Vote30"
at://did:plc:wn5hgk2hwlvq6yn6nojfqdg3/app.bsky.feed.post/3l5ldfjmumh2w,bafyreif7v22ws6qy7vjulu5dmsutyyckpxquwhvsui2gim74dhwrvnmhza,,2024-10-03T03:42:11.774Z,0,0,1,2024-10-03T03:42:11.774Z,regisanches.bsky.social,,did:plc:wn5hgk2hwlvq6yn6nojfqdg3,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5b4hcxq432v,"Muita gente diz que eu sou a mais preparada, mas que não vai votar em mim por causa das pesquisas. Saiba que as pesquisas erram, e erram porque, no final, quem decide é você.

Vote Marina Helena para prefeita de São Paulo. 3️⃣0️⃣✅

#DebateRecord"
at://did:plc:vypziojzmatbmvdf3rerlu4r/app.bsky.feed.post/3l5cm3n6t352k,bafyreidep6qdzz2ebvtgc3mxwh5pyn6urt6jwtsx7ocpop3ksrypb637g4,Muita gente = seus familiares  kkkkkkkkk,2024-09-29T16:23:45.800Z,0,0,3,2024-09-29T16:23:45.800Z,robertaro.bsky.social,Beta 🚩,did:plc:vypziojzmatbmvdf3rerlu4r,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5b4hcxq432v,"Muita gente diz que eu sou a mais preparada, mas que não vai votar em mim por causa das pesquisas. Saiba que as pesquisas erram, e erram porque, no final, quem decide é você.

Vote Marina Helena para prefeita de São Paulo. 3️⃣0️⃣✅

#DebateRecord"
at://did:plc:vh4nyvbez34e7hyynzkbmhkx/app.bsky.feed.post/3l5cgjxoudz2c,bafyreibb4dz6ca562q7sxlwx5ptd26c546icvxfwyr3jnjlt53tsx7cjru,Kkkkkkkkkkkkkk,2024-09-29T14:44:23.959Z,0,0,2,2024-09-29T14:44:23.959Z,pif45.bsky.social,ProfessorPIF,did:plc:vh4nyvbez34e7hyynzkbmhkx,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5b4hcxq432v,"Muita gente diz que eu sou a mais preparada, mas que não vai votar em mim por causa das pesquisas. Saiba que as pesquisas erram, e erram porque, no final, quem decide é você.

Vote Marina Helena para prefeita de São Paulo. 3️⃣0️⃣✅

#DebateRecord"
at://did:plc:tkwfzrjwa4rorrue3z4ldjnk/app.bsky.feed.post/3l5d2vdwu6g2s,bafyreig45zpf7ibxjnzq32cgxx3dsb6yji54m6friq3utj45v5slcvjmcm,Tu tem a carisma de uma foca morta,2024-09-29T20:48:40.103Z,0,0,1,2024-09-29T20:48:40.103Z,gilmardesou.bsky.social,,did:plc:tkwfzrjwa4rorrue3z4ldjnk,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5b4hcxq432v,"Muita gente diz que eu sou a mais preparada, mas que não vai votar em mim por causa das pesquisas. Saiba que as pesquisas erram, e erram porque, no final, quem decide é você.

Vote Marina Helena para prefeita de São Paulo. 3️⃣0️⃣✅

#DebateRecord"
at://did:plc:qi4io2ii7usgutc3527lk3rg/app.bsky.feed.post/3l5g4norgji2q,bafyreicrf3ch6xu2p33v7v2se4tcy2u4726sh2etsngyclqnwi7egbp3mm,E verdade que vc e filha de ex  ministro e fica pagando de selfmade?,2024-10-01T01:58:10.316Z,0,0,2,2024-10-01T01:58:10.316Z,labcooker.bsky.social,,did:plc:qi4io2ii7usgutc3527lk3rg,at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5b4hcxq432v,"Muita gente diz que eu sou a mais preparada, mas que não vai votar em mim por causa das pesquisas. Saiba que as pesquisas erram, e erram porque, no final, quem decide é você.

Vote Marina Helena para prefeita de São Paulo. 3️⃣0️⃣✅

#DebateRecord"
