uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:5egflzrw6hxaun47jmnaplld/app.bsky.feed.post/3l3dwfoog7i22,bafyreifuyzeprlml5irn2tmq2c4ye4w6o3iqedhvexmkjsnd3mrfsbmy6q,"We know the semester’s only just begun, but it’s already time to think about spring schedules! This spring, we’re offering our Intro to Digital Humanities and Social Sciences with @megsmith.bsky.social.",2024-09-04T18:10:37.107Z,0,2,4,2024-09-04T18:10:37.107Z,siueiris.bsky.social,IRIS Center for Digital Humanities and Social Sciences,did:plc:5egflzrw6hxaun47jmnaplld
at://did:plc:5egflzrw6hxaun47jmnaplld/app.bsky.feed.post/3l2b4p3uacu2v,bafyreibpgbirwprrcve4zm6k7mmy7r64vq4i5hfa7suvly3j2nwcrdl7ku,"IRIS has a new newsletter! You can find the first issue and subscribe here: 
mailchi.mp/c29ab3378244...

#DigitalHumanities",2024-08-21T22:00:04.136Z,0,1,1,2024-08-21T22:00:04.136Z,siueiris.bsky.social,IRIS Center for Digital Humanities and Social Sciences,did:plc:5egflzrw6hxaun47jmnaplld
at://did:plc:hkxego77trzxsuvjuscswyfv/app.bsky.feed.post/3kztlekby4h2a,bafyreibd26ftzhbnwj2h2d4ffqjve7scjpiscihaxysd5p4mkq27edojii,"St. Louis digital humanists and DH-curious, tomorrow is the fall STLDH happy hour! Join us at Civil Life from 4:00 to 6:00 to chat about projects, the upcoming semester, and your goings on.

#StLouis #stl #DigitalHumanities",2024-08-16T12:45:20.305Z,2,2,4,2024-08-16T12:45:20.305Z,megsmith.bsky.social,dr. meg smith,did:plc:hkxego77trzxsuvjuscswyfv
at://did:plc:5egflzrw6hxaun47jmnaplld/app.bsky.feed.post/3kzr42vxelh2y,bafyreifff5xkxa7svrtlf3dffkc6ojbkm7fzrssjltsjsy4cv5o3jaju54,"Read more about CODES at iris.siue.edu/codes, and find admissions and application info at www.siue.edu/diversity/co...",2024-08-15T13:06:11.381Z,1,0,1,2024-08-15T13:06:11.381Z,siueiris.bsky.social,IRIS Center for Digital Humanities and Social Sciences,did:plc:5egflzrw6hxaun47jmnaplld
at://did:plc:5egflzrw6hxaun47jmnaplld/app.bsky.feed.post/3kzr3uojkmj22,bafyreigbxem6sgqinlnsoiqyxncnzovsd3eyh4iazdqkk5fm3xsfwwju7u,"Community-Oriented Digital Engagement Scholars is a gen ed pathway for students who are first gen, Pell-eligible, or historically underrepresented in their majors. It blends community collab, interdisciplinary inquiry, and digital humanities methods to equip students to wrestle with wicked problems.",2024-08-15T13:02:42.265Z,1,0,1,2024-08-15T13:02:42.265Z,siueiris.bsky.social,IRIS Center for Digital Humanities and Social Sciences,did:plc:5egflzrw6hxaun47jmnaplld
at://did:plc:5egflzrw6hxaun47jmnaplld/app.bsky.feed.post/3kzr3nvg55g26,bafyreifre44pqub2njcq2e35sdvfj24i76g2dx3m6wsut3mdf7bzk3bs3a,"We’ve got some big news: the CODES program has received a $1 million grant from the Mellon Foundation, which support its expansion over the next three years! Congratulations to Dr. Jessica DeSpain and her collaborators on this enormous achievement!

www.siue.edu/news/2024/08...

#DigitalHumanities",2024-08-15T12:58:54.614Z,1,2,6,2024-08-15T12:58:54.614Z,siueiris.bsky.social,IRIS Center for Digital Humanities and Social Sciences,did:plc:5egflzrw6hxaun47jmnaplld
at://did:plc:5egflzrw6hxaun47jmnaplld/app.bsky.feed.post/3kxzvb2ygns23,bafyreigewqmma3dzcchsd54srfgh2siqqtjmrprkuctdc5zslewpvkjhhy,"“At a time when DEI scholarship and programs are being challenged and undermined across the globe, the work of scholars such as Dr. Jessica DeSpain is more urgently needed than ever.""

You can read the full award announcement at iarslce.org/2024awards",2024-07-24T14:07:56.150Z,0,0,1,2024-07-24T14:07:56.150Z,siueiris.bsky.social,IRIS Center for Digital Humanities and Social Sciences,did:plc:5egflzrw6hxaun47jmnaplld
at://did:plc:5egflzrw6hxaun47jmnaplld/app.bsky.feed.post/3kxzv5xt4uk2t,bafyreiafgt5a43tlf5pecmgumm4bym3bojwhktcg46qa7lcy2r6yjw5azq,"Congratulations to IRIS co-director Dr. Jessica DeSpain! She's received the Diversity, Equity, and Inclusion Award from the International Association for Research on Service-Learning and Community Engagement for her work with CODES, RISE-DH, the Recovery Hub, and more.",2024-07-24T14:06:12.170Z,1,1,2,2024-07-24T14:06:12.170Z,siueiris.bsky.social,IRIS Center for Digital Humanities and Social Sciences,did:plc:5egflzrw6hxaun47jmnaplld
at://did:plc:hkxego77trzxsuvjuscswyfv/app.bsky.feed.post/3kvhhpcy4gm2y,bafyreibujmncximxu4bl3kaiih7b3rvaqysk624trraqmynk7ty4r3qyru,"New article is out! (3 weeks ago, but I was in the mountains.) 

Check it out if you’re interested in medieval Ireland, humanities data, and/or critical data practices. And if you’re interested in contributing to the project, please get in touch! #DigitalHumanities

ideah.pubpub.org/pub/13nk9j68...",2024-06-21T19:27:03.215Z,0,1,3,2024-06-21T19:27:03.215Z,megsmith.bsky.social,dr. meg smith,did:plc:hkxego77trzxsuvjuscswyfv
at://did:plc:hkxego77trzxsuvjuscswyfv/app.bsky.feed.post/3kpud3mnma52z,bafyreiea5sepajo4toxifel2gaj74456sme7arqw3jghdvp4lxxjktletm,"Hey #StLouis #DigitalHunanities folks, the St. Louis DH Showcase is next week, and you’re invited! The showcase will feature the work of high schoolers, undergraduates, and grad students from area institutions. Program and registration here: digital-humanities-showcase-2024.training.lindenwood.edu",2024-04-11T13:37:54.153Z,0,1,3,2024-04-11T13:37:54.153Z,megsmith.bsky.social,dr. meg smith,did:plc:hkxego77trzxsuvjuscswyfv
