uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nsvsn5kb2l,bafyreibdtqky55xzrn7poy7g4zr4zmq4c4n42gp7yxcbypspqlbnfikwzu,"Como disse Eduardo Campos, não vamos desistir do Brasil nem de São Paulo. Porque essa é a nossa terra. #Tabata40 #DebateNaGlobo",2024-10-04T03:25:03.648Z,3,8,50,2024-10-04T03:25:03.648Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nsvihzzv2l,bafyreiebs26xgohdfkqazuab77nbu6tohimgocvn7yygprf76imxropjnu,"A gente não tem que se contentar com pouca coisa. Política é pra mudar a nossa vida, é pra gente sonhar. Eles querem que vocês desistam, que vocês achem que não vale a pena. Não façam isso. Bora botar uma mulher, ideias novas, trabalho, honestidade. #Tabata40 #DebateNoGlobo",2024-10-04T03:24:52.365Z,0,3,49,2024-10-04T03:24:52.365Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nso6vd6q2l,bafyreifvlbryszwshf52f5c3nwkrowvntnq2kqnvrlwzxqu7yjoonuve6q,"A gente pode sonhar com uma prefeitura que não vai sufocar com propina, imposto, burocracia, mas ajudar a prosperar. E dormir tranquilo sabendo que tem uma prefeita trabalhando, virando a noite se necessário, porque sabe o que é enchente e vai cuidar de você e se planejar. #Tabata40 #DebateNaGlobo",2024-10-04T03:20:48.062Z,2,3,54,2024-10-04T03:20:48.062Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nsnpgqij2b,bafyreicvzivesrjqqkhjefjg7rbxrfuzzca67vmifk5icycj633jo7m5ta,"Quando a boa política funciona e o projeto é bom, ela tá pra servir você. Você que é mãe, merece ter uma escola pública boa. Não é só alfabetização. É com robótica, inglês, intercâmbio, esporte, cultura. Tudo aquilo que eu não pude ter pequenininha, mas que faz diferença. #Tabata40 #DebateNaGlobo",2024-10-04T03:20:31.238Z,0,4,19,2024-10-04T03:20:31.238Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nskon5w62d,bafyreifytmqz4wqoawsuvgwvqtlokvmhyq23muv5s4jk2fyeezgqsx4sr4,"Ao longo dos últimos meses, eu pude me apresentar e mostrar que não tô na vida pública a passeio. Fui por seis anos deputada federal e consegui aprovar muita coisa com muito trabalho. Pra mim a vida pública é serviço, é trabalho, é coisa séria, é honestidade. #Tabata40 #DebateNaGlobo",2024-10-04T03:18:50.355Z,3,4,33,2024-10-04T03:18:50.355Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nrq7rlrm2i,bafyreiagkrfu24qqyi2w43rrrc4z4k3pvyoqokn623yuivglbiq73lmcwi,"Pablo Marçal está há semanas atacando cada um de nós e trazendo mentiras. Mas esse homem está há três semanas com esse gesso cenográfico. A gente sabe que não tem nada ali, mas ele continua encenando. Quem mente até na pequena coisa não merece nossos ouvidos. #Tabata40 #DebateNaGlobo",2024-10-04T03:04:02.344Z,4,21,167,2024-10-04T03:04:02.344Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nrpiyvkb2j,bafyreigwdsz3qfeptv53eivf6ijt76tux3hvcjnmcxccgzhbv3kbawems4,"Jovem Tech: a prefeitura vai mapear vagas e bancar o curso de dois anos na área de tecnologia, feito sob demanda, de acordo com o que as empresas estão precisando, justamente para o jovem que se formou na escola pública, mas que hoje não consegue acessar bons empregos. #Tabata40 #DebateNaGlobo",2024-10-04T03:03:37.733Z,0,1,35,2024-10-04T03:03:37.733Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nr7lhfyi2l,bafyreiemreqpfsfzcrgydlaezpjkufqlpiz4zyotwqg3gabajx4uigwsje,Todo mundo que trabalha com segurança sabe: o crime sempre acontece nos mesmos lugares. A gente tem que usar a inteligência e a tecnologia e reforçar o policiamento justamente nessas áreas. #Tabata40 #DebateNaGlobo,2024-10-04T02:54:44.166Z,2,4,25,2024-10-04T02:54:44.166Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nqt4uvku2s,bafyreicuxwxrn6n5emvdtrry3dgoovi356ml5fkhzwnb6d45aywkrpwbia,Por que a prefeitura até hoje não fez a eletrificação da frota de ônibus? Por que o Ricardo Nunes fez tão pouca ciclofaixa e ciclovia? São coisas tão óbvias que não é mais escolha. Tem que fazer já. Precisamos de novas ideias e de energia pra fazer acontecer. #Tabata40 #DebateNaGlobo,2024-10-04T02:47:45.591Z,1,2,30,2024-10-04T02:47:45.591Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nqpqadq326,bafyreia3q23dmwxwagxf73hm7bxxn32mwthzk7z3f654q7ldwqqcpw3b24,"O que eu farei como prefeita é olhar para os 800 pontos críticos que estão em maior risco e já desenhar uma solução. Hoje a prefeitura tem planejamento apenas para 100 deles.
E antes mesmo de assumir, pois sei que em janeiro tem chuva e a gente sofre demais quando ela chega. #Tabata40 #DebateNaGlobo",2024-10-04T02:45:52.318Z,0,3,29,2024-10-04T02:45:52.318Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nqowqej624,bafyreih5vii6poxrq3niuu4i4bhmyi3ipdcumiebuukswqaxaoz23bzuae,Umas das primeiras memórias que eu tenho é da chuva vindo e a minha casa alagando. É desesperador ver gente perdendo vida e as pessoas perdendo tudo que têm. Então precisamos de políticas públicas pra ontem. Não dá pra esperar janeiro. #Tabata40 #DebateNaGlobo,2024-10-04T02:45:24.941Z,1,1,26,2024-10-04T02:45:24.941Z,tabatasp.bsky.social,Tabata Amaral 40,did:plc:rdp4e6uyn56sjm3krykz7chm
