uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l53awph4rg2g,bafyreifsnnqapfxp3ulwtd57sj3nkur2qytlkfdmocb37ysh6o2lsueiey,"""Foram mais de 40 dias andando pela cidade, recebendo abraços do povo. Temos uma escolha para fazer. Não podemos retroceder, muito menos ficar parados. Essa eleição vai ter segundo turno. Vamos votar 50 para ter a primeira mulher prefeita da história de Niterói."". #Talíria50 #TalírianoGlobo",2024-09-26T18:15:30.063Z,0,1,7,2024-09-26T18:15:30.063Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l53auicoam2q,bafyreicnl7mgrwhsradtlffpkqegz2xnnt4b2pajhiswxi46dlrixzmq3y,"""Vamos garantir um plano de transferência energética, a partir de placas solares. As comunidades energéticas podem fomentar a geração de energia renovável. Eu tenho certeza que Niterói pode ser referência no cuidado com a natureza."". #Talíria50 #TalírianoGlobo",2024-09-26T18:14:15.468Z,0,0,3,2024-09-26T18:14:15.468Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l53atwp5xx2r,bafyreibtjwbfdm6otdhjjjccdmr3zhicok3ugsxfxfmhomp6i7x5u5c5aq,"""Não tem cidade que pretende ser referência que não cuide do meio ambiente. Niterói está entre os quase 2 mil municípios que correm risco de eventos climáticos extremos. A palavra de ordem é prevenção."". #Talíria50 #TalírianoGlobo",2024-09-26T18:13:57.081Z,0,0,3,2024-09-26T18:13:57.081Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l53aiz64wa2m,bafyreibohazu527jbrqp4kumr7thuvjh2lrhaxczv7r4kbxvxctb56k4ce,"""Niterói tem o pior trânsito do Brasil. Do ponto de vista da prefeitura, vamos garantir o VLT para as zonas Norte e Leste, implementar faixas exclusivas para motos, além de ampliar as ciclovias em direção ao Centro."". #Talíria50 #TalírianoGlobo",2024-09-26T18:07:50.506Z,0,0,2,2024-09-26T18:07:50.506Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l537nei47x2m,bafyreih3iojrlpy2rpo23j34imldh55lgdsosqqumug242rig3kd4wwqja,"""Internação compulsória é uma farsa. Não resolve o problema na raiz. As pessoas sempre voltam para a rua. A gente vai tirar as pessoas da rua, garantindo cuidado, moradia, saúde, emprego e dignidade"". #Talíria50 #TalírianoGlobo",2024-09-26T17:52:23.233Z,1,0,5,2024-09-26T17:52:23.233Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l537mmw5cs2q,bafyreifpi7r6ilr34ivvj6dckxe2nylf72wk4nianm2guozsl6vzfmuqjq,"""A gente não só vai criar a Cidade do Samba, nós vamos ampliar os recursos para o Carnaval, para cada costureira, para os montadores de cada carro alegórico, fomentando essa cultura por todo o ano."". #Talíria50 #TalírianoGlobo",2024-09-26T17:51:58.131Z,0,0,2,2024-09-26T17:51:58.131Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l537lrmyuq2e,bafyreiapm7kp66vpskkg3hlxsa54mn3565gr3q6ygasyc52jbrjwujg7mu,"""As escolas podem ser um polo cultural de esporte e lazer para as comunidades. A atual prefeitura não valoriza os movimentos culturais da cidade. O Cinema Icaraí está sempre para abrir e nada, a estação Cantareira parada..."". #Talíria50 #TalírianoGlobo",2024-09-26T17:51:29.521Z,0,0,4,2024-09-26T17:51:29.521Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l537kxqag52e,bafyreic7avhiwbzdce6yfa4cnivrxhit753oto4dqeciucyrcaor4lmex4,"""Meu vice, Fernando Rodovalho, implementou a Tarifa Zero em Maricá, e vai ajudar a trazer ônibus de graça para o povo de Niterói. Inúmeras cidades utilizam esse recurso e temos visto dar certo."". #Talíria50 #TalírianoGlobo",2024-09-26T17:51:02.381Z,0,0,2,2024-09-26T17:51:02.381Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l537k43irw22,bafyreicaqlt4npdsgwzo6ifbdsuymudmkm7au4o6hqh2s7lx75iw6xq4qe,"""A Tarifa Zero é positiva para as famílias, para os empresários, para o trânsito. Com mais ônibus circulando, vamos melhorar a condição de vida do trabalhador, que muitas vezes precisa escolher entre a passagem e a comida."". #Talíria50 #TalírianoGlobo",2024-09-26T17:50:33.391Z,0,0,2,2024-09-26T17:50:33.391Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l537j6ydqa2m,bafyreic7w7bnprbsuimor62yebhcaspr6pr5lpg6e5iou5bdclwkzxh3mm,"""Niterói andou para trás. A atual gestão teve 12 anos para olhar paras as favelas. Falta saúde, falta saneamento básico. Vamos mudar essa realidade, a partir de uma gestão que olha para todos."". #Talíria50 #TalírianoGlobo",2024-09-26T17:50:02.874Z,0,2,6,2024-09-26T17:50:02.874Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
at://did:plc:ptteeitbavw6q4c2fh2srgww/app.bsky.feed.post/3l537ia7kak2g,bafyreib5uxuvzojod54sjde5ybkz3yxuwjzr6m56urolczmtznuo2lcbcy,"""Eu fui a vereadora mais votada de Niterói, a terceira deputada mais votada do estado, conheço bem a máquina pública. Para a saúde, trouxe mais de R$ 46 milhões para a cidade. Estou preparada para ser prefeita."". #Talíria50 #TalírianoGlobo",2024-09-26T17:49:30.611Z,0,0,4,2024-09-26T17:49:30.611Z,taliriapetrone.bsky.social,Talíria Petrone,did:plc:ptteeitbavw6q4c2fh2srgww
