uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5xibhsmh32g,bafyreig5dtberbjocht5pnbla2nt5bnlj5qfm5fjyeusjiwzh2euj6mzxe,"🇵🇸🇱🇧 1 ano do início do g3n0c1o na Palestina, praticado por Israel. Quase 42 mil palestinos já perderam suas vidas. A maioria, mulheres e crianças.

Agora, o m4ss4cr3 avança contra o Líbano e já são mais de 2 mil m0rt0s, incluindo brasileiros.

O Brasil precisa CORTAR RELAÇÕES com Israel, já!",2024-10-07T23:41:20.493Z,2,39,255,2024-10-07T23:41:20.493Z,luanapsol.bsky.social,Luana Alves 50500,did:plc:jr7gdhmwpz6dvnd4oabnmk6g
at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5wviyukt22i,bafyreifvlbogjdtrbtm45zhbmysqtp4z5fhftyk4kzhhdf2pb3ejjfklha,"MUITO OBRIGADA!!! Reelegemos pela primeira vez na história de São Paulo, uma mulher negra como vereadora de São Paulo. E essa mulher sou eu! 🥹 OBRIGADA!",2024-10-07T18:05:32.910Z,4,6,60,2024-10-07T18:05:32.910Z,luanapsol.bsky.social,Luana Alves 50500,did:plc:jr7gdhmwpz6dvnd4oabnmk6g
at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5siqoh4qx2f,bafyreie7kkoehqkw6iethdbg74qcsz5awgtubz4xrbhcmqytyfwg45xnda,"✅ Amanhã, deposite na urna a sua esperança por uma SP antirracista é feita para o povo trabalhador. Vote Luana 50500 e Boulos 50 prefeito!",2024-10-06T00:06:32.834Z,5,12,40,2024-10-06T00:06:32.834Z,luanapsol.bsky.social,Luana Alves 50500,did:plc:jr7gdhmwpz6dvnd4oabnmk6g
at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5ryakpeuc2i,bafyreia7k72c7g4ea2zqg4gx4pi4enl52k6gpkvdhxjk2qvzvqijyxzz2e,"A justiça eleitoral tirou do ar o perfil do Marçal, depois que esse b4nd1d0 divulgou um laudo falso, tentando acusar o Boulos de usar drogas. Agora é hora da justiça mandar prender esse picareta!",2024-10-05T19:11:12.186Z,0,1,23,2024-10-05T19:11:12.186Z,luanapsol.bsky.social,Luana Alves 50500,did:plc:jr7gdhmwpz6dvnd4oabnmk6g
at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5r4dtgzuc2i,bafyreiaxri4x4v4otmmkrz3aunaf5nzsonqa5oxmzt3iibdavilemde6ly,"Muito obrigada pelo apoio, querido!! Vamos vencer ✊🏾✊🏾",2024-10-05T10:51:57.106Z,0,0,4,2024-10-05T10:51:57.106Z,luanapsol.bsky.social,Luana Alves 50500,did:plc:jr7gdhmwpz6dvnd4oabnmk6g
at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5q7pvjcmd2k,bafyreihr7chioiodnsilrt7pkmzrzrhxgrpltykp3rtqq7chms4rwi2m7q,"E o bandido coach, num ato desesperado, resolveu falsificar um documento médico pra insistir na mentira sobre uso de drogas e Guilherme Boulos. Detalhe que o CRM usado é de um médico falecido a dois anos. E o dono da clínica do “laudo” é apoiador declarado do M. 
Não tem como. Marçal vai ser preso.",2024-10-05T02:19:43.121Z,1,9,44,2024-10-05T02:19:43.121Z,luanapsol.bsky.social,Luana Alves 50500,did:plc:jr7gdhmwpz6dvnd4oabnmk6g
at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5nmw2nw3o2e,bafyreifyqvh7mzppeerstugxso4ibng5bcn2w57n2i47jj6qg7ennq7el4,"“Você olha nos olhos do Marçal e vê algo além de VAIDADE?” - 

Boulos resumiu o que é esse cara. Um vaidoso, megalomaníaco, que não tem medo até de cometer crimes em nome de dinheiro e poder. São Paulo não merece isso. 
No domingo, é Boulos 50!",2024-10-04T01:37:48.946Z,1,1,22,2024-10-04T01:37:48.946Z,luanapsol.bsky.social,Luana Alves 50500,did:plc:jr7gdhmwpz6dvnd4oabnmk6g
at://did:plc:t55a5sypqhfgzohmylpjcsm6/app.bsky.feed.post/3l5kh6ditkp2d,bafyreidfhyc3potcxtfapfq4ub25kjy3mmnmig6c5yexecsawor25wkwfa,"Luana Alves (PSOL) candidato a vereadora de São Paulo

youtu.be/-AtCsvlYri0?...",2024-10-02T19:17:05.678Z,1,4,28,2024-10-02T19:17:05.678Z,soberana-tv.bsky.social,Soberana,did:plc:t55a5sypqhfgzohmylpjcsm6
at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5m6j6smrh23,bafyreid3k6k3byk2ypbnxaae4oi2k7u736zsn7eyed4bgy4bgoy3ukbgeq,Agora 🫶🏾,2024-10-03T11:47:25.533Z,0,0,1,2024-10-03T11:47:25.533Z,luanapsol.bsky.social,Luana Alves 50500,did:plc:jr7gdhmwpz6dvnd4oabnmk6g
at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5judgxt2g2f,bafyreicg5oubwjfg3cejzoioicfnhvricswj3sr3anfkgr64c7htall2cq,Aaaaaaaa Muito obrigadaaaa! <3,2024-10-02T13:39:44.626Z,0,0,1,2024-10-02T13:39:44.626Z,luanapsol.bsky.social,Luana Alves 50500,did:plc:jr7gdhmwpz6dvnd4oabnmk6g
