reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:ygyloui4k4fjs73dobg25sxt/app.bsky.feed.post/3l5z26jtoob26,bafyreicyhaeod6rfgrb3ky3moaaadl2cbmrn7beli3xeddawcxccutdaxy,at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5xibhsmh32g,"🇵🇸🇱🇧 1 ano do início do g3n0c1o na Palestina, praticado por Israel. Quase 42 mil palestinos já perderam suas vidas. A maioria, mulheres e crianças.

Agora, o m4ss4cr3 avança contra o Líbano e já são mais de 2 mil m0rt0s, incluindo brasileiros.

O Brasil precisa CORTAR RELAÇÕES com Israel, já!",luanapsol.bsky.social,"Lu, tem toda a razão.",2024-10-08T14:34:29.423Z,0,0,0,2024-10-08T14:34:29.423Z,robertobeto.bsky.social,Roberto Alves,did:plc:ygyloui4k4fjs73dobg25sxt
at://did:plc:ygt7syt4bfaqyg6kms5llwx4/app.bsky.feed.post/3l5xmojb3g52a,bafyreiey4y7txhfcuuv4w76mto3k2g6i3vbniyst76s273lbobgz2l2nnu,at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5xibhsmh32g,"🇵🇸🇱🇧 1 ano do início do g3n0c1o na Palestina, praticado por Israel. Quase 42 mil palestinos já perderam suas vidas. A maioria, mulheres e crianças.

Agora, o m4ss4cr3 avança contra o Líbano e já são mais de 2 mil m0rt0s, incluindo brasileiros.

O Brasil precisa CORTAR RELAÇÕES com Israel, já!",luanapsol.bsky.social,"Segundo o estudo da Lancet citado pelo Washington Post já são mais de 100 mil mortos, mas o governo de Gaza não tem como contar todos no meio de um genocídio com bloqueio de estradas, bloqueio humanitário, corte de internet e luz, assassinato de trabalhadores da defess civil",2024-10-08T01:00:13.202Z,0,0,2,2024-10-08T01:00:13.202Z,akekmest.bsky.social,Keka⁷🇧🇷🍉,did:plc:ygt7syt4bfaqyg6kms5llwx4
at://did:plc:mowi6jutvluxu33ggwwohvup/app.bsky.feed.post/3l5wvm5hji42g,bafyreicrbr7nzt6uekfgn6c65agn5vwynhr3scc5wry5kfje5hihb7eici,at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5wviyukt22i,"MUITO OBRIGADA!!! Reelegemos pela primeira vez na história de São Paulo, uma mulher negra como vereadora de São Paulo. E essa mulher sou eu! 🥹 OBRIGADA!",luanapsol.bsky.social,"VOCÊ MERECE MUITO, LUANA. ME REPRESENTA DEMAIS.
Obrigado por tanto!!! ✨✨✨✨✨",2024-10-07T18:07:15.516Z,0,0,0,2024-10-07T18:07:15.516Z,stoned420.bsky.social,stoned,did:plc:mowi6jutvluxu33ggwwohvup
at://did:plc:jcjdviziynorwy4rdlw3spsi/app.bsky.feed.post/3l5xiqn4doh2i,bafyreifwtcbzlifxyoyd53ohroftbirtjwadajcmanczjwxnnezsfrpppq,at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5wviyukt22i,"MUITO OBRIGADA!!! Reelegemos pela primeira vez na história de São Paulo, uma mulher negra como vereadora de São Paulo. E essa mulher sou eu! 🥹 OBRIGADA!",luanapsol.bsky.social,"Que Maravilhosa essa mulher!!!👏👏👏👏 Parabéns! 🫶🥳🥳  aqui em casa comemoramos muito, porquê foi nossa candidata, intimei meus pais a votar em você também 💜🎉",2024-10-07T23:49:49.848Z,0,0,0,2024-10-07T23:49:49.848Z,thamyy.bsky.social,Thamy Costa ,did:plc:jcjdviziynorwy4rdlw3spsi
at://did:plc:ijn5buhs32g4szgnv3r6oz2o/app.bsky.feed.post/3l5xasz3eou2i,bafyreic5emiifdnrkf6prh4e2sk5ex2wjyhmpwa2gzmojwlrbyo3rqahwy,at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5wviyukt22i,"MUITO OBRIGADA!!! Reelegemos pela primeira vez na história de São Paulo, uma mulher negra como vereadora de São Paulo. E essa mulher sou eu! 🥹 OBRIGADA!",luanapsol.bsky.social,Ahhhhhhhh ❤️,2024-10-07T21:27:59.765Z,0,0,0,2024-10-07T21:27:59.765Z,danilofg.bsky.social,,did:plc:ijn5buhs32g4szgnv3r6oz2o
at://did:plc:dj5kkfa5chi5jm5bge2zvj3c/app.bsky.feed.post/3l5xm3ihz2k2x,bafyreido24eho5qrfteokmxfneaekrgx7touiuetq3o7wbaejveuabe7lm,at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5wviyukt22i,"MUITO OBRIGADA!!! Reelegemos pela primeira vez na história de São Paulo, uma mulher negra como vereadora de São Paulo. E essa mulher sou eu! 🥹 OBRIGADA!",luanapsol.bsky.social,Feliz com tua eleição! Vai ser uma pedreira com essa extrema fireita facista que foi eleita!,2024-10-08T00:49:35.621Z,0,0,0,2024-10-08T00:49:35.621Z,otaviolourencao.bsky.social,,did:plc:dj5kkfa5chi5jm5bge2zvj3c
at://did:plc:wlcofhv4temo6i6lsljj3akw/app.bsky.feed.post/3l5v33mjutb27,bafyreical6g2mnwuhsstv6vphjdl4md64dariz66u2j4khvkreuirt7saq,at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5siqoh4qx2f,"✅ Amanhã, deposite na urna a sua esperança por uma SP antirracista é feita para o povo trabalhador. Vote Luana 50500 e Boulos 50 prefeito!",luanapsol.bsky.social,"Parabénssss!!! Orgulhosa de você, Minha Vereadora Competenteeee!!!",2024-10-07T00:38:37.884Z,0,0,2,2024-10-07T00:38:37.884Z,fabianamatano.bsky.social,Fabiana Matano,did:plc:wlcofhv4temo6i6lsljj3akw
at://did:plc:wlcofhv4temo6i6lsljj3akw/app.bsky.feed.post/3l5spav6vbg2o,bafyreia2oyg52vo4w2ptiajjlbc2jwsr3dnv72odwka5tfqpu7q5unsv7m,at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5siqoh4qx2f,"✅ Amanhã, deposite na urna a sua esperança por uma SP antirracista é feita para o povo trabalhador. Vote Luana 50500 e Boulos 50 prefeito!",luanapsol.bsky.social,"Vou viajar do interior pra votar em você, minha Vereadora!!",2024-10-06T02:01:30.503Z,0,0,1,2024-10-06T02:01:30.503Z,fabianamatano.bsky.social,Fabiana Matano,did:plc:wlcofhv4temo6i6lsljj3akw
at://did:plc:qi4qz5ti6ezuqcmpewpynsxw/app.bsky.feed.post/3l5uy6vvhty2d,bafyreien4hvf7etrebg6wxewienohbhdslf7mlnurxo4vqct6o4a4iu7bm,at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5siqoh4qx2f,"✅ Amanhã, deposite na urna a sua esperança por uma SP antirracista é feita para o povo trabalhador. Vote Luana 50500 e Boulos 50 prefeito!",luanapsol.bsky.social,Eu e a minha família votamos em você. Boa sorte 🍀✊,2024-10-06T23:48:15.759Z,0,0,1,2024-10-06T23:48:15.759Z,stellamateo.bsky.social,Stella Mateo,did:plc:qi4qz5ti6ezuqcmpewpynsxw
at://did:plc:jypkz3v53pm7e4yhc5sxcmnp/app.bsky.feed.post/3l5ux22vttn2e,bafyreic26epbmvgydy5tu3hkoagjtgbvtmqacvzhkvzrdw6d3n7zlgiy3y,at://did:plc:jr7gdhmwpz6dvnd4oabnmk6g/app.bsky.feed.post/3l5siqoh4qx2f,"✅ Amanhã, deposite na urna a sua esperança por uma SP antirracista é feita para o povo trabalhador. Vote Luana 50500 e Boulos 50 prefeito!",luanapsol.bsky.social,"Parabéns Luana.
Contamos novamente com sua luta pelos excluídos,  pela natureza e por todos aqueles que precisam de representação política na Câmara de vereadores de São Paulo. 
Bom mandato.
Estou muito feliz com sua vitória.",2024-10-06T23:27:39.422Z,0,0,2,2024-10-06T23:27:39.422Z,janete13.bsky.social,Mia Basted,did:plc:jypkz3v53pm7e4yhc5sxcmnp
