uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,bafyreihpdb7d6cq5f5est5kwbflzjrpksnum2rk3hfx4vvvjh6qjtb7c2m,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",2024-10-06T00:41:21.338Z,27,72,504,2024-10-06T00:41:21.338Z,lunazarattini.bsky.social,Luna Zarattini 1️⃣3️⃣1️⃣3️⃣1️⃣,did:plc:o7oob6osraebuxrgvfdq6cqj
at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5sbenizay26,bafyreigohzutxc56a4bwr3afqi4hstzwnvmalchmmseld4pf2yu3z2hnam,"VAMOS DERROTAR O BOLSONARISMO EM SÃO PAULO! Com BOULOS E MARTA 5️⃣0️⃣ e 1️⃣3️⃣1️⃣3️⃣1️⃣ para vereadora, nosso povo vai sorrir de novo.❤️⭐ 🚩 #TimeDoLula",2024-10-05T21:54:32.832Z,0,0,9,2024-10-05T21:54:32.832Z,lunazarattini.bsky.social,Luna Zarattini 1️⃣3️⃣1️⃣3️⃣1️⃣,did:plc:o7oob6osraebuxrgvfdq6cqj
at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5s7yiyo3v2g,bafyreie6q2n4mbtyw75owmyuqafzsjy4g37ox74vn4oc64prpyo25on6qm,AMANHÃ É DIA! Vamos eleger Boulos prefeito de São Paulo 5️⃣0️⃣✅,2024-10-05T21:29:51.711Z,0,0,2,2024-10-05T21:29:51.711Z,lunazarattini.bsky.social,Luna Zarattini 1️⃣3️⃣1️⃣3️⃣1️⃣,did:plc:o7oob6osraebuxrgvfdq6cqj
at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5s7v6nj6c2d,bafyreiarenbrxp334a7fszfouwkstjiraizrg6kj7xy36xfc5chdibzlie,AMANHÃ É DIA! Vamos eleger Boulos prefeito de São Paulo 5️⃣0️⃣✅,2024-10-05T21:28:00.208Z,0,0,4,2024-10-05T21:28:00.208Z,lunazarattini.bsky.social,Luna Zarattini 1️⃣3️⃣1️⃣3️⃣1️⃣,did:plc:o7oob6osraebuxrgvfdq6cqj
at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5s72otcgd2s,bafyreigzj45amfdplcupoweabetxa7pnthoflyhi6tn366io72yg4euwka,PILANTRAS!,2024-10-05T21:13:11.199Z,0,0,1,2024-10-05T21:13:11.199Z,lunazarattini.bsky.social,Luna Zarattini 1️⃣3️⃣1️⃣3️⃣1️⃣,did:plc:o7oob6osraebuxrgvfdq6cqj
at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5s6w642gx2b,bafyreifmpz2n7nxl746343snf4twu2unwsrohfvvqdnplqbh2a2gnczqle,"VAMOS DERROTAR O BOLSONARISMO EM SÃO PAULO! Com BOULOS E MARTA 5️⃣0️⃣ e 1️⃣3️⃣1️⃣3️⃣1️⃣ para vereadora, nosso povo vai sorrir de novo.❤️⭐ 🚩 #TimeDoLula",2024-10-05T21:10:39.439Z,0,0,3,2024-10-05T21:10:39.439Z,lunazarattini.bsky.social,Luna Zarattini 1️⃣3️⃣1️⃣3️⃣1️⃣,did:plc:o7oob6osraebuxrgvfdq6cqj
at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5s3tdzji32s,bafyreiccnku7w5tlvdvs47tafjvjk6karjdygvcveurs7y72fpr6b5hdlm,"Cassação, inelegibilidade, prisão!!!",2024-10-05T20:15:23.633Z,0,2,6,2024-10-05T20:15:23.633Z,lunazarattini.bsky.social,Luna Zarattini 1️⃣3️⃣1️⃣3️⃣1️⃣,did:plc:o7oob6osraebuxrgvfdq6cqj
at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5s2w7budf2y,bafyreibos4igacwo7qwuvg2dzlhogmtdvrgwbd6uc24cr7s2af77v64mu4,MARÇAL NA CADEIA!,2024-10-05T19:59:05.582Z,1,1,1,2024-10-05T19:59:05.582Z,lunazarattini.bsky.social,Luna Zarattini 1️⃣3️⃣1️⃣3️⃣1️⃣,did:plc:o7oob6osraebuxrgvfdq6cqj
at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5s2udi5us2q,bafyreihigczzcmw3vo5mfrr4sq3otomhsdabjomroyununrazqk7gczvgy,MARÇAL NA CADEIA!,2024-10-05T19:58:02.875Z,0,0,3,2024-10-05T19:58:02.875Z,lunazarattini.bsky.social,Luna Zarattini 1️⃣3️⃣1️⃣3️⃣1️⃣,did:plc:o7oob6osraebuxrgvfdq6cqj
at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5s2srkkvx2b,bafyreie54wuxlbr57xuto4xti6xwsevwkt72cumzcnh4c5dhqsuvhbvdrq,MARÇAL NA CADEIA!,2024-10-05T19:57:10.526Z,0,1,3,2024-10-05T19:57:10.526Z,lunazarattini.bsky.social,Luna Zarattini 1️⃣3️⃣1️⃣3️⃣1️⃣,did:plc:o7oob6osraebuxrgvfdq6cqj
