reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:zeidq2hv64pshzwt7sgkiefw/app.bsky.feed.post/3l5uytbnfsi2k,bafyreieqbwqruroftfpbeyyzzn7fpymd3pqbql22xmew57hxjudps26xpm,at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",lunazarattini.bsky.social,Parabéns.,2024-10-06T23:59:38.532Z,0,0,1,2024-10-06T23:59:38.532Z,giovannies.bsky.social,Jobas,did:plc:zeidq2hv64pshzwt7sgkiefw
at://did:plc:y7xr2jdpjiqt7no2zbdyfkky/app.bsky.feed.post/3l5sohgqq6j2a,bafyreic2jldnz7ywo7dubpe4m2gkwomboozrozqicpbsoczff3dxgbwd3a,at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",lunazarattini.bsky.social,"Luna, você é filha da Mônica? Se sim, trabalhei com ela na Folha, nos anos 80/90. Eu era do Esporte. Mande ABS a ela e boa eleição amanhã. Estamos juntos na caminhada.",2024-10-06T01:48:44.858Z,0,0,0,2024-10-06T01:48:44.858Z,fernandogalvaof.bsky.social,Fernando Galvão,did:plc:y7xr2jdpjiqt7no2zbdyfkky
at://did:plc:xofcenxfe6ts4oxwsn6sglh4/app.bsky.feed.post/3l5x3kz4nom22,bafyreifoddtpjpw2qfdlrnaa42a4gtapz5drtl3jta4estkwjyqq6etlym,at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",lunazarattini.bsky.social,Parabéns daqui do RJ! Abraçoo,2024-10-07T19:54:00.670Z,0,0,0,2024-10-07T19:54:00.670Z,lnbastos.bsky.social,Leonardo Bastos ,did:plc:xofcenxfe6ts4oxwsn6sglh4
at://did:plc:x4tcmiiudfsgfacs53rlvxqj/app.bsky.feed.post/3l5so7a2l532o,bafyreifbyhvafztmhv6ywo6f2xng5w6k6t43lfvjksywnhkckgoubj22ku,at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",lunazarattini.bsky.social,"O problema é que vc é abusada e manda whatsapp não solicitado 
Tomara q perca a eleição e a conta do WhatsApp",2024-10-06T01:44:09.687Z,1,0,0,2024-10-06T01:44:09.687Z,dgebenlian.bsky.social,Dani,did:plc:x4tcmiiudfsgfacs53rlvxqj
at://did:plc:viioozkihh3gcro26vxki2fo/app.bsky.feed.post/3l5skqs46mp23,bafyreifqvthw4khfzlojiu7oiyyb2oht2hj27awspya2rvxeagl6i24hwi,at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",lunazarattini.bsky.social,@lunazarattini.bsky.social o problema é que vc não segue de volta seus eleitores!,2024-10-06T00:42:23.835Z,0,0,0,2024-10-06T00:42:23.835Z,velandrade.bsky.social,VEL ANDRADE,did:plc:viioozkihh3gcro26vxki2fo
at://did:plc:uk7yrzcxophv5fiier2eqs3w/app.bsky.feed.post/3l5txmidgyw2u,bafyreiamtnil7p74a5r5f3s6wji6jhfvtieponsywnbarczhj2qdppqfzu,at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",lunazarattini.bsky.social,Votei em vc.   Não decepciona heim.,2024-10-06T14:05:17.326Z,0,0,0,2024-10-06T14:05:17.326Z,oshsp.bsky.social,Opinião sem Hipocrisia ,did:plc:uk7yrzcxophv5fiier2eqs3w
at://did:plc:syyofpg6jsw6c4wgw3mh3pf2/app.bsky.feed.post/3l5wdentifs2x,bafyreib6ee26px7pfa6n7a3qsq6x7bdlfcypugbkvorvhsl5kjvejc7qxa,at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",lunazarattini.bsky.social,Parabéns! Boa sorte e bom trabalho.,2024-10-07T12:40:58.210Z,0,0,0,2024-10-07T12:40:58.210Z,denisliberato.bsky.social,Denis Liberato,did:plc:syyofpg6jsw6c4wgw3mh3pf2
at://did:plc:s5p3nbtkjyfvf2rnvwdznmpq/app.bsky.feed.post/3l5whfbtixi25,bafyreiajnq2ycjde4okr7bxpvp2aag6bv5as7wcybcbcc3p6pnjd4c4v2y,at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",lunazarattini.bsky.social,Parabéns Luna pela conquista. Torcendo por um bom trabalho seu,2024-10-07T13:52:55.162Z,0,0,0,2024-10-07T13:52:55.162Z,hcout.bsky.social,HenriqueCoutinho,did:plc:s5p3nbtkjyfvf2rnvwdznmpq
at://did:plc:qrxvhrpxqtoqhbxrr7judvvk/app.bsky.feed.post/3l5symbi3kw2e,bafyreifmi5qeqfgaadohxs4wkip3buavf4a26bbyjwshzku5yyxqfcpe7e,at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",lunazarattini.bsky.social,Meu voto é seu Luna,2024-10-06T04:50:24.986Z,0,0,3,2024-10-06T04:50:24.986Z,tugmetal.bsky.social,,did:plc:qrxvhrpxqtoqhbxrr7judvvk
at://did:plc:qme6uuheqz7ftl2vugbsppci/app.bsky.feed.post/3l5ttnr45za2v,bafyreidtaet2svzp4rzwissxxiqsrbb7wyyioodwe7supv2jd5xdivht5e,at://did:plc:o7oob6osraebuxrgvfdq6cqj/app.bsky.feed.post/3l5skox3ilb2b,"Muito obrigada por tudo, pessoal! ❤️

Amanhã temos um encontro marcado nas urnas. É Luna, Boulos e Marta para construir um novo tempo para São Paulo! 🌟",lunazarattini.bsky.social,Meu voto em você já está na urna.,2024-10-06T12:54:25.177Z,0,0,0,2024-10-06T12:54:25.177Z,misael1965barboza.bsky.social,Misael Barboza  (Dél) - filiado ao PT 🇧🇷🇨🇺🇵🇸🍉♥️🦋🆓🕊️,did:plc:qme6uuheqz7ftl2vugbsppci
