uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:tv7umprm7y4fkn7g4ksllxw3/app.bsky.feed.post/3l5tscv2ka22u,bafyreihnnomk5yyjgy2fn6nv52cft6eeh4u6putui4skap435zdiofzwwa,4️⃣0️⃣4️⃣0️⃣0️⃣👩🏼‍🦳🪭♥️,2024-10-06T12:30:27.164Z,0,0,0,2024-10-06T12:30:27.164Z,mariadoceurecife.bsky.social,Maria do Céu,did:plc:tv7umprm7y4fkn7g4ksllxw3
at://did:plc:tv7umprm7y4fkn7g4ksllxw3/app.bsky.feed.post/3l5s3yhmyre2l,bafyreidqfigvtc6fxxvyjp6vxo5owa6ynjatg2wleco5wd3freail4r54y,👩🏼‍🦳🪭4️⃣0️⃣4️⃣0️⃣0️⃣,2024-10-05T20:18:15.477Z,1,0,1,2024-10-05T20:18:15.477Z,mariadoceurecife.bsky.social,Maria do Céu,did:plc:tv7umprm7y4fkn7g4ksllxw3
at://did:plc:lnd5qr3l64mqvxdoj5w36m7e/app.bsky.feed.post/3l5rt72p7dj2y,bafyreiaxg2zh5ccvqlnffingyyjzkgmrw6ebcicxjyn7akwbeunrl2o2yq,"Molotov, Freaks e Brota com Maria do Céu. Montou o megazord, meu amor!",2024-10-05T17:40:52.455Z,1,3,21,2024-10-05T17:40:52.455Z,therluz.bsky.social,musa do colapso,did:plc:lnd5qr3l64mqvxdoj5w36m7e
at://did:plc:tv7umprm7y4fkn7g4ksllxw3/app.bsky.feed.post/3l5rsyaxamu2l,bafyreie5yp4mw2gigribgfuzwxy3tsxlarsxyltqzhx3wj5q4hmjnzeb2u,👩🏼‍🦳🪭,2024-10-05T17:37:04.811Z,0,0,0,2024-10-05T17:37:04.811Z,mariadoceurecife.bsky.social,Maria do Céu,did:plc:tv7umprm7y4fkn7g4ksllxw3
at://did:plc:tv7umprm7y4fkn7g4ksllxw3/app.bsky.feed.post/3l5rswqcu2j26,bafyreicxwhgingmjvq5buugnxgqkqqp5cfd4vgptc54c4xz6roto42lawy,"Gente do céu… estamos na reta final, mas ainda dá tempo de repassar o nosso 40400 para amigos, familiares, vizinhos. Cada voto conta! Encontro vocês nas urnas neste domingo (6).",2024-10-05T17:36:13.794Z,0,0,3,2024-10-05T17:36:13.794Z,mariadoceurecife.bsky.social,Maria do Céu,did:plc:tv7umprm7y4fkn7g4ksllxw3
at://did:plc:tv7umprm7y4fkn7g4ksllxw3/app.bsky.feed.post/3l5rstdcf2p2e,bafyreiapw54wq7rfrj4lngqxhmhj3yp7ifsmglqarbexbyagyxkqczv2l4,👩🏼‍🦳🪭,2024-10-05T17:34:19.500Z,1,0,0,2024-10-05T17:34:19.500Z,mariadoceurecife.bsky.social,Maria do Céu,did:plc:tv7umprm7y4fkn7g4ksllxw3
at://did:plc:tv7umprm7y4fkn7g4ksllxw3/app.bsky.feed.post/3l5rchorl6q2u,bafyreicwneammxygjjdd5rgqvafezonhnwfco3wr3kzw5dpgxtjqulmjbi,Acho válido 👩🏼‍🦳🪭🗣️🗣️🗣️,2024-10-05T12:41:28.922Z,0,0,1,2024-10-05T12:41:28.922Z,mariadoceurecife.bsky.social,Maria do Céu,did:plc:tv7umprm7y4fkn7g4ksllxw3
at://did:plc:tv7umprm7y4fkn7g4ksllxw3/app.bsky.feed.post/3l5rcfngc5m2s,bafyreigh2c6sb7buvghcd74vx2qub5dha6gddrlshp2gg7heahqemc6cdm,"Fique tranquila, Gabriela! Sou de esquerda e tenho uma trajetória de 30 anos de luta por justiça social, diversidade e cultura. Confira minhas propostas: www.mariadoceurecife.com.br/propostas. Vamos de 4️⃣0️⃣4️⃣0️⃣0️⃣ neste domingo!",2024-10-05T12:40:20.384Z,0,0,1,2024-10-05T12:40:20.384Z,mariadoceurecife.bsky.social,Maria do Céu,did:plc:tv7umprm7y4fkn7g4ksllxw3
at://did:plc:tv7umprm7y4fkn7g4ksllxw3/app.bsky.feed.post/3l5rcf35p6m2l,bafyreib5gg2crys5iwpwgmnct2dgbhenfqtitu4ahestlspobhtjqct5ym,"Oi, Raissa. Como vai? Sempre fui uma pessoa de esquerda. Esse “boato” que você ouviu é fruto de uma campanha de difamação que sofri em 2018, quando concorri para deputada. Você pode conferir minhas propostas aqui: www.mariadoceurecife.com.br/propostas.",2024-10-05T12:40:01.236Z,0,0,0,2024-10-05T12:40:01.236Z,mariadoceurecife.bsky.social,Maria do Céu,did:plc:tv7umprm7y4fkn7g4ksllxw3
at://did:plc:lnd5qr3l64mqvxdoj5w36m7e/app.bsky.feed.post/3l5qknlt7ci2t,bafyreibv5oay5b6jpwbdr2txvpbnb3ijcs73ax73bpma53leoamgckagem,essa campanha de Maria do ceu foi e está sendo linda. Domingo vai ser 40400 com todo orgulho,2024-10-05T05:35:16.374Z,0,1,8,2024-10-05T05:35:16.374Z,therluz.bsky.social,musa do colapso,did:plc:lnd5qr3l64mqvxdoj5w36m7e
