reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:wxbuh6ytj3peqqvuoq2276am/app.bsky.feed.post/3l5s4gjpbqp2q,bafyreiefoqmshsm3iccpiybkztfycli3vbwib5u54zbivwyo4hz5uxixqe,at://did:plc:tv7umprm7y4fkn7g4ksllxw3/app.bsky.feed.post/3l5s3yhmyre2l,👩🏼‍🦳🪭4️⃣0️⃣4️⃣0️⃣0️⃣,mariadoceurecife.bsky.social,Amanhã é nós ✨,2024-10-05T20:26:07.285Z,0,0,0,2024-10-05T20:26:07.285Z,kelzisss.bsky.social,a coitadinha da Silva ,did:plc:wxbuh6ytj3peqqvuoq2276am
at://did:plc:llkbnx66km5f3lzg6rg4v7zp/app.bsky.feed.post/3l5rvul3crq2h,bafyreigleqgt3pfminwzhgvk4cssmwdwxytcstmuqhqg3qbgidrbfsv4hq,at://did:plc:lnd5qr3l64mqvxdoj5w36m7e/app.bsky.feed.post/3l5rt72p7dj2y,"Molotov, Freaks e Brota com Maria do Céu. Montou o megazord, meu amor!",therluz.bsky.social,imagina nao estar com ela,2024-10-05T18:28:42.433Z,1,0,2,2024-10-05T18:28:42.433Z,dramaqueenmp3.bsky.social,dnlthg 🌞,did:plc:llkbnx66km5f3lzg6rg4v7zp
at://did:plc:5mgse3lpywfahl6bxsj46vme/app.bsky.feed.post/3l5rsyt7bs227,bafyreih2zounuwsggcyietqqnm2e4opalikapnh573qggo4zj23hys7ilq,at://did:plc:tv7umprm7y4fkn7g4ksllxw3/app.bsky.feed.post/3l5rstdcf2p2e,👩🏼‍🦳🪭,mariadoceurecife.bsky.social,,2024-10-05T17:37:24.593Z,0,0,0,2024-10-05T17:37:24.593Z,yeliknowles.bsky.social,allan,did:plc:5mgse3lpywfahl6bxsj46vme
at://did:plc:xid33vuax2v7edakwi6bsmx2/app.bsky.feed.post/3l5kbdfbgw32h,bafyreignxjqbfilqczcehs26kqhc5sfajlcrykrjmrtslcjogfsd5cqylm,at://did:plc:jk2x5qvryb4ic4wzdsswzpgr/app.bsky.feed.post/3l5jrynnhxn2h,"filhas dia 6 é maria do ceu 40400 na cabeça viu

voto em quem pode e quer defender a pauta cultural lgbtqiapn+ na camara municipal do recife, a gente precisa disso",vandalo.bsky.social,Old,2024-10-02T17:32:32.627Z,0,0,2,2024-10-02T17:32:32.627Z,emannuelbento.bsky.social,Emannuel Bento,did:plc:xid33vuax2v7edakwi6bsmx2
at://did:plc:sm3owru3lmazeorrqtadilew/app.bsky.feed.post/3l5k3d2m3mc2o,bafyreihpkdmijrrzzsc2dipfczc55nzaxlvflromxytaidvv6a3uctzjlq,at://did:plc:jk2x5qvryb4ic4wzdsswzpgr/app.bsky.feed.post/3l5jrynnhxn2h,"filhas dia 6 é maria do ceu 40400 na cabeça viu

voto em quem pode e quer defender a pauta cultural lgbtqiapn+ na camara municipal do recife, a gente precisa disso",vandalo.bsky.social,40400 old,2024-10-02T15:44:59.307Z,0,0,2,2024-10-02T15:44:59.307Z,djlucasestevao.bsky.social,Lucas Estevão ,did:plc:sm3owru3lmazeorrqtadilew
at://did:plc:q2obh27bdvzpfkxrjos67lio/app.bsky.feed.post/3l5jyzpifaa27,bafyreidzy36byygi5qliv5jn4wwttlqijeb4cvnozlzzr5ayzrd654f4re,at://did:plc:jk2x5qvryb4ic4wzdsswzpgr/app.bsky.feed.post/3l5jrynnhxn2h,"filhas dia 6 é maria do ceu 40400 na cabeça viu

voto em quem pode e quer defender a pauta cultural lgbtqiapn+ na camara municipal do recife, a gente precisa disso",vandalo.bsky.social,"Com toda certeza vida, torcendo pela diva esse ano",2024-10-02T15:03:57.957Z,1,0,4,2024-10-02T15:03:57.957Z,romerotavares.bsky.social,Romero mas nao o brito,did:plc:q2obh27bdvzpfkxrjos67lio
at://did:plc:k2bs6fh24mjj7oriht5plfae/app.bsky.feed.post/3l5jt65wmbx2g,bafyreic5vv7pdrx6j2jt6fvr2ayq3fls3mmqxks42hsel7qrxku2mxl3bm,at://did:plc:jk2x5qvryb4ic4wzdsswzpgr/app.bsky.feed.post/3l5jrynnhxn2h,"filhas dia 6 é maria do ceu 40400 na cabeça viu

voto em quem pode e quer defender a pauta cultural lgbtqiapn+ na camara municipal do recife, a gente precisa disso",vandalo.bsky.social,40400 neles vida,2024-10-02T13:19:04.978Z,1,0,2,2024-10-02T13:19:04.978Z,vince100000.bsky.social,vince,did:plc:k2bs6fh24mjj7oriht5plfae
at://did:plc:jk2x5qvryb4ic4wzdsswzpgr/app.bsky.feed.post/3l5js5urir22b,bafyreicouc3nzebgjplwivzrmrkg2mctjemuk2vnqw67e4r5qgx7v65swi,at://did:plc:jk2x5qvryb4ic4wzdsswzpgr/app.bsky.feed.post/3l5jrynnhxn2h,"filhas dia 6 é maria do ceu 40400 na cabeça viu

voto em quem pode e quer defender a pauta cultural lgbtqiapn+ na camara municipal do recife, a gente precisa disso",vandalo.bsky.social,na real nao so a pauta cultural ne? pq ela tem todo um historico de luta pela nossa comunidade. o instituto boa vista é uma prova disso.,2024-10-02T13:01:01.654Z,1,0,10,2024-10-02T13:01:01.654Z,vandalo.bsky.social,vands,did:plc:jk2x5qvryb4ic4wzdsswzpgr
at://did:plc:aoly64bkmsbn3fm6kilcj7qr/app.bsky.feed.post/3l5keookuam2j,bafyreiclbep6b24cmgfprp2tv23xqumnm5fkwsor6fpdx44dwunfrnuvum,at://did:plc:jk2x5qvryb4ic4wzdsswzpgr/app.bsky.feed.post/3l5jrynnhxn2h,"filhas dia 6 é maria do ceu 40400 na cabeça viu

voto em quem pode e quer defender a pauta cultural lgbtqiapn+ na camara municipal do recife, a gente precisa disso",vandalo.bsky.social,Vamos cravar o 40400 em todas as zonas eleitorais do Recife,2024-10-02T18:32:32.962Z,0,0,2,2024-10-02T18:32:32.962Z,andydosplaneta.bsky.social,Andy dos Planeta ,did:plc:aoly64bkmsbn3fm6kilcj7qr
at://did:plc:aoly64bkmsbn3fm6kilcj7qr/app.bsky.feed.post/3l5kenq2hvd2l,bafyreien2hal2wxtiz3peete24hrvnssfje6nmbijo4lzdft5obbnqocoa,at://did:plc:jk2x5qvryb4ic4wzdsswzpgr/app.bsky.feed.post/3l5jrynnhxn2h,"filhas dia 6 é maria do ceu 40400 na cabeça viu

voto em quem pode e quer defender a pauta cultural lgbtqiapn+ na camara municipal do recife, a gente precisa disso",vandalo.bsky.social,40400 e não abrimos!,2024-10-02T18:31:59.798Z,0,0,2,2024-10-02T18:31:59.798Z,andydosplaneta.bsky.social,Andy dos Planeta ,did:plc:aoly64bkmsbn3fm6kilcj7qr
