uri,cid,text,created_at,reply_count,repost_count,like_count,author_handle,author_display_name,author_avatar,author_did
at://did:plc:nvpuoxauer4fkrtwpoj22azp/app.bsky.feed.post/3l5hxpouziv2p,bafyreigreq4jirwlmhkjsks7w7iwnrvkwp5a3vesri6cpe6kbvuzf7gwba,"Nós queremos uma mudança de verdade na cidade, e para isso precisamos de todos e todas vocês. Temos que eleger uma bancada combativa para a Câmara de Vereadores, votando nos candidatos e candidatas do PSOL 50, e colocar @mariadorosario.bsky.social e Tamyres no segundo turno. 🧶",2024-10-01T19:35:08.724Z,1,0,1,lucianagenro.bsky.social,Luciana Genro,https://cdn.bsky.app/img/avatar/plain/did:plc:nvpuoxauer4fkrtwpoj22azp/bafkreiflushhlx7cqkeu6fe3qqfxqgkwzz6yf6avixsu2abbxeiatgknjy@jpeg,did:plc:nvpuoxauer4fkrtwpoj22azp
at://did:plc:mylb75ew33iq2p4pprv7o3vh/app.bsky.feed.post/3l5hwk46tga25,bafyreifulyzrbpmux2sbvvemzxzl47cb2jtrfhsyntx4ykzxd2g3ru5jiq,@demori.bsky.social @iclnoticias.com.br @pedroruas.bsky.social @mariadorosario.bsky.social,2024-10-01T19:14:07.329Z,0,0,0,viitorious.bsky.social,Vitório Keller,https://cdn.bsky.app/img/avatar/plain/did:plc:mylb75ew33iq2p4pprv7o3vh/bafkreifvlvxhm6bbs6au3ulcdtxcovtergqbf33tofsglyppclkt4qpfeu@jpeg,did:plc:mylb75ew33iq2p4pprv7o3vh
at://did:plc:hpvj3dwh3b44vej3psd66wxz/app.bsky.feed.post/3l5hvwed6ve2u,bafyreib76esosmhxxkherljfftb7m5sbfhzkj7zunpo6iqix6lrzkrxyay,"Muito obrigada pelo apoio, estimada companheira! Vamos mudar o que não podemos aceitar e retomar a Porto Alegre da Frente Popular com @mariadorosario.bsky.social 13 prefeita!",2024-10-01T19:03:04.765Z,1,0,1,anymoraes.bsky.social,Any Moraes 13913,https://cdn.bsky.app/img/avatar/plain/did:plc:hpvj3dwh3b44vej3psd66wxz/bafkreigejcyj2n7ivpri2xk3jrpnlwvd763pwmknonjeclcuqk5g3xujy4@jpeg,did:plc:hpvj3dwh3b44vej3psd66wxz
at://did:plc:nxnxu6qmluukxx2buftonk6c/app.bsky.feed.post/3l5huq4jo5c2e,bafyreibiptwo5ap5flacrezrdzqaj7dmp3o54cykx6u4znnegge6swnqfu,"Confia na @mariadorosario.bsky.social , ela é apoiada pelo presidente @lula.com.br !",2024-10-01T18:41:41.492Z,0,1,4,coletivosalapt.bsky.social,@ColetivoSalaPT ,https://cdn.bsky.app/img/avatar/plain/did:plc:nxnxu6qmluukxx2buftonk6c/bafkreig2lpku6n5dfjo6ytx4lliwbw2tykqno6f25hm2btlh4isa77kjzm@jpeg,did:plc:nxnxu6qmluukxx2buftonk6c
at://did:plc:cxe47qrw7beklmluupfremxn/app.bsky.feed.post/3l5htls3tm22y,bafyreiayw6zyv2u3i3dicerjkqsmviryblchfcd7uymbcksq2o36tfhojy,"Vamos juntos e juntas colocar a PERIFERIA NO CENTRO DA POLÍTICA! Conto com vocês, até a vitória! ✊🏽✨

⭐️ Brunno Mattos 13013
🌻 @mariadorosario.bsky.social e Tamyres 13",2024-10-01T18:21:22.912Z,0,0,1,brunnomattos13.bsky.social,Brunno Mattos,https://cdn.bsky.app/img/avatar/plain/did:plc:cxe47qrw7beklmluupfremxn/bafkreia4lwjc7j4o4wqgzn3sreylpxj6lll5tik2bxxe6eyues7z4vm55u@jpeg,did:plc:cxe47qrw7beklmluupfremxn
at://did:plc:nxnxu6qmluukxx2buftonk6c/app.bsky.feed.post/3l5hmwtowme2r,bafyreigqcylisxz6pl5oehyjue2mbczcxh2wo3etisah2caqtj4wumzjzq,"Uma mãe, uma mulher! Uma escolha perfeita para Porto Alegre! @mariadorosario.bsky.social presente!",2024-10-01T16:22:17.272Z,0,2,5,coletivosalapt.bsky.social,@ColetivoSalaPT ,https://cdn.bsky.app/img/avatar/plain/did:plc:nxnxu6qmluukxx2buftonk6c/bafkreig2lpku6n5dfjo6ytx4lliwbw2tykqno6f25hm2btlh4isa77kjzm@jpeg,did:plc:nxnxu6qmluukxx2buftonk6c
at://did:plc:nxnxu6qmluukxx2buftonk6c/app.bsky.feed.post/3l5hmtxovrq2v,bafyreig5mkhbe34v5srvfrcbnzvpixf57nfri5uua6hnv2gzqieifuputm,Um ser humano com esse senso de humanidade deveria se eleger para prefeita de Porto Alegre! As pessoas merecem ter @mariadorosario.bsky.social cuidando delas e de seus familiares!,2024-10-01T16:20:40.811Z,0,0,3,coletivosalapt.bsky.social,@ColetivoSalaPT ,https://cdn.bsky.app/img/avatar/plain/did:plc:nxnxu6qmluukxx2buftonk6c/bafkreig2lpku6n5dfjo6ytx4lliwbw2tykqno6f25hm2btlh4isa77kjzm@jpeg,did:plc:nxnxu6qmluukxx2buftonk6c
at://did:plc:nxnxu6qmluukxx2buftonk6c/app.bsky.feed.post/3l5hkxysqr52o,bafyreifitk6a3trnpf2mwvzxzuj7nztffr7cymwfbjdsva7il6rojm7zu4,Vamos ser apoio a @mariadorosario.bsky.social gente! Ela precisa se apoio nessa reta final! Vamos viralizar seus posts!,2024-10-01T15:47:08.784Z,0,3,7,coletivosalapt.bsky.social,@ColetivoSalaPT ,https://cdn.bsky.app/img/avatar/plain/did:plc:nxnxu6qmluukxx2buftonk6c/bafkreig2lpku6n5dfjo6ytx4lliwbw2tykqno6f25hm2btlh4isa77kjzm@jpeg,did:plc:nxnxu6qmluukxx2buftonk6c
at://did:plc:iofa7ne4wffkfjbzre3vrhuf/app.bsky.feed.post/3l5hecixigl2w,bafyreibze52ghxjvujyno6xdh4s6dtfkjss5yk6mmfm7scm5c5u6gz2foy,"Não tenho dúvidas de que a melhor candidatura pra prefeitura de Porto Alegre é a da @mariadorosario.bsky.social . E eu voto em quem considero o melhor para a cidade. Por isso, votarei Maria do Rosário, 13!",2024-10-01T13:47:44.613Z,1,0,3,rotta.bsky.social,Arthur ,https://cdn.bsky.app/img/avatar/plain/did:plc:iofa7ne4wffkfjbzre3vrhuf/bafkreiaodw43chmj6iz3sx5ntvfrqfvmyb4tvg3cvrxcxvddy5cxqz3epi@jpeg,did:plc:iofa7ne4wffkfjbzre3vrhuf
at://did:plc:nxnxu6qmluukxx2buftonk6c/app.bsky.feed.post/3l5hdbrzrvz2u,bafyreihxssigfmxc7czfoanseigvrpj4ztbk4ysguvcnfnku3x5m2oufi4,Seria muito lindo se a @mariadorosario.bsky.social vencesse em Porto Alegre. Esse povo só teria a ganhar! Quem sabe o afeto toque o coração desse povo!,2024-10-01T13:29:27.369Z,0,9,19,coletivosalapt.bsky.social,@ColetivoSalaPT ,https://cdn.bsky.app/img/avatar/plain/did:plc:nxnxu6qmluukxx2buftonk6c/bafkreig2lpku6n5dfjo6ytx4lliwbw2tykqno6f25hm2btlh4isa77kjzm@jpeg,did:plc:nxnxu6qmluukxx2buftonk6c
