uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l5b5mjnirc2v,bafyreih6qyyquo6ttp3wsjufolg4limtocfr7yi2vp4asft5wdwz43xgda,"Restinga e Bom Fim... Bairros com a mesma vontade de mudança. 

Receber o apoio e o voto de confiança de mulheres, homens, de todas as idades, que conhecem o meu trabalho e o compromisso com nosso Estado, mas em especial, e agora 100%, para a nossa cidade. 

#UnidadePorPoa #MariaÉ13 #MariaETamyes",2024-09-29T02:32:06.849Z,9,39,170,2024-09-29T02:32:06.849Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l56ovggqm222,bafyreief43eiqths5g5rovyzwd2rv772tdnvq5qpbpkjns3ojbnei63zcu,"
A Cidade Baixa é o bairro que acolhe a gurizada, os blocos de carnaval, famílias e idosos que gostam da boêmia do bairro, mas que ainda assim, precisa da qualificação de muitos serviços. 

Porto Alegre voltará a ser boa para toda a sua gente! Para todos os bairros e regiões!",2024-09-28T03:03:19.336Z,2,22,101,2024-09-28T03:03:19.336Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l56oreakvw2w,bafyreici4j2xwoj2kdsgm5l6azvybplgsgu4mkewwf2bpd7mz75rwbayfq,"A Cidade Baixa é sinônimo de cidade pulsante, de todas as tribos. E nosso mutirão hoje foi muito especial. Além de conversar com os moradores do bairro, também falei sobre as nossas propostas de reconstrução para os comerciantes, principalmente no que diz respeito à segurança.",2024-09-28T03:01:02.829Z,5,29,159,2024-09-28T03:01:02.829Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l56lz5cbno2b,bafyreifq6eb7np5wlkgdvrljrmmxevtdf4y7s4wb5riimdpz3qq4avzigy,"Essa celebração reforça algo pelo qual luto ao longo de toda minha vida: a importância do cuidado e da proteção das nossas crianças e adolescentes.
E é por cada uma e cada um dos nossos pequenos, que seguimos na esperança de dias melhores aqui na nossa Porto Alegre.

#MariaÉ13 #PortoAlegre",2024-09-28T02:11:42.753Z,0,0,8,2024-09-28T02:11:42.753Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l3qm5vr7w22z,bafyreiaio6jmlqbmois2tsu3rcorm7kswlro5y4ocm4v6yvt5fubryvwny,"Querida @macaeevaristo.bsky.social, receba meus mais calorosos parabéns por assumir essa missão tão grandiosa à frente do MDHC! Tenho certeza de que, com sua força e sensibilidade, o Brasil estará em boas mãos. Conte sempre com meu apoio e admiração. Um abraço carinhoso e todo sucesso! 👏❤️",2024-09-09T19:11:55.077Z,12,52,377,2024-09-09T19:11:55.077Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l3qlwiuorc26,bafyreihy2twgztc3kwyxhsmohr4irn5eby4ksun6pxcmsejju3q4rifpmq,"Querida @macaeevaristo.bsky.social, receba meus mais calorosos parabéns por assumir essa missão tão grandiosa à frente do MDHC! Tenho certeza de que, com sua força e sensibilidade, o Brasil estará em boas mãos. Conte sempre com meu apoio e admiração. Um abraço carinhoso e todo sucesso! 👏❤️",2024-09-09T19:07:46.451Z,3,24,189,2024-09-09T19:07:46.451Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l3oegbzcrh2b,bafyreidxoybno75p2mfkvufvi77lmfbg273bmt6xueettoekyczampwg2y,"É ELA! 🌻

Maria é time de Lula, e Lula é time Maria! Juntos pelo povo de Porto Alegre!

#UnidadeporPOA #PovonaPrefeitura #AcaoEcoraçao #MariaÉ13 #MariaETamyres #PortoAlegre",2024-09-08T21:48:07.028Z,23,182,644,2024-09-08T21:48:07.028Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l3o7fwqmn62y,bafyreiavifpqu2qkzemcgy42q6heorl3oaq6nscpxtkwmeochaibxdtnjm,"Prestigiei hoje atividade do vereador e candidato Airto Ferronato (PSB).

Compartilhamos do mesmo objetivo que é cuidar dos idosos da nossa Porto Alegre, e fiscalizar e aplicar os recursos públicos.

#UnidadeporPOA #PovonaPrefeitura #AcaoEcoraçao #MariaÉ13 #MariaETamyres #PortoAlegre",2024-09-08T20:18:26.461Z,6,27,145,2024-09-08T20:18:26.461Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l3o3zjcqss2m,bafyreiffjdzvmbxdx53wsgslbbii4k72b6ouns25qvuupjharovpws4pgu,"Os problemas são muitos e nós sabemos o que é preciso fazer para mudar pra melhor a vida das famílias do loteamento. 

#UnidadeporPOA #PovonaPrefeitura #AcaoEcoraçao #MariaÉ13 #MariaETamyres #PortoAlegre",2024-09-08T19:17:48.552Z,1,11,66,2024-09-08T19:17:48.552Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53
at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l3o3xiqfy52x,bafyreiezsq3ojhkcprehud6jnbhkzfdznjspimo7bygnssfvouyiv7w5qa,". O loteamento Cavalhada foi criado nos governos populares, mas teve poucos investimentos no decorrer dos anos, por isso, temos que pensar em bons espaços de lazer e cultura, serviços públicos, e, fundamentalmente, vagas nas creches.",2024-09-08T19:16:40.807Z,0,10,49,2024-09-08T19:16:40.807Z,mariadorosario.bsky.social,Maria do Rosário,did:plc:34sugtlnpuxx2e2asq7vmq53
