reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:w5qmjnoydonafxaupq5hh3ok/app.bsky.feed.post/3l5ucbrpmqr2v,bafyreiaxbeagf6yljik4zzlmekokaebbaxe7kvh7ss32q2cwd25ytgm2z4,at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l5b5mjnirc2v,"Restinga e Bom Fim... Bairros com a mesma vontade de mudança. 

Receber o apoio e o voto de confiança de mulheres, homens, de todas as idades, que conhecem o meu trabalho e o compromisso com nosso Estado, mas em especial, e agora 100%, para a nossa cidade. 

#UnidadePorPoa #MariaÉ13 #MariaETamyes",mariadorosario.bsky.social,Maria do Rosário 13,2024-10-06T17:16:08.784Z,0,0,2,2024-10-06T17:16:08.784Z,edgarbaptista.bsky.social,Edgar Baptista ,did:plc:w5qmjnoydonafxaupq5hh3ok
at://did:plc:shvn2dh2xjkrhorbgcobzmfy/app.bsky.feed.post/3l5dhvzbvk32v,bafyreifizleeaviufaadkbwfpdpn3avmguyvnvum4ibzbty2splq2iujtu,at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l5b5mjnirc2v,"Restinga e Bom Fim... Bairros com a mesma vontade de mudança. 

Receber o apoio e o voto de confiança de mulheres, homens, de todas as idades, que conhecem o meu trabalho e o compromisso com nosso Estado, mas em especial, e agora 100%, para a nossa cidade. 

#UnidadePorPoa #MariaÉ13 #MariaETamyes",mariadorosario.bsky.social,"@pablovillaca.cinemaemcena.com.br há esperança para Porto Alegre também.
 sul21.com.br/noticias/pol...",2024-09-30T00:47:35.983Z,0,0,0,2024-09-30T00:41:42.813Z,ellslu.bsky.social,,did:plc:shvn2dh2xjkrhorbgcobzmfy
at://did:plc:pqgp4myoqwmhjsa5a3j5as5q/app.bsky.feed.post/3l5usvakcso22,bafyreiaonfaezklwz5wau7hx5xap6vwlkazrxrtw6elmhmhndvhooznke4,at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l5b5mjnirc2v,"Restinga e Bom Fim... Bairros com a mesma vontade de mudança. 

Receber o apoio e o voto de confiança de mulheres, homens, de todas as idades, que conhecem o meu trabalho e o compromisso com nosso Estado, mas em especial, e agora 100%, para a nossa cidade. 

#UnidadePorPoa #MariaÉ13 #MariaETamyes",mariadorosario.bsky.social,"Parabéns Maria , irá para o segundo e ganhará",2024-10-06T22:13:22.483Z,0,0,0,2024-10-06T22:13:22.483Z,ninadopt13.bsky.social,@ninadopt13,did:plc:pqgp4myoqwmhjsa5a3j5as5q
at://did:plc:n4rr632ojibbry6lushlxkgv/app.bsky.feed.post/3l5wy4evb5l2p,bafyreifcyfuum7oty5lw4scfukfzr5vygj2sxkh5k5ieyrdsywnleuw3re,at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l5b5mjnirc2v,"Restinga e Bom Fim... Bairros com a mesma vontade de mudança. 

Receber o apoio e o voto de confiança de mulheres, homens, de todas as idades, que conhecem o meu trabalho e o compromisso com nosso Estado, mas em especial, e agora 100%, para a nossa cidade. 

#UnidadePorPoa #MariaÉ13 #MariaETamyes",mariadorosario.bsky.social,Alowww pessoa que cuid a dessa rede pessoal da Maria!! Vamos atualizar !! Cadê o discurso da Maria falando do apoio de Juliana Brizola??? Criem vergonha na cara e cuidem das redes da Maria!!,2024-10-07T18:55:59.379Z,0,0,5,2024-10-07T18:52:10.810Z,sandruska.bsky.social,Sandruska Antifascista🚩,did:plc:n4rr632ojibbry6lushlxkgv
at://did:plc:lmb3hu34sy3hskdhnbnqbllh/app.bsky.feed.post/3l5sfphzw362z,bafyreickwleafqmiqyf6xpigdjvfjg2v3btnnjhohdxqd4atluvvvrwt7m,at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l5b5mjnirc2v,"Restinga e Bom Fim... Bairros com a mesma vontade de mudança. 

Receber o apoio e o voto de confiança de mulheres, homens, de todas as idades, que conhecem o meu trabalho e o compromisso com nosso Estado, mas em especial, e agora 100%, para a nossa cidade. 

#UnidadePorPoa #MariaÉ13 #MariaETamyes",mariadorosario.bsky.social,Rosário  NUNCA!,2024-10-05T23:12:11.313Z,0,0,0,2024-10-05T23:12:11.313Z,roarko.bsky.social,,did:plc:lmb3hu34sy3hskdhnbnqbllh
at://did:plc:llnwxuoymbezjcfunvjxjnlo/app.bsky.feed.post/3l5ezxfeqxq2u,bafyreibhtzzdypqfama3nukjsmns7t4pv2n4jaxikss3otvheduz66ozky,at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l5b5mjnirc2v,"Restinga e Bom Fim... Bairros com a mesma vontade de mudança. 

Receber o apoio e o voto de confiança de mulheres, homens, de todas as idades, que conhecem o meu trabalho e o compromisso com nosso Estado, mas em especial, e agora 100%, para a nossa cidade. 

#UnidadePorPoa #MariaÉ13 #MariaETamyes",mariadorosario.bsky.social,Não dá pra entender: na propagande de Maria do Rosario NUNCA é mencionado o apoio do lider golpista bozo ao incompetente Melo....voces querem proteger o despreparado melo de qualquer critica? Assim como a RBS blinda o bolsonarista melo de qualquer critica sobre as cheias...,2024-09-30T15:37:14.500Z,0,0,0,2024-09-30T15:37:14.500Z,leanz100.bsky.social,Leanz,did:plc:llnwxuoymbezjcfunvjxjnlo
at://did:plc:iil2u27lxax5wra7ycfbyeyn/app.bsky.feed.post/3l5di4jhy5523,bafyreif5643y5ihzo4x4lksvbok73ntnaiy5ebg4gyqdoprvxnepyyogia,at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l5b5mjnirc2v,"Restinga e Bom Fim... Bairros com a mesma vontade de mudança. 

Receber o apoio e o voto de confiança de mulheres, homens, de todas as idades, que conhecem o meu trabalho e o compromisso com nosso Estado, mas em especial, e agora 100%, para a nossa cidade. 

#UnidadePorPoa #MariaÉ13 #MariaETamyes",mariadorosario.bsky.social,,2024-09-30T00:45:20.222Z,0,0,1,2024-09-30T00:45:20.222Z,cironoblsky.bsky.social,Ciro no Bluesky🌹,did:plc:iil2u27lxax5wra7ycfbyeyn
at://did:plc:eluygzzd23c5gfu5fwbqyrcq/app.bsky.feed.post/3l5noqdo6hw2d,bafyreigsju6ak4mdln5w55siexb7gsszbqlmi4ttuhh2c5b24px2xavwvm,at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l5b5mjnirc2v,"Restinga e Bom Fim... Bairros com a mesma vontade de mudança. 

Receber o apoio e o voto de confiança de mulheres, homens, de todas as idades, que conhecem o meu trabalho e o compromisso com nosso Estado, mas em especial, e agora 100%, para a nossa cidade. 

#UnidadePorPoa #MariaÉ13 #MariaETamyes",mariadorosario.bsky.social,"""Parceirizar"" com o serviço público? Explica melhor isso que a senhora falou no debate hoje.",2024-10-04T02:10:25.368Z,0,0,0,2024-10-04T02:10:25.368Z,neusapiri.bsky.social,Marineusa,did:plc:eluygzzd23c5gfu5fwbqyrcq
at://did:plc:6nkh3nfhgpdf4ssr5k2mpp4k/app.bsky.feed.post/3l5jvwgauwn2d,bafyreig7nlqpdwb2fyvc4wnx5l25oya2wre7x7cyommguq4rdwqj67fln4,at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l5b5mjnirc2v,"Restinga e Bom Fim... Bairros com a mesma vontade de mudança. 

Receber o apoio e o voto de confiança de mulheres, homens, de todas as idades, que conhecem o meu trabalho e o compromisso com nosso Estado, mas em especial, e agora 100%, para a nossa cidade. 

#UnidadePorPoa #MariaÉ13 #MariaETamyes",mariadorosario.bsky.social,"NINGUÉM vota em uma COMUNISTA INÚTIL E DESEQUILIBRADA Maria do Rosário , sua presença no cenário político nacional ACABOU!
#TrateDeArrumarUmEmprego",2024-10-02T14:08:26.099Z,0,0,1,2024-10-02T14:08:26.099Z,prmveiga50.bsky.social,,did:plc:6nkh3nfhgpdf4ssr5k2mpp4k
at://did:plc:lkqyni3msqvtqd64g6irenrf/app.bsky.feed.post/3l57fod7zgk23,bafyreiesi75iajbocp57oh5sr2inpcuqi73ivuou5bgbggpxuozkzjbrwu,at://did:plc:34sugtlnpuxx2e2asq7vmq53/app.bsky.feed.post/3l56ovggqm222,"
A Cidade Baixa é o bairro que acolhe a gurizada, os blocos de carnaval, famílias e idosos que gostam da boêmia do bairro, mas que ainda assim, precisa da qualificação de muitos serviços. 

Porto Alegre voltará a ser boa para toda a sua gente! Para todos os bairros e regiões!",mariadorosario.bsky.social,Maria e Tamyres 🌻❤🌟👏👏👏👏👏,2024-09-28T09:50:57.120Z,0,1,3,2024-09-28T09:50:57.120Z,camilasn.bsky.social, Cαмιℓα ѕ.η.,did:plc:lkqyni3msqvtqd64g6irenrf
