uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5nnhn2txq24,bafyreia3eajoadgadesuxa2bnb2xmp567mal7zwocblodar5fbqeh6buwu,"Boulos: a conta não fecha!

Alguém entendeu como ele vai rever a Reforma da Previdência e duplicar estradas sem aumentar impostos? 🤡

#Debatedaglobo",2024-10-04T01:47:38.766Z,0,0,1,2024-10-04T01:47:38.766Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5nm5clal22b,bafyreihn6vknfzujdbbbkdhkaqjxjdzthlhaujdey5p53g7zhjtf5kkyim,"Por enquanto, nada de novo!
Dobradinha entre os comunistas, discurso vazio da atual gestão… 
Faltou a única candidata com propostas de verdade!

#Debatedaglobo",2024-10-04T01:23:58.481Z,0,1,4,2024-10-04T01:23:58.481Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5nls7zteg23,bafyreigaoxyv2piawlq4yk7x36ufkabeeih4b2dalcjpmd4unfsauwh7cu,"Vem assistir o debate comigo?
Estou AO VIVO! 

www.instagram.com/marinahelena...",2024-10-04T01:17:46.806Z,0,0,1,2024-10-04T01:17:46.806Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5muq4qjwy2y,bafyreia3hvkhbom6cyxu35co5wurlldtogaals2baiqiwwgdz6prhk24fe,"CENSURA! Mais uma vez, querem calar a minha voz. Globo, do que vocês tem medo?

Marca a @tvglobo.com aqui e vamos exigir uma explicação! 
#Vote30",2024-10-03T18:25:00.773Z,5,2,15,2024-10-03T18:25:00.773Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5b4hcxq432v,bafyreic2ixiheqgd4js7p62dljxrfb7yq5mpnqyhbjqlutzlahc3nbkcse,"Muita gente diz que eu sou a mais preparada, mas que não vai votar em mim por causa das pesquisas. Saiba que as pesquisas erram, e erram porque, no final, quem decide é você.

Vote Marina Helena para prefeita de São Paulo. 3️⃣0️⃣✅

#DebateRecord",2024-09-29T02:11:18.728Z,10,0,15,2024-09-29T02:11:18.610Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5az5n2nq72q,bafyreifcvscxxtvjb5jkfiztnh4rvvb7ythmgo73qgioolsjo5otpemrba,"Outro ponto fundamental é cuidar da sua segurança, pois, sem segurança, a gente não faz nada. A ideia é triplicar o orçamento da segurança, que hoje só recebe 1 em cada 100 reais. Vamos dobrar o efetivo da GMC, armá-la e treiná-la bem para proteger o nosso maior patrimônio: o cidadão.

#DebateRecord",2024-09-29T01:12:12.454Z,6,0,7,2024-09-29T01:12:12.410Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5aydiygc32f,bafyreih4sge3tcbpyygugnxzvvznofed5unuxevxecikjmfmnj5chgh5u4,"Boulos invadiu e depredou prédios públicos. Ele invadiu e quebrou ministérios aqui em São Paulo. Por muito menos, o que ele chama de “terrorista” do 8 de janeiro, gente que escreveu “perdeu, mané” com batom, está longe do convívio dos seus filhos.

#DebateRecord",2024-09-29T00:57:35.755Z,8,1,10,2024-09-29T00:57:35.711Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5awsqsd3w2x,bafyreiai3bxts77t6oea2blu4co3ujhwmkwv3vpqtx4zlamyn5rjzs3bpi,"O brasileiro trabalha metade do ano para pagar impostos e não consegue andar com o celular na rua. Se a gente gastar menos dinheiro com parasitas e com a companheirada, vai sobrar dinheiro para cuidar de você e da sua família.

#DebateRecord",2024-09-29T00:30:19.463Z,4,0,5,2024-09-29T00:30:19.463Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5awlg3frd2v,bafyreihj7ekhwhdopjjnaz2nypv52md7xzu7q45hnac5meuah3ry434eji,"""Ricardo Nunes, na campanha, gastou 637 mil reais no aluguel de 12 carros de uma empresa estranha. Gostaria que você explicasse isso aos eleitores: como foi usado esse recurso dos nossos impostos?""

#DebateRecord",2024-09-29T00:26:13.590Z,2,0,1,2024-09-29T00:26:13.590Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l5apvyftgz2y,bafyreihqvprqavriemiuj5jyxwkldcytapuuynpnzfqdfpcz3nb5cnss4a,"Hoje tem debate!

Às 21h, na TV Record.

Quem vai assistir? 🔥

#DebateRecord
youtube.com/live/4fJ9IkBp90A",2024-09-28T22:26:51.436Z,5,0,7,2024-09-28T22:26:51.436Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4uii5avk62q,bafyreibg4qbhww3sffa6aajgippdrqm5df5ydg3izlydymyhq3tqelrxhe,"A ideia é tão boa, que quiseram copiar! 

Na minha gestão, quem ficar mais de 30 dias na fila de espera da saúde, receberá um valor para que seja atendido no particular!",2024-09-24T01:41:53.785Z,5,1,12,2024-09-24T01:41:53.785Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4uihl7eha27,bafyreidfkzr3iniojpt2p6fe5lrdtzyxnpo5mmpofrixosera4dkcvuqni,"A ideia é tão boa, que quiseram copiar! 

Na minha gestão, quem ficar mais de 30 dias na fila de espera da saúde, receberá um valor para que seja atendido no particular!",2024-09-24T01:41:34.439Z,0,0,5,2024-09-24T01:41:34.439Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4ugz34v5y2b,bafyreifvepgv42tmn4tjnyievyszwixwg5mrtmtg76cisfor3fpnf7pqii,É tão difícil para os jornalistas perguntarem sobre São Paulo? #Vote30 #DebateFlow,2024-09-24T01:15:33.940Z,5,2,10,2024-09-24T01:15:33.940Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4ufmbumsl2f,bafyreigf3fd2jr3iyqw4heo4rtjrktds3ltc7ve7yiw5piui7me54ere7e,"Precisamos da PORTA DE SAÍDA PARA A CRACOLÂNDIA! 

Gastamos bilhões com organizações, enquanto mais pessoas tornam-se ainda mais dependentes e caminham para longe da recuperação real. 

Tem jeito, acreditem. Basta fazer!",2024-09-24T00:50:31.689Z,5,1,7,2024-09-24T00:50:31.689Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
at://did:plc:7ufq7f6eayiercg6z7o7jnau/app.bsky.feed.post/3l4uerzp7tn2m,bafyreicpdpzd7x2zwxncne67s7fns3aktwp4lmexsekyjyzfgbdfx6wrhy,"MÁFIA DOS ALVARÁS!

São Paulo precisa de tecnologia e desburocratização para baixar o custo da moradia da nossa cidade, além de proteger nosso patrimônio histórico e acabar com a farra das “bençãos” de subprefeitos!",2024-09-24T00:35:50.736Z,0,1,7,2024-09-24T00:35:50.736Z,marinahelenabr.com.br,Marina Helena 30,did:plc:7ufq7f6eayiercg6z7o7jnau
