uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5wnygtxkk2t,bafyreif46xeddv52n3hqvqr5d7cs2zrrcwd5fivksfj6ln7urqckqpdheq,Parabéns 🤩👏,2024-10-07T15:51:00.853Z,0,0,5,2024-10-07T15:51:00.853Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5wnrd6v5c2b,bafyreifwhihrkbgyuyblkxis6mckxict4m2ewntyecf4qisawasoaw4vzq,Não tem já ganhou. A eleição só acaba dia 27 de outubro! É #Boulos50 e #MartaVice,2024-10-07T15:47:01.655Z,1,13,62,2024-10-07T15:47:01.655Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5weg7xr7x2h,bafyreifxzua4zccaybwe7p3hobmobb2kvpg7wqgptjwwvvigb5hnli4rw4,"Nesse segundo turno, cada voto que conseguirmos pro Boulos é muito importante. Por isso, devemos convencer os indecisos e os que querem anular e votar em branco e também os eleitores dos outros candidatos que não chegaram ao segundo turno. 

5️⃣0️⃣✅",2024-10-07T12:59:45.733Z,2,3,23,2024-10-07T12:59:45.733Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5wef6mkvi2c,bafyreif67fmiw4mcj65zxzk64dc6nykvtrzz3oyy4ak2efvrjgcuefezwi,"Para fazermos a melhor mudança, precisamos que o Boulos vença o segundo turno e seja o próximo prefeito de SP. 

Há uma ameaça real em SP e não podemos ter um prefeito despreparado e que representa a má política. (CONTINUA)…",2024-10-07T12:59:10.785Z,1,3,20,2024-10-07T12:59:10.785Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5wee5wqna2k,bafyreicyihknlwj2abbomk3btfd6h6uvb6aqqmla4zqpknrvtlc6pafktq,"Ontem, em SP, demos um importante passo: levamos o Boulos  ao segundo turno e isso é uma vitória. Mostra que realmente SP quer mudança e reprova a gestão do atual prefeito. 

Porém, nossa caminhada ainda não terminou. (CONTINUA)",2024-10-07T12:58:35.805Z,1,7,48,2024-10-07T12:58:35.805Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5v5ggthmx2z,bafyreibocl7fsar2x3wdaxpdx3vmuacpncwphayqskt5yp7nkzenlety7i,"União por São Paulo ❤️

g1.globo.com/google/amp/s...",2024-10-07T01:21:57.238Z,0,16,106,2024-10-07T01:21:57.238Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5v5duyxxe2n,bafyreida6gl5qwbyo542fw3gy4mmkwcx4jdvrn6vbeia6mvc6pzsk5tmmm,Vamos que vamos!!! Juntos por amor a SP ❤️,2024-10-07T01:20:31.420Z,1,15,64,2024-10-07T01:20:31.420Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5uznextxh2m,bafyreiadswtxf4dbh5zksq52gnyoolgzpvyf5ufduwqv2gq7ikq5gszd7i,"
Obrigada a cada um que acreditou no nosso projeto! A nossa luta por uma cidade mais justa e inclusiva segue firme. Agora, vamos com tudo para o 2º turno! Juntos, vamos construir um futuro melhor para todos. #Boulos50 #2Turno #PorUmaSãoPauloMelhor #MartaVice #SãoPaulo",2024-10-07T00:14:14.679Z,21,105,412,2024-10-07T00:14:14.679Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5so7zqbkd23,bafyreigmuhchsezoazkdrg7f3owwpzvnubmyx6rytu246usv7wj3wn5m2e,😍😍😍5️⃣0️⃣✅,2024-10-06T01:44:36.609Z,0,0,0,2024-10-06T01:44:36.609Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5rpf3fhxo2p,bafyreigpjha2yqvpxzalivztzcwvjsqfivlrgqim6r47qq5yzdsohai3ba,"VEM VOCÊ TAMBÉM PRO TIME DA VITÓRIA

📸: @ricardostuckert",2024-10-05T16:32:39.357Z,17,144,900,2024-10-05T16:32:39.357Z,guilhermeboulos.bsky.social,Guilherme Boulos,did:plc:acvjxnp5fsqoq4fwri6wuqj7
