reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:265kermakxfoc6sdu7xxpuku/app.bsky.feed.post/3l5zbf4idsi25,bafyreibh6stfdauy6dpbkcywz6hmamv2aoeje4h63horhyiw6j7ebsm7nu,at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5wnrd6v5c2b,Não tem já ganhou. A eleição só acaba dia 27 de outubro! É #Boulos50 e #MartaVice,martasuplicy.bsky.social,"Vão às Associações Populares @martasuplicy.bsky.social 

Conversem com o Senival Moura que foi eleito com mais de 30 mil votos andando pelos bairros como sempre fizemos.

Boulos Prefeito 50
Marta Vice",2024-10-08T16:43:26.889Z,0,0,0,2024-10-08T16:43:26.889Z,cahmartins.bsky.social,Cáh Martins🌶️💃🏽🦉,did:plc:265kermakxfoc6sdu7xxpuku
at://did:plc:txuvxwkym3j6facrbb2fjj2q/app.bsky.feed.post/3l5wemyflul2c,bafyreiem7uvmo5xo7qsl6v6pqjizmp4n3emlyprwyj5uw5ovycl7456zti,at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5weg7xr7x2h,"Nesse segundo turno, cada voto que conseguirmos pro Boulos é muito importante. Por isso, devemos convencer os indecisos e os que querem anular e votar em branco e também os eleitores dos outros candidatos que não chegaram ao segundo turno. 

5️⃣0️⃣✅",martasuplicy.bsky.social,"Aham senta lá Marta, São Paulo quer mudanças mas não pelas mãos de Boulos que já mostrou que é mais do mesmo e de forma piorada, vamos de Nunes mesmo",2024-10-07T13:03:31.632Z,0,0,0,2024-10-07T13:03:31.632Z,sakhot.bsky.social,O Cão Chupando Manga,did:plc:txuvxwkym3j6facrbb2fjj2q
at://did:plc:abfc4qnffs7cjoi7nafk6l2i/app.bsky.feed.post/3l5wej5r4vk2k,bafyreibm5ymshh6ritbg4pujvlucfmtdgsr2duf77c4z5phxjr4fxwga6q,at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5weg7xr7x2h,"Nesse segundo turno, cada voto que conseguirmos pro Boulos é muito importante. Por isso, devemos convencer os indecisos e os que querem anular e votar em branco e também os eleitores dos outros candidatos que não chegaram ao segundo turno. 

5️⃣0️⃣✅",martasuplicy.bsky.social,Eu votaria em vcs se tivesse em SP. A cidade (e o Estado) estão largados.,2024-10-07T13:01:24.491Z,0,0,0,2024-10-07T13:01:24.491Z,btsdatitia.bsky.social,Btsdatitia,did:plc:abfc4qnffs7cjoi7nafk6l2i
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5weg7xr7x2h,bafyreifxzua4zccaybwe7p3hobmobb2kvpg7wqgptjwwvvigb5hnli4rw4,at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5wef6mkvi2c,"Para fazermos a melhor mudança, precisamos que o Boulos vença o segundo turno e seja o próximo prefeito de SP. 

Há uma ameaça real em SP e não podemos ter um prefeito despreparado e que representa a má política. (CONTINUA)…",martasuplicy.bsky.social,"Nesse segundo turno, cada voto que conseguirmos pro Boulos é muito importante. Por isso, devemos convencer os indecisos e os que querem anular e votar em branco e também os eleitores dos outros candidatos que não chegaram ao segundo turno. 

5️⃣0️⃣✅",2024-10-07T12:59:45.733Z,2,3,23,2024-10-07T12:59:45.733Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5wef6mkvi2c,bafyreif67fmiw4mcj65zxzk64dc6nykvtrzz3oyy4ak2efvrjgcuefezwi,at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5wee5wqna2k,"Ontem, em SP, demos um importante passo: levamos o Boulos  ao segundo turno e isso é uma vitória. Mostra que realmente SP quer mudança e reprova a gestão do atual prefeito. 

Porém, nossa caminhada ainda não terminou. (CONTINUA)",martasuplicy.bsky.social,"Para fazermos a melhor mudança, precisamos que o Boulos vença o segundo turno e seja o próximo prefeito de SP. 

Há uma ameaça real em SP e não podemos ter um prefeito despreparado e que representa a má política. (CONTINUA)…",2024-10-07T12:59:10.785Z,1,3,20,2024-10-07T12:59:10.785Z,martasuplicy.bsky.social,Marta Suplicy,did:plc:ljp774cdpg4l6ezmso6pgphr
at://did:plc:ygc5ovd3iduhnwvqylrtbwvo/app.bsky.feed.post/3l5vanb6fb323,bafyreibyzn6u55wk5ol4kqe3vfma45f5cjyp25hwbosiq26qabodtvkxki,at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5v5duyxxe2n,Vamos que vamos!!! Juntos por amor a SP ❤️,martasuplicy.bsky.social,"Olho na periferia Marta, pf!",2024-10-07T02:34:44.446Z,0,0,0,2024-10-07T02:19:27.813Z,erniehmgy.bsky.social,,did:plc:ygc5ovd3iduhnwvqylrtbwvo
at://did:plc:zgq7igr3f2lhxjhk3ggmx64i/app.bsky.feed.post/3l5whvjfc4h2z,bafyreieiduqtnlx6yn3ehqzertp2dpok57apf4s2mag47ybcevmrtsjfnm,at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5uznextxh2m,"
Obrigada a cada um que acreditou no nosso projeto! A nossa luta por uma cidade mais justa e inclusiva segue firme. Agora, vamos com tudo para o 2º turno! Juntos, vamos construir um futuro melhor para todos. #Boulos50 #2Turno #PorUmaSãoPauloMelhor #MartaVice #SãoPaulo",martasuplicy.bsky.social,Melhor a sra fazer campanha no 2o turno. Vexatória sua participação no 1o turno,2024-10-07T14:04:00.725Z,0,0,0,2024-10-07T14:02:00.713Z,gracigrecco.bsky.social,,did:plc:zgq7igr3f2lhxjhk3ggmx64i
at://did:plc:ygc5ovd3iduhnwvqylrtbwvo/app.bsky.feed.post/3l5v6ufbehi2x,bafyreifa7hdzd4tail4t44b752nvexr73pq3ggct5uqd2tlzo7eiyuib2m,at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5uznextxh2m,"
Obrigada a cada um que acreditou no nosso projeto! A nossa luta por uma cidade mais justa e inclusiva segue firme. Agora, vamos com tudo para o 2º turno! Juntos, vamos construir um futuro melhor para todos. #Boulos50 #2Turno #PorUmaSãoPauloMelhor #MartaVice #SãoPaulo",martasuplicy.bsky.social,"Marta, zona leste deu LaMaçal d lavada. No extremo sul, Cida Dutra ev região só Nunes! Precisamos repensar urgentemente esse 2°turno! Conte conosco!
#BoulosMarta50",2024-10-07T02:02:55.731Z,1,2,5,2024-10-07T01:47:39.507Z,erniehmgy.bsky.social,,did:plc:ygc5ovd3iduhnwvqylrtbwvo
at://did:plc:xzpiiprt4ulw53nu7oxxdkku/app.bsky.feed.post/3l5v2vcjws32q,bafyreibs33lvwzn3hnig2e5srbzae3ffheoamfns6pj6mpqxqagbh5fkse,at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5uznextxh2m,"
Obrigada a cada um que acreditou no nosso projeto! A nossa luta por uma cidade mais justa e inclusiva segue firme. Agora, vamos com tudo para o 2º turno! Juntos, vamos construir um futuro melhor para todos. #Boulos50 #2Turno #PorUmaSãoPauloMelhor #MartaVice #SãoPaulo",martasuplicy.bsky.social,"Marta, você é uma excelente referencias uma das melhores prefeita que essa cidade teve 👏🏽👏🏽👏🏽",2024-10-07T00:36:36.805Z,0,0,1,2024-10-07T00:36:35.115Z,elenildes.bsky.social,Elenildes dos Reis,did:plc:xzpiiprt4ulw53nu7oxxdkku
at://did:plc:wjybiicjcq36leperhifukzl/app.bsky.feed.post/3l5uzpyrtda2y,bafyreianme342bywqliwkogurwjw6x5urv6xwqxkbrcjyguzjgjkdu4mwe,at://did:plc:ljp774cdpg4l6ezmso6pgphr/app.bsky.feed.post/3l5uznextxh2m,"
Obrigada a cada um que acreditou no nosso projeto! A nossa luta por uma cidade mais justa e inclusiva segue firme. Agora, vamos com tudo para o 2º turno! Juntos, vamos construir um futuro melhor para todos. #Boulos50 #2Turno #PorUmaSãoPauloMelhor #MartaVice #SãoPaulo",martasuplicy.bsky.social,Na luta 👏👏👏,2024-10-07T00:15:42.402Z,0,0,2,2024-10-07T00:15:42.402Z,martav498.bsky.social,Marta,did:plc:wjybiicjcq36leperhifukzl
