uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5vbzj4cg42q,bafyreiarhvbqiyd6tbsvd6m6p5iqudkgddnn4arobjfj344alryefrtj2q,Muito obrigada! 🥹💜,2024-10-07T02:44:11.772Z,0,0,1,2024-10-07T02:44:11.772Z,monicabenicio.bsky.social,Monica Benicio 5️⃣0️⃣1️⃣2️⃣3️⃣,did:plc:2i4jmjm7pdhd2ju335xwgtrs
at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5v3cp47og2h,bafyreicxll5vjionss4l27bo3xloq5poneazefvhndjswo3v56b4jjw3e4,"ESTOU REELEITA! 💜

Vai ter favelada, sapatão e feminista por mais 4 anos na Câmara Municipal combatendo a extrema direita!",2024-10-07T00:44:03.722Z,7,10,82,2024-10-07T00:44:03.722Z,monicabenicio.bsky.social,Monica Benicio 5️⃣0️⃣1️⃣2️⃣3️⃣,did:plc:2i4jmjm7pdhd2ju335xwgtrs
at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5sasrur6x2k,bafyreiaweepjgkcynu6w5zcdkrqzdkibazibxwpg7euk5ul3selnsu2hhu,"Muito orgulho de ser A CANDIDATA da ✨ Erika Hilton ✨ aqui no Rio! 

5️⃣0️⃣1️⃣2️⃣3️⃣✅

@erikahilton.bsky.social 💜",2024-10-05T21:44:33.241Z,1,9,62,2024-10-05T21:44:33.241Z,monicabenicio.bsky.social,Monica Benicio 5️⃣0️⃣1️⃣2️⃣3️⃣,did:plc:2i4jmjm7pdhd2ju335xwgtrs
at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5s64l2hzk2t,bafyreibyqhg64ru6fc376qhjrm377535lexxbvwc6cpjrvrdkdatce4lxq,💜💜,2024-10-05T20:56:20.464Z,0,0,6,2024-10-05T20:56:20.464Z,monicabenicio.bsky.social,Monica Benicio 5️⃣0️⃣1️⃣2️⃣3️⃣,did:plc:2i4jmjm7pdhd2ju335xwgtrs
at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5s64fvgqv24,bafyreiaymda6nehkz4p7ktvo3kpnqqjpdqv7oblvjhjav4zbyoorp4pcwi,Obrigada minha amada!,2024-10-05T20:56:14.942Z,0,0,0,2024-10-05T20:56:14.942Z,monicabenicio.bsky.social,Monica Benicio 5️⃣0️⃣1️⃣2️⃣3️⃣,did:plc:2i4jmjm7pdhd2ju335xwgtrs
at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5rwyxgg6f2h,bafyreighdvuborwzyzveu4n55cuoi7avfqyf3mu4vekfwmcfqv5dsahrse,"Que honra, Marcelo! Te admiro muito!",2024-10-05T18:49:02.942Z,1,0,6,2024-10-05T18:49:02.942Z,monicabenicio.bsky.social,Monica Benicio 5️⃣0️⃣1️⃣2️⃣3️⃣,did:plc:2i4jmjm7pdhd2ju335xwgtrs
at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5rwxws67y25,bafyreievhzkjqghr3klbtycsl4zkawqkbeckgv4fyw6456bd23f7jvth2y,Obrigada Laninha! Nós vamos seguir juntas construindo uma cidade de direitos e de dignidade pra todos os cariocas! Uma cidade onde milícia não se crie e onde a justiça social e a justiça climática sejam possíveis. 💛🌈,2024-10-05T18:48:28.637Z,1,0,4,2024-10-05T18:48:28.637Z,monicabenicio.bsky.social,Monica Benicio 5️⃣0️⃣1️⃣2️⃣3️⃣,did:plc:2i4jmjm7pdhd2ju335xwgtrs
at://did:plc:zlt4zn7dvdzjiai2amihyg66/app.bsky.feed.post/3l5rwskik3u2l,bafyreiectnoxdgdydhuas3dcnpfifahseyetiq2ha3weknyu34aaxavkqe,"Domingo, vulgo amanhã, eu voto 50123. 💜

Monica Benicio construiu um mandato exemplar, ocupando a presidência da Comissão da Mulher e da Comissão de Cultura do Rio. Combateu explicitamente as milícias na Câmara Municipal e elevou a representatividade LGBT+. Ela é muito braba! 

Com orgulho! 5️⃣0️⃣1️⃣2️⃣3️⃣✅",2024-10-05T18:45:28.218Z,3,13,124,2024-10-05T18:45:28.218Z,lanadeholanda.bsky.social,Lana de Holanda Pelech 🌳🏳️‍⚧️,did:plc:zlt4zn7dvdzjiai2amihyg66
at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5rtweooes2t,bafyreihlxn7mhtiwuvted2slupiengzekjvskyu35akw375hymi3dhhd4y,"Faltam poucas horas pra acabar a campanha e eu só posso agradecer o carinho imenso recebido em cada bairro por onde passamos. A força do Rio me encanta e me emociona. Viva o povo carioca! 

Vamos juntes, por direitos e dignidade, para todas as pessoas! 💜🌈✨

5️⃣0️⃣1️⃣2️⃣3️⃣✅",2024-10-05T17:53:54.644Z,0,1,6,2024-10-05T17:53:54.644Z,monicabenicio.bsky.social,Monica Benicio 5️⃣0️⃣1️⃣2️⃣3️⃣,did:plc:2i4jmjm7pdhd2ju335xwgtrs
at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5qzwjthwm2a,bafyreiagzlbody3qvz7d3q22cvoxmvva4kgv6tcchq2bt2lvldwz6ona64,"2.397 dias sem ela.
2.397 dias de saudade.

#JustiçaPorMarielleeAnderson",2024-10-05T10:08:42.936Z,0,1,21,2024-10-05T10:08:42.936Z,monicabenicio.bsky.social,Monica Benicio 5️⃣0️⃣1️⃣2️⃣3️⃣,did:plc:2i4jmjm7pdhd2ju335xwgtrs
