reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:xzuarxzcpdp2e2zdafwcqhkp/app.bsky.feed.post/3l5v42t7faa2l,bafyreigg2xdy32gjnpcqpmunbkndpouyer6osyjruwt4ybsqlhhzknetua,at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5v3cp47og2h,"ESTOU REELEITA! 💜

Vai ter favelada, sapatão e feminista por mais 4 anos na Câmara Municipal combatendo a extrema direita!",monicabenicio.bsky.social,Parabéns Mônica! Quem ganha são os cariocas 👏👏👏👏👏👏🥰,2024-10-07T00:57:33.834Z,0,0,2,2024-10-07T00:57:33.834Z,lrogeriosoares.bsky.social,Rogério Soares ,did:plc:xzuarxzcpdp2e2zdafwcqhkp
at://did:plc:mhtmh34tmg5nbm7ikw7xpvyv/app.bsky.feed.post/3l5v3v6kplr2n,bafyreig7if7qq4f2w6eupfwr2fs6cnj4p65nm5ummumjtvnihakmjv4xsi,at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5v3cp47og2h,"ESTOU REELEITA! 💜

Vai ter favelada, sapatão e feminista por mais 4 anos na Câmara Municipal combatendo a extrema direita!",monicabenicio.bsky.social,Parabéns,2024-10-07T00:54:23.316Z,0,0,2,2024-10-07T00:54:23.316Z,virginialacerda.bsky.social,,did:plc:mhtmh34tmg5nbm7ikw7xpvyv
at://did:plc:jzfikh4ouig3rq4cpj22jded/app.bsky.feed.post/3l5vgi5dyus2l,bafyreidmjfewzzu57qizmmp56kthh6unghn5qxxbx6soabvypna4ufxgwu,at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5v3cp47og2h,"ESTOU REELEITA! 💜

Vai ter favelada, sapatão e feminista por mais 4 anos na Câmara Municipal combatendo a extrema direita!",monicabenicio.bsky.social,PARABÉNS maravilhosa! Você merece!,2024-10-07T04:03:58.116Z,0,0,0,2024-10-07T04:03:58.116Z,abstracao.bsky.social,Display Name,did:plc:jzfikh4ouig3rq4cpj22jded
at://did:plc:i5f2cq3ftv43uoc3z3znwog3/app.bsky.feed.post/3l5wlmuzngd22,bafyreihq5gl57zp2jjcbq7kne362ijiwhrmemc2rbxumguik2h4krr7hjq,at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5v3cp47og2h,"ESTOU REELEITA! 💜

Vai ter favelada, sapatão e feminista por mais 4 anos na Câmara Municipal combatendo a extrema direita!",monicabenicio.bsky.social,👏👏🥰,2024-10-07T15:08:44.643Z,0,0,1,2024-10-07T15:08:44.643Z,daisyhenry72.bsky.social,Daisy Henry  ,did:plc:i5f2cq3ftv43uoc3z3znwog3
at://did:plc:hv2gwqwpuucq6dthxkyvdaks/app.bsky.feed.post/3l5v3e34oxq2s,bafyreicxliwxczk6npieyvuamkqtskog6i3e4dab7734gkrfvqovlfrcaq,at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5v3cp47og2h,"ESTOU REELEITA! 💜

Vai ter favelada, sapatão e feminista por mais 4 anos na Câmara Municipal combatendo a extrema direita!",monicabenicio.bsky.social,💜👏🏻👏🏻👏🏻,2024-10-07T00:44:50.537Z,0,0,2,2024-10-07T00:44:50.537Z,claudiamarcia13.bsky.social,Márcia ,did:plc:hv2gwqwpuucq6dthxkyvdaks
at://did:plc:hnudkmd3nmehjaskuvndwmdu/app.bsky.feed.post/3l5wfnnxmyg2z,bafyreiff22aksoyiw6aqglsp2oh3rlldntwsxijqcjadofuun4ybppgnam,at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5v3cp47og2h,"ESTOU REELEITA! 💜

Vai ter favelada, sapatão e feminista por mais 4 anos na Câmara Municipal combatendo a extrema direita!",monicabenicio.bsky.social,😍😍😍,2024-10-07T13:21:49.146Z,0,0,1,2024-10-07T13:21:49.146Z,danbruschi.bsky.social,daniel ,did:plc:hnudkmd3nmehjaskuvndwmdu
at://did:plc:avsg7g5o4w24bo6ewyghz42f/app.bsky.feed.post/3l5wa2gukcs2g,bafyreiflpotz2lwpiqatbsovfpdmf53nhod3fstq2pbnisnoimhynjdauy,at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5v3cp47og2h,"ESTOU REELEITA! 💜

Vai ter favelada, sapatão e feminista por mais 4 anos na Câmara Municipal combatendo a extrema direita!",monicabenicio.bsky.social,👏👏👏👏👏👏👏👏👏🤩,2024-10-07T11:41:34.909Z,0,0,1,2024-10-07T11:41:34.909Z,bethlula13.bsky.social,🚩Bethlula13's🚩🇵🇸 🏳️‍🌈,did:plc:avsg7g5o4w24bo6ewyghz42f
at://did:plc:uu5eqqjcg53nrricmuuxxqma/app.bsky.feed.post/3l5snfz2goi2a,bafyreigwbdzm7itm6btketaovz2hr3kinuasj3k3pfcf256lxu2xoywb4a,at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5sasrur6x2k,"Muito orgulho de ser A CANDIDATA da ✨ Erika Hilton ✨ aqui no Rio! 

5️⃣0️⃣1️⃣2️⃣3️⃣✅

@erikahilton.bsky.social 💜",monicabenicio.bsky.social,Monica! Torço muito pela sua reeleição. Vai dar tudo certo! Você é muito competente!!!,2024-10-06T01:30:01.865Z,0,0,0,2024-10-06T01:30:01.865Z,capeniche.bsky.social,Camila Peniche,did:plc:uu5eqqjcg53nrricmuuxxqma
at://did:plc:xgwilwgow3m4qqpeqzurzmge/app.bsky.feed.post/3l5rxdpkxwj2z,bafyreib2xyu75e3keecbik5zqrqoyho4ygmbsqinm7rtwbzdbslp5g6siq,at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5rwyxgg6f2h,"Que honra, Marcelo! Te admiro muito!",monicabenicio.bsky.social,"Próxima vez em que formos ao Rio, te procuro pra um café!",2024-10-05T18:55:04.239Z,0,0,2,2024-10-05T18:55:04.239Z,msoares.bsky.social,Marcelo Soares,did:plc:xgwilwgow3m4qqpeqzurzmge
at://did:plc:bdajlq75omrcxk7jogjctuwv/app.bsky.feed.post/3l5rwzivblj24,bafyreif5nxnxe5nu5ndroch636u624vt4u2s7eimqgf4zcxyuatfnjz4om,at://did:plc:2i4jmjm7pdhd2ju335xwgtrs/app.bsky.feed.post/3l5rwxws67y25,Obrigada Laninha! Nós vamos seguir juntas construindo uma cidade de direitos e de dignidade pra todos os cariocas! Uma cidade onde milícia não se crie e onde a justiça social e a justiça climática sejam possíveis. 💛🌈,monicabenicio.bsky.social,Vamos juntas!,2024-10-05T18:49:21.664Z,0,0,2,2024-10-05T18:49:21.664Z,bhanle.bsky.social,Bruna Hanle,did:plc:bdajlq75omrcxk7jogjctuwv
at://did:plc:xgwilwgow3m4qqpeqzurzmge/app.bsky.feed.post/3l5rwwehfza2e,bafyreiefciejnwuqf4hhkbdc74bancdp2dkbvgjjdscoff7ojnvxec6xsy,at://did:plc:zlt4zn7dvdzjiai2amihyg66/app.bsky.feed.post/3l5rwskik3u2l,"Domingo, vulgo amanhã, eu voto 50123. 💜

Monica Benicio construiu um mandato exemplar, ocupando a presidência da Comissão da Mulher e da Comissão de Cultura do Rio. Combateu explicitamente as milícias na Câmara Municipal e elevou a representatividade LGBT+. Ela é muito braba! 

Com orgulho! 5️⃣0️⃣1️⃣2️⃣3️⃣✅",lanadeholanda.bsky.social,Tiro meu chapéu pra ti e pra @monicabenicio.bsky.social,2024-10-05T18:47:36.178Z,2,0,7,2024-10-05T18:47:36.178Z,msoares.bsky.social,Marcelo Soares,did:plc:xgwilwgow3m4qqpeqzurzmge
