uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5z67i455t2e,bafyreidwarlgqz6y62jic2624rsf66jluicpo2wz6cy5dhs2wokopjtwu4,"Muitissímo obrigada, meu querido! De coração!",2024-10-08T15:46:34.090Z,0,0,0,2024-10-08T15:46:34.090Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5xjtsfhzk2q,bafyreid6pv6g73wndztwbyctd2tnfdm7vs4oxvrkpuawczqrz26sawhsvm,"Nós, mulheres negras e mães de vítimas do Estado, sempre ousamos imaginar um novo projeto de humanidade. Seguiremos criando caminhos insubordinados.
Do luto à luta! 

Monica Cunha!",2024-10-08T00:09:30.067Z,0,0,8,2024-10-08T00:09:30.067Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5xjt2hch22q,bafyreidqj5xshzn42w5bf45j2vwjjbbaaraxtxrn37fnsfjj2ac2avwyvu,"Agradeço a todos que confiaram em mim e no Bonde Antirracista. Juntos, acreditamos que um Rio sem racismo e com Bem Viver é essencial. Em um ano e meio, criamos ferramentas importantes, como a Comissão de Combate ao Racismo, um legado de resistência.",2024-10-08T00:09:04.959Z,1,5,38,2024-10-08T00:09:04.959Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5xikm6jvn2b,bafyreibpwlcjvbpd45axrhb2docnonsywxs76lxhzg6ixyuqnf5ebjengq,"Nossos passos vêm de longe. Herdeiras de um legado ancestral desde o continente africano, as mulheres negras lutam cotidianamente para a construção de um país justo e democrático.
www.geledes.org.br/ialodes-em-m...",2024-10-07T23:46:27.820Z,0,0,8,2024-10-07T23:46:27.820Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5xhygucai2w,bafyreieitfmd5kaw5iazuri2m2l5xbnc7fcjaiufdg7v245ovqxkfvkhl4,Parabenizo a todos os candidatos do @psolcarioca.bsky.social que foram eleitos e a todas e todos que se colocaram nessa luta tão importante que é disputar essa cidade tão marcada ainda pelas desigualdades e pelo racismo. Sigamos firmes no nosso propósito que é a melhoria de vida do povo carioca.,2024-10-07T23:36:18.260Z,2,0,13,2024-10-07T23:36:18.260Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5xhuxjwmu23,bafyreihjrt2k6uk77k6txq6svc7bno5ur6ctgqlyqlnm5n4crthuewouai,"Soube há pouco que Hildézia Alves de Medeiros, fundadora do Sepe e uma das principais lideranças da greve de 1979, nos deixou, aos 84 anos. Que sua passagem seja tranquila. Meus sentimentos aos familiares e amigos. Seu legado permanecerá!",2024-10-07T23:34:21.532Z,0,0,7,2024-10-07T23:34:21.532Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:46c6z5cijzypovvv6oizimk4/app.bsky.feed.post/3l5pohhzpyt2o,bafyreiaz252luybedsufb6rhdzts4icwimnda56ikwbqqm5t5tqlaljrza,"Eleger mulheres negras, progressistas, nestas eleições municipais é uma das formas também de combater o racismo. 

Por falar nisso, a voz contra o racismo na Câmara Rio é minha parceira e amiga @monicacunhario.bsky.social‼️➕",2024-10-04T21:10:47.389Z,2,16,105,2024-10-04T21:10:47.389Z,henriquevieira.bsky.social,Pastor Henrique Vieira,did:plc:46c6z5cijzypovvv6oizimk4
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5poqbiw4p2m,bafyreib7wfbddmwmfkusjkr2uq4w6amyvws2hjpj2lgycilnpqrjasodhy,Leiam minha entrevista para o Alma Preta. Vale muito a pena! E não se esqueçam: dia 06 é Monica Cunha 50007.,2024-10-04T21:15:41.947Z,0,0,3,2024-10-04T21:15:41.947Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5plublbdm23,bafyreig27x7mbxod62uoc3jqfwsmktfgcbsu4fdtzcef4b66p4cav25wp4,"Seguirei em luta para construir políticas públicas que garantam maior justiça para mulheres, em especial mulheres negras, no espaço parlamentar.",2024-10-04T20:24:15.528Z,0,0,3,2024-10-04T20:24:15.528Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5pltx2ued2i,bafyreibkjmzywwf4vnmxw7mczvmilzs2tu5q7nvvchluvjkskjaqv7rg6e,"coletivamente um espaço político mais seguro não somente para mim, mas para todas as mulheres que chegam para fortalecer a democracia.

Por isso apresentei PROJETO DE LEI Nº 3014/2024 que institui a campanha municipal de enfrentamento à violência política de gênero e raça.",2024-10-04T20:24:04.488Z,1,0,3,2024-10-04T20:24:04.488Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
