reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5xjtsfhzk2q,bafyreid6pv6g73wndztwbyctd2tnfdm7vs4oxvrkpuawczqrz26sawhsvm,at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5xjt2hch22q,"Agradeço a todos que confiaram em mim e no Bonde Antirracista. Juntos, acreditamos que um Rio sem racismo e com Bem Viver é essencial. Em um ano e meio, criamos ferramentas importantes, como a Comissão de Combate ao Racismo, um legado de resistência.",monicacunhario.bsky.social,"Nós, mulheres negras e mães de vítimas do Estado, sempre ousamos imaginar um novo projeto de humanidade. Seguiremos criando caminhos insubordinados.
Do luto à luta! 

Monica Cunha!",2024-10-08T00:09:30.067Z,0,0,8,2024-10-08T00:09:30.067Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:x5h5at7x2dynhx4bcxf2whw6/app.bsky.feed.post/3l5xmud4swx23,bafyreiefixsbf3dsgwltqe6v243dxeycsavobeztcnl73vqenrr7x73w7a,at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5xhygucai2w,Parabenizo a todos os candidatos do @psolcarioca.bsky.social que foram eleitos e a todas e todos que se colocaram nessa luta tão importante que é disputar essa cidade tão marcada ainda pelas desigualdades e pelo racismo. Sigamos firmes no nosso propósito que é a melhoria de vida do povo carioca.,monicacunhario.bsky.social,"
Torci e divulguei muito a sua candidatura, que foi linda! Parabéns para você também, Monica! Nos vemos na próxima!",2024-10-08T01:03:28.749Z,1,0,1,2024-10-08T01:03:28.749Z,marineecologybot.bsky.social,Rodolfo L N Silva,did:plc:x5h5at7x2dynhx4bcxf2whw6
at://did:plc:jybuiyupmqqioxd4bhsq7uyv/app.bsky.feed.post/3l5xigcydbe2x,bafyreiautcj4pftzwot7ld7jwhhxewacyibcl4a34b473hlj74hach6b6e,at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5xhygucai2w,Parabenizo a todos os candidatos do @psolcarioca.bsky.social que foram eleitos e a todas e todos que se colocaram nessa luta tão importante que é disputar essa cidade tão marcada ainda pelas desigualdades e pelo racismo. Sigamos firmes no nosso propósito que é a melhoria de vida do povo carioca.,monicacunhario.bsky.social,"O Lindbergh votou no Tarcísio?
Fez bem. Eu também votei.",2024-10-07T23:44:01.954Z,0,0,0,2024-10-07T23:44:01.954Z,jucapetista.bsky.social,Jucapetista,did:plc:jybuiyupmqqioxd4bhsq7uyv
at://did:plc:7ypsd22vx75npdcpvwvjg6bj/app.bsky.feed.post/3l5prl65lim2g,bafyreifl3kvn7nzteekmooc6zkjkvdvhzsrovi4hemu5oqlmozyfkmjz5a,at://did:plc:46c6z5cijzypovvv6oizimk4/app.bsky.feed.post/3l5pohhzpyt2o,"Eleger mulheres negras, progressistas, nestas eleições municipais é uma das formas também de combater o racismo. 

Por falar nisso, a voz contra o racismo na Câmara Rio é minha parceira e amiga @monicacunhario.bsky.social‼️➕",henriquevieira.bsky.social,Aqui em Belém vou votar em @vivireispsol.bsky.social! ✊️,2024-10-04T22:06:32.794Z,0,0,0,2024-10-04T22:06:32.613Z,danirubi.bsky.social,Dani Rubi,did:plc:7ypsd22vx75npdcpvwvjg6bj
at://did:plc:46c6z5cijzypovvv6oizimk4/app.bsky.feed.post/3l5pomep3sn2q,bafyreignjvcicnp464wk4k56g6ieqxvmutuisb62vvrkf6dd3wmvj63kle,at://did:plc:46c6z5cijzypovvv6oizimk4/app.bsky.feed.post/3l5pohhzpyt2o,"Eleger mulheres negras, progressistas, nestas eleições municipais é uma das formas também de combater o racismo. 

Por falar nisso, a voz contra o racismo na Câmara Rio é minha parceira e amiga @monicacunhario.bsky.social‼️➕",henriquevieira.bsky.social,"Fundadora do Movimento Moleque, técnica em educação antirracista, defensora dos direitos humanos, representante dos familiares de vítima da violência, mulher negra, de axé, Monica Cunha é candidata à continuidade pelo nosso PSOL do Rio. ➕",2024-10-04T21:13:31.687Z,1,1,7,2024-10-04T21:13:31.687Z,henriquevieira.bsky.social,Pastor Henrique Vieira,did:plc:46c6z5cijzypovvv6oizimk4
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5plublbdm23,bafyreig27x7mbxod62uoc3jqfwsmktfgcbsu4fdtzcef4b66p4cav25wp4,at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5pltx2ued2i,"coletivamente um espaço político mais seguro não somente para mim, mas para todas as mulheres que chegam para fortalecer a democracia.

Por isso apresentei PROJETO DE LEI Nº 3014/2024 que institui a campanha municipal de enfrentamento à violência política de gênero e raça.",monicacunhario.bsky.social,"Seguirei em luta para construir políticas públicas que garantam maior justiça para mulheres, em especial mulheres negras, no espaço parlamentar.",2024-10-04T20:24:15.528Z,0,0,3,2024-10-04T20:24:15.528Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5pltx2ued2i,bafyreibkjmzywwf4vnmxw7mczvmilzs2tu5q7nvvchluvjkskjaqv7rg6e,at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5plt2bsww2o,"Minha vida política foi e é atravessada pela violência política de gênero. Como mulher negra, mãe de vítima do Estado, defensora de direitos humanos, incluída no Programa de Defesa de Defensores de Direitos Humanos, e agora parlamentar, sei que meu trabalho é também para construir (+)",monicacunhario.bsky.social,"coletivamente um espaço político mais seguro não somente para mim, mas para todas as mulheres que chegam para fortalecer a democracia.

Por isso apresentei PROJETO DE LEI Nº 3014/2024 que institui a campanha municipal de enfrentamento à violência política de gênero e raça.",2024-10-04T20:24:04.488Z,1,0,3,2024-10-04T20:24:04.488Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
at://did:plc:lvrcbgwxj2abgs6hunhy6di6/app.bsky.feed.post/3l5otea5t622u,bafyreibntb6sbx2n3kwfn7ycrquzhjrtcvqtu4k23n4dvmhj2jihbp4sy4,at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5otadfu6j2y,"Bom dia! Faltam apenas 2 dias para a mudança acontecer. Vamos juntos comigo, Mônica Cunha, 50.007, a vereadora que o Rio merece!",monicacunhario.bsky.social,Merecemos!,2024-10-04T13:05:46.928Z,0,0,0,2024-10-04T13:05:46.928Z,belvidor.bsky.social,Bel Vidor,did:plc:lvrcbgwxj2abgs6hunhy6di6
at://did:plc:eefckr323ueoh3mu73rq42pk/app.bsky.feed.post/3l5npc7vfrw2o,bafyreidnazxinp26r4itc4k2cq2p3kvjqcqonw27g6kb3xtacreymqgxgy,at://did:plc:b4moz2jqrc46gr7zvx2sv77z/app.bsky.feed.post/3l5nl3g74xn2k,"Eu não poderia esperar menos da minha vereadora @monicacunhario.bsky.social. Toda vez que vejo essa notícia, me emociono. O professor e escritor fica como 🥹",jonasdiandrade.bsky.social,"Que seja celebrado, lembrado, estudado.

Nossa história jamais vai se apagar.",2024-10-04T02:20:26.265Z,0,0,2,2024-10-04T02:20:25.515Z,resistenciablack.bsky.social,Resistência Black,did:plc:eefckr323ueoh3mu73rq42pk
at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5n25ajctw2o,bafyreidrba556ufge4345dc7lnoxclzk6c47krzucz75ov33ozrkcjuboy,at://did:plc:v4jxrakrhb3slb4ofrltd6sy/app.bsky.feed.post/3l5mzrkmsfg2g,"JUSTIÇA PARA KATHLEN ROMEU!
Neste dia 03 de outubro, se não fosse a política de insegurança pública do Estado, Kathlen Romeu faria 28 anos de idade. 

A jovem visitava a avó quando o pior aconteceu. Elas caminhavam na rua Araújo Leitão, Complexo do Lins, quando se depararam com uma incursão da PM.",monicacunhario.bsky.social,"Uma bala de fuzil a atingiu diretamente no tórax, o que ocasionou a sua morte. Ela estava grávida de 14 semanas. 

Não esqueceremos! E nem vamos deixar que ninguém esqueça! 
#JustiçaParaKathlenRomeu",2024-10-03T20:01:49.409Z,0,0,3,2024-10-03T20:01:49.409Z,monicacunhario.bsky.social,Monica Cunha - 5️⃣0️⃣0️⃣0️⃣7️⃣,did:plc:v4jxrakrhb3slb4ofrltd6sy
