uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,bafyreidsy4vbt4frp3kl446izq7ltivby4zyw6zfwopuzb2aqxzq6dujeu,Eu disse !! 😂😂😂,2024-10-07T02:37:37.643Z,19,56,391,2024-10-07T02:37:37.643Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5valrzbdj2e,bafyreialp7zwaz2uquaxxdbhrf7a57yxd3w6tknom6bede76dbccu3fste,"QUE NOITE LINDA, NATAAAAAAL! ❤️‍🔥❤️‍🔥❤️‍🔥

Estamos no segundo turno e tudo isso se deve principalmente a vocês, que tiveram esperança e enxergaram na nossa candidatura mudança que nossa cidade tanto sonha e precisa! 

AGORA É TODO MUNDO JUNTO RUMO À VITÓRIA! SIMBORAAAAA! 🚀🚀🚀",2024-10-07T02:18:37.245Z,26,179,1471,2024-10-07T02:18:37.245Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5v54bjpjr2v,bafyreibqj3ohgxto42x2rud2w2yrxsoy3puwkksagngud2naqgku3reyra,"O SEGUNDO TURNO VEIO AÍÍÍÍ! 🥹🚀❤️‍🔥

Obrigada a todos e todas que tornaram isso possível! Nos vemos jajá na Festa do 13 lá na Rua Chile!

Simbora comemorar que esse ano é NOSSO! 🤩

#NatalÉNatalia #ChegaDeEx",2024-10-07T01:16:15.987Z,53,333,2730,2024-10-07T01:16:15.987Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5sy6zd7a42z,bafyreif4533fesmaq2hopyrahlivtru4vb2cm3b64dvczdzh6wjhdouicq,"Saiu pesquisa de instituto nacional! ❤️ As locais têm sido corrompidas!
www.cnnbrasil.com.br/eleicoes/ele...",2024-10-06T04:53:10.984Z,0,0,1,2024-10-06T04:43:00.411Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5sy4qjzv62d,bafyreigvgm3fpdyw7sinsdjrgfsmj6b7et67gn3baioj7xzd3eoj6b7x3a,"Saiu pesquisa de instituto nacional! ❤️ As locais têm sido corrompidas!
www.cnnbrasil.com.br/eleicoes/ele...",2024-10-06T04:51:54.682Z,0,0,0,2024-10-06T04:41:44.013Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5sy3bsmxb2s,bafyreicglqiaf2n5evfjmzjterhy2xb5fh3ihrvyf4b5njmqal2fhjg3ma,"Saiu de instituto nacional! ❤️ As locais têm sido corrompidas!
www.cnnbrasil.com.br/eleicoes/ele...",2024-10-06T04:51:05.684Z,0,0,4,2024-10-06T04:40:55.111Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5sy2wuhgm2z,bafyreiefh7r4lsjejuhuosje4wm5g7d4prykttsqtccndpbcdhvjv6ez4q,"Saiu de instituto nacional! ❤️ As locais têm sido corrompidas!
www.cnnbrasil.com.br/eleicoes/ele...",2024-10-06T04:50:54.204Z,0,1,5,2024-10-06T04:40:43.609Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5sy2iglgc2f,bafyreiez5kfiagl6vbht6xfkgisen5nplwr2lttrebznwy4j5oyjy3rth4,"Saiu de instituto nacional! ❤️ As locais têm sido corrompidas!
www.cnnbrasil.com.br/eleicoes/ele...",2024-10-06T04:50:39.065Z,0,0,1,2024-10-06T04:40:28.511Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5sxwmzvtd2x,bafyreigfnjgi56bev7phubvajfmk3y7nabs2hmvxk4uteaw4wl3g7izjay,www.cnnbrasil.com.br/eleicoes/ele...,2024-10-06T04:48:29.680Z,1,0,0,2024-10-06T04:38:19.109Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5sxtvkbzg2s,bafyreicnckjfzzn45qm377b3sc5tnykmcej2sppd5dc4dimai2eigory7e,"A última pesquisa do primeiro turno, do Instituto AtlasIntel, o que tem mais credibilidade atualmente no Brasil, pela segunda vez nos colocou em 1o! As pesquisas locais estão sendo todas compradas! ❤️",2024-10-06T04:46:57.841Z,1,0,1,2024-10-06T04:36:47.310Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5sxt5ycgm2x,bafyreidkjrr6bx3trilje7j6nln7yxbhfe4ceegvrjulecu4kboeqrfa44,"Não! A última pesquisa do primeiro turno, do Instituto AtlasIntel, o que tem mais credibilidade atualmente no Brasil, pela segunda vez nos colocou em 1o! As pesquisas locais estão sendo todas compradas! ❤️",2024-10-06T04:46:33.229Z,0,0,4,2024-10-06T04:36:22.714Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5sxrflckx2t,bafyreiakrch7rxalmqohoy53hqgoksj26gqfg7ysii65hxswvxxbzh7saq,www.cnnbrasil.com.br/eleicoes/ele...,2024-10-06T04:45:34.097Z,0,1,1,2024-10-06T04:35:24.012Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5sxqp7zrb2f,bafyreiafngsvucyhf2fy6i4ep66vv4g2lk6oukrjnfxgczbv5htdt3p5u4,"Estamos no segundo turno, sim! A última pesquisa do primeiro turno, do Instituto AtlasIntel, o que tem mais credibilidade atualmente no Brasil, pela segunda vez nos colocou em 1o! As pesquisas locais estão sendo todas compradas!",2024-10-06T04:45:10.541Z,1,0,1,2024-10-06T04:35:00.011Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5so3ggxcp2w,bafyreie2lmqp3gcleoqwdogdhx7npmse6hbfwchelx2qlm2keizn6i2eei,É DAQUI PRO SEGUNDO TURNO! SIMBORAAAA 🚀🚀🚀❤️‍🔥,2024-10-06T01:42:01.998Z,24,117,1080,2024-10-06T01:42:01.998Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5ryfhxvo22h,bafyreiecvoljevwje3ug3rwomlzgqoi2fxkadutcpybdyab3m2h26g74qa,"Tadinhos, ficaram confusos! 😅

Mas a gente ajuda! Não precisa fazer o X no número! É só apertar 13 na urna e confirmar! ✅

Simboooooooora! 🤩🤩🤩

#NatalÉNatalia #Natalia13",2024-10-05T19:13:56.311Z,11,101,584,2024-10-05T19:13:56.311Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
