reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:qjlqsc5p43lutngk4a4nf7im/app.bsky.feed.post/3l5ny2j2uv626,bafyreihtc2m2r4sqjhszvl5v2ulktjgqmhh2ynwtmuxacwq7pn56hh6xja,at://did:plc:j3yvwmc73bjql3btfoyul7wa/app.bsky.feed.post/3l5nia6vgr62x,natália bonavides 13,NATÁLIA BONAVIDES 13🚩🚩🚩,2024-10-04T04:57:09.178Z,0,1,2,2024-10-04T04:57:09.178Z,mariapepe.bsky.social,,did:plc:qjlqsc5p43lutngk4a4nf7im
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5ntdm3pnr2e,bafyreiain7kynqwxenj6fk54fpr27kg3gbupivdfejrv4sarrpdf7u7mk4,at://did:plc:rbd6552ytcosmvezfwcrn6qa/app.bsky.feed.post/3l5nniuysns24,"Estão com medo de perguntar para Natália Bonavides. Kkkkkkk
Cada um fugindo perguntando para o outro. O último que ficar segure a batata quente...","parecia que tinham combinado, né?",2024-10-04T03:32:46.329Z,0,0,3,2024-10-04T03:32:46.329Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
at://did:plc:2xq6qilpm6nz5bpfpk6wmbk3/app.bsky.feed.post/3l5olrqneco2t,bafyreihuzlo64ret4xfstayjd4q4kw7xvb35bqqajubqw77qadf7ia2rle,at://did:plc:rbd6552ytcosmvezfwcrn6qa/app.bsky.feed.post/3l5nniuysns24,"Estão com medo de perguntar para Natália Bonavides. Kkkkkkk
Cada um fugindo perguntando para o outro. O último que ficar segure a batata quente...",Tb achei kkkkkk,2024-10-04T10:50:11.427Z,0,0,0,2024-10-04T10:50:11.211Z,rayaneee.bsky.social,Rᴀʏᴀɴᴇ ᶜʳᶠ,did:plc:2xq6qilpm6nz5bpfpk6wmbk3
at://did:plc:rpngxmiwzgdt2t5yqrrwspaf/app.bsky.feed.post/3l5numfev2o2g,bafyreidanjyhm4nbhu7jqvecu63h3qnzinzu57c3lex5gucjyukwfxx6h4,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5ntcgrznm2v,,bsky.app/profile/bozo...,2024-10-04T03:55:35.263Z,0,4,5,2024-10-04T03:55:35.263Z,bozoeocaralho.bsky.social,Bozo é o Caralho,did:plc:rpngxmiwzgdt2t5yqrrwspaf
at://did:plc:d6idouqx4x2gwoyo5y7j7nos/app.bsky.feed.post/3l5ocwxdzl427,bafyreiabzfzydmpvequu4wqyp76mlq2pzife4bsuhcp3gmrb3h3xii5biq,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5ntcgrznm2v,,,2024-10-04T08:12:01.709Z,0,0,0,2024-10-04T08:12:01.709Z,talonshield.bsky.social,,did:plc:d6idouqx4x2gwoyo5y7j7nos
at://did:plc:aahjhv33p42p5tj6bcjvkiwx/app.bsky.feed.post/3l5omiknium2x,bafyreifphl4qaisgdqtpe26ypfwpru6h6unolyueaojafxc5jxsxyfexle,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5ntcgrznm2v,,"Estão com medo das suas respostas e de lhe dar visibilidade.

VAMOS PRA CIMA DELES!!!!",2024-10-04T11:02:56.467Z,0,0,0,2024-10-04T11:02:56.467Z,luiscoms.bsky.social,neuro-estressado,did:plc:aahjhv33p42p5tj6bcjvkiwx
at://did:plc:mv3ago5sihk47jzzxu7jpygz/app.bsky.feed.post/3l5nta5ig2b2b,bafyreialfx6a3lzgt7iruh5qk6h7b6mbqqvk6tmmbrgfmnkxcunactas2a,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5nt6xhmir2c,kkkkkk tem hora que não dá pra disfarçar,"eu ri muito com tuas caras e bocas, prefeita! habla mesmo!!!! ❤️",2024-10-04T03:30:50.617Z,0,0,0,2024-10-04T03:30:50.617Z,itseitoryall.bsky.social,Eitor,did:plc:mv3ago5sihk47jzzxu7jpygz
at://did:plc:rpngxmiwzgdt2t5yqrrwspaf/app.bsky.feed.post/3l5nqb4a76n2j,bafyreigecallaebltfcnzwmakgsvwgqu4iicd6o4zik6hrzkchogh7vozi,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5npb2nvna2q,"Nos últimos 22 anos Carlos Eduardo foi prefeito em 12, e nos outros anos foram os vices dele que estiveram no poder. Ele não fez nada pelo transporte e tem a cara de pau de dizer que vai mudar alguma coisa agora. Ninguém é besta de acreditar! #ChegaDeEx","Debate na Globo.
Bolsonarista quando não está mentindo, está roubando.",2024-10-04T02:37:41.606Z,0,1,3,2024-10-04T02:37:41.606Z,bozoeocaralho.bsky.social,Bozo é o Caralho,did:plc:rpngxmiwzgdt2t5yqrrwspaf
at://did:plc:wfokani3dtsz32molx4jpy5g/app.bsky.feed.post/3l5nohhyagm2x,bafyreigdwfhidtinxnrwondzf3kqmg6sqez74g5agrsp64ljvik6mtagji,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5nodwjk7w27,"Nosso plano de governo é o único que conta com proposta que leva em consideração a região portuária da nossa cidade. Isso porque levamos a sério a questão de geração de empregos e melhora da economia da nossa cidade. 

#ChegDeEx","Vitória, menina!",2024-10-04T02:05:27.483Z,0,0,0,2024-10-04T02:05:27.483Z,gracagalvao24.bsky.social,Graça Galvão ,did:plc:wfokani3dtsz32molx4jpy5g
at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5no6ttqui2q,bafyreie7mopyrnznswlrtzq7tjtcjgquldtkqxt36v4jdj7xwxfgpdq6rm,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5no5x772c2v,"O desrespeito e o desprezo pelos servidores tem sido uma marca das gestões antigas, desde Carlos Eduardo até Álvaro Dias, apoiador de Paulinho.","Dentre vários absurdos, a database tem sido descumprida, fazendo com que os servidores, que já trabalham em condições precárias, percam também o seu poder de compra. 

Eles não farão diferente agora! #ChegaDeEx",2024-10-04T02:00:38.321Z,0,2,20,2024-10-04T02:00:38.321Z,nataliabonavides.bsky.social,Natália Bonavides,did:plc:go2rbxfclugdyr7k6tgk6wxu
