reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:wjto4stheysukc64ombolufe/app.bsky.feed.post/3l5wgxfoeny2c,bafyreihmi3rd533x7b44d6vbqvjicce3vx3pxiqfmux7pgz27baubfjphq,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,Eu disse !! 😂😂😂,nataliabonavides.bsky.social,Parabéns 👏🏻👏🏻👏🏻👏🏻,2024-10-07T13:45:09.947Z,0,0,0,2024-10-07T13:45:09.947Z,petistacritico.bsky.social,,did:plc:wjto4stheysukc64ombolufe
at://did:plc:wfokani3dtsz32molx4jpy5g/app.bsky.feed.post/3l5vbpfv5ek2g,bafyreiarxuaiinrnakvawxr4vfop573sr2ari7nbqqhsg5kpk7fyybjc2y,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,Eu disse !! 😂😂😂,nataliabonavides.bsky.social,"Mil vezes, Parabéns!",2024-10-07T02:38:32.969Z,0,0,5,2024-10-07T02:38:32.969Z,gracagalvao24.bsky.social,Graça Galvão ,did:plc:wfokani3dtsz32molx4jpy5g
at://did:plc:w744g6tsrndqv3ssrrrqspyk/app.bsky.feed.post/3l5whbaa5en22,bafyreih5eadvcywgik6ogqafj67y3xx5x5laxfgkv2i2whqbxqv7hetwbu,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,Eu disse !! 😂😂😂,nataliabonavides.bsky.social,conseguindo votos pra minha prefeita ❤️,2024-10-07T13:50:39.682Z,0,0,1,2024-10-07T13:50:39.682Z,bellinhe.bsky.social,clive bixby,did:plc:w744g6tsrndqv3ssrrrqspyk
at://did:plc:w25linhbg6acpq7dbb4fppse/app.bsky.feed.post/3l5vbtk33je2o,bafyreiazpuo4l3b7xhrnuklhz77u4kflflh5pblorhyiokcfrj2muomxo4,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,Eu disse !! 😂😂😂,nataliabonavides.bsky.social,NATAL VAI SER NATÁLIA ♥️,2024-10-07T02:40:52.008Z,0,1,6,2024-10-07T02:40:52.008Z,kadupessoa.bsky.social,Kadu Pessoa ,did:plc:w25linhbg6acpq7dbb4fppse
at://did:plc:vko37ysueyoceziyikvs4flk/app.bsky.feed.post/3l5wauytao72n,bafyreif7bvl2ptmagg6dmbnmyo74svcnlwntknh5wr7ksjbuskrkpfbafi,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,Eu disse !! 😂😂😂,nataliabonavides.bsky.social,"Previu o futuro, gosto assim! Minha prefeitaaaaaa",2024-10-07T11:56:25.991Z,0,0,0,2024-10-07T11:56:25.991Z,saraahnobre.bsky.social,Sarah Nobre ᶜʳᶠ 🪬🦊,did:plc:vko37ysueyoceziyikvs4flk
at://did:plc:rhjby5pr4l3ds3lcvr5ipizo/app.bsky.feed.post/3l5vmudnzjd2d,bafyreiaxtsfhsnjw3avh6fbvxezwsmqh65lgdo7e5wd7jxgiqo5yy7rodq,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,Eu disse !! 😂😂😂,nataliabonavides.bsky.social,"Força na luta! Viva o PT! Avante, Brasil!",2024-10-07T05:55:31.660Z,0,0,3,2024-10-07T05:55:31.660Z,humbertojl.bsky.social,Humberto J. López,did:plc:rhjby5pr4l3ds3lcvr5ipizo
at://did:plc:nlmye5gnwcmcz66ljh3txnwr/app.bsky.feed.post/3l5wcfk2o7r2n,bafyreiaj3o56uyz6hgzunsuavwcqdl6jtwkcipicusc7pawek6ghmob7hm,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,Eu disse !! 😂😂😂,nataliabonavides.bsky.social,Que maravilha! Parabéns!! Agora é lutar pela vitória...,2024-10-07T12:23:35.207Z,0,0,0,2024-10-07T12:23:35.207Z,robertoprjr.bsky.social,Roberto 🚩,did:plc:nlmye5gnwcmcz66ljh3txnwr
at://did:plc:mk2yzyyfaagh4mnx47ipk5g3/app.bsky.feed.post/3l5vmzwhbqj2b,bafyreielcuw3sc2peswijhaqmvqq2ohgjpfmc5soamxkkafi5qxu6f6miq,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,Eu disse !! 😂😂😂,nataliabonavides.bsky.social,"Que coisa maravilhosa!! Bem queria ter feito parte disso, mas infelizmente voto em Mossoró, que não tinha uma opção boa sequer que tivesse probabilidade de ganhar. Desejo muito boa sorte, no segundo turno, pra vencer o gado. Fácil não será, mas ir ao segunda turno não era também e deu certo.",2024-10-07T06:01:16.037Z,0,0,3,2024-10-07T06:01:16.037Z,susanadantas.bsky.social,Susana Dantas,did:plc:mk2yzyyfaagh4mnx47ipk5g3
at://did:plc:meozi37peozomguzq7xbo7fa/app.bsky.feed.post/3l5wd2bfwvt2y,bafyreih4vduda2wktyointejtww7gj7gqmyodmedu2qcaeqxrch6lod3py,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,Eu disse !! 😂😂😂,nataliabonavides.bsky.social,Na torcida por você e por Natal!,2024-10-07T12:35:11.037Z,0,0,2,2024-10-07T12:35:11.037Z,janlamour.bsky.social,Jannine L’Amour🇵🇸🇧🇷,did:plc:meozi37peozomguzq7xbo7fa
at://did:plc:mbktqbys3x3hx76ssyfuj3ch/app.bsky.feed.post/3l5vvxwwiuc2p,bafyreige5jewiw5k2k47clrwjxrc4ygfhmij33imhqsl4cmxoejhxkn7ki,at://did:plc:go2rbxfclugdyr7k6tgk6wxu/app.bsky.feed.post/3l5vbnr3ijj2e,Eu disse !! 😂😂😂,nataliabonavides.bsky.social,Parabéns! Vocês são maravilhosos!!!,2024-10-07T08:41:05.495Z,0,0,1,2024-10-07T08:41:05.495Z,omagnussen.bsky.social,Oscar Magnussen 🚩🚩🚩🚩🚩,did:plc:mbktqbys3x3hx76ssyfuj3ch
