uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:sh5evn3ztdenpowmuqhsz4be/app.bsky.feed.post/3l5wve2lwce2k,bafyreigbxcujummondffowktiildutcc4tiiojqkkkrirurnecbgfxjcwq,"Basta de Violência! Minha solidariedade à mulher vítima de tentativa de feminicídio, dentro de um colégio eleitoral, no último domingo em Aracaju. A violência machista não dá trégua! O machismo mata todos os dias, o feminismo nunca matou ninguém! Seguirei em luta pela vida das mulheres!",2024-10-07T18:02:46.974Z,0,0,0,2024-10-07T18:02:46.974Z,profsoniameire.bsky.social,Professora Sonia Meire,did:plc:sh5evn3ztdenpowmuqhsz4be
at://did:plc:sh5evn3ztdenpowmuqhsz4be/app.bsky.feed.post/3l5nvdeyg442n,bafyreid7bcbm4z3fiqqushjcwadv2auq3bd6uwqhg4bmsnffj25wvwbns4,"Durante 2 horas de debate, a candidata bolsonarista Emília não fez auto-crítica diante o grave episódio de violência política ocorrido ontem! Foge da responsabilidade como se o agressor não fosse filiado ao seu partido e a violência um método já conhecido do bolsonarismo.",2024-10-04T04:08:26.677Z,0,0,0,2024-10-04T04:08:26.677Z,profsoniameire.bsky.social,Professora Sonia Meire,did:plc:sh5evn3ztdenpowmuqhsz4be
at://did:plc:sh5evn3ztdenpowmuqhsz4be/app.bsky.feed.post/3l5nvcojjqj2e,bafyreih326nshtso3wpuatapgnkjdp63l2a3a4d5od4vqj4flxxgzhc7ym,"A candidata delegada Daniele se revelou. Afirmou ter certeza que a próxima prefeita de Aracaju, será uma mulher! Se não afirmou torcida por ela mesma, seria uma torcida antecipada pelas outras colegas do mesmo time bolsonarista?",2024-10-04T04:08:03.123Z,1,0,0,2024-10-04T04:08:03.123Z,profsoniameire.bsky.social,Professora Sonia Meire,did:plc:sh5evn3ztdenpowmuqhsz4be
at://did:plc:sh5evn3ztdenpowmuqhsz4be/app.bsky.feed.post/3l5nvbxnepj25,bafyreibwwt2qlqyuijenwhc7vjaf77fgu7pef7t35hju3py3yvoglsohq4,"O único candidato homem no debate eleitoral, tentou dar aula sobre os equipamentos de proteção às mulheres, mas errou! Luiz, chamou o Centro de Referência no atendimento às mulheres vítimas de violências de centro de reabilitação à mulher! Não negou o quanto entende do assunto!",2024-10-04T04:07:39.103Z,1,0,0,2024-10-04T04:07:39.103Z,profsoniameire.bsky.social,Professora Sonia Meire,did:plc:sh5evn3ztdenpowmuqhsz4be
at://did:plc:sh5evn3ztdenpowmuqhsz4be/app.bsky.feed.post/3l5ntlm4yxs2k,bafyreiefspvahuf2zmvkd5berq2ysudmgtqyeedympg2ysfwg24mtz3zre,"As candidatas bolsonaristas falam sobre educação sem nenhum ""pé na realidade"". Absurdo como usam a pauta na superficialidade! Quem quiser que compre! Sobre Educação Pública, Niully é a que mais conhece a realidade das escolas públicas, professoras(es) e comunidade escolar.",2024-10-04T03:37:15.102Z,1,0,1,2024-10-04T03:37:15.102Z,profsoniameire.bsky.social,Professora Sonia Meire,did:plc:sh5evn3ztdenpowmuqhsz4be
at://did:plc:sh5evn3ztdenpowmuqhsz4be/app.bsky.feed.post/3l5nqzhindk2k,bafyreidrs5v7qpsppm6lqh4hgbfpvr74qmyveuzh4pc2ikrrnfdx3liirq,"Niully denunciou que a candidata Y é montada pelo marketing eleitoral, não defende os professores nem garantirá o pagamento do piso e não conhece a cidade! Não sabe nem o horário que o comércio abre e vive se posicionando de forma oportunista pela conveniência eleitoral.",2024-10-04T02:51:18.764Z,0,0,1,2024-10-04T02:51:18.764Z,profsoniameire.bsky.social,Professora Sonia Meire,did:plc:sh5evn3ztdenpowmuqhsz4be
at://did:plc:sh5evn3ztdenpowmuqhsz4be/app.bsky.feed.post/3l5npvysp5d2n,bafyreih4kh5dmgv7idritk77f2zpip4n2hdoea5vqt7ospf7vxs7hehr2a,"Desrespeito! Candidata bolsonarista Yandra, para fazer sua propaganda sobre educação inclusiva, ataca professoras(es) e cuidadores de apoio que atuam diariamente na rede municipal de Aracaju! Em alto e bom som diz que as crianças atípicas são cuidadas “a base do grito”!",2024-10-04T02:31:28.540Z,2,0,1,2024-10-04T02:31:28.540Z,profsoniameire.bsky.social,Professora Sonia Meire,did:plc:sh5evn3ztdenpowmuqhsz4be
at://did:plc:sh5evn3ztdenpowmuqhsz4be/app.bsky.feed.post/3l5nnrja2pb2k,bafyreia6vxwbznb7i4l5xyz3djiijoh6hsd2tcavth27gmpsr3jhin2n74,"Último debate eleitoral! Orgulho da candidata do Psol, antes de qualquer tema Niully iniciou se solidarizando com magistério estadual que sofreu ataque do governador e registrou repúdio ao grave episódio de violência política cometido por bolsonarista contra militante petista.",2024-10-04T01:53:09.673Z,0,0,2,2024-10-04T01:53:09.673Z,profsoniameire.bsky.social,Professora Sonia Meire,did:plc:sh5evn3ztdenpowmuqhsz4be
at://did:plc:sh5evn3ztdenpowmuqhsz4be/app.bsky.feed.post/3l4mqs2hidu24,bafyreiarsqgnkmsm5yco27emypddjkoo4gfi6ro2gp7a2h5p6tsptm3gma,"Por fim, reafirmo meu compromisso com a Educação Pública e espero que uma pauta tão cara não esteja sendo utilizada com objetivos eleitoreiros!",2024-09-20T23:49:18.892Z,0,0,1,2024-09-20T23:49:18.892Z,profsoniameire.bsky.social,Professora Sonia Meire,did:plc:sh5evn3ztdenpowmuqhsz4be
at://did:plc:sh5evn3ztdenpowmuqhsz4be/app.bsky.feed.post/3l4mqrpgkg72h,bafyreid47myufeswfafqdlplvjdy2w5v5h3f4q4pnay4na7caz664lhoke,"Por isso, estou articulando junto à comissão a convocação do secretário de Educação e já protocolei um requerimento de pedido de informações sobre o processo licitatório e pagamento destinado a compra de notebooks e implantação do Google Workspace.",2024-09-20T23:49:07.320Z,1,0,1,2024-09-20T23:49:07.320Z,profsoniameire.bsky.social,Professora Sonia Meire,did:plc:sh5evn3ztdenpowmuqhsz4be
