uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l5nsq5c35l22,bafyreigdom5plccqlzwnt3o72jz3mkzaepjxfultp4qerxxlvf6tffywju,"Neste domingo, temos uma escolha decisiva: se você quer transformação real em São Paulo, é 50 para mudar de verdade! 
E com 50020, Quilombo Periférico, seguimos juntos na luta por uma cidade mais justa e digna. 💪🏾✊🏾 

#BoulosPrefeito50 #QuilomboPeriférico #Vote50 #DebateGlobo",2024-10-04T03:21:52.759Z,0,0,1,2024-10-04T03:21:52.759Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l5nqfi54x22c,bafyreictjlxwiz3d4cnak63wxjbiocx3qjboml57eh3jkxgor45aim7lhm,"Boulos: Marçal é lobo em pele de cordeiro e tá do mesmo lado que o Nunes: ambos são do time do Dória, um dos piores prefeitos da cidade! 

#Boulos #Boulos50 #Vote50 #QuilomboPeriférico  #Vote50020 #DebateGlobo #PrefeituraDeSãoPaulo",2024-10-04T02:40:08.430Z,0,0,2,2024-10-04T02:40:08.430Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l5np6gzh3l2c,bafyreihzjesqqwq6yfwpotejcjrfz4vvaaxo4oq5amuve3ftu4uu6fc7mi,"""Quem quer governar São Paulo, tem que ter a capacidade de dialogar com todos."" - Boulos.

g1.globo.com/sp/sao-paulo...

#Boulos #Boulos50 #Vote50 #QuilomboPeriférico  #Vote50020 #DebateGlobo #PrefeituraDeSãoPaulo",2024-10-04T02:18:18.626Z,0,0,1,2024-10-04T02:18:18.626Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l5nopwtqay2q,bafyreiciufz46doddjhgfpt7x23g26hibw4liyvu4tsl7ps3gqxi3k7tba,"Para variar, Tábata Amaral falando sem saber... Quem tem lado, não entra em vale tudo político!

g1.globo.com/sp/sao-paulo...

#Boulos #Boulos50 #Vote50 #QuilomboPeriférico  #Vote50020 #DebateGlobo #PrefeituraDeSãoPaulo",2024-10-04T02:10:11.902Z,0,0,1,2024-10-04T02:10:11.902Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l5nogbd3j32c,bafyreidhwadbg73yvfgvlzg2gsyt6d3sjjz3bcsyxx767gkhk3gb6nbne4,"Orçamento para a cultura popular é com a gente! Enquanto o Datena fala de descentralizar a cultura, nossa mandata já faz isso! E ao lado de Boulos vamos seguir nessa caminhada!

#Boulos #Boulos50 #Vote50 #QuilomboPeriférico  #Vote50020 #DebateGlobo #PrefeituraDeSãoPaulo",2024-10-04T02:04:46.739Z,0,0,0,2024-10-04T02:04:46.739Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l5nnnalpbd2c,bafyreie3tmtsw7u36tva2wzrmfcvz5hekgyzeoh5wyiwntpm2qo72tg4ie,"Quando o assunto é moradia, não tem nem conversa. Basta comparar as propostas. Para o povo das quebradas ter moradia digna, só com quem tá há 20 anos nessa luta! Guilherme Boulos é o nome certo para ser o prefeito de São Paulo.

#Boulos50 #Vote50 #QuilomboPeriférico  #Vote50020 #DebateGlobo",2024-10-04T01:50:43.831Z,0,0,1,2024-10-04T01:50:43.831Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l5nmudpe752h,bafyreifg3wibvdsjg3qwsvxvrxgw7w5o3w6e5dsznfxsmzbwkuso3hpdvm,"Boulos bem disse: com o PSOL não tem aventureiro político! Se você quer ser representado por quem sempre esteve na luta e não aparece só nas eleições, VOTE 50 e 50020!

#Boulos #Boulos50 #Vote50 #QuilomboPeriférico  #Vote50020 #DebateGlobo #PrefeituraDeSãoPaulo",2024-10-04T01:36:52.120Z,0,0,2,2024-10-04T01:36:52.120Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l5nmoiwxxk2m,bafyreihhzux5zq5jnuaw3c3lev52pyr5fsxzutvwhmjcafyaaekgik62xa,"Emprego nas quebradas? É com Boulos e Marta #50! Isenção de impostos para empresas que se estabeleçam nas periferias é só uma das propostas!

#Boulos #Boulos50 #Vote50 #QuilomboPeriférico  #Vote50020 #DebateGlobo #PrefeituraDeSãoPaulo",2024-10-04T01:33:36.292Z,0,0,1,2024-10-04T01:33:36.292Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l5nm5qdwuc2c,bafyreibgthlfwgzxkmahul7atr4kbk7mnviiuwsnikck7r2zcpfwheqgfa,"Boulos já dando o papo sobre o que vai fazer na saúde em São Paulo: 16 unidades do Poupa Tempo da Saúde em todas as zonas da cidade, que vão zerar as filas por atendimento na cidade de São Paulo!

#Boulos #Boulos50 #Vote50 #QuilomboPeriférico  #Vote50020 #DebateGlobo #PrefeituraDeSãoPaulo",2024-10-04T01:24:13.615Z,0,0,2,2024-10-04T01:24:13.615Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l5nleltxgq2v,bafyreiexa3x6hhqtxcj4abbsrnbxlpavgzjsrxbzernnaemacy2y6b5yli,"Vai começar o último debate dos candidatos à prefeitura de São Paulo! Bora acompanhar com a gente! 
g1.globo.com/sp/sao-paulo...",2024-10-04T01:10:10.053Z,0,0,1,2024-10-04T01:10:10.053Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l4ebabgm6b2n,bafyreifx6oxmakwulgjvyhdsxsigshtocodzosygfr2ff3nzhwcmviafje,"O candidato que tem M na cabeça começou o debate de hoje na sua estratégia de sempre, dessa vez o prefeito que não tem preparo (e também tem M na cabeça) caiu como um tolo. Como disse Guilherme Boulos, Marçal e Nunes são a mesma coisa!
#DebateRedeTV #BoulosPrefeito50",2024-09-17T14:49:36.366Z,0,1,5,2024-09-17T14:49:36.366Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l3vs26ovhk2w,bafyreihq4ec4dcvthgt5l2hmgucfqnb5u2tvybbmzggdzrek2eiwrxlm5q,Movimentos sociais no parlamento! Aquilombamos para fortalecer quebradas e construir uma São Paulo mais justa e igualitária. #Vote50020 #QuilomboPeriférico #MandataColetiva #Campanha2024 #Reeleição #Resistência #Aquilombar #Eleicões2024 #PoderPopular,2024-09-11T20:40:31.523Z,0,0,2,2024-09-11T20:40:31.523Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
at://did:plc:r3y5ri4k7zifoimmi2v5vanh/app.bsky.feed.post/3l3rqikh2p42m,bafyreicqsxu4qxfat2uijp42il6elni6sp7xd6pchjyzwomyjjbaxud6ie,"Nós somos a voz das periferias na Câmara Municipal de SP. Somos luta, somos resistência, somos Quilombo Periférico. Vamos juntos por uma SP sem racismo! 🖤✊ #Vote50020 #QuilomboPeriférico #MandataColetiva #Campanha2024 #Reeleição #Resistência #Aquilombar #PoderPopular #Eleições2024",2024-09-10T06:02:06.378Z,1,0,2,2024-09-10T06:02:06.378Z,quilomboperiferico.bsky.social,Quilombo Periférico,did:plc:r3y5ri4k7zifoimmi2v5vanh
