uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l5nm7artwv2q,bafyreie2u44b3uzp3v7glv4z2farsygjdx6nr7motl42tfdw2xp7vjapdy,Ninguém merece esperar meses pra passar em uma consulta. Vamos com Boulos pelo Poupatempo da saúde ! #BoulosPrefeito50	#Simone50123,2024-10-04T01:25:03.606Z,3,5,15,2024-10-04T01:25:03.606Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l5nm6chufb2v,bafyreicrtgeaxxihgv4w673ja36luc7rqpitrv6s5z6lekvnbi2rvizav4,"O GRANDE ESQUEMA DE RICARDO NUNES
Existe uma prática na gestão pública, que deveria ser exceção, mas que virou regra na prefeitura do Nunes, que é transformar tudo em emergência. Quer entender mais ? Assista o vídeo até o final.

www.instagram.com/reel/DArp8Lf...",2024-10-04T01:24:31.841Z,0,1,4,2024-10-04T01:24:31.841Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l5nlsycet22p,bafyreibu2ugvtmwcgon4cpcz6bqa73swlbcenroscjvcr6p4vrrncwkzpa,"Começou o último debate do primeiro turno na Globo. Boulos saiu como favorito mais uma vez na pesquisa do Datafolha, enquanto Nunes e Marçal disputam entre si. Vamos pra cima é Boulos50 pra varrer o bolsonarismo de São Paulo! #BoulosPrefeito50 #Simone50123",2024-10-04T01:18:10.935Z,1,3,7,2024-10-04T01:18:10.935Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l5axoja4tf2d,bafyreid6gdhe2a3cclg5gigvxky6njor5f4lamkuepskucbdks7ejvqpmy,"Bolsonunes: ""vou perguntar para a Marina em homenagem às mulheres"" 

#DebateNaRECORD #BoulosPrefeito50 #Simone50123",2024-09-29T00:45:51.333Z,0,1,5,2024-09-29T00:45:51.333Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l5av4e63pe2j,bafyreighs734du2h24ti5fqzdldg6ozmb4f5apktr2zjna2yiat7q6rf3q,"@guilhermeboulos.bsky.social começou apresentando a importância de acolher a população de rua, que hoje chega a 80 mil, sendo 3 mil crianças. Substituir os abrigos em péssimo estado por locais de acolhimento digno com banho e alimentação. E plano para dar oportunidade e moradia. 
#BoulosPrefeito50",2024-09-28T23:59:54.552Z,0,4,10,2024-09-28T23:59:54.552Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l5aupxjtj62q,bafyreiax6geqzcvgb575l4hkk76vqmxsb757so3hpppp3wmxhqs6y6z3hm,"Começou o #DebateNaRECORD
Vamos assistir Boulos jantar bolsonarista neste link:
www.youtube.com/watch?v=fUJo...

#BoulosPrefeito50 #Simone50123",2024-09-28T23:52:58.449Z,0,2,5,2024-09-28T23:52:58.449Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4ugqodwga2b,bafyreicqo4a6sdjm4wljdcihqvpfv3n45jbfa5kfmu6bvvz4nyqrqkfvjm,"Datena estudando pro debate:
#BoulosPrefeito50
#FlowDebate",2024-09-24T01:11:10.063Z,0,1,9,2024-09-24T01:10:53.311Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4ufj3opm62n,bafyreialgl62xtawpkf7hhm5dicqpg2nq75amkv643cdtalg6jf2vsw6ca,"Além disso, numa gestão Boulos, o Movimento Negro terá vez e voz pra apresentar seu projeto de preservação da memória da cidade. Bandeira que eu defendo como candidata a vereadora! 

#BoulosPrefeito50",2024-09-24T00:49:01.889Z,0,0,1,2024-09-24T00:48:45.118Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4ufia7dxg2n,bafyreief2ip4arqhm43jbdjyfxtzia73jq6f6pm52lsfbp4zzcbevqo2lm,"Quem compara vota @guilhermeboulos.bsky.social 

Programa do Marçal sobre Memória e patrimônio: zero propostas registradas no TSE.

Boulos: 3% do orçamento pra cultura pra ajudar preservar bibliotecas, museus e o patrimônio histórico.",2024-09-24T00:48:33.069Z,1,0,1,2024-09-24T00:48:16.311Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4ucw7yjze2q,bafyreihaje7nkpy6cod64fbhonyzb55gooslijjwrhgtqzxzisyzarm3ty,"O YouTube é uma das maiores TVs digitais que existem na atualidade e esse debate mostra isso.
Na sua opinião, debates eleitorais promovidos em páginas  no YouTube precisariam ter regulação também? Vejo comentários pagos com fakenews e ofensas.",2024-09-24T00:02:41.392Z,0,0,4,2024-09-24T00:02:24.720Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4uawvconw2j,bafyreiel633awp3xopdap66jtod53pgwjy66vkt6vkmy56awkqjazn3ypm,"Em instantes, tem #BoulosPrefeito50 no Debate do Flow! Todo mundo pronto pra ver Guilherme Boulos provar que é o mais preparado para ser prefeito de São Paulo?",2024-09-23T23:27:14.968Z,0,0,4,2024-09-23T23:26:59.611Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4til2tx7u2c,bafyreiffvwj6u5t27s2w3y52mqkhcxtverktg6yba5rwhfb6rrzwhjj7u4,"Obrigada pela indicação, Estéfano!",2024-09-23T16:10:52.429Z,1,0,0,2024-09-23T16:10:52.429Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4lui6sumk26,bafyreifuta5qnnlz3w774tn5vi7npqtjw7jwaevousfohv2ioldubx5uve,"Todo debate Ricardo Nunes menciona a obra da ponte Pirituba-Lapa. Nós moradores queremos saber, cadê Nunes? #BoulosPrefeito50",2024-09-20T15:22:42.040Z,0,1,2,2024-09-20T15:22:42.040Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4lu4hb76s2k,bafyreibjarym4oyvtsr4ugt5dskxjc4yoyjck5y3ucvfgzkbb4ehk7q3am,"Bom dia !
Estamos acompanhando mais um debate para a prefeitura de São Paulo, no SBT. Marçal chegou acuado, parece a assessoria dele mandou ele abaixar um pouco a bola. Boulos é sem dúvidas o candidato mais preparado ! #BoulosPrefeito50 #SimoneNascimento50123

www.youtube.com/live/YIa-CWJ...",2024-09-20T15:16:08.080Z,0,0,2,2024-09-20T15:16:08.080Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4e6ewba622f,bafyreicreog3djgagiesecgd7fywvjoghmuonvlphfisu3e557ssehntwu,"O primeiro bloco pode ser resumido em: 
Nunes fingindo que os problemas da cidade não são do prefeito.
Datena lamentando a 🪑 e dizendo que faria de novo.
E Marçal latindo feito cachorro louco na RedeTV. 
Imagine você pedir alguma demanda no gabinete de Prefeito deles. 
Seu voto nos livre disso!",2024-09-17T13:58:31.874Z,0,0,1,2024-09-17T13:58:31.874Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4e3saizew2t,bafyreidw3pdg4oac2j5wmtnjlw64jb3rhr3cybngs2drlg67xnjkom6tye,"Bom dia com debate ! 
Com as cadeiras presas no chão, daqui a pouquinho começa o debate da UOL/RedeTV. Vamos fortalecer a nossa presença enviando #BoulosPrefeito50 no chat! 

📺 www.youtube.com/watch?v=aq1c...",2024-09-17T13:12:18.316Z,2,4,7,2024-09-17T13:12:18.316Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4ahg7o3ag2i,bafyreibt3ftl3em7ucxrukqtmmf6p5xanzqyjggampk5ifjqe4ldscjria,"Datena suspenso por bater no Marçal
Marçal por bater na cadeira",2024-09-16T02:29:40.761Z,0,0,5,2024-09-16T02:29:40.761Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l4aew7lg4225,bafyreigyihfzorhg6ybrjnsuolq5hxhrpdzsh45omrxpjvgckyr32kvjpq,Eu vou ampliar a Patrulha Guardiã Maria da Penha para todos os bairros da cidade. Não vou tolerar violência doméstica! #BOULOSPREFEITO50 #DebateNaCultura,2024-09-16T01:44:54.649Z,20,130,893,2024-09-16T01:44:54.649Z,guilhermeboulos.bsky.social,Guilherme Boulos,did:plc:acvjxnp5fsqoq4fwri6wuqj7
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4aey5qqr72y,bafyreia42ky2fsr5rlwbmcxt47b64g6csi7qlttfppkgsmxcpt2ch3desu,"No 2° Bloco, vimos o prefeito Ricardo Nunes mentir descaradamente.
Não vimos orientação e nem contenção da crise dos incêndios e fumaça nos últimos dias. Inclusive, acionamos o MP para investigar o Nunes por ausência de iniciativas para enfrentar a crise climática.

#DebateNaCultura",2024-09-16T01:46:01.123Z,1,1,7,2024-09-16T01:46:01.123Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4adyr5hgt2g,bafyreibs6c55wcbzh2xot5nj6y2iibcsdn2reswxwzne5bvdlw3afqfjby,"Como bom jornalista, o Datena sabe que a Tarifa Zero é uma reivindicação da população da cidade e faz parte da solução para um transporte público de qualidade. Aprendeu na enquete feita nas jornadas de junho de 2013. Quem aqui acha que ele deve continuar como apresentador?

#DebateNaCultura",2024-09-16T01:28:26.942Z,0,0,3,2024-09-16T01:28:26.942Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4adwk2g3l2s,bafyreif3sudxyxkgvscyolqucjacuhfnmvb6xtf5y47c7jo7wfy5pha6qa,"No 1° Bloco, #BoulosPrefeito50 mostrou porquê é o mais preparado para cuidar de SP. Para a educação, ele defende: 
1. Valorização dos professores 
2. Psicólogo em todas escolas municipais 
3. Educação Integral

Esse é o prefeito que São Paulo precisa!!

#DebatenaCultura",2024-09-16T01:27:13.181Z,0,0,5,2024-09-16T01:27:13.181Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
