reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:r7nrwolm3iq66hgzxqqqqaus/app.bsky.feed.post/3l5nofoyu3p2b,bafyreifcyytm2bbgdtsyw4g42mj57ry2vjzdsgfcjnej3fymisdp7votl4,at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l5nm7artwv2q,Ninguém merece esperar meses pra passar em uma consulta. Vamos com Boulos pelo Poupatempo da saúde ! #BoulosPrefeito50	#Simone50123,simonenascimento.bsky.social,"BOULOS PREFEITO 50 
#BoulosPrefeito50
#DebateNaGlobo
#ValorizemAposentados
#LulaPazEDignidade
@guilhermeboulos.bsky.social 
@lula.com.br",2024-10-04T02:01:37.671Z,0,0,0,2024-10-04T02:01:37.671Z,lulistapetista.bsky.social,,did:plc:r7nrwolm3iq66hgzxqqqqaus
at://did:plc:kpv54rgz6syl6pzfxmqjllhh/app.bsky.feed.post/3l5nmguif3424,bafyreianc4ldszkg25aln6tuvdqe2aifcgp37s2y3usizjagmxi5tvokme,at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l5nm7artwv2q,Ninguém merece esperar meses pra passar em uma consulta. Vamos com Boulos pelo Poupatempo da saúde ! #BoulosPrefeito50	#Simone50123,simonenascimento.bsky.social,"""São Paulo merece mais saúde, moradia e educação de qualidade. 
@guilhermeboulos.bsky.social
@martasuplicy.bsky.social
#BoulosPrefeito50
Vote 5️⃣0️⃣
🎯""",2024-10-04T01:29:20.235Z,1,7,14,2024-10-04T01:29:20.111Z,dricas.bsky.social,Drica 🚩🚩,did:plc:kpv54rgz6syl6pzfxmqjllhh
at://did:plc:r7nrwolm3iq66hgzxqqqqaus/app.bsky.feed.post/3l5now5judv25,bafyreiac3xksf5cjf24fjydjngyt3vsa3ptauhkem5bf4ecfjlbvamh4tu,at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l5nlsycet22p,"Começou o último debate do primeiro turno na Globo. Boulos saiu como favorito mais uma vez na pesquisa do Datafolha, enquanto Nunes e Marçal disputam entre si. Vamos pra cima é Boulos50 pra varrer o bolsonarismo de São Paulo! #BoulosPrefeito50 #Simone50123",simonenascimento.bsky.social,"BOULOS PREFEITO 50 
#BoulosPrefeito50
#DebateNaGlobo
#ValorizemAposentados
#LulaPazEDignidade
@guilhermeboulos.bsky.social 
@lula.com.br",2024-10-04T02:10:49.726Z,0,0,0,2024-10-04T02:10:49.726Z,lulistapetista.bsky.social,,did:plc:r7nrwolm3iq66hgzxqqqqaus
at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4ufj3opm62n,bafyreialgl62xtawpkf7hhm5dicqpg2nq75amkv643cdtalg6jf2vsw6ca,at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4ufia7dxg2n,"Quem compara vota @guilhermeboulos.bsky.social 

Programa do Marçal sobre Memória e patrimônio: zero propostas registradas no TSE.

Boulos: 3% do orçamento pra cultura pra ajudar preservar bibliotecas, museus e o patrimônio histórico.",simonenascimento.bsky.social,"Além disso, numa gestão Boulos, o Movimento Negro terá vez e voz pra apresentar seu projeto de preservação da memória da cidade. Bandeira que eu defendo como candidata a vereadora! 

#BoulosPrefeito50",2024-09-24T00:49:01.889Z,0,0,1,2024-09-24T00:48:45.118Z,simonenascimento.bsky.social,Simone Nascimento  👩🏾‍🦱 50123,did:plc:5tu3m7c3etn6tv4zf7jhky5n
at://did:plc:rd3yq57vkfvyfykvvcvrmx7q/app.bsky.feed.post/3l4tiu6h2hg2r,bafyreia5aqpqpajatf5twhrfk6sznbsv4czirlsf4kriwxd62hbklvfffe,at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4til2tx7u2c,"Obrigada pela indicação, Estéfano!",simonenascimento.bsky.social,"Excelente indicação, obrigada amigo!",2024-09-23T16:15:58.396Z,0,0,0,2024-09-23T16:15:58.396Z,tahviapiana.bsky.social,Tabata Viapiana,did:plc:rd3yq57vkfvyfykvvcvrmx7q
at://did:plc:qwzasqu6ujyetsgiabtusvji/app.bsky.feed.post/3l4e3vwcmqq2n,bafyreidlnyjr3rf5hrfsk663ek52d5d6gdge3lwlscrjdrawnrzwpjmh6q,at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4e3saizew2t,"Bom dia com debate ! 
Com as cadeiras presas no chão, daqui a pouquinho começa o debate da UOL/RedeTV. Vamos fortalecer a nossa presença enviando #BoulosPrefeito50 no chat! 

📺 www.youtube.com/watch?v=aq1c...",simonenascimento.bsky.social,"Vamos construir uma São Paulo onde o direito à cidade seja garantido para todos. 
#BoulosPrefeito50
#LulaJuntosNoBluesky
#ApoiemAposentados 
@guilhermeboulos.bsky.social
@martasuplicy.bsky.social""

Urgência",2024-09-17T13:14:22.148Z,0,2,3,2024-09-17T13:14:22.148Z,rittss.bsky.social,Rita 🚩🚩,did:plc:qwzasqu6ujyetsgiabtusvji
at://did:plc:lnzpf5sypiidgljg7zoo55xt/app.bsky.feed.post/3l4e3wh3jyd2u,bafyreig25ey2f6xmi3d3xjxy2sl6u6m3geded2yl5stywkngdqvlgf2sr4,at://did:plc:5tu3m7c3etn6tv4zf7jhky5n/app.bsky.feed.post/3l4e3saizew2t,"Bom dia com debate ! 
Com as cadeiras presas no chão, daqui a pouquinho começa o debate da UOL/RedeTV. Vamos fortalecer a nossa presença enviando #BoulosPrefeito50 no chat! 

📺 www.youtube.com/watch?v=aq1c...",simonenascimento.bsky.social,#BoulosPrefeito50 !!!,2024-09-17T13:14:39.980Z,0,0,0,2024-09-17T13:14:39.980Z,dairley.bsky.social,DAIRLEY SANTOS FERREIRA VANDERLEY,did:plc:lnzpf5sypiidgljg7zoo55xt
at://did:plc:zxqfzhpipzyq3t3bsrjqnb5b/app.bsky.feed.post/3l4afyoeitf2i,bafyreiceqfgthewxd5lmmwxrhmtu6u6g3fxojpnix7chvl5jmfklgykdnm,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l4aew7lg4225,Eu vou ampliar a Patrulha Guardiã Maria da Penha para todos os bairros da cidade. Não vou tolerar violência doméstica! #BOULOSPREFEITO50 #DebateNaCultura,guilhermeboulos.bsky.social,Apoiador de traficante,2024-09-16T02:04:12.141Z,0,0,0,2024-09-16T02:04:12.141Z,davidfarias030579.bsky.social,,did:plc:zxqfzhpipzyq3t3bsrjqnb5b
at://did:plc:xrykbrmqr3vd3evpv7gmqivm/app.bsky.feed.post/3l4afuvb7ph2a,bafyreif3qymmyd4dqok2iexh25lqwyzr5squsjzoqcpb6em6h4jcdw7sii,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l4aew7lg4225,Eu vou ampliar a Patrulha Guardiã Maria da Penha para todos os bairros da cidade. Não vou tolerar violência doméstica! #BOULOSPREFEITO50 #DebateNaCultura,guilhermeboulos.bsky.social,#Boulos50,2024-09-16T02:02:06.224Z,0,0,0,2024-09-16T02:02:06.224Z,lizete.bsky.social,Lizete Maciel,did:plc:xrykbrmqr3vd3evpv7gmqivm
at://did:plc:wrkvmm2m27gczmwlwaffhm5h/app.bsky.feed.post/3l4bygrth4n2z,bafyreidhdt22z4zbfitbkejpt26jeyagqcgjhycwf27z342xfcjnyioxpa,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l4aew7lg4225,Eu vou ampliar a Patrulha Guardiã Maria da Penha para todos os bairros da cidade. Não vou tolerar violência doméstica! #BOULOSPREFEITO50 #DebateNaCultura,guilhermeboulos.bsky.social,👏👏👏,2024-09-16T17:06:53.376Z,0,0,0,2024-09-16T17:06:53.376Z,mamabi.bsky.social,MamaBi,did:plc:wrkvmm2m27gczmwlwaffhm5h
