uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:ehpufosz5yntl2vhs7sjdcyl/app.bsky.feed.post/3l5h3vysbgb2e,bafyreibd4lqbpftp2xspxfekrehzlb2qq5tfhk7v2je6x5xakddbcwuqgy,Fiquei animado com a subida na última pesquisa... Na torcida!,2024-10-01T11:17:35.637Z,0,0,0,2024-10-01T11:17:35.637Z,gump-if.bsky.social,Daniel Lima,did:plc:ehpufosz5yntl2vhs7sjdcyl
at://did:plc:72ca33xviy6wt4rth3qqeaw3/app.bsky.feed.post/3l5hbl5gwc52e,bafyreifw53e2b7h3ueoljoyfeq6sz5u2ujfhzplpfurka73jtzwkdwxlma,Isso 👏👏👏👏,2024-10-01T12:59:17.269Z,0,0,0,2024-10-01T12:58:54.114Z,ester38.bsky.social,,did:plc:72ca33xviy6wt4rth3qqeaw3
at://did:plc:vr4rmt3be3ebemle2vhhhvus/app.bsky.feed.post/3l5g5te3ipj25,bafyreihrvygre4bwag3epsbz7rrjwyqod56ahicdqbtgurk4jxspoirgxe,"Não leio a Folha, mas algumas pessoas (detalhe: Não são de esquerda) têm comentado que este jornal tem se aproximado um pouco do Bolsonarismo.
Uma pena que esteja indo para esse caminho.",2024-10-01T02:20:16.671Z,1,0,0,2024-10-01T02:19:14.910Z,danielsm85.bsky.social,,did:plc:vr4rmt3be3ebemle2vhhhvus
at://did:plc:s2ianqlle7jz5paauz7d3nuo/app.bsky.feed.post/3l5fxzkradz2z,bafyreiceuvguyxigdjo64qaosyvn23ut3zidmc4vtqvyndzemwe6ugovk4,E ainda tem a turma da ''democracia'' relativa que também não respeita teus eleitores e dizem que seriam ''inútil'' votar em vc e que todos deveriam votar apenas nesse outro.,2024-10-01T00:35:20.351Z,0,0,1,2024-10-01T00:35:20.351Z,danielaam.bsky.social,Daniela,did:plc:s2ianqlle7jz5paauz7d3nuo
at://did:plc:huw7u6jn66rlrrgpxeijjjmb/app.bsky.feed.post/3l5gp5lckpv2o,bafyreicuhbkoap7iyqaxsa7rx7kext72577u2dymdafp453wmciv7mynsi,"""É em quem ela quiser desde que seja alguém que eu aprove.""",2024-10-01T07:29:11.290Z,0,0,0,2024-10-01T07:29:11.290Z,dondracula.bsky.social,Don Drácula,did:plc:huw7u6jn66rlrrgpxeijjjmb
at://did:plc:h3zyl7h2y5pt4tcmaj5nooax/app.bsky.feed.post/3l5gj3kekhf2p,bafyreidzbhmapo6gjagizdxaffbvqkulq56crkqkk3wzm6khyuhyrwqjr4,"Vc é muito mau-caráter, Batata. O Boulos nunca faltou com respeito à vc, mesmo com seus golpes baixos, e vc ainda fica gratuitamente chamando ele de ""marmanjo"" e coisas do tipo.

Falta decência, por isso que vc nunca vai passar de uma deputada que copia projeto alheio e chama de seu.",2024-10-01T05:40:39.317Z,1,0,0,2024-10-01T05:40:39.317Z,brunostp.bsky.social,,did:plc:h3zyl7h2y5pt4tcmaj5nooax
at://did:plc:flpyjilxwqayevwuume2bxzm/app.bsky.feed.post/3l5fyajavff2x,bafyreie4jpmq4kfnft364ccrzsy5e3ax27xvbob5g7gskyud75h7i4l6ta,"Tabata, me explica o que tu acha que ganha ao atacar gratuitamente o Boulos nos debates, repetindo o que o Ciro fazia com o Lula? Tentando igualar ele ao Marçal e ao Nunes, insinuando que ele só ""briga""? Vc não acha que essa estratégia é não apenas ineficaz como, principalmente, injusta?",2024-10-01T00:39:13.783Z,1,0,1,2024-10-01T00:39:13.783Z,gcguedes.bsky.social,Gustavations,did:plc:flpyjilxwqayevwuume2bxzm
at://did:plc:afegtts6tvwjhkrcvqpeucsf/app.bsky.feed.post/3l5fvnqts342e,bafyreih23srjibnukytmizlfjutblb56kcnasuu473yo3i576vcalxn2yq,🙌🙌,2024-09-30T23:52:54.762Z,0,0,0,2024-09-30T23:52:54.762Z,kenyrobson.bsky.social,,did:plc:afegtts6tvwjhkrcvqpeucsf
at://did:plc:7hnr3obzpjo4popomzqbja6i/app.bsky.feed.post/3l5fyi6ns5q2u,bafyreid5htg3p7ygvivx467demp7fyzqzqfb7w2nmqgpoy5citq3loohua,"Exatamente Tabata, aquele boçal tentou anular a capacidade de todas as mulheres, dando a entender nas entrelinhas que mulher não serve pra liderar, que isso coisa de homem. Um pensamento medieval e machista.",2024-10-01T00:43:30.889Z,0,0,1,2024-10-01T00:43:30.889Z,sabrino14681409.bsky.social,Roxinante Bilau,did:plc:7hnr3obzpjo4popomzqbja6i
at://did:plc:26ext5h4nsz6beuxxyan55zv/app.bsky.feed.post/3l5gx3j5ibg26,bafyreiezf5hmckn5cexjcpz6c7f5uqrpuebiwh6nx3j36l6necteox2loe,A santinha é uma TALARICA.  Juro que eu não sabia disso,2024-10-01T09:51:13.970Z,0,0,0,2024-10-01T09:51:12.211Z,bigalbrasil.bsky.social,,did:plc:26ext5h4nsz6beuxxyan55zv
