reply_uri,reply_cid,original_post_uri,original_post_text,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:zscj2blw2prcsimj2hrdygxm/app.bsky.feed.post/3l5ntu7tmlu2j,bafyreiaxmkasdssqgqgeigb74q74sznj6wxlbpkrcq2zkmdvvk76uyf6uq,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nsvsn5kb2l,"Como disse Eduardo Campos, não vamos desistir do Brasil nem de São Paulo. Porque essa é a nossa terra. #Tabata40 #DebateNaGlobo","Vamos, vamos, pq foguete não dá ré!!! 40 na cabeça 🚀",2024-10-04T03:42:04.781Z,0,0,0,2024-10-04T03:42:04.416Z,sutorres.bsky.social,Su,did:plc:zscj2blw2prcsimj2hrdygxm
at://did:plc:x337ljlc6dcqr2omb23gjpnf/app.bsky.feed.post/3l5nswwkiog2v,bafyreibqzqrhdttt4zfzga4iopc23parpfz7rk55gwwbvet5ygpejssgye,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nsvsn5kb2l,"Como disse Eduardo Campos, não vamos desistir do Brasil nem de São Paulo. Porque essa é a nossa terra. #Tabata40 #DebateNaGlobo",Domingo é 40. É @tabatasp.bsky.social !!,2024-10-04T03:25:42.011Z,0,0,0,2024-10-04T03:25:41.612Z,perrucci.bsky.social,,did:plc:x337ljlc6dcqr2omb23gjpnf
at://did:plc:dxi3qygiayq2iaz2ncwdlqui/app.bsky.feed.post/3l5nu7go2k22r,bafyreicmg5e3mm3ffbh7ew5zrkew2y3w232ynpcymt224ul75c6cuuuud4,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nsvsn5kb2l,"Como disse Eduardo Campos, não vamos desistir do Brasil nem de São Paulo. Porque essa é a nossa terra. #Tabata40 #DebateNaGlobo","Tomara que a Tabata ganhe no primeiro turno, ou vá para o segundo turno e ganhe as eleições da cidade de São Paulo, maior cidade do continente americano. 

#Tabata40",2024-10-04T03:48:19.012Z,0,0,1,2024-10-04T03:48:19.012Z,marcelorodrigues2.bsky.social,Marcelo Rodrigues ,did:plc:dxi3qygiayq2iaz2ncwdlqui
at://did:plc:fyylfluk6bk54kughgkixost/app.bsky.feed.post/3l5om6o5rnn2f,bafyreidim3qcpwcrsofrgxqbtcmpqprlut6cdavzemdf7n4jylywv3m3yi,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nso6vd6q2l,"A gente pode sonhar com uma prefeitura que não vai sufocar com propina, imposto, burocracia, mas ajudar a prosperar. E dormir tranquilo sabendo que tem uma prefeita trabalhando, virando a noite se necessário, porque sabe o que é enchente e vai cuidar de você e se planejar. #Tabata40 #DebateNaGlobo",Apoia o Boulos no segundo turno pelo amor de deus. É o mínimo.,2024-10-04T10:57:26.015Z,0,0,0,2024-10-04T10:57:25.208Z,otavio12.bsky.social,,did:plc:fyylfluk6bk54kughgkixost
at://did:plc:67viw4p7qykx2oreyxmmhi6m/app.bsky.feed.post/3l5nt3cv6uk2g,bafyreig32m2wwmmovja6ggx2p36clb7kbrrlyojlmd7zzpn3i2g7ov3y74,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nso6vd6q2l,"A gente pode sonhar com uma prefeitura que não vai sufocar com propina, imposto, burocracia, mas ajudar a prosperar. E dormir tranquilo sabendo que tem uma prefeita trabalhando, virando a noite se necessário, porque sabe o que é enchente e vai cuidar de você e se planejar. #Tabata40 #DebateNaGlobo","É isso aí 
#BoulosPrefeito50",2024-10-04T03:28:08.504Z,0,0,1,2024-10-04T03:28:08.504Z,vinanet.bsky.social,Vinix ,did:plc:67viw4p7qykx2oreyxmmhi6m
at://did:plc:7fl5rza3daekkqzn4gc7oynt/app.bsky.feed.post/3l5nswsnytj2e,bafyreiedffznu3ikk6wuku6ci6wppwi7hrnkalh7fz55svwfhbswyacyuy,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nskon5w62d,"Ao longo dos últimos meses, eu pude me apresentar e mostrar que não tô na vida pública a passeio. Fui por seis anos deputada federal e consegui aprovar muita coisa com muito trabalho. Pra mim a vida pública é serviço, é trabalho, é coisa séria, é honestidade. #Tabata40 #DebateNaGlobo",Que vida pública? ninguém respeita você,2024-10-04T03:25:38.117Z,0,0,0,2024-10-04T03:25:37.512Z,bethk26.bsky.social,Beth K🍀,did:plc:7fl5rza3daekkqzn4gc7oynt
at://did:plc:7fl5rza3daekkqzn4gc7oynt/app.bsky.feed.post/3l5nsvyyhu623,bafyreidinycm7kkrmqc6nls44m34uby3665tsm6auxisfnng4cjlhepxuu,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nskon5w62d,"Ao longo dos últimos meses, eu pude me apresentar e mostrar que não tô na vida pública a passeio. Fui por seis anos deputada federal e consegui aprovar muita coisa com muito trabalho. Pra mim a vida pública é serviço, é trabalho, é coisa séria, é honestidade. #Tabata40 #DebateNaGlobo",VÁ DORMIR BABACA!,2024-10-04T03:25:11.374Z,0,0,0,2024-10-04T03:25:10.596Z,bethk26.bsky.social,Beth K🍀,did:plc:7fl5rza3daekkqzn4gc7oynt
at://did:plc:5k4jmdlwgylp3rpi2pss4qxk/app.bsky.feed.post/3l5nspxp26k2s,bafyreiftztrztz4kpuqhkgyopbt3kvgsglwee6n752r3ye35hj4wl7r3tm,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nskon5w62d,"Ao longo dos últimos meses, eu pude me apresentar e mostrar que não tô na vida pública a passeio. Fui por seis anos deputada federal e consegui aprovar muita coisa com muito trabalho. Pra mim a vida pública é serviço, é trabalho, é coisa séria, é honestidade. #Tabata40 #DebateNaGlobo",Que feio passar pano para cadeirada em debate. Ainda bem que SP não compra sua conversinha mole,2024-10-04T03:21:45.134Z,0,0,0,2024-10-04T03:21:45.134Z,odairmac.bsky.social,OdairMac 🇧🇷,did:plc:5k4jmdlwgylp3rpi2pss4qxk
at://did:plc:ozbrdmtbofclzxuul4z5xfql/app.bsky.feed.post/3l5nsah5a5t2m,bafyreihdfgbjtvjrkvehbxjtvcqryf4inzqmxp5bvgaw5nnpo7fqsvf6py,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nrq7rlrm2i,"Pablo Marçal está há semanas atacando cada um de nós e trazendo mentiras. Mas esse homem está há três semanas com esse gesso cenográfico. A gente sabe que não tem nada ali, mas ele continua encenando. Quem mente até na pequena coisa não merece nossos ouvidos. #Tabata40 #DebateNaGlobo",Isso foi maravilhoso,2024-10-04T03:13:06.438Z,0,0,1,2024-10-04T03:13:06.438Z,lalylongo.bsky.social,Tetê Slims,did:plc:ozbrdmtbofclzxuul4z5xfql
at://did:plc:baom3pq4ryc6zc2vltqipo6j/app.bsky.feed.post/3l5nssaxdbl2x,bafyreiavxarw6vk6pvmeju4dht6qbxiqlhg3uurmckn6lski2o62x3ah3i,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nrq7rlrm2i,"Pablo Marçal está há semanas atacando cada um de nós e trazendo mentiras. Mas esse homem está há três semanas com esse gesso cenográfico. A gente sabe que não tem nada ali, mas ele continua encenando. Quem mente até na pequena coisa não merece nossos ouvidos. #Tabata40 #DebateNaGlobo",Gesso cenográfico desmascarado.,2024-10-04T03:23:04.448Z,0,0,1,2024-10-04T03:23:04.448Z,jo-carvalhal31.bsky.social,João Carvalho,did:plc:baom3pq4ryc6zc2vltqipo6j
at://did:plc:4vq2ws24p26azbyhgkcta6p7/app.bsky.feed.post/3l5onmtairt2u,bafyreiaiyaz46jmurfk7rthwc2hm2t7yiggc7mnfjos4hxabdo7v6mgqzm,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nrq7rlrm2i,"Pablo Marçal está há semanas atacando cada um de nós e trazendo mentiras. Mas esse homem está há três semanas com esse gesso cenográfico. A gente sabe que não tem nada ali, mas ele continua encenando. Quem mente até na pequena coisa não merece nossos ouvidos. #Tabata40 #DebateNaGlobo","Aquele tapa na cara com classe...

Sem falar que toda hora os 4 candidatos pegavam ganchos em falas suas, além de copiar propostas, percebeu isso?",2024-10-04T11:23:12.957Z,0,0,0,2024-10-04T11:23:12.957Z,derossi32.bsky.social,André,did:plc:4vq2ws24p26azbyhgkcta6p7
at://did:plc:43aebe3qqgm64ce2gc4jexbn/app.bsky.feed.post/3l5nrsvrb4o26,bafyreiaxsorzgzxlgx2oqrxevg7hsya3ranmv3uhhm5hpsymy4undfsc7m,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5nrq7rlrm2i,"Pablo Marçal está há semanas atacando cada um de nós e trazendo mentiras. Mas esse homem está há três semanas com esse gesso cenográfico. A gente sabe que não tem nada ali, mas ele continua encenando. Quem mente até na pequena coisa não merece nossos ouvidos. #Tabata40 #DebateNaGlobo","O gesso cenográfico é o novo ""padre de festa junina""

OBRIGADO POR ISSO, bom demais KKKKKKKKKK",2024-10-04T03:05:32.970Z,0,0,5,2024-10-04T03:05:32.812Z,renatoborges89.bsky.social,,did:plc:43aebe3qqgm64ce2gc4jexbn
