reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:xoe6qycmjue4n6fylwspysjy/app.bsky.feed.post/3l5wrf2p4cq2v,bafyreickvyj2pje5ti4mmxwozupa7p7as43qjdfpmzsll45zld2ur4mu4i,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5visq7zzn2l,"A mudança já começou. E vocês vão se lembrar dessa fala pelos próximos anos!

youtu.be/-12FNRErlAE?...",tabatasp.bsky.social,"A senhora poderia entrar em contato com a Simone Tebet para ser vice dela nas eleições de 2026, somente pessoais inteligentes como você para trabalharem contra os criminosos candidatos Além disso, seria oportuno a filiação para um partido mais forte como o PSD.",2024-10-07T16:51:45.291Z,1,0,0,2024-10-07T16:51:45.291Z,talitameol.bsky.social,Talita,did:plc:xoe6qycmjue4n6fylwspysjy
at://did:plc:rzjzvb42lkrh3gzaf55mt4si/app.bsky.feed.post/3l5vzrfgu4o2v,bafyreihmokkc5gtel5ztwtjvoavweaglhvhuk4jhf764y5nhkuvdj3ypgq,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5visq7zzn2l,"A mudança já começou. E vocês vão se lembrar dessa fala pelos próximos anos!

youtu.be/-12FNRErlAE?...",tabatasp.bsky.social,"O sentimento depois dessas eleições é de desilusão, o brasileiro não tem o mínimo de maturidade pra escolher seus representantes. Mas enquanto houver pessoas como a Tabata na política ainda haverá esperança! E gratidão pelo combate ao projeto fascista do Boçal!! Não foi só por SP, foi pelo Brasil!!",2024-10-07T09:49:09.952Z,0,0,1,2024-10-07T09:49:09.952Z,joaoacvieira.bsky.social,João Antonio ,did:plc:rzjzvb42lkrh3gzaf55mt4si
at://did:plc:lkbbkf7ytgqgrc3mnzgzpg6q/app.bsky.feed.post/3l5z7b5oliz26,bafyreihvinusalmxqnlyprdiubfv7oehf7gvgcw3pw67q6rzwkr3ult3pa,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5visq7zzn2l,"A mudança já começou. E vocês vão se lembrar dessa fala pelos próximos anos!

youtu.be/-12FNRErlAE?...",tabatasp.bsky.social,"Eu estava dando credibilidade nesta Tabata, mas me desapontei quando ouvi ela dizer que vai apoiar esse desocupado do Boulos.  Nós de São Paulo não merecemos  esse cara pra nossa cidade.",2024-10-08T16:05:26.313Z,0,0,0,2024-10-08T16:05:26.313Z,jj1013.bsky.social,,did:plc:lkbbkf7ytgqgrc3mnzgzpg6q
at://did:plc:lkbbkf7ytgqgrc3mnzgzpg6q/app.bsky.feed.post/3l5z7aip74d2d,bafyreigbfy3ico33g2tqicss6r46ubzvgidhcub54s4uzd6vq6icibz6fy,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5visq7zzn2l,"A mudança já começou. E vocês vão se lembrar dessa fala pelos próximos anos!

youtu.be/-12FNRErlAE?...",tabatasp.bsky.social,"Eu estava dando credibilidade nesta Tabata, mas me desapontei quando ouvi ela dizer que vai apoiar esse desocupado do Boulos.  Nós de São Paulo não merecemos  esse cara pra nossa cidade.",2024-10-08T16:05:04.310Z,0,0,0,2024-10-08T16:05:04.310Z,jj1013.bsky.social,,did:plc:lkbbkf7ytgqgrc3mnzgzpg6q
at://did:plc:jal7jzwqkgefb3s4cvrozgor/app.bsky.feed.post/3l5vsx4k6ox2b,bafyreibmk6g7qdmsbvs4hdbrtdw3t2fbo7vavzlfucehcodnyadyqjcs3i,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5visq7zzn2l,"A mudança já começou. E vocês vão se lembrar dessa fala pelos próximos anos!

youtu.be/-12FNRErlAE?...",tabatasp.bsky.social,"O problema não é você, são as pessoas que estão contaminadas por políticas machistas. Dilma foi eleita período, a primeira presidenta. Continue lutando, firme. Lembro que Marina Silva também sofreu o mesmo, tinha propostas humanas e promissoras.
Seu caminho é coerente, se fosse td BrasilSeria+de600k",2024-10-07T07:47:06.700Z,1,0,2,2024-10-07T07:47:06.210Z,zxbaru.bsky.social,zx,did:plc:jal7jzwqkgefb3s4cvrozgor
at://did:plc:hvi6vekadzfysv2xuh7pylng/app.bsky.feed.post/3l5vlmbrtq22f,bafyreib7rnlmuwjyn6umu7yntagezx5ar3jrisos3wdpkc6fiduskhmv4y,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5visq7zzn2l,"A mudança já começou. E vocês vão se lembrar dessa fala pelos próximos anos!

youtu.be/-12FNRErlAE?...",tabatasp.bsky.social,"Traidora que chama? 
Falou tanto que não apoiaria ninguém.",2024-10-07T05:35:39.656Z,2,0,0,2024-10-07T05:35:39.656Z,ari1junior.bsky.social,ari1junior,did:plc:hvi6vekadzfysv2xuh7pylng
at://did:plc:hqyi3qxmf2norhyr3y6rti3z/app.bsky.feed.post/3l5vizgrn5t2o,bafyreib5l6fvqtkjqiq53eqr2ut6q2fa6adszpv2zs7q6obbluurwv6gu4,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5visq7zzn2l,"A mudança já começou. E vocês vão se lembrar dessa fala pelos próximos anos!

youtu.be/-12FNRErlAE?...",tabatasp.bsky.social,"Tabata, seu desempenho foi bom, parabéns. Você é uma política promissora.",2024-10-07T04:49:25.654Z,0,0,0,2024-10-07T04:49:25.654Z,leviblue.bsky.social,ليفي بلو.,did:plc:hqyi3qxmf2norhyr3y6rti3z
at://did:plc:hlfuksyssohovgdntnppbrko/app.bsky.feed.post/3l5vkqhee7y2z,bafyreihdrtdr4suzuw72pdztcq4qjnjoleot7yzf4sgpjldk2eqedkxhzm,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5visq7zzn2l,"A mudança já começou. E vocês vão se lembrar dessa fala pelos próximos anos!

youtu.be/-12FNRErlAE?...",tabatasp.bsky.social,"A sua melhor opção seria neutralidade. Quem votou em voce não quer essa coisa velha e velhaca, nem lobo em pele de cordeiro. Seja firme como foi durante a campanha.",2024-10-07T05:20:12.130Z,0,0,1,2024-10-07T05:20:12.130Z,rucavalc.bsky.social,,did:plc:hlfuksyssohovgdntnppbrko
at://did:plc:dzbfbhgcpzwiqkp7eeu4ht2q/app.bsky.feed.post/3l5vjx6wgfi2v,bafyreiafsfy6yzg5lr3kjyf35r65qgqaloizq67gc4dskoio3bnrv7aprm,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5visq7zzn2l,"A mudança já começou. E vocês vão se lembrar dessa fala pelos próximos anos!

youtu.be/-12FNRErlAE?...",tabatasp.bsky.social,"Parabéns pelo desempenho, Tábata. Agora é pensar no mal maior, como a Tebet em 2022. Seja corajosa, suba no palanque do Boulos e transfira uns 400 mil votos seus pra ele.",2024-10-07T05:06:02.525Z,0,0,0,2024-10-07T05:06:02.525Z,guganovaes.bsky.social,Gustavo Novaes 🇭🇺🇵🇸,did:plc:dzbfbhgcpzwiqkp7eeu4ht2q
at://did:plc:3l5n5ybtbt663ibptsqhfclu/app.bsky.feed.post/3l5wksuko3p2m,bafyreigyn6qh4syottjpaj4p4uff263gl46tsir56stl4sgjdnns2s4egu,at://did:plc:rdp4e6uyn56sjm3krykz7chm/app.bsky.feed.post/3l5visq7zzn2l,"A mudança já começou. E vocês vão se lembrar dessa fala pelos próximos anos!

youtu.be/-12FNRErlAE?...",tabatasp.bsky.social,A sua decisão foi muito assertiva ao apoiar o Boulos. Ganhou a popularidade do eleitorado que em breve vai te eleger. Na próxima virá mais forte.,2024-10-07T14:54:12.156Z,0,0,0,2024-10-07T14:54:12.156Z,alessandrorostle.bsky.social,AlessRos,did:plc:3l5n5ybtbt663ibptsqhfclu
